UTM  Zone 21 North NAD 1983
Easting,Northing,Elevation
699509.36,5295334.84,172.32
699486.82,5295354.78,168.26
699479.30,5295370.10,156.21
699479.69,5295370.52,163.27
699446.94,5295397.53,155.69
699422.05,5295421.07,157.05
699400.25,5295447.61,168.44
699363.30,5295483.55,174.25
699321.42,5295513.77,176.16
699293.02,5295553.25,175.86
699270.88,5295574.69,176.23
699231.13,5295540.18,176.59
699194.29,5295504.32,172.92
699158.14,5295464.05,176.00
699127.81,5295432.25,169.33
699090.46,5295393.88,170.55
699059.51,5295357.11,171.82
699094.50,5295322.73,169.93
699132.40,5295287.48,167.58
699163.55,5295255.27,163.21
699205.43,5295214.17,159.88
699237.65,5295179.19,155.33
699254.04,5295164.57,155.53
699269.12,5295153.48,155.67
699285.34,5295135.72,161.24
699319.04,5295100.59,161.57
699345.71,5295072.91,162.00
699373.61,5295044.94,162.11
699412.73,5295082.36,167.09
699447.06,5295116.74,166.76
699479.86,5295150.08,167.89
699514.83,5295185.25,168.90
699542.95,5295213.22,169.12
699572.99,5295243.13,170.08
699585.03,5295258.21,167.12
699575.00,5295268.47,163.95
699539.25,5295303.28,167.95
