Depth,Azimuth,Dip
0.00,120.20,54.70
1.00,120.20,54.70
2.00,120.20,54.70
3.00,120.20,54.70
4.00,120.20,54.70
5.00,120.20,54.70
6.00,120.20,54.70
7.00,120.20,54.70
8.00,120.20,54.70
9.00,120.20,54.70
10.00,120.20,54.70
11.00,120.20,54.70
12.00,120.20,54.70
13.00,120.20,54.70
14.00,120.20,54.70
15.00,120.20,54.70
16.00,120.20,54.70
17.00,120.20,54.70
18.00,120.20,54.70
19.00,120.20,54.70
20.00,120.20,54.70
21.00,120.20,54.68
22.00,120.20,54.66
23.00,120.20,54.64
24.00,120.20,54.62
25.00,120.20,54.60
26.00,120.20,54.58
27.00,120.20,54.56
28.00,120.20,54.54
29.00,120.20,54.52
30.00,120.20,54.50
31.00,120.21,54.49
32.00,120.22,54.48
33.00,120.23,54.47
34.00,120.24,54.46
35.00,120.25,54.45
36.00,120.26,54.44
37.00,120.27,54.43
38.00,120.28,54.42
39.00,120.29,54.41
40.00,120.30,54.40
41.00,120.30,54.38
42.00,120.30,54.36
43.00,120.30,54.34
44.00,120.30,54.32
45.00,120.30,54.30
46.00,120.30,54.28
47.00,120.30,54.26
48.00,120.30,54.24
49.00,120.30,54.22
50.00,120.30,54.20
51.00,120.30,54.19
52.00,120.30,54.18
53.00,120.30,54.17
54.00,120.30,54.16
55.00,120.30,54.15
56.00,120.30,54.14
57.00,120.30,54.13
58.00,120.30,54.12
59.00,120.30,54.11
60.00,120.30,54.10
61.00,120.30,54.10
62.00,120.30,54.10
63.00,120.30,54.10
64.00,120.30,54.10
65.00,120.30,54.10
66.00,120.30,54.10
67.00,120.30,54.10
68.00,120.30,54.10
69.00,120.30,54.10
70.00,120.30,54.10
71.00,120.29,54.10
72.00,120.28,54.10
73.00,120.27,54.10
74.00,120.26,54.10
75.00,120.25,54.10
76.00,120.24,54.10
77.00,120.23,54.10
78.00,120.22,54.10
79.00,120.21,54.10
80.00,120.20,54.10
81.00,120.19,54.07
82.00,120.18,54.04
83.00,120.17,54.01
84.00,120.16,53.98
85.00,120.15,53.95
86.00,120.14,53.92
87.00,120.13,53.89
88.00,120.12,53.86
89.00,120.11,53.83
90.00,120.10,53.80
91.00,120.07,53.74
92.00,120.04,53.68
93.00,120.01,53.62
94.00,119.98,53.56
95.00,119.95,53.50
96.00,119.92,53.44
97.00,119.89,53.38
98.00,119.86,53.32
99.00,119.83,53.26
100.00,119.80,53.20
101.00,119.75,53.05
102.00,119.70,52.90
103.00,119.65,52.75
104.00,119.60,52.60
