Depth,Azimuth,Dip
0.00,352.97,55.30
1.00,352.97,55.30
2.00,352.97,55.30
3.00,352.97,55.30
4.00,352.97,55.30
5.00,352.97,55.30
6.00,352.97,55.30
7.00,352.97,55.30
8.00,352.97,55.30
9.00,352.97,55.30
10.00,352.97,55.30
11.00,352.97,55.30
12.00,352.97,55.30
13.00,352.97,55.30
14.00,352.97,55.30
15.00,352.97,55.30
16.00,352.97,55.30
17.00,352.97,55.30
18.00,352.97,55.30
19.00,352.97,55.30
20.00,352.97,55.30
21.00,352.97,55.30
22.00,352.97,55.30
23.00,352.98,55.29
24.00,352.98,55.29
25.00,352.98,55.29
26.00,352.98,55.29
27.00,352.98,55.29
28.00,352.99,55.28
29.00,352.99,55.28
30.00,352.99,55.28
31.00,352.99,55.28
32.00,353.00,55.27
33.00,353.00,55.27
34.00,353.00,55.26
35.00,353.00,55.26
36.00,353.01,55.26
37.00,353.01,55.25
38.00,353.01,55.25
39.00,353.02,55.24
40.00,353.02,55.24
41.00,353.02,55.24
42.00,353.03,55.23
43.00,353.03,55.23
44.00,353.04,55.23
45.00,353.04,55.23
46.00,353.05,55.22
47.00,353.06,55.22
48.00,353.06,55.22
49.00,353.06,55.21
50.00,353.07,55.21
51.00,353.08,55.21
52.00,353.09,55.21
53.00,353.10,55.21
54.00,353.11,55.21
55.00,353.12,55.20
56.00,353.12,55.20
57.00,353.13,55.20
58.00,353.14,55.20
59.00,353.15,55.20
60.00,353.16,55.20
61.00,353.17,55.20
62.00,353.19,55.20
63.00,353.20,55.20
64.00,353.21,55.20
65.00,353.23,55.20
66.00,353.24,55.20
67.00,353.25,55.20
68.00,353.26,55.20
69.00,353.28,55.20
70.00,353.29,55.20
71.00,353.30,55.20
72.00,353.32,55.20
73.00,353.33,55.20
74.00,353.34,55.20
75.00,353.36,55.20
76.00,353.37,55.20
77.00,353.38,55.20
78.00,353.39,55.20
79.00,353.41,55.20
80.00,353.42,55.20
81.00,353.43,55.20
82.00,353.44,55.20
83.00,353.45,55.20
84.00,353.46,55.20
85.00,353.47,55.20
86.00,353.47,55.20
87.00,353.48,55.20
88.00,353.49,55.20
89.00,353.50,55.20
90.00,353.51,55.20
91.00,353.52,55.20
92.00,353.52,55.20
93.00,353.53,55.20
94.00,353.54,55.20
95.00,353.54,55.20
96.00,353.55,55.20
97.00,353.56,55.20
98.00,353.57,55.20
99.00,353.57,55.20
100.00,353.58,55.20
101.00,353.59,55.20
102.00,353.59,55.20
103.00,353.60,55.20
104.00,353.61,55.20
105.00,353.62,55.20
106.00,353.62,55.19
107.00,353.63,55.19
108.00,353.64,55.19
109.00,353.64,55.19
110.00,353.65,55.19
111.00,353.66,55.19
112.00,353.67,55.18
113.00,353.68,55.18
114.00,353.69,55.17
115.00,353.70,55.17
116.00,353.72,55.17
117.00,353.73,55.16
118.00,353.74,55.16
119.00,353.75,55.15
120.00,353.76,55.15
121.00,353.77,55.14
122.00,353.79,55.14
123.00,353.80,55.13
124.00,353.81,55.13
125.00,353.82,55.12
126.00,353.84,55.11
127.00,353.85,55.11
128.00,353.86,55.10
129.00,353.88,55.10
130.00,353.89,55.09
131.00,353.90,55.08
132.00,353.91,55.08
133.00,353.93,55.07
134.00,353.94,55.06
135.00,353.95,55.06
136.00,353.96,55.05
137.00,353.97,55.04
138.00,353.99,55.03
139.00,354.00,55.03
140.00,354.01,55.02
141.00,354.01,55.01
142.00,354.01,55.00
143.00,354.01,54.99
144.00,354.01,54.98
145.00,354.01,54.98
146.00,354.02,54.97
147.00,354.02,54.96
148.00,354.02,54.95
