Depth,Azimuth,Dip
0,98.75,-79.64
1,98.75,-79.64
2,98.75,-79.64
3,98.75,-79.64
4,98.75,-79.64
5,98.75,-79.64
6,98.75,-79.64
7,98.75,-79.64
8,98.75,-79.64
9,98.75,-79.64
10,98.75,-79.64
11,98.75,-79.64
12,98.75,-79.64
13,98.75,-79.64
14,98.75,-79.64
15,98.75,-79.64
16,98.75,-79.64
17,98.75,-79.64
18,98.75,-79.64
19,98.75,-79.64
20,98.75,-79.64
21,98.75,-79.64
22,98.75,-79.64
23,98.75,-79.64
24,98.75,-79.64
25,98.75,-79.64
26,98.75,-79.64
27,98.75,-79.64
28,98.75,-79.64
29,98.75,-79.64
30,98.75,-79.64
31,98.75,-79.64
32,98.75,-79.64
33,98.75,-79.64
34,98.75,-79.64
35,98.75,-79.64
36,98.75,-79.64
37,98.75,-79.64
38,98.75,-79.64
39,98.75,-79.64
40,98.75,-79.64
41,98.75,-79.64
42,98.75,-79.64
43,98.75,-79.64
44,98.75,-79.64
45,98.75,-79.64
46,98.75,-79.64
47,98.75,-79.64
48,98.75,-79.64
49,98.75,-79.64
50,98.75,-79.64
51,98.75,-79.64
52,98.75,-79.64
53,98.75,-79.64
54,98.75,-79.64
55,98.75,-79.64
56,98.75,-79.64
57,98.75,-79.64
58,98.75,-79.64
59,98.75,-79.64
60,98.75,-79.64
61,98.82,-79.63
62,98.89,-79.63
63,98.96,-79.62
64,99.03,-79.62
65,99.10,-79.61
66,99.17,-79.61
67,99.24,-79.60
68,99.31,-79.59
69,99.38,-79.59
70,99.45,-79.58
71,99.43,-79.59
72,99.40,-79.59
73,99.38,-79.59
74,99.35,-79.59
75,99.33,-79.59
76,99.30,-79.59
77,99.28,-79.59
78,99.25,-79.59
79,99.23,-79.59
80,99.20,-79.59
81,99.23,-79.59
82,99.25,-79.59
83,99.28,-79.59
84,99.31,-79.59
85,99.33,-79.59
86,99.36,-79.58
87,99.39,-79.58
88,99.41,-79.58
89,99.44,-79.58
90,99.46,-79.58
91,99.57,-79.58
92,99.68,-79.59
93,99.79,-79.60
94,99.89,-79.61
95,100.00,-79.61
96,100.11,-79.62
97,100.22,-79.63
98,100.32,-79.64
99,100.43,-79.65
100,100.54,-79.65
101,100.19,-79.65
102,100.19,-79.65
103,100.19,-79.65
104,100.19,-79.65
105,100.19,-79.65
106,100.19,-79.65
107,100.19,-79.65
108,100.19,-79.65
109,100.19,-79.65
110,100.19,-79.65
111,100.19,-79.65
112,100.19,-79.65
113,100.19,-79.65
114,100.19,-79.65
115,100.19,-79.65
116,100.19,-79.65
117,100.19,-79.65
118,100.19,-79.65
119,100.19,-79.65
120,100.19,-79.65
121,100.19,-79.65
122,100.19,-79.65
123,100.19,-79.65
124,100.19,-79.65
125,100.19,-79.65
126,100.19,-79.65
127,100.19,-79.65
128,100.19,-79.65
129,100.19,-79.65
130,100.19,-79.65
131,100.19,-79.65
132,100.19,-79.65
133,100.19,-79.65
134,100.19,-79.65
135,100.19,-79.65
136,100.19,-79.65
137,100.19,-79.65
138,100.19,-79.65
139,100.19,-79.65
140,100.19,-79.65
141,100.19,-79.65
142,100.19,-79.65
143,100.19,-79.65
144,100.19,-79.65
145,100.19,-79.65
146,100.19,-79.65
147,100.19,-79.65
148,100.19,-79.65
149,100.19,-79.65
150,100.19,-79.65
