øÿ

Serial communication
Type 'h or ?' for help.

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2020/09/12 13:18      9752  0912
----A 2020/09/12 08:29    128640  09120814
----A 2020/09/12 08:46    128000  09120829
----A 2020/09/12 09:00    128640  09120845
----A 2020/09/12 09:15    128000  09120900
----A 2020/09/12 09:30    128640  09120915
----A 2020/09/12 09:46    128000  09120931
----A 2020/09/12 10:01    128640  09120946
----A 2020/09/12 10:18    128000  09121001
----A 2020/09/12 10:32    128640  09121017
----A 2020/09/12 10:47    128000  09121032
----A 2020/09/12 11:02    128640  09121047
----A 2020/09/12 11:18    128000  09121103
----A 2020/09/12 11:33    128640  09121118
----A 2020/09/12 11:50    128000  09121133
----A 2020/09/12 12:04    128640  09121149
----A 2020/09/12 12:19    128000  09121204
----A 2020/09/12 12:34    128640  09121219
----A 2020/09/12 12:50    128000  09121235
----A 2020/09/12 13:05    128640  09121250
----A 2020/09/12 13:07      2560  09121305

  21 File(s),   2450712 bytes total
   0 Dir(s),     998112K bytes free

/> 
read 0912
read 0912
<CR>Time:2020/09/12 13:07
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 59 50 75 18403 
8 0 5 73 19988 
8 0 20 75 20049 
8 0 35 75 20049 
8 0 50 75 20049 
8 1 5 75 20049 
8 1 20 75 20049 
8 1 35 75 20049 
8 1 50 75 20049 
8 2 5 75 20049 
8 2 20 75 20049 
8 2 35 75 20049 
8 2 50 75 20049 
8 3 5 75 20049 
8 3 20 75 20049 
8 3 35 75 20049 
8 3 50 75 20049 
8 4 5 75 20049 
8 4 20 75 20049 
8 4 35 75 20049 
8 4 50 75 20049 
8 5 5 75 20049 
8 5 20 75 20049 
8 5 35 75 20049 
8 5 50 75 20049 
8 6 5 74 20049 
8 6 20 75 20049 
8 6 35 75 20049 
8 6 50 75 20049 
8 7 5 75 20049 
8 7 20 75 20049 
8 7 35 75 20049 
8 7 50 75 20049 
8 8 5 75 20049 
8 8 20 75 20049 
8 8 35 75 20049 
8 8 50 75 20049 
8 9 5 75 20049 
8 9 20 75 20049 
8 9 35 75 20049 
8 9 50 75 20049 
8 10 5 75 20049 
8 10 20 75 20049 
8 10 35 75 20049 
8 10 50 75 20049 
8 11 5 75 20049 
8 11 20 75 20049 
8 11 35 75 20049 
8 11 50 75 20049 
8 12 5 75 20049 
8 12 20 75 20049 
8 12 35 75 20049 
8 12 50 75 20049 
8 13 5 75 20049 
8 13 20 75 20049 
8 13 35 75 20049 
8 13 50 75 20049 
8 14 5 75 20049 
8 15 10 75 20049 
8 15 25 75 20049 
8 15 40 75 20049 
8 15 55 75 20049 
8 16 10 75 20049 
8 16 25 75 20049 
8 16 40 75 20049 
8 16 55 75 20049 
8 17 10 75 20049 
8 17 25 75 20049 
8 17 40 75 20049 
8 17 55 75 20049 
8 18 10 75 20049 
8 18 25 75 20049 
8 18 40 75 20049 
8 18 55 75 20049 
8 19 10 75 20049 
8 19 25 75 20049 
8 19 40 75 20049 
8 19 55 75 20049 
8 20 10 75 20049 
8 20 25 75 20049 
8 20 40 75 20049 
8 20 55 75 20049 
8 21 10 75 20049 
