ls

ls
<CR>
         TIME          Size       File name 
----A 2020/08/27 23:59      8472  0827
----A 2020/09/08 23:59     14104  0908
----A 2020/09/08 16:04    128000  09081549
----A 2020/09/08 16:21    128000  09081606
----A 2020/09/08 16:38    128000  09081623
----A 2020/08/27 20:31    128000  08272016
----A 2020/08/27 20:50    128000  08272033
----A 2020/08/27 21:07    128000  08272050
----A 2020/08/27 21:22    128000  08272107
----A 2020/08/27 21:39    128000  08272124
----A 2020/08/27 21:58    128000  08272141
----A 2020/08/27 22:15    128000  08272158
----A 2020/08/27 22:30    128000  08272215
----A 2020/08/27 22:47    128000  08272232
----A 2020/08/27 23:06    128000  08272249
----A 2020/08/27 23:23    128000  08272306
----A 2020/08/27 23:38    128000  08272323
----A 2020/08/27 23:55    128000  08272340
----A 2020/08/28 00:14    128000  08272357
----A 2020/08/28 02:48      4664  0828
----A 2020/08/28 00:31    128000  08280014
----A 2020/08/28 00:46    128000  08280031
----A 2020/08/28 01:03    128000  08280048
----A 2020/08/28 01:22    128000  08280105
----A 2020/08/28 01:39    128000  08280122
----A 2020/08/28 01:54    128000  08280139
----A 2020/08/28 02:11    128000  08280156
----A 2020/08/28 02:30    128000  08280213
----A 2020/08/28 02:47    128000  08280230
----A 2020/08/28 02:47      2560  08280247
----A 2020/09/08 16:55    128000  09081640
----A 2020/09/08 17:12    128000  09081657
----A 2020/09/08 17:29    128000  09081714
----A 2020/09/08 17:46    128000  09081731
----A 2020/09/08 18:03    128000  09081748
----A 2020/09/08 18:20    128000  09081805
----A 2020/09/08 18:37    128000  09081822
----A 2020/09/08 18:54    128000  09081839
----A 2020/09/08 19:11    128000  09081856
----A 2020/09/08 19:28    128000  09081913
----A 2020/09/08 19:45    128000  09081930
----A 2020/09/08 20:02    128000  09081947
----A 2020/09/08 20:19    128000  09082004
----A 2020/09/08 20:36    128000  09082021
----A 2020/09/08 20:53    128000  09082038
----A 2020/09/08 21:10    128000  09082055
----A 2020/09/08 21:27    128000  09082112
----A 2020/09/08 21:44    128000  09082129
----A 2020/09/08 22:01    128000  09082146
----A 2020/09/08 22:18    128000  09082203
----A 2020/09/08 22:35    128000  09082220
----A 2020/09/08 22:52    128000  09082237
----A 2020/09/08 23:09    128000  09082254
----A 2020/09/08 23:26    128000  09082311
----A 2020/09/08 23:43    128000  09082328
----A 2020/09/09 00:01    128000  09082345
----A 2020/09/09 02:17      3792  0909
----A 2020/09/09 00:17    128000  09090002
----A 2020/09/09 00:35    128000  09090019
----A 2020/09/09 00:51    128000  09090036
----A 2020/09/09 01:09    128000  09090053
----A 2020/09/09 01:25    128000  09090110
----A 2020/09/09 01:43    128000  09090127
----A 2020/09/09 01:59    128000  09090144
----A 2020/09/09 02:17     58880  09090201
----A 2020/09/18 02:59        40  0918
----A 2020/09/17 11:47      6720  0917
----A 2020/09/17 08:27    128000  09170810
----A 2020/09/17 08:43    128000  09170826
----A 2020/09/17 08:59    128000  09170842
----A 2020/09/17 09:15    128000  09170858
----A 2020/09/17 09:31    128000  09170914
----A 2020/09/17 09:47    128000  09170930
----A 2020/09/17 10:03    128000  09170946
----A 2020/09/17 10:19    128000  09171002
----A 2020/09/17 10:35    128000  09171018
----A 2020/09/17 10:51    128000  09171034
----A 2020/09/17 11:07    128000  09171050
----A 2020/09/17 11:23    128000  09171106
----A 2020/09/17 11:39    128000  09171122
----A 2020/09/17 11:39      2560  09171138

  81 File(s),   9317792 bytes total
   0 Dir(s),     991168K bytes free

/> 
read 0917
read 0917
<CR>Time:2020/09/17 11:39
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 57 31 25 16009 
7 57 46 25 16009 
7 58 1 25 16009 
7 58 16 25 16009 
7 58 31 25 16009 
7 58 48 9 14619 
7 59 2 23 15405 
7 59 17 25 16069 
7 59 36 20 15888 
7 59 47 17 15828 
8 0 2 25 16069 
8 0 17 25 16069 
8 0 32 25 16069 
8 0 47 25 16069 
8 1 2 25 16069 
8 1 17 25 16069 
8 1 32 25 16069 
8 1 47 25 16069 
8 2 2 25 16069 
8 2 17 25 16069 
8 2 32 25 16069 
8 2 47 25 16069 
8 3 2 25 16009 
8 3 17 25 16069 
8 3 32 25 16069 
8 3 47 25 16069 
8 4 2 25 16069 
8 4 17 25 16069 
8 4 32 25 16069 
8 4 47 25 16069 
8 5 2 25 16069 
8 5 17 25 16069 
8 5 32 25 16069 
8 5 47 25 16069 
8 6 2 25 16069 
8 6 17 25 16069 
8 6 32 25 16069 
8 6 47 25 16069 
8 7 2 25 16069 
8 7 17 25 16069 
8 7 32 25 16069 
8 7 47 25 16069 
8 8 2 25 16069 
8 8 17 25 16069 
8 8 32 25 16069 
8 8 47 25 16069 
8 9 2 25 16069 
8 9 17 25 16069 
8 9 32 25 16069 
8 9 47 25 16069 
8 11 20 25 16069 
8 11 35 25 16069 
8 11 50 25 16069 
8 12 5 25 16069 
8 12 20 25 16069 
8 12 35 25 16069 
8 12 50 25 16069 
8 13 5 25 16069 
8 13 20 25 16069 
8 13 35 25 16069 
8 13 50 25 16069 
8 14 5 25 16069 
8 14 20 25 16069 
8 14 35 25 16069 
8 14 50 25 16069 
8 15 5 25 16069 
8 15 20 25 16069 
8 15 35 25 16069 
8 15 50 25 16069 
8 16 5 25 16069 
8 16 20 25 16069 
8 16 35 25 16069 
8 16 50 25 16069 
8 17 5 25 16069 
8 17 20 25 16069 
8 17 35 25 16069 
8 17 50 25 16069 
8 18 5 25 16069 
8 18 20 25 16069 
8 18 35 25 16069 
8 18 50 25 16069 
8 19 5 25 16069 
8 19 20 25 16069 
8 19 35 25 16069 
8 19 50 25 16069 
8 20 5 25 16069 
8 20 20 25 16069 
8 20 35 25 16069 
8 20 50 25 16069 
8 21 5 25 16069 
8 21 20 25 16069 
8 21 35 25 16069 
8 21 50 25 16069 
8 22 5 25 16069 
8 22 20 25 16069 
