HOLE-ID	DEPTH	AZ	DIP
718-3790	0	179.58	-82.85
718-3790	5	179.54	-82.69
718-3790	10	179.2	-82.58
718-3790	15	181.53	-82.85
718-3790	20	179.45	-82.66
718-3790	25	178.7	-82.33
718-3790	30	177.04	-81.96
718-3790	35	177.68	-81.69
718-3790	40	175.51	-81.47
718-3790	45	174.69	-81.17
718-3790	50	174.85	-80.86
718-3790	55	174.55	-80.36
718-3790	60	174.03	-79.72
718-3790	65	173.61	-79.38
718-3790	70	173.52	-79.28
718-3790	75	173.08	-79.35
718-3790	80	172.96	-79.34
718-3790	85	172.14	-79.28
718-3790	90	172.17	-79.22
718-3790	95	172.14	-79.17
718-3790	100	173.38	-79
718-3790	105	171.78	-79.02
718-3790	110	172.19	-79.12
718-3790	115	173.56	-78.95
718-3790	120	173.74	-78.88
718-3790	125	173.43	-78.91
718-3790	130	173.51	-78.9
718-3790	135	173.72	-78.86
718-3790	140	173.47	-78.83
718-3790	145	172.29	-78.69
718-3790	150	172.64	-78.6
718-3790	155	172.61	-78.51
718-3790	160	172.88	-78.51
718-3790	165	173.47	-78.46
718-3790	170	173.33	-78.42
718-3790	175	173.62	-78.65
718-3790	180	173.84	-78.6
718-3790	185	172.97	-78.39
