ls

ls
<CR>
         TIME          Size       File name 
----A 2020/01/28 09:31      2144  0128
----A 2020/01/28 08:44    128000  01280829
----A 2020/01/28 09:01    128000  01280846
----A 2020/01/28 09:19    128000  01280903
----A 2020/01/28 09:20      2560  01280920
----A 2020/01/29 15:51      8784  0129
----A 2020/01/29 07:09    128000  01290654
----A 2020/01/29 07:25    128000  01290710
----A 2020/01/29 07:41    128000  01290726
----A 2020/01/29 07:57    128000  01290742
----A 2020/01/29 08:13    128000  01290758
----A 2020/01/29 08:29    128000  01290814
----A 2020/01/29 08:45    128000  01290830
----A 2020/01/29 09:01    128000  01290846
----A 2020/01/29 09:17    128000  01290902
----A 2020/01/29 09:33    128000  01290918
----A 2020/01/29 09:49    128000  01290934
----A 2020/01/29 10:05    128000  01290950
----A 2020/01/29 10:21    128000  01291006
----A 2020/01/29 10:37    128000  01291022
----A 2020/01/29 10:53    128000  01291038
----A 2020/01/29 11:09    128000  01291054
----A 2020/01/29 11:25    128000  01291110
----A 2020/01/29 11:27      2560  01291126
----A 2020/01/30 17:05     14272  0130
----A 2020/01/30 09:31    128000  01300916
----A 2020/01/30 09:47    128000  01300932
----A 2020/01/30 10:03    128000  01300948
----A 2020/01/30 10:19    128000  01301004
----A 2020/01/30 10:35    128000  01301020
----A 2020/01/30 10:51    128000  01301036
----A 2020/01/30 11:07    128000  01301052
----A 2020/01/30 11:23    128000  01301108
----A 2020/01/30 11:39    128000  01301124
----A 2020/01/30 11:55    128000  01301140
----A 2020/01/30 12:11    128000  01301156
----A 2020/01/30 12:27    128000  01301212
----A 2020/01/30 12:43    128000  01301228
----A 2020/01/30 12:59    128000  01301244
----A 2020/01/30 13:15    128000  01301300
----A 2020/01/30 13:31    128000  01301316
----A 2020/01/30 13:47    128000  01301332
----A 2020/01/30 14:03    128000  01301348
----A 2020/01/30 14:19    128000  01301404
----A 2020/01/30 14:35    128000  01301420
----A 2020/01/30 14:51    128000  01301436
----A 2020/01/30 15:07    128000  01301452
----A 2020/01/30 15:23    128000  01301508
----A 2020/01/30 15:39    128000  01301524
----A 2020/01/30 15:55    128000  01301540
----A 2020/01/30 16:11    128000  01301556
----A 2020/01/30 16:27    128000  01301612
----A 2020/01/30 16:43    128000  01301628
----A 2020/01/30 16:59    128000  01301644
----A 2020/01/30 17:01      2560  01301700
----A 2020/01/31 10:03      3848  0131
----A 2020/01/31 07:57    128000  01310742
----A 2020/01/31 08:13    128000  01310758
----A 2020/01/31 08:29    128000  01310814
----A 2020/01/31 08:45     56960  01310830
----A 2020/01/31 09:31    128640  01310916
----A 2020/01/31 10:03     81920  01310932
----A 2021/05/08 11:59      8056  0508
----A 2021/05/08 07:39    128000  05080724
----A 2021/05/08 07:56    128000  05080741
----A 2021/05/08 08:13    128000  05080758
----A 2021/05/08 08:30    128000  05080815
----A 2021/05/08 08:47    128000  05080832
----A 2021/05/08 09:04    128000  05080849
----A 2021/05/08 09:21    128000  05080906
----A 2021/05/08 09:38    128000  05080923
----A 2021/05/08 09:55    128000  05080940
----A 2021/05/08 10:12    128000  05080957
----A 2021/05/08 10:29    128000  05081014
----A 2021/05/08 10:46    128000  05081031
----A 2021/05/08 11:03    128000  05081048
----A 2021/05/08 11:20    128000  05081105
----A 2021/05/08 11:37    128000  05081122
----A 2021/05/08 11:54    128000  05081139
----A 2021/05/08 11:56      2560  05081156
----A 2021/05/10 13:15     10328  0510
----A 2021/05/10 07:35    128000  05100720
----A 2021/05/10 07:54    128000  05100737
----A 2021/05/10 08:11    128000  05100754
