ls

ls
<CR>
         TIME          Size       File name 
----A 2021/05/07 10:23       720  0507
----A 2021/05/08 11:51      8056  0508
----A 2021/05/08 07:33    128000  05080717
----A 2021/05/08 07:49    128000  05080734
----A 2021/05/08 08:07    128000  05080751
----A 2021/05/08 08:23    128000  05080808
----A 2021/05/08 08:41    128000  05080825
----A 2021/05/08 08:57    128000  05080842
----A 2021/05/08 09:15    128000  05080859
----A 2021/05/08 09:31    128000  05080916
----A 2021/05/08 09:49    128000  05080933
----A 2021/05/08 10:05    128000  05080950
----A 2021/05/08 10:23    128000  05081007
----A 2021/05/08 10:39    128000  05081024
----A 2021/05/08 10:57    128000  05081041
----A 2021/05/08 11:13    128000  05081058
----A 2021/05/08 11:31    128000  05081115
----A 2021/05/08 11:47    128000  05081132
----A 2021/05/08 11:49      2560  05081149
----A 2021/05/10 13:10     10352  0510
----A 2021/05/10 07:29    128000  05100713
----A 2021/05/10 07:45    128000  05100730
----A 2021/05/10 08:03    128000  05100747
----A 2021/05/10 08:19    128000  05100804
----A 2021/05/10 08:37    128000  05100821
----A 2021/05/10 08:53    128000  05100838
----A 2021/05/10 09:11    128000  05100855
----A 2021/05/10 09:27    128000  05100912
----A 2021/05/10 09:45    128000  05100929
----A 2021/05/10 10:01    128000  05100946
----A 2021/05/10 10:19    128000  05101003
----A 2021/05/10 10:35    128000  05101020
----A 2021/05/10 10:53    128000  05101037
----A 2021/05/10 11:09    128000  05101054
----A 2021/05/10 11:27    128000  05101111
----A 2021/05/10 11:43    128000  05101128
----A 2021/05/10 12:01    128000  05101145
----A 2021/05/10 12:17    128000  05101202
----A 2021/05/10 12:35    128000  05101219
----A 2021/05/10 12:51    128000  05101236
----A 2021/05/10 12:53      2560  05101253
----A 2021/05/11 12:59      8368  0511
----A 2021/05/11 07:27    128000  05110711
----A 2021/05/11 07:43    128000  05110728
----A 2021/05/11 08:03    128000  05110745
----A 2021/05/11 08:03      2560  05110802
----A 2021/05/11 09:39    128000  05110924
----A 2021/05/11 09:57    128000  05110941
----A 2021/05/11 10:13    128000  05110958
----A 2021/05/11 10:31    128000  05111015
----A 2021/05/11 10:47    128000  05111032
----A 2021/05/11 11:05    128000  05111049
----A 2021/05/11 11:21    128000  05111106
----A 2021/05/11 11:39    128000  05111123
----A 2021/05/11 11:55    128000  05111140
----A 2021/05/11 12:13    128000  05111157
----A 2021/05/11 12:29    128000  05111214
----A 2021/05/11 12:47    128000  05111231
----A 2021/05/11 12:49      2560  05111248

  59 File(s),   6565736 bytes total
   0 Dir(s),     993920K bytes free

/> 
read 0511
read 0511
<CR>Time:2021/05/11 12:49
Hours Minutes Seconds  Nb_Samples    Aver. Current 
6 55 49 13 6258 
6 56 3 12 6744 
6 56 19 13 7717 
6 56 33 12 8506 
6 56 49 13 9114 
6 57 3 12 9539 
6 57 19 13 9722 
6 57 33 12 9843 
6 57 49 13 9843 
6 58 3 12 9904 
6 58 19 13 9904 
6 58 33 12 10086 
6 58 49 13 10026 
6 59 3 12 10208 
6 59 19 13 10086 
6 59 33 12 10086 
6 59 49 13 10086 
7 0 3 12 10086 
7 0 19 13 10086 
7 0 33 12 10086 
7 0 49 13 10086 
7 1 3 12 10086 
7 1 19 13 10086 
7 1 33 12 10086 
7 1 49 13 10086 
7 2 3 12 10086 
7 2 19 13 10086 
7 2 33 12 10086 
7 2 49 13 10086 
7 3 3 12 10086 
7 3 19 13 10086 
7 3 33 12 10086 
7 3 49 13 10086 
7 4 3 12 10086 
7 4 19 13 10086 
7 4 33 12 10086 
7 4 49 13 10086 
7 5 3 12 10086 
7 5 19 13 10086 
7 5 33 12 10086 
7 5 49 13 10086 
7 6 3 12 10086 
7 6 19 13 10086 
7 6 33 12 10086 
7 6 49 13 10086 
7 7 3 12 10086 
7 7 19 13 10086 
7 7 33 12 10086 
7 7 49 13 10086 
7 8 3 12 10086 
7 8 19 13 10086 
7 8 33 12 10086 
7 8 49 13 10086 
7 9 3 12 10086 
7 9 19 13 10086 
7 9 33 12 10086 
7 9 49 13 10086 
7 12 20 13 10086 
7 12 35 12 10086 
7 12 50 13 10086 
7 13 5 12 10086 
7 13 20 13 10086 
7 13 35 12 10086 
7 13 50 13 10086 
7 14 5 12 10086 
7 14 20 13 10086 
7 14 35 12 10086 
7 14 50 13 10086 
7 15 5 12 10086 
7 15 20 13 10086 
7 15 35 12 10086 
7 15 50 13 10086 
7 16 5 12 10086 
7 16 20 13 10086 
7 16 35 12 10086 
7 16 50 13 10086 
7 17 5 12 10086 
7 17 20 13 10086 
7 17 35 12 10086 
7 17 50 13 10086 
7 18 5 12 10086 
7 18 20 13 10086 
7 18 35 12 10086 
7 18 50 13 10086 
7 19 5 12 10086 
7 19 20 13 10086 
7 19 35 12 10086 
7 19 50 13 10086 
7 20 5 12 10086 
7 20 20 13 10086 
7 20 35 12 10086 
7 20 50 13 10086 
7 21 5 12 10086 
7 21 20 13 10086 
7 21 35 12 10086 
7 21 50 13 10086 
7 22 5 12 10086 
7 22 20 13 10086 
7 22 35 12 10086 
7 22 50 13 10086 
7 23 5 12 10086 
7 23 20 13 10086 
7 23 35 12 10086 
7 23 50 13 10086 
7 24 5 12 10086 
7 24 20 13 10086 
7 24 35 12 10086 
7 24 50 13 10086 
7 25 5 12 10086 
7 25 20 13 10086 
7 25 35 12 10086 
7 25 50 13 10086 
7 26 5 12 10086 
7 26 20 13 10086 
7 26 35 12 10086 
7 26 50 13 10086 
7 29 20 13 10086 
7 29 35 12 10086 
7 29 50 13 10086 
7 30 5 12 10086 
7 30 20 13 10086 
7 30 35 12 10086 
7 30 50 13 10086 
7 31 5 12 10086 
7 31 20 13 10086 
7 31 35 12 10086 
7 31 50 13 10086 
7 32 5 12 10086 
7 32 20 13 10086 
7 32 35 12 10086 
7 32 50 13 10086 
7 33 5 12 10086 
7 33 20 13 10086 
7 33 35 12 10086 
7 33 50 13 10086 
7 34 5 12 10086 
7 34 20 13 10086 
7 34 35 12 10086 
7 34 50 13 10086 
7 35 5 12 10086 
