h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/11/11 15:49       120  1111
----A 2021/11/12 11:09      4168  1112
----A 2021/11/12 09:19    128000  11120902
----A 2021/11/12 09:35    128000  11120918
----A 2021/11/12 09:51    128000  11120934
----A 2021/11/12 10:07    128000  11120950
----A 2021/11/12 10:23    128000  11121006
----A 2021/11/12 10:39    128000  11121022
----A 2021/11/12 10:55    128000  11121038
----A 2021/11/12 10:54      2560  11121054
----A 2021/11/13 12:21      5352  1113
----A 2021/11/03 13:15      7088  1103
----A 2021/11/13 09:37    128000  11130921
----A 2021/11/13 09:53    128000  11130937
----A 2021/11/13 10:09    128000  11130953
----A 2021/11/13 10:25    128000  11131009
----A 2021/11/13 10:41    128000  11131025
----A 2021/11/13 10:57    128000  11131041
----A 2021/11/13 11:13    128000  11131057
----A 2021/11/13 11:29    128000  11131113
----A 2021/11/13 11:45    128000  11131129
----A 2021/11/13 11:45      2560  11131145
----A 2021/11/03 12:39    128000  11031224
----A 2021/11/03 12:55    128000  11031240
----A 2021/11/03 13:11    128000  11031256
----A 2021/11/03 13:12      2560  11031312
----A 2021/11/04 12:39      6672  1104
----A 2021/11/04 09:23    128000  11040906
----A 2021/11/04 09:39    128000  11040922
----A 2021/11/04 09:55    128000  11040938
----A 2021/11/04 10:11    128000  11040954
----A 2021/11/04 10:27    128000  11041010
----A 2021/11/04 10:43    128000  11041026
----A 2021/11/04 10:59    128000  11041042
----A 2021/11/04 11:15    128000  11041058
----A 2021/11/04 11:31    128000  11041114
----A 2021/11/04 11:47    128000  11041130
----A 2021/11/04 12:03    128000  11041146
----A 2021/11/04 12:19    128000  11041202
----A 2021/11/04 12:35    128000  11041218
----A 2021/11/04 12:35      2560  11041234

  41 File(s),   4129640 bytes total
   0 Dir(s),     996336K bytes free

/> 
read 1113
read 1113
<CR>Time:2021/11/04 12:35
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 6 21 25 2702 
9 6 35 24 3303 
9 6 51 26 6486 
9 7 5 24 6726 
9 7 20 25 6726 
9 7 35 25 7867 
9 7 50 25 8828 
9 8 5 25 9669 
9 8 20 25 10030 
9 8 35 25 10210 
9 8 50 25 10510 
9 9 5 25 10570 
9 9 20 25 10570 
9 9 35 25 10570 
9 9 50 25 10570 
9 10 5 25 10570 
9 11 19 25 10570 
9 11 34 25 10570 
9 11 49 25 10570 
