ls

ls
<CR>
         TIME          Size       File name 
----A 2019/11/20 12:31      1640  1120
----A 2019/11/07 12:07      5416  1107
----A 2020/02/26 10:51      4952  0226
----A 2020/02/26 08:23    128000  02260808
----A 2020/02/26 08:43    128000  02260825
----A 2020/02/26 08:59    128000  02260842
----A 2020/02/26 09:15    128000  02260859
----A 2020/02/26 09:31    128000  02260916
----A 2019/11/07 11:03    128000  11071046
----A 2019/11/07 11:19    128000  11071103
----A 2019/11/07 11:35    128000  11071120
----A 2019/11/07 11:55    128000  11071137
----A 2019/11/07 11:55      2560  11071154
----A 2019/11/16 08:40       440  1116
----A 2019/11/20 09:10    128000  11200855
----A 2019/11/20 09:12      2560  11200912
----A 2020/02/26 09:51    128000  02260933
----A 2020/02/26 10:07    128000  02260950
----A 2020/02/26 10:23    128000  02261007
----A 2020/02/26 10:39    128000  02261024
----A 2020/02/26 10:43      2560  02261041
----A 2021/04/22 14:04     12120  0422
----A 2021/04/22 08:01    128640  04220746
----A 2021/04/22 08:17    128640  04220801
----A 2021/04/22 08:31    128640  04220816
----A 2021/04/22 08:46    128640  04220831
----A 2021/04/22 09:03    128640  04220846
----A 2021/04/22 09:19    128000  04220901
----A 2021/04/22 09:31    128640  04220916
----A 2021/04/22 09:47    128000  04220932
----A 2021/04/22 10:02    128640  04220947
----A 2021/04/22 10:17    128000  04221002
----A 2021/04/22 10:33    128640  04221017
----A 2021/04/22 10:47    128000  04221032
----A 2021/04/22 11:02    128640  04221047
----A 2021/04/22 11:19    128640  04221102
----A 2021/04/22 11:35    128640  04221117
----A 2021/04/22 11:47    128000  04221132
----A 2021/04/22 12:03    128640  04221148
----A 2021/04/22 12:18    128000  04221203
----A 2021/04/22 12:33    128640  04221218
----A 2021/04/22 12:49    128000  04221233
----A 2021/04/22 13:03    128640  04221248
----A 2021/04/22 13:18    128000  04221303
----A 2021/04/22 13:35    128640  04221318
----A 2021/04/22 13:51    128000  04221333
----A 2021/04/22 14:04    128640  04221349
----A 2021/04/22 14:04      2560  04221404
----A 2021/04/23 08:38      4696  0423
----A 2021/04/23 06:39    128000  04230622
----A 2021/04/23 06:55    128000  04230637
----A 2021/04/23 07:07    128000  04230652
----A 2021/04/23 07:23    128000  04230708
----A 2021/04/23 07:38    128000  04230723
----A 2021/04/23 07:53    128000  04230738
----A 2021/04/23 08:09    128000  04230753
----A 2021/04/23 08:23    128000  04230808
----A 2021/04/23 08:23      2560  04230823
----A 2021/05/18 14:10      5136  0518
----A 2021/05/18 11:54    128000  05181139
----A 2021/05/18 12:11    128000  05181154
----A 2021/05/18 12:27    128000  05181209
----A 2021/05/18 12:39    128000  05181224
----A 2021/05/18 12:55    128000  05181240
----A 2021/05/18 13:10    128000  05181255
----A 2021/05/18 13:25    128000  05181310
----A 2021/05/18 13:41    128000  05181325
----A 2021/05/18 13:55    128000  05181340
----A 2021/05/18 13:55      2560  05181355
----A 2021/05/19 11:25      5936  0519
----A 2021/05/19 08:46    128000  05190829
----A 2021/05/19 08:59    128000  05190844
----A 2021/05/19 09:15    128000  05190859
----A 2021/05/19 09:30    128000  05190915
----A 2021/05/19 09:45    128000  05190930
----A 2021/05/19 10:01    128000  05190945
----A 2021/05/19 10:15    128000  05191000
----A 2021/05/19 10:30    128000  05191015
----A 2021/05/19 10:47    128000  05191030
----A 2021/05/19 11:02    128000  05191045
----A 2021/05/19 11:15    128000  05191100
----A 2021/05/19 11:16      2560  05191116

  82 File(s),   8644496 bytes total
   0 Dir(s),     991760K bytes free

/> 
read o518
read o518
<CR>Command returned error code FR_NO_FILE

/> 
read o518read 0518
read o518read 0518
<CR>Command returned error code FR_NO_FILE

/> 
read 0518
read 0518
<CR>Time:2021/05/19 11:16
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 51 42 224 16437 
10 51 57 218 18020 
11 25 15 224 15098 
11 25 30 219 15098 
11 25 45 224 15098 
11 26 0 224 15098 
11 26 15 224 15098 
11 26 30 224 15098 
11 26 45 224 15098 
11 27 0 224 15098 
11 27 15 224 15098 
11 27 30 224 15098 
11 27 45 224 15098 
11 28 0 224 15098 
11 28 15 224 15098 
11 28 30 224 15098 
11 28 45 224 15098 
11 29 0 224 15098 
11 29 15 224 15098 
11 29 30 224 15098 
11 29 45 224 15098 
11 30 0 224 15098 
11 30 15 224 15098 
11 30 30 224 15098 
11 30 45 224 15098 
11 31 0 224 15098 
11 31 15 224 15098 
11 31 30 224 15098 
11 31 45 224 15098 
11 32 0 224 15098 
11 32 15 224 15098 
11 32 30 224 15098 
11 32 45 224 15098 
11 33 0 224 15098 
11 33 15 224 15098 
11 33 30 224 15098 
11 33 45 224 15098 
11 34 0 224 15098 
11 34 15 224 15098 
11 34 30 224 15098 
11 34 45 224 15098 
11 35 0 224 15098 
11 35 15 224 15098 
11 35 30 224 15098 
11 35 45 224 15098 
11 36 0 224 15098 
11 36 15 224 15098 
11 36 30 224 15098 
11 36 45 223 15098 
11 37 0 224 15098 
11 37 15 224 15098 
11 37 30 224 15098 
11 37 45 224 15098 
11 38 0 224 15098 
11 38 15 223 15098 
11 38 30 224 15098 
11 38 45 224 15098 
11 39 0 224 15098 
11 39 15 224 15098 
11 39 30 224 15098 
11 40 7 224 15098 
11 40 22 224 15098 
11 40 37 224 15098 
11 40 52 224 15098 
11 41 7 224 15098 
11 41 22 224 15098 
11 41 37 224 15098 
11 41 52 224 15098 
11 42 7 224 15098 
11 42 22 224 15098 
11 42 37 224 15098 
11 42 52 224 15098 
11 43 7 224 15098 
11 43 22 224 15098 
11 43 37 224 15098 
11 43 52 224 15098 
11 44 7 224 15098 
11 44 22 224 15098 
11 44 37 224 15098 
11 44 52 224 15098 
11 45 7 224 15098 
11 45 22 224 15098 
11 45 37 224 15098 
11 45 52 224 15098 
11 46 7 224 15098 
11 46 22 224 15098 
11 46 37 224 15098 
11 46 52 224 15098 
11 47 7 224 15098 
11 47 22 224 15098 
11 47 37 224 15098 
11 47 52 224 15098 
11 48 7 224 15098 
11 48 22 224 15098 
11 48 37 224 15098 
11 48 52 224 15098 
11 49 7 224 15098 
11 49 22 224 15098 
11 49 37 224 15098 
11 49 52 224 15098 
11 50 7 224 15098 
11 50 22 224 15098 
11 50 37 224 15098 
11 50 52 223 15098 
11 51 7 224 15098 
11 51 22 224 15098 
11 51 37 224 15098 
11 51 52 224 15098 
11 52 7 224 15098 
11 52 22 224 15098 
11 52 37 224 15098 
11 52 52 224 15098 
11 53 7 223 15098 
11 53 22 224 15098 
11 53 37 224 15098 
11 53 52 224 15098 
11 54 7 224 15098 
11 54 22 224 15098 
11 54 37 224 15098 
11 55 14 224 15098 
11 55 29 224 15098 
11 55 44 224 15098 
11 55 59 224 15098 
11 56 14 224 15098 
11 56 29 224 15098 
11 56 44 224 15098 
11 56 59 224 15098 
11 57 14 224 15098 
11 57 29 224 15098 
11 57 44 224 15098 
11 57 59 224 15098 
11 58 14 224 15098 
11 58 29 224 15098 
11 58 44 224 15098 
11 58 59 224 15098 
11 59 14 224 15098 
11 59 29 224 15098 
11 59 44 224 15098 
11 59 59 224 15098 
12 0 14 224 15098 
12 0 29 224 15098 
12 0 44 224 15098 
12 0 59 224 15098 
12 1 14 224 15098 
12 1 29 224 15098 
12 1 44 224 15098 
12 1 59 224 15098 
12 2 14 224 15098 
12 2 29 224 15098 
12 2 44 224 15098 
12 2 59 224 15098 
12 3 14 224 15098 
12 3 29 224 15098 
12 3 44 224 15098 
12 3 59 224 15098 
12 4 14 224 15098 
12 4 29 224 15098 
12 4 44 224 15098 
12 4 59 224 15098 
12 5 14 224 15098 
12 5 29 224 15098 
12 5 44 224 15098 
12 5 59 223 15098 
12 6 14 223 15098 
12 6 29 224 15098 
12 6 44 224 15098 
12 6 59 224 15098 
12 7 14 224 15098 
12 7 29 224 15098 
12 7 44 224 15098 
12 7 59 224 15098 
12 8 14 224 15098 
12 8 29 224 15098 
12 8 44 224 15098 
12 8 59 224 15098 
12 9 14 224 15098 
12 9 29 224 15098 
12 9 44 224 15098 
12 10 21 224 15098 
12 10 36 224 15098 
12 10 51 224 15098 
12 11 6 224 15098 
12 11 21 224 15098 
12 11 36 224 15098 
12 11 51 224 15098 
12 12 6 224 15098 
12 12 21 224 15098 
12 12 36 224 15098 
12 12 51 224 15098 
12 13 6 224 15098 
12 13 21 224 15098 
12 13 36 224 15098 
12 13 51 224 15098 
12 14 6 224 15098 
12 14 21 224 15098 
12 14 36 224 15098 
12 14 51 224 15098 
12 15 6 224 15098 
12 15 21 224 15098 
12 15 36 224 15098 
12 15 51 224 15098 
12 16 6 224 15098 
12 16 21 224 15098 
12 16 36 224 15098 
12 16 51 224 15098 
12 17 6 224 15098 
12 17 21 224 15098 
12 17 36 224 15098 
12 17 51 224 15098 
12 18 6 224 15098 
12 18 21 224 15098 
12 18 36 224 15098 
12 18 51 224 15098 
12 19 6 224 15098 
12 19 21 223 15098 
12 19 36 224 15098 
12 19 51 224 15098 
12 20 6 224 15098 
12 20 21 224 15098 
12 20 36 224 15098 
12 20 51 224 15098 
12 21 6 224 15098 
12 21 21 224 15098 
12 21 36 224 15098 
12 21 51 224 15098 
12 22 6 223 15098 
12 22 21 224 15098 
12 22 36 224 15098 
12 22 51 224 15098 
12 23 6 224 15098 
12 23 21 224 15098 
12 23 36 224 15098 
12 23 51 224 15098 
12 24 6 224 15098 
12 24 21 224 15098 
12 24 36 224 15098 
12 24 51 224 15098 
12 25 28 224 15098 
12 25 43 223 15098 
12 25 58 224 15098 
12 26 13 224 15098 
12 26 28 224 15098 
12 26 43 224 15098 
12 26 58 224 15098 
12 27 13 224 15098 
12 27 28 224 15098 
12 27 43 224 15098 
12 27 58 224 15098 
12 28 13 224 15098 
12 28 28 224 15098 
12 28 43 224 15098 
12 28 58 224 15098 
12 29 13 224 15098 
12 29 28 224 15098 
12 29 43 224 15098 
12 29 58 224 15098 
12 30 13 224 15098 
12 30 28 224 15098 
12 30 43 224 15098 
12 30 58 224 15098 
12 31 13 224 15098 
12 31 28 224 15098 
12 31 43 224 15098 
12 31 58 224 15098 
12 32 13 224 15098 
12 32 28 223 15098 
12 32 43 224 15098 
12 32 58 224 15098 
12 33 13 224 15098 
12 33 28 224 15098 
12 33 43 224 15098 
12 33 58 224 15098 
12 34 13 224 15098 
12 34 28 224 15098 
12 34 43 224 15098 
12 34 58 224 15098 
12 35 13 224 15098 
12 35 28 224 15098 
12 35 43 224 15098 
12 35 58 224 15098 
12 36 13 224 15098 
12 36 28 224 15098 
12 36 43 224 15098 
12 36 58 224 15098 
12 37 13 224 15098 
12 37 28 224 15098 
12 37 43 224 15098 
12 37 58 224 15098 
12 38 13 224 15098 
12 38 28 224 15098 
12 38 43 224 15098 
12 38 58 224 15098 
12 39 13 224 15098 
12 39 28 224 15098 
12 39 43 224 15098 
12 39 58 224 15098 
12 40 35 224 15098 
12 40 50 224 15098 
12 41 5 224 15098 
12 41 20 224 15098 
12 41 35 223 15098 
12 41 50 224 15098 
12 42 5 224 15098 
12 42 20 224 15098 
12 42 35 224 15098 
12 42 50 224 15098 
12 43 5 224 15098 
12 43 20 224 15098 
12 43 35 224 15098 
12 43 50 224 15098 
12 44 5 224 15098 
12 44 20 224 15098 
12 44 35 224 15098 
12 44 50 224 15098 
12 45 5 224 15098 
12 45 20 224 15098 
12 45 35 223 15098 
12 45 50 224 15098 
12 46 5 224 15098 
12 46 20 224 15098 
12 46 35 224 15098 
12 46 50 224 15098 
12 47 5 224 15098 
12 47 20 224 15098 
12 47 35 224 15098 
12 47 50 224 15098 
12 48 5 224 15098 
12 48 20 224 15098 
12 48 35 224 15098 
12 48 50 224 15098 
12 49 5 224 15098 
12 49 20 224 15098 
12 49 35 224 15098 
12 49 50 224 15098 
12 50 5 224 15098 
12 50 20 224 15098 
12 50 35 224 15098 
12 50 50 224 15098 
12 51 5 224 15098 
12 51 20 224 15098 
12 51 35 224 15098 
12 51 50 224 15098 
12 52 5 224 15098 
12 52 20 224 15098 
12 52 35 224 15098 
12 52 50 224 15098 
12 53 5 224 15098 
12 53 20 224 15098 
12 53 35 224 15098 
12 53 50 224 15098 
12 54 5 224 15098 
12 54 20 224 15098 
12 54 35 224 15098 
12 54 50 224 15098 
12 55 5 224 15098 
12 55 42 224 15098 
12 55 57 223 15098 
12 56 12 224 15098 
12 56 27 224 15098 
12 56 42 224 15098 
12 56 57 224 15098 
12 57 12 224 15098 
12 57 27 224 15098 
12 57 42 224 15098 
12 57 57 224 15098 
12 58 12 224 15098 
12 58 27 224 15098 
12 58 42 223 15098 
12 58 57 224 15098 
12 59 12 224 15098 
12 59 27 224 15098 
12 59 42 224 15098 
12 59 57 224 15098 
13 0 12 224 15098 
13 0 27 224 15098 
13 0 42 224 15098 
13 0 57 224 15098 
13 1 12 224 15098 
13 1 27 224 15098 
13 1 42 224 15098 
13 1 57 224 15098 
13 2 12 224 15098 
13 2 27 224 15098 
13 2 42 224 15098 
13 2 57 224 15098 
13 3 12 224 15098 
13 3 27 224 15098 
13 3 42 224 15098 
13 3 57 224 15098 
13 4 12 224 15098 
13 4 27 224 15098 
13 4 42 224 15098 
13 4 57 224 15098 
13 5 12 224 15098 
13 5 27 224 15098 
13 5 42 224 15098 
13 5 57 224 15098 
13 6 12 224 15098 
13 6 27 224 15098 
13 6 42 224 15098 
13 6 57 224 15098 
13 7 12 224 15098 
13 7 27 224 15098 
13 7 42 224 15098 
13 7 57 224 15098 
13 8 12 224 15098 
13 8 27 224 15098 
13 8 42 224 15098 
13 8 57 224 15098 
13 9 12 224 15098 
13 9 27 224 15098 
13 9 42 224 15098 
13 9 57 224 15098 
13 10 12 224 15098 
13 10 49 224 15098 
13 11 4 224 15098 
13 11 19 224 15098 
13 11 34 224 15098 
13 11 49 223 15098 
13 12 4 223 15098 
13 12 19 224 15098 
13 12 34 224 15098 
13 12 49 224 15098 
13 13 4 224 15098 
13 13 19 224 15098 
13 13 34 224 15098 
13 13 49 224 15098 
13 14 4 224 15098 
13 14 19 224 15098 
13 14 34 224 15098 
13 14 49 224 15098 
13 15 4 224 15098 
13 15 19 224 15098 
13 15 34 224 15098 
13 15 49 224 15098 
13 16 4 224 15098 
13 16 19 224 15098 
13 16 34 224 15098 
13 16 49 224 15098 
13 17 4 224 15098 
13 17 19 224 15098 
