ls
<CR>
         TIME          Size       File name 
----A 2020/11/06 15:58      5672  1106
----A 2020/11/06 13:23    128640  11061308
----A 2020/11/06 13:39    128000  11061323
----A 2020/11/06 13:54    128640  11061339
----A 2020/11/06 14:09    128000  11061354
----A 2020/11/06 14:25    128640  11061409
----A 2020/11/06 14:39    128000  11061424
----A 2020/11/06 14:54    128640  11061439
----A 2020/11/06 15:11    128640  11061454
----A 2020/11/06 15:26    128640  11061509
----A 2020/11/06 15:39    128000  11061524
----A 2020/11/06 15:55    128640  11061540
----A 2020/11/06 15:55      2560  11061555

  13 File(s),   1420712 bytes total
   0 Dir(s),     999136K bytes free

/> 
read 1106
<CR>Time:2020/11/06 15:55
Hours Minutes Seconds  Nb_Samples    Aver. Current 
13 56 45 223 11767 
13 57 0 219 11951 
12 55 28 90 11522 
12 55 43 224 11951 
12 55 58 224 12013 
12 56 13 224 12013 
12 56 28 224 12013 
12 56 43 224 12013 
12 56 58 224 12013 
12 57 13 224 12013 
12 57 28 224 12013 
12 57 43 224 12013 
12 57 58 224 12013 
12 58 13 224 12013 
12 58 28 224 12013 
12 58 43 224 12013 
12 58 58 224 12013 
12 59 13 224 12013 
12 59 28 224 12013 
12 59 43 224 12013 
12 59 58 224 12013 
13 0 13 224 12013 
13 0 28 224 12013 
13 0 43 224 12013 
13 0 58 224 12013 
13 1 13 224 12013 
13 1 28 224 12013 
13 1 43 224 12013 
13 1 58 224 12013 
13 2 13 224 12013 
13 2 28 224 12013 
13 2 43 224 12013 
13 2 58 224 12013 
13 3 13 224 12013 
13 3 28 224 12013 
13 3 43 224 12013 
13 3 58 224 12013 
13 4 13 224 12013 
13 4 28 224 12013 
13 4 43 224 12013 
13 4 58 224 12013 
13 5 13 224 12013 
13 5 28 224 12013 
13 5 43 224 12013 
13 5 58 224 12013 
13 6 13 224 12013 
13 6 28 224 12013 
13 6 43 224 12013 
13 6 58 224 12013 
13 7 13 224 12013 
13 7 28 224 12013 
13 7 43 224 12013 
13 7 58 224 12013 
13 8 13 224 12013 
13 8 28 224 12013 
13 8 43 224 12013 
13 9 35 224 12013 
13 9 50 224 12013 
13 10 5 224 12013 
13 10 20 224 12013 
13 10 35 224 12013 
13 10 50 224 12013 
13 11 5 224 12013 
13 11 20 224 12013 
13 11 35 224 12013 
13 11 50 224 12013 
13 12 5 224 12013 
13 12 20 224 12013 
13 12 35 224 12013 
13 12 50 224 12013 
13 13 5 224 12013 
13 13 20 224 12013 
13 13 35 224 12013 
13 13 50 224 12013 
13 14 5 224 12013 
13 14 20 224 12013 
13 14 35 224 12013 
13 14 50 224 12013 
13 15 5 224 12013 
13 15 20 224 12013 
13 15 35 224 12013 
13 15 50 224 12013 
13 16 5 224 12013 
13 16 20 224 12013 
13 16 35 224 12013 
13 16 50 224 12013 
13 17 5 224 12013 
13 17 20 224 12013 
13 17 35 224 12013 
13 17 50 224 12013 
13 18 5 224 12013 
13 18 20 224 12013 
13 18 35 224 12013 
13 18 50 224 12013 
13 19 5 224 12013 
13 19 20 224 12013 
13 19 35 224 12013 
13 19 50 224 12013 
13 20 5 224 12013 
13 20 20 224 12013 
13 20 35 224 12013 
13 20 50 224 12013 
13 21 5 224 12013 
13 21 20 224 12013 
13 21 35 224 12013 
13 21 50 224 12013 
13 22 5 224 12013 
13 22 20 224 12013 
13 22 35 224 12013 
13 22 50 224 12013 
13 23 5 224 12013 
13 23 20 224 12013 
13 23 35 224 12013 
13 23 50 224 12013 
13 24 27 224 12013 
13 24 42 224 12013 
13 24 57 224 12013 
13 25 12 224 12013 
13 25 27 224 12013 
13 25 42 224 12013 
13 25 57 224 12013 
13 26 12 224 12013 
13 26 27 224 12013 
13 26 42 224 12013 
13 26 57 224 12013 
13 27 12 224 12013 
13 27 27 224 12013 
13 27 42 224 12013 
13 27 57 224 12013 
13 28 12 224 12013 
13 28 27 224 12013 
13 28 42 224 12013 
13 28 57 224 12013 
13 29 12 224 12013 
13 29 27 224 12013 
13 29 42 224 12013 
13 29 57 224 12013 
13 30 12 224 12013 
13 30 27 224 12013 
13 30 42 224 12013 
13 30 57 224 12013 
13 31 12 224 12013 
13 31 27 224 12013 
