
<CR>
         TIME          Size       File name 
----A 2021/04/04 10:35      3864  0404
----A 2021/04/04 08:59    128640  04040843
----A 2021/04/04 09:14    128640  04040859
----A 2021/04/04 09:29    128640  04040914
----A 2021/04/04 09:44    128000  04040929
----A 2021/04/04 09:59    128640  04040944
----A 2021/04/04 10:15    128000  04040959
----A 2021/04/04 10:31    128640  04041014
----A 2021/04/04 10:31      2560  04041029
----A 2021/04/05 13:34     10608  0405
----A 2021/04/05 08:15    128640  04050800
----A 2021/04/05 08:30    128000  04050815
----A 2021/04/05 08:45    128640  04050830
----A 2021/04/05 09:01    128640  04050845
----A 2021/04/05 09:15    128000  04050900
----A 2021/04/05 09:30    128640  04050915
----A 2021/04/05 09:47    128640  04050930
----A 2021/04/05 10:03    128640  04050945
----A 2021/04/05 10:16    128000  04051001
----A 2021/04/05 10:31    128640  04051016
----A 2021/04/05 10:47    128640  04051031
----A 2021/04/05 11:01    128640  04051046
----A 2021/04/05 11:18    128000  04051101
----A 2021/04/05 11:31    128640  04051116
----A 2021/04/05 11:46    128000  04051131
----A 2021/04/05 12:03    128640  04051146
----A 2021/04/05 12:17    128000  04051202
----A 2021/04/05 12:32    128640  04051217
----A 2021/04/05 12:47    128000  04051232
----A 2021/04/05 13:03    128640  04051247
----A 2021/04/05 13:17    128000  04051302
----A 2021/04/05 13:34    128640  04051317
----A 2021/04/05 13:34      2560  04051332
----A 2021/04/11 15:41      1032  0411
----A 2021/04/11 15:31    128640  04111516
----A 2021/04/11 15:31      2560  04111531
----A 2020/04/15 15:15     13288  0415
----A 2020/04/15 08:35    128640  04150820
----A 2020/04/15 08:50    128000  04150835
----A 2020/04/15 09:05    128640  04150850
----A 2020/04/15 09:21    128000  04150905
----A 2020/04/15 09:35    129920  04150920
----A 2020/04/15 09:50    128640  04150935
----A 2020/04/15 10:07    128640  04150950
----A 2020/04/15 10:23    128640  04151005
----A 2020/04/15 10:36    128640  04151021
----A 2020/04/15 10:51    128000  04151036
----A 2020/04/15 11:06    128640  04151051
----A 2020/04/15 11:21    128000  04151106
----A 2020/04/15 11:37    128640  04151121
----A 2020/04/15 11:51    128000  04151136
----A 2020/04/15 12:06    128640  04151151
----A 2020/04/15 12:23    128000  04151206
----A 2020/04/15 12:39    128640  04151221
----A 2020/04/15 12:52    128000  04151237
----A 2020/04/15 13:07    128640  04151252
----A 2020/04/15 13:23    128000  04151307
----A 2020/04/15 13:37    128640  04151322
----A 2020/04/15 13:54    128000  04151337
----A 2020/04/15 14:07    128640  04151352
----A 2020/04/15 14:23    128000  04151407
----A 2020/04/15 14:39    128640  04151422
----A 2020/04/15 14:53    128000  04151438
----A 2020/04/15 15:08    128640  04151453
----A 2020/04/15 15:09      2560  04151508

  65 File(s),   7359352 bytes total
   0 Dir(s),     993152K bytes free

/> 
read_ramp 04151121
<CR>Time:2020/04/15 15:09Ramp data first polarity: 
262 261 261 262 261 261 262 261 261 262 261 261 262 262 261 261 261 261 261 262 261 263 261 261 262 261 261 262 262 261 262 262 261 262 261 261 262 262 261 262 262 261 262 261 261 263 261 261 262 261 261 262 262 261 262 261 261 262 261 261 261 262 262 264 257 262 266 267 267 270 271 273 275 276 277 279 281 281 284 284 286 288 289 291 292 294 294 297 298 299 302 302 304 305 306 308 310 311 311 314 315 316 318 319 321 323 324 325 327 328 329 331 332 333 336 337 338 339 340 342 344 345 346 348 349 350 352 354 355 357 357 358 360 361 363 365 365 367 369 370 371 373 374 375 377 377 379 381 381 383 383 386 387 389 389 390 393 394 395 397 398 399 401 402 403 405 405 407 409 409 411 412 413 415 417 418 419 422 421 422 424 425 427 428 429 430 433 433 434 436 437 437 440 441 442 443 444 445 447 447 449 452 452 453 455 456 457 458 459 460 463 463 464 466 466 468 470 470 472 473 474 475 477 477 479 481 482 483 484 485 486 488 489 490 492 492 493 495 496 497 499 500 500 502 503 503 505 505 505 506 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0415
<CR>Time:2020/04/15 15:09
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 1 39 224 9980 
8 1 54 219 11695 
8 2 9 224 15185 
8 2 24 224 15920 
8 2 39 224 15981 
8 2 54 224 15736 
8 3 9 224 15124 
8 7 41 224 15063 
8 7 56 224 15002 
8 8 11 224 15002 
8 8 26 224 15002 
8 8 41 224 15002 
8 8 56 224 15002 
8 9 11 224 15002 
8 9 26 224 15002 
8 9 41 224 15002 
8 9 56 224 15002 
8 10 11 224 15002 
8 10 26 224 15002 
8 10 41 224 15002 
8 10 56 223 15002 
8 11 11 224 15002 
8 11 26 224 15002 
8 11 41 224 15002 
8 11 56 224 15002 
8 12 11 224 15002 
8 12 26 224 15002 
8 12 41 224 15002 
8 12 56 224 15002 
8 13 11 224 15002 
8 13 26 224 15002 
8 13 41 224 15002 
8 13 56 224 15002 
8 14 11 224 15002 
8 14 26 224 15002 
8 14 41 224 15002 
8 14 56 224 15002 
8 15 11 224 15002 
8 15 26 224 15002 
8 15 41 224 15002 
8 15 56 224 15002 
8 16 11 224 15002 
8 16 26 224 15002 
8 16 41 224 15002 
8 16 56 224 15002 
8 17 11 224 15002 
8 17 26 224 15002 
8 17 41 224 15002 
8 17 56 224 15002 
8 18 11 224 15002 
8 18 26 224 15002 
8 18 41 224 15002 
8 18 56 224 15002 
8 19 11 224 15002 
8 19 26 224 15002 
8 19 41 224 15002 
8 19 56 224 15002 
8 20 48 224 14940 
8 21 3 224 14940 
8 21 18 224 14940 
8 21 33 224 14940 
8 21 48 224 14940 
8 22 3 224 14940 
8 22 18 224 14940 
8 22 33 224 14940 
8 22 48 224 14940 
8 23 3 224 14940 
8 23 18 224 14940 
8 23 33 224 14940 
8 23 48 224 14940 
8 24 3 224 14940 
8 24 18 224 14940 
8 24 33 224 14940 
8 24 48 224 14940 
8 25 3 224 14940 
8 25 18 224 14940 
8 25 33 224 14940 
8 25 48 224 14940 
8 26 3 223 14940 
8 26 18 224 14940 
8 26 33 224 14940 
8 26 48 224 14940 
8 27 3 224 14940 
8 27 18 224 14940 
8 27 33 224 14940 
8 27 48 224 14940 
8 28 3 224 14940 
8 28 18 224 14940 
8 28 33 224 14940 
8 28 48 224 14940 
8 29 3 224 14940 
8 29 18 224 14940 
8 29 33 224 14940 
8 29 48 224 14940 
8 30 3 224 14940 
8 30 18 224 14940 
8 30 33 224 14940 
8 30 48 224 14940 
8 31 3 224 14940 
8 31 18 224 14940 
8 31 33 224 14940 
8 31 48 224 14940 
8 32 3 224 14940 
8 32 18 224 14940 
8 32 33 224 14940 
8 32 48 224 14940 
8 33 3 224 14940 
8 33 18 224 14940 
8 33 33 224 14940 
