

/> 
read_ramp 04161112
<CR>Time:2020/04/16 14:14Ramp data first polarity: 
745 746 745 745 745 745 745 746 745 744 746 745 746 746 745 745 746 746 744 746 746 745 746 745 745 746 745 745 745 745 745 746 745 745 746 745 746 745 745 746 745 745 745 746 745 745 745 745 746 745 745 745 745 745 745 746 745 745 745 745 745 745 745 745 746 745 741 739 741 738 735 733 733 731 730 727 727 725 724 723 721 720 718 717 715 714 713 711 710 708 707 706 704 703 701 701 699 698 696 695 693 692 690 689 687 686 685 684 682 681 679 678 677 674 674 671 672 669 668 667 666 665 663 661 660 659 658 656 655 653 653 651 649 648 647 645 644 643 641 640 639 637 637 635 633 632 630 629 629 627 626 625 623 621 621 618 618 616 615 614 612 612 610 610 608 606 606 603 602 601 599 599 598 596 594 594 592 591 589 588 588 586 585 584 582 581 580 578 577 577 574 573 573 571 570 568 567 566 565 563 562 561 559 558 557 555 554 554 552 551 550 549 547 548 545 544 543 541 540 540 538 536 536 534 532 532 530 529 528 527 526 525 523 522 522 519 519 519 516 515 514 513 511 511 510 508 508 506 506 506 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0416
<CR>Time:2020/04/16 14:14
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 56 36 224 13103 
7 56 51 219 14757 
7 58 17 224 15124 
7 58 32 224 15124 
7 58 47 224 15124 
7 59 2 224 15124 
7 59 17 224 15124 
7 59 32 224 15124 
7 59 47 224 15124 
8 0 2 224 15124 
8 0 17 224 15124 
8 0 32 224 15124 
8 0 47 224 15124 
8 1 2 223 15124 
8 1 17 224 15124 
8 1 32 224 15124 
8 1 47 224 15124 
8 2 2 224 15124 
8 2 17 224 15124 
8 2 32 224 15063 
8 2 47 224 15063 
8 3 2 224 15063 
8 3 17 224 15063 
8 3 32 224 15063 
8 3 47 224 15063 
8 4 2 224 15063 
8 4 17 224 15063 
8 4 32 224 15063 
8 4 47 224 15063 
8 5 2 224 15063 
8 5 17 224 15063 
8 5 32 224 15063 
8 5 47 224 15063 
8 6 2 224 15063 
8 6 17 224 15063 
8 6 32 224 15063 
8 6 47 224 15063 
8 7 2 224 15063 
8 7 17 224 15063 
8 7 32 224 15063 
8 7 47 224 15063 
8 8 2 224 15063 
8 8 17 224 15063 
8 8 32 224 15063 
8 8 47 224 15063 
8 9 2 224 15063 
8 9 17 224 15063 
8 9 32 224 15063 
8 9 47 224 15063 
8 10 2 224 15063 
8 10 17 224 15063 
8 10 32 224 15063 
8 10 47 224 15063 
8 11 2 224 15063 
8 11 54 224 15063 
8 12 9 224 15063 
8 12 24 224 15063 
8 12 39 224 15063 
8 12 54 224 15063 
8 13 9 224 15063 
8 13 24 224 15063 
8 13 39 224 15063 
8 13 54 224 15063 
8 14 9 224 15063 
8 14 24 224 15063 
8 14 39 224 15063 
8 14 54 224 15063 
8 15 9 224 15063 
8 15 24 224 15063 
8 15 39 224 15063 
8 15 54 224 15063 
8 16 9 224 15063 
8 16 24 224 15063 
8 16 39 224 15063 
8 16 54 224 15063 
8 17 9 224 15063 
8 17 24 224 15063 
8 17 39 224 15063 
8 17 54 224 15063 
8 18 9 224 15063 
8 18 24 224 15063 
8 18 39 224 15063 
8 18 54 224 15002 
8 19 9 224 15063 
8 19 24 224 15063 
8 19 39 224 15063 
8 19 54 224 15002 
8 20 9 224 15002 
8 20 24 224 15002 
8 20 39 224 15002 
8 20 54 224 15002 
8 21 9 224 15002 
8 21 24 224 15002 
8 21 39 224 15002 
8 21 54 224 15002 
8 22 9 224 15002 
8 22 24 224 15002 
8 22 39 224 15002 
8 22 54 224 15002 
8 23 9 224 15002 
8 23 24 224 15002 
8 23 39 223 15002 
8 23 54 224 15002 
8 24 9 224 15002 
8 24 24 224 15002 
8 24 39 224 15002 
8 24 54 224 15002 
8 25 9 224 15002 
8 25 24 224 15002 
8 25 39 224 15002 
8 25 54 224 15002 
8 26 9 224 15002 
8 26 46 224 15002 
8 27 1 224 15002 
8 27 16 224 15002 
8 27 31 224 15002 
8 27 46 224 15002 
8 28 1 224 15002 
8 28 16 224 15002 
8 28 31 224 15002 
8 28 46 224 15002 
8 29 1 224 15002 
8 29 16 224 15002 
8 29 31 224 15002 
8 29 46 224 15002 
8 30 1 224 15002 
8 30 16 224 15002 
8 30 31 224 15002 
8 30 46 224 15002 
8 31 1 224 15002 
8 31 16 224 15002 
8 31 31 224 15002 
8 31 46 224 15002 
8 32 1 224 15002 
8 32 16 224 15002 
8 32 31 224 15002 
8 32 46 224 15002 
8 33 1 224 15002 
8 33 16 224 15002 
8 33 31 224 15002 
8 33 46 224 15002 
8 34 1 224 15002 
8 34 16 224 15002 
8 34 31 224 15002 
8 34 46 224 15002 
8 35 1 224 15002 
8 35 16 224 15002 
8 35 31 224 15002 
8 35 46 224 15002 
8 36 1 224 15002 
8 36 16 224 15002 
8 36 31 224 15002 
8 36 46 224 15002 
8 37 1 224 15002 
8 37 16 224 15002 
8 37 31 224 15002 
8 37 46 224 15002 
8 38 1 224 15002 
8 38 16 224 15002 
8 38 31 224 15002 
8 38 46 224 15002 
8 39 1 224 15002 
8 39 16 224 15002 
8 39 31 224 15002 
8 39 46 224 15002 
8 40 1 224 15002 
8 40 16 224 15002 
8 40 31 224 15002 
8 40 46 224 15002 
8 41 1 224 15002 
8 41 16 224 15002 
8 42 8 224 15002 
8 42 23 224 15002 
8 42 38 224 15002 
8 42 53 224 15002 
8 43 8 223 15002 
8 43 23 224 15002 
8 43 38 224 15002 
8 43 53 224 15002 
8 44 8 224 15002 
8 44 23 224 15002 
8 44 38 224 15002 
8 44 53 224 15002 
8 45 8 224 15002 
8 45 23 224 15002 
8 45 38 224 15002 
8 45 53 224 14940 
8 46 8 224 15002 
8 46 23 224 15002 
8 46 38 224 15002 
8 46 53 224 15002 
8 47 8 224 15002 
8 47 23 224 15002 
8 47 38 224 14940 
8 47 53 224 15002 
8 48 8 224 14940 
8 48 23 224 14940 
8 48 38 224 15002 
8 48 53 224 15002 
8 49 8 224 14940 
8 49 23 224 14940 
8 49 38 224 14940 
8 49 53 224 14940 
8 50 8 224 14940 
8 50 23 224 14940 
8 50 38 224 14940 
8 50 53 224 14940 
8 51 8 224 14940 
8 51 23 224 14940 
8 51 38 224 14940 
8 51 53 224 14940 
8 52 8 224 14940 
8 52 23 224 14940 
8 52 38 224 14940 
8 52 53 224 14940 
8 53 8 224 14940 
8 53 23 224 14940 
8 53 38 224 14940 
8 53 53 224 14940 
8 54 8 224 14940 
8 54 23 224 14940 
8 54 38 224 14940 
8 54 53 224 14940 
8 55 8 224 14940 
8 55 23 224 14940 
8 55 38 224 14940 
8 55 53 224 14940 
