
  

/> 
read_ramp 04171103
<CR>Time:2021/04/17 15:36Ramp data first polarity: 
730 731 731 731 732 731 731 730 731 730 731 731 731 731 731 731 731 731 731 731 731 732 731 732 731 731 732 730 731 731 731 731 731 730 731 731 731 731 731 731 731 731 731 731 732 731 731 731 731 731 731 731 731 732 731 732 731 732 731 731 732 731 731 730 727 729 729 727 723 723 722 721 718 718 716 715 713 711 712 709 708 706 705 703 703 701 700 699 697 696 694 693 692 691 689 688 687 685 684 683 681 680 679 677 676 676 673 672 672 670 668 668 665 665 665 662 661 660 658 656 657 655 653 652 651 649 648 648 645 645 643 642 642 639 637 637 635 634 634 632 630 630 628 626 625 624 622 623 620 619 619 617 615 614 613 611 611 610 608 607 606 604 603 601 601 600 598 597 596 594 594 592 591 590 589 587 587 585 584 583 581 581 579 578 577 575 574 573 571 570 570 568 567 566 565 564 563 561 560 559 558 557 556 554 553 552 551 549 549 547 547 545 544 543 542 541 539 538 537 537 535 533 533 532 531 530 528 528 527 524 525 523 522 521 520 519 517 517 515 515 513 512 512 510 509 508 507 506 506 506 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0417
<CR>Time:2021/04/17 15:36
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 49 40 224 14022 
8 50 48 224 14022 
8 51 3 224 14022 
8 51 18 224 14022 
8 51 33 224 14022 
8 51 48 224 14022 
8 52 3 224 14022 
8 52 18 224 14022 
8 52 33 224 14022 
8 52 48 224 14022 
8 53 3 224 14022 
8 53 18 223 14022 
8 53 33 224 14022 
8 53 48 224 14022 
8 54 3 224 14022 
8 54 18 224 14022 
8 54 33 224 13961 
8 54 48 224 13961 
8 55 3 224 13961 
8 55 18 224 13961 
8 55 33 224 13961 
8 55 48 224 13961 
8 56 3 224 13961 
8 56 18 224 13961 
8 56 33 224 13961 
8 56 48 224 13961 
8 57 3 224 13961 
8 57 18 224 13961 
8 57 33 224 13961 
8 57 48 224 13961 
8 58 3 224 13961 
8 58 18 224 13961 
8 58 33 224 13961 
8 58 48 224 13961 
8 59 3 224 13961 
8 59 18 224 13961 
8 59 33 224 13961 
8 59 48 224 13961 
9 0 3 224 13961 
9 0 18 224 13961 
9 0 33 224 13961 
9 0 48 224 13899 
9 1 3 224 13899 
9 1 18 224 13899 
9 1 33 223 13899 
9 1 48 224 13899 
9 2 3 224 13899 
9 2 18 224 13899 
9 2 33 224 13899 
9 2 48 224 13899 
9 3 40 224 13899 
9 3 55 224 13899 
9 4 10 224 13899 
9 4 25 224 13899 
9 4 40 224 13899 
9 4 55 224 13899 
9 5 10 224 13899 
9 5 25 224 13899 
9 5 40 224 13899 
9 5 55 224 13899 
9 6 10 224 13899 
9 6 25 224 13899 
9 6 40 224 13899 
9 6 55 224 13899 
9 7 10 224 13899 
9 7 25 224 13899 
9 7 40 224 13899 
9 7 55 224 13899 
9 8 10 224 13899 
9 8 25 223 13838 
9 8 40 224 13838 
9 8 55 224 13838 
9 9 10 224 13838 
9 9 25 224 13838 
9 9 40 224 13838 
9 9 55 224 13838 
9 10 10 224 13838 
9 10 25 224 13838 
9 10 40 224 13838 
9 10 55 224 13838 
9 11 10 224 13838 
9 11 25 224 13838 
9 11 40 224 13838 
9 11 55 224 13838 
9 12 10 224 13838 
9 12 25 224 13838 
9 12 40 224 13838 
9 12 55 224 13838 
9 13 10 224 13838 
9 13 25 224 13838 
9 13 40 224 13838 
9 13 55 224 13838 
9 14 10 224 13838 
9 14 25 224 13838 
9 14 40 224 13838 
9 14 55 224 13838 
9 15 10 224 13838 
9 15 25 224 13838 
9 15 40 224 13838 
9 15 55 223 13838 
9 16 10 224 13838 
9 16 25 224 13838 
9 16 40 224 13838 
9 16 55 224 13838 
9 17 10 224 13838 
9 17 25 224 13838 
9 17 40 224 13838 
9 17 55 224 13838 
9 18 47 224 13838 
9 19 2 224 13838 
9 19 17 224 13838 
9 19 32 224 13838 
9 19 47 224 13838 
9 20 2 224 13838 
9 20 17 224 13838 
9 20 32 224 13838 
9 20 47 224 13838 
9 21 2 224 13838 
9 21 17 224 13838 
9 21 32 224 13838 
9 21 47 224 13838 
9 22 2 224 13899 
9 22 17 224 13899 
9 22 32 224 13899 
9 22 47 224 13899 
9 23 2 224 13899 
9 23 17 224 13899 
9 23 32 224 13899 
9 23 47 224 13899 
9 24 2 224 13899 
9 24 17 224 13899 
9 24 32 224 13899 
9 24 47 224 13899 
9 25 2 224 13899 
9 25 17 224 13899 
9 25 32 224 13899 
9 25 47 224 13899 
9 26 2 224 13899 
9 26 17 224 13899 
9 26 32 224 13899 
9 26 47 224 13899 
9 27 2 224 13838 
9 27 17 224 13838 
9 27 32 224 13838 
9 27 47 224 13838 
9 28 2 224 13838 
9 28 17 224 13838 
9 28 32 224 13838 
9 28 47 224 13838 
9 29 2 224 13838 
9 29 17 224 13838 
9 29 32 224 13838 
9 29 47 223 13838 
9 30 2 224 13838 
9 30 17 224 13838 
9 30 32 224 13838 
9 30 47 224 13838 
9 31 2 224 13838 
9 31 17 224 13838 
9 31 32 224 13838 
9 31 47 224 13838 
9 32 2 224 13838 
9 32 17 224 13838 
9 32 32 224 13838 
9 32 47 224 13838 
9 33 2 224 13838 
9 33 54 224 13899 
9 34 9 224 13899 
9 34 24 224 13899 
9 34 39 223 13899 
9 34 54 224 13899 
9 35 9 224 13899 
9 35 24 224 13899 
9 35 39 224 13899 
9 35 54 224 13899 
9 36 9 224 13899 
9 36 24 224 13838 
9 36 39 224 13838 
9 36 54 224 13838 
9 37 9 224 13838 
9 37 24 224 13838 
9 37 39 224 13838 
9 37 54 224 13838 
9 38 9 224 13838 
9 38 24 224 13838 
9 38 39 224 13838 
9 38 54 224 13838 
9 39 9 224 13838 
9 39 24 224 13838 
9 39 39 224 13838 
9 39 54 224 13838 
9 40 9 224 13838 
9 40 24 224 13838 
9 40 39 224 13838 
9 40 54 224 13838 
9 41 9 224 13838 
9 41 24 224 13838 
9 41 39 224 13838 
9 41 54 224 13838 
9 42 9 224 13838 
9 42 24 224 13838 
9 42 39 224 13838 
9 42 54 224 13838 
9 43 9 224 13838 
9 43 24 224 13838 
9 43 39 224 13838 
9 43 54 224 13838 
9 44 9 224 13838 
9 44 24 224 13838 
9 44 39 224 13838 
9 44 54 224 13838 
9 45 9 224 13838 
9 45 24 224 13838 
9 45 39 224 13838 
9 45 54 224 13838 
9 46 9 223 13838 
9 46 24 224 13838 
9 46 39 224 13838 
9 46 54 224 13838 
9 47 9 224 13838 
9 47 24 224 13838 
9 47 39 224 13838 
9 47 54 224 13838 
9 48 9 224 13838 
9 48 46 224 13838 
9 49 1 224 13838 
9 49 16 224 13838 
9 49 31 224 13838 
9 49 46 224 13838 
9 50 1 224 13838 
9 50 16 224 13838 
9 50 31 224 13838 
9 50 46 224 13838 
9 51 1 224 13838 
9 51 16 224 13838 
9 51 31 224 13838 
9 51 46 224 13838 
9 52 1 224 13838 
9 52 16 224 13838 
9 52 31 224 13838 
9 52 46 224 13838 
9 53 1 224 13838 
9 53 16 224 13838 
9 53 31 224 13838 
9 53 46 224 13838 
9 54 1 224 13838 
9 54 16 224 13838 
9 54 31 224 13777 
9 54 46 224 13777 
9 55 1 224 13777 
9 55 16 224 13777 
9 55 31 224 13777 
9 55 46 224 13777 
9 56 1 224 13777 
9 56 16 224 13777 
9 56 31 224 13777 
9 56 46 224 13777 
9 57 1 224 13777 
9 57 16 224 13777 
9 57 31 224 13777 
9 57 46 224 13777 
9 58 1 224 13777 
9 58 16 224 13777 
9 58 31 224 13777 
9 58 46 224 13777 
9 59 1 224 13777 
9 59 16 224 13777 
9 59 31 224 13777 
9 59 46 224 13777 
10 0 1 224 13777 
10 0 16 224 13777 
10 0 31 224 13777 
10 0 46 224 13777 
10 1 1 224 13777 
10 1 16 224 13777 
10 1 31 224 13777 
10 1 46 224 13777 
10 2 1 224 13777 
10 2 16 224 13777 
10 2 31 224 13777 
10 2 46 224 13777 
10 3 1 224 13777 
10 3 16 223 13777 
10 4 8 224 13777 
10 4 23 224 13777 
10 4 38 224 13777 
10 4 53 224 13777 
10 5 8 223 13777 
10 5 23 224 13777 
10 5 38 224 13777 
10 5 53 224 13777 
10 6 8 224 13777 
10 6 23 224 13777 
10 6 38 224 13777 
10 6 53 224 13777 
10 7 8 224 13777 
10 7 23 224 13777 
10 7 38 224 13777 
10 7 53 224 13777 
10 8 8 224 13777 
10 8 23 224 13777 
10 8 38 224 13777 
10 8 53 224 13777 
10 9 8 224 13777 
10 9 23 224 13777 
10 9 38 224 13777 
10 9 53 224 13777 
10 10 8 224 13777 
10 10 23 224 13777 
10 10 38 224 13777 
10 10 53 224 13777 
10 11 8 224 13777 
10 11 23 224 13777 
10 11 38 224 13777 
10 11 53 224 13777 
10 12 8 224 13777 
10 12 23 224 13777 
10 12 38 224 13777 
10 12 53 224 13777 
10 13 8 224 13777 
10 13 23 224 13777 
10 13 38 224 13777 
10 13 53 224 13777 
10 14 8 224 13777 
10 14 23 224 13777 
10 14 38 224 13777 
10 14 53 224 13777 
10 15 8 224 13777 
10 15 23 224 13777 
10 15 38 224 13777 
10 15 53 224 13777 
10 16 8 224 13777 
10 16 23 224 13777 
10 16 38 223 13777 
10 16 53 224 13777 
10 17 8 224 13777 
10 17 23 224 13777 
10 17 38 224 13777 
10 17 53 224 13777 
10 18 8 224 13777 
10 18 23 224 13777 
10 19 0 224 13777 
10 19 15 223 13777 
10 19 30 224 13777 
10 19 45 224 13777 
10 20 0 224 13777 
10 20 15 224 13777 
10 20 30 224 13777 
10 20 45 224 13777 
10 21 0 224 13777 
10 21 15 224 13777 
10 21 30 224 13777 
10 21 45 224 13777 
10 22 0 224 13777 
10 22 15 224 13777 
10 22 30 224 13777 
10 22 45 224 13777 
10 23 0 224 13777 
10 23 15 224 13777 
10 23 30 224 13777 
10 23 45 224 13777 
10 24 0 224 13777 
10 24 15 224 13777 
10 24 30 224 13777 
10 24 45 224 13777 
10 25 0 224 13777 
10 25 15 224 13777 
10 25 30 224 13777 
10 25 45 224 13777 
10 26 0 224 13777 
10 26 15 224 13777 
10 26 30 224 13777 
10 26 45 224 13777 
10 27 0 224 13777 
10 27 15 224 13777 
10 27 30 224 13777 
10 27 45 224 13777 
10 28 0 224 13777 
10 28 15 224 13777 
10 28 30 224 13777 
10 28 45 224 13777 
10 29 0 224 13777 
10 29 15 224 13777 
10 29 30 223 13777 
10 29 45 224 13777 
10 30 0 224 13777 
10 30 15 224 13777 
10 30 30 224 13777 
10 30 45 224 13777 
10 31 0 224 13777 
10 31 15 224 13777 
10 31 30 224 13777 
10 31 45 224 13777 
10 32 0 224 13777 
10 32 15 224 13777 
10 32 30 224 13777 
10 32 45 224 13777 
10 33 0 224 13777 
10 33 15 224 13777 
10 33 30 224 13777 
10 34 22 224 13777 
10 34 37 224 13777 
10 34 52 224 13777 
10 35 7 224 13777 
10 35 22 223 13777 
10 35 37 224 13777 
10 35 52 224 13777 
10 36 7 224 13777 
10 36 22 224 13777 
10 36 37 224 13777 
10 36 52 224 13777 
10 37 7 224 13777 
10 37 22 224 13777 
10 37 37 224 13777 
10 37 52 224 13777 
10 38 7 224 13777 
10 38 22 224 13777 
10 38 37 224 13777 
10 38 53 224 13777 
10 39 8 224 13777 
10 39 23 224 13777 
10 39 38 224 13777 
10 39 53 224 13777 
10 40 8 224 13777 
10 40 23 224 13777 
10 40 38 224 13777 
10 40 53 224 13777 
10 41 8 224 13777 
10 41 23 224 13777 
10 41 38 224 13777 
10 41 53 224 13838 
10 42 8 224 13838 
10 42 23 224 13838 
10 42 38 224 13838 
10 42 53 223 13777 
10 43 8 224 13777 
10 43 23 224 13777 
10 43 38 224 13777 
10 43 53 224 13777 
10 44 8 224 13777 
10 44 23 224 13777 
10 44 38 224 13777 
10 44 53 224 13777 
10 45 8 224 13777 
10 45 23 224 13777 
10 45 38 224 13777 
10 45 53 224 13777 
10 46 8 224 13777 
10 46 23 224 13777 
10 46 38 224 13777 
10 46 53 224 13777 
10 47 8 224 13777 
10 47 23 224 13777 
10 47 38 224 13777 
10 47 53 224 13777 
10 48 8 224 13777 
10 48 23 224 13777 
10 48 38 224 13777 
10 49 15 224 13777 
10 49 30 224 13777 
10 49 45 224 13777 
10 50 0 224 13777 
10 50 15 224 13777 
10 50 30 224 13777 
10 50 45 224 13777 
10 51 0 224 13777 
10 51 15 224 13777 
10 51 30 224 13777 
10 51 45 224 13777 
10 52 0 224 13777 
10 52 15 224 13777 
10 52 30 224 13777 
10 52 45 224 13777 
10 53 0 224 13777 
10 53 15 224 13777 
10 53 30 224 13777 
10 53 45 224 13777 
10 54 0 224 13777 
10 54 15 224 13777 
10 54 30 224 13777 
10 54 45 224 13777 
10 55 0 224 13777 
10 55 15 224 13777 
10 55 30 224 13777 
10 55 45 223 13777 
10 56 0 224 13777 
10 56 15 224 13777 
10 56 30 224 13777 
10 56 45 224 13777 
10 57 0 224 13777 
10 57 15 224 13777 
10 57 30 224 13777 
10 57 45 224 13777 
10 58 0 224 13777 
10 58 15 224 13777 
10 58 30 224 13777 
10 58 45 224 13777 
10 59 0 224 13777 
10 59 15 224 13777 
10 59 30 224 13777 
10 59 45 224 13777 
11 0 0 224 13777 
11 0 15 224 13777 
11 0 30 224 13777 
11 0 45 224 13777 
11 1 0 224 13777 
11 1 15 224 13777 
11 1 30 224 13777 
11 1 45 224 13777 
11 2 0 224 13777 
11 2 15 224 13777 
11 2 30 224 13777 
11 2 45 224 13777 
11 3 0 224 13777 
11 3 15 224 13777 
11 3 30 224 13777 
11 3 45 224 13777 
11 4 37 224 13777 
11 4 52 224 13777 
11 5 7 224 13777 
11 5 22 224 13777 
11 5 37 224 13777 
11 5 52 224 13777 
11 6 7 224 13777 
11 6 22 224 13777 
11 6 37 224 13777 
11 6 52 224 13777 
11 7 7 224 13777 
11 7 22 224 13777 
11 7 37 224 13777 
11 7 52 224 13777 
11 8 7 224 13777 
11 8 22 224 13777 
11 8 37 224 13777 
11 8 52 224 13777 
11 9 7 223 13777 
11 9 22 224 13777 
11 9 37 224 13777 
11 9 52 224 13777 
11 10 7 224 13777 
11 10 22 224 13777 
11 10 37 224 13777 
11 10 52 224 13777 
11 11 7 224 13777 
11 11 22 224 13777 
11 11 37 224 13777 
11 11 52 224 13777 
11 12 7 224 13777 
11 12 22 224 13777 
11 12 37 224 13777 
11 12 52 224 13777 
11 13 7 224 13777 
11 13 22 224 13777 
11 13 37 224 13777 
11 13 52 224 13777 
11 14 7 224 13777 
11 14 22 224 13777 
11 14 37 224 13777 
11 14 52 224 13777 
11 15 7 224 13777 
11 15 22 224 13777 
11 15 37 224 13777 
11 15 52 224 13777 
11 16 7 224 13777 
11 16 22 224 13777 
11 16 37 224 13777 
11 16 52 224 13777 
11 17 7 224 13777 
11 17 22 224 13777 
11 17 37 224 13777 
11 17 52 224 13777 
11 18 7 224 13777 
11 18 22 224 13777 
11 18 37 224 13777 
11 18 52 224 13777 
11 19 29 224 13777 
11 19 44 223 13777 
11 19 59 224 13777 
11 20 14 224 13777 
11 20 29 224 13777 
11 20 44 224 13777 
11 20 59 224 13777 
11 21 14 224 13777 
11 21 29 224 13777 
11 21 44 224 13777 
11 21 59 223 13716 
11 22 14 224 13716 
11 22 29 224 13716 
11 22 44 224 13716 
11 22 59 224 13716 
11 23 14 224 13716 
11 23 29 224 13716 
11 23 44 224 13716 
11 23 59 224 13716 
11 24 14 224 13716 
11 24 29 224 13716 
11 24 44 224 13716 
11 24 59 224 13716 
11 25 14 224 13716 
11 25 29 224 13716 
11 25 44 224 13716 
11 25 59 224 13716 
11 26 14 224 13716 
11 26 29 224 13716 
11 26 44 224 13716 
11 26 59 224 13716 
11 27 14 224 13716 
11 27 29 224 13716 
11 27 44 224 13716 
11 27 59 224 13716 
11 28 14 224 13716 
11 28 29 224 13716 
11 28 44 224 13716 
11 28 59 224 13716 
11 29 14 224 13716 
11 29 29 224 13716 
11 29 44 224 13716 
11 29 59 224 13716 
11 30 14 224 13716 
11 30 29 224 13716 
11 30 44 224 13716 
11 30 59 224 13716 
11 31 14 224 13716 
11 31 29 224 13716 
11 31 44 224 13716 
11 31 59 224 13716 
11 32 14 224 13716 
11 32 29 224 13716 
11 32 44 224 13716 
11 32 59 224 13716 
11 33 14 224 13716 
11 33 29 224 13716 
11 33 44 224 13716 
11 33 59 224 13716 
11 34 51 224 13716 
11 35 6 224 13716 
11 35 21 224 13716 
11 35 36 224 13716 
11 35 51 223 13716 
11 36 6 224 13716 
11 36 21 224 13716 
11 36 36 224 13716 
11 36 51 224 13716 
11 37 6 224 13716 
11 37 21 224 13716 
11 37 36 224 13716 
11 37 51 224 13716 
11 38 6 224 13716 
11 38 21 224 13716 
11 38 36 224 13716 
11 38 51 224 13716 
11 39 6 224 13716 
11 39 21 224 13716 
11 39 36 224 13716 
11 39 51 224 13716 
11 40 6 224 13716 
11 40 21 224 13716 
11 40 36 224 13716 
11 40 51 224 13716 
11 41 6 224 13716 
11 41 21 224 13716 
11 41 36 224 13716 
11 41 51 224 13716 
11 42 6 224 13716 
11 42 21 224 13716 
11 42 36 224 13716 
11 42 51 224 13716 
11 43 6 224 13716 
11 43 21 224 13716 
11 43 36 224 13777 
11 43 51 224 13777 
11 44 6 224 13777 
11 44 21 224 13777 
11 44 36 224 13777 
11 44 51 224 13777 
11 45 6 224 13777 
11 45 21 224 13777 
11 45 36 224 13777 
11 45 51 224 13777 
11 46 6 224 13777 
11 46 21 224 13777 
11 46 36 224 13777 
11 46 51 224 13777 
11 47 6 224 13777 
11 47 21 224 13777 
11 47 36 224 13777 
11 47 51 224 13777 
11 48 6 224 13777 
11 48 21 224 13716 
11 48 36 224 13716 
11 48 51 224 13716 
11 49 6 224 13716 
11 49 43 224 13716 
11 49 58 223 13716 
11 50 13 224 13716 
11 50 28 224 13716 
11 50 43 224 13716 
11 50 58 224 13716 
11 51 13 224 13716 
11 51 28 224 13716 
11 51 43 224 13716 
11 51 58 224 13716 
11 52 13 224 13716 
11 52 28 224 13716 
11 52 43 224 13716 
11 52 58 224 13716 
11 53 13 224 13716 
11 53 28 224 13716 
11 53 43 224 13716 
11 53 58 224 13716 
11 54 13 224 13716 
11 54 28 224 13716 
11 54 43 224 13716 
11 54 58 224 13716 
11 55 13 224 13716 
11 55 28 224 13716 
11 55 43 224 13716 
11 55 58 224 13716 
11 56 13 224 13716 
11 56 28 224 13716 
11 56 43 224 13716 
11 56 58 224 13716 
11 57 13 224 13716 
11 57 28 224 13716 
11 57 43 224 13716 
11 57 58 224 13716 
11 58 13 224 13654 
11 58 28 224 13654 
11 58 43 224 13654 
11 58 58 224 13654 
11 59 13 224 13654 
11 59 28 224 13654 
11 59 43 224 13654 
11 59 58 224 13654 
12 0 13 224 13654 
12 0 28 224 13654 
12 0 43 224 13654 
12 0 58 224 13654 
12 1 13 224 13654 
12 1 28 224 13654 
12 1 43 224 13654 
12 1 58 224 13654 
12 2 13 224 13654 
12 2 28 224 13654 
12 2 43 224 13654 
12 2 58 224 13654 
12 3 13 224 13654 
12 3 28 224 13654 
12 3 43 224 13654 
12 3 58 224 13654 
12 4 13 224 13654 
12 5 5 224 13654 
12 5 20 224 13654 
12 5 35 224 13654 
12 5 50 224 13654 
12 6 5 224 13654 
12 6 20 224 13654 
12 6 35 224 13654 
12 6 50 224 13654 
12 7 5 224 13654 
12 7 20 224 13654 
12 7 35 224 13654 
12 7 50 224 13654 
12 8 5 224 13654 
12 8 20 224 13654 
12 8 35 224 13654 
12 8 50 224 13654 
12 9 5 224 13654 
12 9 20 224 13654 
12 9 35 224 13654 
12 9 50 224 13654 
12 10 5 224 13654 
12 10 20 224 13654 
12 10 35 224 13654 
12 10 50 224 13654 
12 11 5 224 13654 
12 11 20 224 13654 
12 11 35 224 13654 
12 11 50 224 13654 
12 12 5 224 13654 
12 12 20 224 13654 
12 12 35 224 13654 
12 12 50 224 13654 
12 13 5 224 13654 
12 13 20 224 13654 
12 13 35 224 13654 
12 13 50 224 13654 
12 14 5 224 13654 
12 14 20 224 13654 
12 14 35 224 13654 
12 14 50 224 13654 
12 15 5 224 13654 
12 15 20 224 13654 
12 15 35 224 13654 
12 15 50 224 13654 
12 16 5 224 13654 
12 16 20 224 13654 
12 16 35 224 13654 
12 16 50 224 13654 
12 17 5 224 13654 
12 17 20 223 13654 
12 17 35 224 13654 
12 17 50 224 13654 
12 18 5 224 13654 
12 18 20 224 13654 
12 18 35 224 13654 
12 18 50 224 13654 
12 19 5 224 13654 
12 19 20 224 13654 
12 20 12 224 13654 
12 20 27 223 13654 
12 20 42 224 13654 
12 20 57 224 13654 
12 21 12 224 13654 
12 21 27 224 13654 
12 21 42 224 13654 
12 21 57 224 13654 
12 22 12 224 13654 
12 22 27 224 13654 
12 22 42 224 13654 
12 22 57 224 13654 
12 23 12 224 13654 
12 23 27 224 13654 
12 23 42 224 13654 
12 23 57 224 13654 
12 24 12 224 13654 
12 24 27 224 13654 
12 24 42 224 13654 
12 24 57 224 13654 
12 25 12 224 13654 
12 25 27 224 13654 
12 25 42 224 13654 
12 25 57 224 13654 
12 26 12 224 13654 
12 26 27 224 13654 
12 26 42 224 13654 
12 26 57 224 13654 
12 27 12 224 13654 
12 27 27 224 13654 
12 27 42 224 13654 
12 27 57 224 13654 
12 28 12 224 13654 
12 28 27 224 13654 
12 28 42 224 13654 
12 28 57 224 13654 
12 29 12 224 13654 
12 29 27 224 13654 
12 29 42 224 13654 
12 29 57 224 13654 
12 30 12 224 13654 
12 30 27 223 13654 
12 30 42 224 13654 
12 30 57 224 13593 
12 31 12 224 13593 
12 31 27 224 13593 
12 31 42 224 13593 
12 31 57 224 13593 
12 32 12 224 13593 
12 32 27 224 13593 
12 32 42 224 13593 
12 32 57 224 13593 
12 33 12 224 13593 
12 33 27 224 13593 
12 33 42 224 13593 
12 33 57 224 13593 
12 34 12 224 13593 
12 34 27 224 13593 
12 35 19 224 13593 
12 35 34 224 13593 
12 35 49 224 13593 
12 36 4 224 13593 
12 36 19 224 13593 
12 36 35 224 13593 
12 36 50 224 13593 
12 37 5 224 13593 
12 37 20 224 13593 
12 37 35 224 13593 
12 37 50 224 13593 
12 38 5 224 13593 
12 38 20 224 13593 
12 38 35 224 13593 
12 38 50 224 13593 
12 39 5 224 13593 
12 39 20 224 13593 
12 39 35 224 13593 
12 39 50 224 13593 
12 40 5 224 13593 
12 40 20 224 13593 
12 40 35 224 13593 
12 40 50 224 13593 
12 41 5 224 13593 
12 41 20 224 13593 
12 41 35 224 13593 
12 41 50 224 13593 
12 42 5 224 13593 
12 42 20 224 13593 
12 42 35 224 13593 
