
/> 
read_ramp 06011109
<CR>Time:2021/06/01 16:11Ramp data first polarity: 
718 720 719 720 719 719 719 720 719 718 719 719 718 720 719 719 720 719 719 719 720 719 719 719 719 719 719 720 719 719 720 719 720 719 720 719 719 720 719 718 719 719 719 719 719 719 720 720 720 719 720 720 719 719 719 719 719 719 720 720 719 721 718 719 718 719 716 713 714 713 710 708 708 707 705 704 702 701 699 698 698 695 694 693 692 691 689 688 687 686 685 683 682 681 681 679 677 676 675 674 673 671 670 669 668 666 665 664 663 662 660 659 658 657 656 654 653 652 651 649 648 647 646 644 644 642 642 640 640 637 637 635 634 633 631 631 629 628 627 625 624 623 622 621 620 619 618 617 615 614 613 612 610 609 608 607 605 605 603 602 601 599 598 597 597 595 595 593 592 591 589 589 587 586 585 585 582 581 580 579 579 577 576 574 574 573 572 570 569 567 567 565 564 563 562 561 560 559 557 557 556 554 554 552 551 550 549 548 546 546 545 544 542 541 541 538 538 537 535 535 534 532 532 531 530 529 528 526 525 524 522 522 521 520 519 517 516 516 515 513 513 511 510 510 509 507 508 507 506 506 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0601
<CR>Time:2021/06/01 16:11
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 17 30 224 13042 
9 17 45 219 13042 
9 18 0 224 13042 
9 18 15 224 13042 
9 18 30 224 13042 
9 18 45 224 13042 
9 19 0 224 13042 
9 19 15 224 13042 
9 19 30 224 13042 
9 19 45 224 13042 
9 20 0 224 13042 
9 20 15 224 13042 
9 20 30 224 13042 
9 20 45 224 13042 
9 21 0 224 13042 
9 21 15 224 13042 
9 21 30 224 13042 
9 21 45 224 13042 
9 22 0 223 13042 
9 22 15 224 13042 
9 22 30 224 13042 
9 22 45 224 13042 
9 23 0 224 13042 
9 23 15 224 13042 
9 23 30 224 13042 
9 23 45 224 13042 
9 24 0 224 13042 
9 24 15 224 13042 
9 24 30 224 13042 
9 24 45 224 13042 
9 25 0 224 13042 
9 25 15 224 13042 
9 25 30 224 13042 
9 25 45 224 13042 
9 26 0 224 13042 
9 26 15 224 13042 
9 26 30 224 13042 
9 26 45 224 13042 
9 27 0 224 13042 
9 27 15 224 13042 
9 27 30 224 13042 
9 27 45 224 13042 
9 28 0 224 13042 
9 28 15 224 13042 
9 28 30 223 13042 
9 28 45 224 13042 
9 29 0 224 13042 
9 29 15 224 13042 
9 29 30 224 13042 
9 29 45 224 13042 
9 30 0 224 13042 
9 30 15 224 13042 
9 30 30 224 13042 
9 39 22 224 13042 
9 39 37 220 13042 
9 39 52 224 13042 
9 40 7 224 13042 
9 40 22 224 13042 
9 40 37 224 13042 
9 40 52 224 13042 
9 41 7 224 13042 
9 41 22 224 13042 
9 41 37 224 13042 
9 41 52 224 13042 
9 42 7 224 13042 
9 42 22 224 13042 
9 42 37 224 13042 
9 42 52 224 13042 
9 43 7 224 13042 
9 43 22 224 13042 
9 43 37 224 13042 
9 43 52 224 13042 
9 44 7 224 13042 
9 44 22 224 13042 
9 44 37 224 13042 
9 44 52 224 13042 
9 45 7 224 13042 
9 45 22 224 13042 
9 45 37 224 13042 
9 45 52 224 13042 
9 46 7 224 13042 
9 46 22 223 13042 
9 46 37 224 13042 
9 46 52 224 13042 
9 47 7 224 13042 
9 47 22 224 13042 
9 47 37 224 13042 
9 47 52 224 13042 
9 48 7 224 13042 
9 48 22 224 13042 
9 48 37 224 13042 
9 48 52 224 13042 
9 49 7 224 13042 
9 49 22 224 13042 
9 49 37 224 13042 
9 49 52 224 13042 
9 50 7 224 13042 
9 50 22 224 13042 
9 50 37 224 13042 
9 50 52 224 13042 
9 51 7 224 13042 
9 51 22 224 13042 
9 51 37 224 13042 
9 51 52 224 13042 
9 52 7 224 13042 
9 52 22 224 13042 
9 52 37 224 13042 
9 52 52 223 13042 
9 53 7 224 13042 
9 53 22 224 13042 
9 54 28 224 13042 
9 54 43 224 13042 
9 54 58 224 13042 
9 55 13 224 13042 
9 55 28 224 13042 
9 55 43 224 13042 
9 55 58 224 13042 
9 56 13 224 13042 
9 56 28 224 13042 
9 56 43 224 13042 
9 56 58 224 13042 
9 57 13 224 13042 
9 57 28 224 13042 
9 57 43 224 13042 
9 57 58 224 13042 
9 58 13 224 13042 
9 58 28 224 13042 
9 58 43 224 13042 
9 58 58 224 13042 
9 59 13 224 13042 
9 59 28 224 13042 
9 59 43 224 13042 
9 59 58 224 13042 
10 0 13 224 13042 
10 0 28 224 13042 
10 0 43 224 13042 
10 0 58 224 13042 
10 1 13 224 13042 
10 1 28 224 13042 
10 1 43 223 13042 
10 1 58 224 13042 
10 2 13 224 13042 
10 2 28 224 13042 
10 2 43 224 13042 
10 2 58 224 13042 
10 3 13 224 13042 
10 3 28 224 13042 
10 3 43 224 13042 
10 3 58 224 13042 
10 4 13 224 13042 
10 4 28 224 13042 
10 4 43 224 13042 
10 4 58 224 13042 
10 5 13 224 13042 
10 5 28 224 13042 
10 5 43 224 13042 
10 5 58 224 13042 
10 6 13 224 13042 
10 6 28 224 13042 
10 6 43 224 13042 
10 6 58 224 13042 
10 7 13 224 13042 
10 7 28 223 13042 
10 7 43 224 13042 
10 7 58 224 13042 
10 8 13 224 13042 
10 8 28 224 13042 
10 9 20 224 13042 
10 9 35 224 13042 
10 9 50 224 13042 
10 10 5 224 13042 
10 10 20 224 13042 
10 10 35 224 13042 
10 10 50 224 13042 
10 11 5 224 13042 
10 11 20 224 13042 
10 11 35 224 13042 
10 11 50 224 13042 
10 12 5 224 13042 
10 12 20 224 13042 
10 12 35 224 13042 
10 12 50 224 13042 
10 13 5 224 13042 
10 13 20 224 13042 
10 13 35 224 13042 
10 13 50 224 13042 
10 14 5 224 13042 
10 14 20 224 13042 
10 14 35 224 13042 
10 14 50 224 13042 
10 15 5 224 13042 
10 15 20 224 13042 
10 15 35 224 13042 
10 15 50 224 13042 
10 16 5 224 13042 
10 16 20 224 13042 
10 16 35 224 13042 
10 16 50 224 13042 
10 17 5 224 13042 
10 17 20 224 13042 
10 17 35 224 13042 
10 17 51 224 13042 
10 18 6 224 13042 
10 18 21 224 13042 
10 18 36 224 13042 
10 18 51 224 13042 
10 19 6 224 13042 
10 19 21 224 13042 
10 19 36 224 13042 
10 19 51 224 13042 
10 20 6 224 13042 
10 20 21 224 13042 
10 20 36 224 13042 
10 20 51 224 13042 
10 21 6 224 13042 
10 21 21 224 13042 
10 21 36 224 13042 
10 21 51 224 13042 
10 22 6 224 13042 
10 22 21 224 13042 
10 22 36 224 13042 
10 22 51 224 13042 
10 23 6 224 13042 
10 23 21 224 13042 
10 23 36 224 13042 
10 24 28 224 13042 
10 24 43 224 13042 
10 24 58 224 13042 
10 25 13 224 13042 
10 25 28 224 13042 
10 25 43 224 13042 
10 25 58 224 13042 
10 26 13 224 13042 
10 26 28 224 13042 
10 26 43 224 13042 
10 26 58 224 13042 
10 27 13 224 13042 
10 27 28 224 13042 
10 27 43 223 13042 
10 27 58 224 13042 
10 28 13 224 13042 
10 28 28 224 13042 
10 28 43 224 13042 
10 28 58 224 13042 
10 29 13 224 13042 
10 29 28 224 13042 
10 29 43 224 13042 
10 29 58 224 13042 
10 30 13 224 13042 
10 30 28 224 13042 
10 30 43 224 13042 
10 30 58 224 13042 
10 31 13 224 13042 
10 31 28 224 13042 
10 31 43 224 13042 
10 31 58 224 13042 
10 32 13 224 13042 
10 32 28 224 13042 
10 32 43 224 13042 
10 32 58 224 13042 
10 33 13 224 13042 
10 33 28 224 13042 
10 33 43 224 13042 
10 33 58 224 13042 
10 34 13 224 13042 
10 34 28 224 13042 
10 34 43 224 13042 
10 34 58 224 13042 
10 35 13 224 13042 
10 35 28 224 13042 
10 35 43 224 13042 
10 35 58 224 13042 
10 36 13 224 13042 
10 36 28 224 13042 
10 36 43 223 13042 
10 36 58 224 13042 
10 37 13 224 13042 
10 37 28 224 13042 
10 37 43 224 13042 
10 37 58 224 13042 
10 38 13 224 13042 
10 38 28 224 13042 
10 38 43 224 13042 
10 39 20 224 13042 
10 39 35 223 13042 
10 39 50 224 13042 
10 40 5 224 13042 
10 40 20 224 13042 
10 40 35 224 13042 
