Label	Type	Symbol	Description	Name on GPS	Comment	Easting	Northing	Zone	Elevation	Distance to Active Point	Bearing
500 100	user	Cemetery	03-NOV-01 9:40:39	500 100	03-NOV-01 9:40:39	694452.096	5801009.728	18U	521.877	0000.0000	0000.0000
500 150	user	Cemetery	03-NOV-01 9:49:50	500 150	03-NOV-01 9:49:50	694480.109	5801049.908	18U	514.187	0000.0000	0000.0000
500 200	user	Cemetery	03-NOV-01 9:57:18	500 200	03-NOV-01 9:57:18	694504.449	5801094.033	18U	511.063	0000.0000	0000.0000
500 250	user	Cemetery	03-NOV-01 10:04:36	500 250	03-NOV-01 10:04:36	694532.433	5801135.519	18U	508.900	0000.0000	0000.0000
500 300	user	Cemetery	03-NOV-01 10:11:37	500 300	03-NOV-01 10:11:37	694554.614	5801177.663	18U	506.977	0000.0000	0000.0000
500 350	user	Cemetery	03-NOV-01 10:20:52	500 350	03-NOV-01 10:20:52	694582.751	5801218.717	18U	504.093	0000.0000	0000.0000
500 400	user	Cemetery	03-NOV-01 10:28:24	500 400	03-NOV-01 10:28:24	694608.705	5801263.484	18U	501.209	0000.0000	0000.0000
500 450	user	Cemetery	03-NOV-01 10:36:53	500 450	03-NOV-01 10:36:53	694630.782	5801304.150	18U	494.720	0000.0000	0000.0000
500 50	user	Cemetery	03-NOV-01 9:10:02	500 50	03-NOV-01 9:10:02	694430.655	5800968.790	18U	541.104	0000.0000	0000.0000
500 500	user	Cemetery	03-NOV-01 10:45:26	500 500	03-NOV-01 10:45:26	694654.948	5801347.830	18U	490.395	0000.0000	0000.0000
500 550	user	Cemetery	03-NOV-01 10:52:47	500 550	03-NOV-01 10:52:47	694673.754	5801389.636	18U	492.317	0000.0000	0000.0000
500 600	user	Cemetery	03-NOV-01 11:01:40	500 600	03-NOV-01 11:01:40	694705.931	5801436.367	18U	490.635	0000.0000	0000.0000
500 650	user	Cemetery	03-NOV-01 11:13:33	500 650	03-NOV-01 11:13:33	694725.289	5801483.731	18U	493.038	0000.0000	0000.0000
500 700	user	Cemetery	03-NOV-01 11:21:48	500 700	03-NOV-01 11:21:48	694748.998	5801525.918	18U	493.278	0000.0000	0000.0000
500 750	user	Cemetery	03-NOV-01 11:30:12	500 750	03-NOV-01 11:30:12	694777.820	5801573.703	18U	491.115	0000.0000	0000.0000
500 800	user	Cemetery	03-NOV-01 11:37:19	500 800	03-NOV-01 11:37:19	694802.091	5801608.155	18U	491.115	0000.0000	0000.0000
500 850	user	Cemetery	03-NOV-01 11:45:41	500 850	03-NOV-01 11:45:41	694834.187	5801652.793	18U	487.991	0000.0000	0000.0000
700 100	user	Cemetery	03-NOV-01 14:25:24	700 100	03-NOV-01 14:25:24	694631.861	5800903.883	18U	497.845	0000.0000	0000.0000
700 150	user	Cemetery	03-NOV-01 14:17:40	700 150	03-NOV-01 14:17:40	694656.972	5800946.274	18U	497.124	0000.0000	0000.0000
700 200	user	Cemetery	03-NOV-01 14:09:22	700 200	03-NOV-01 14:09:22	694681.825	5800989.691	18U	495.441	0000.0000	0000.0000
700 250	user	Cemetery	03-NOV-01 14:02:06	700 250	03-NOV-01 14:02:06	694701.023	5801036.815	18U	492.798	0000.0000	0000.0000
700 300	user	Cemetery	03-NOV-01 13:50:32	700 300	03-NOV-01 13:50:32	694733.377	5801083.609	18U	488.953	0000.0000	0000.0000
700 350	user	Cemetery	03-NOV-01 13:38:34	700 350	03-NOV-01 13:38:34	694747.675	5801124.612	18U	489.193	0000.0000	0000.0000
700 400	user	Cemetery	03-NOV-01 13:27:12	700 400	03-NOV-01 13:27:12	694778.369	5801167.215	18U	487.751	0000.0000	0000.0000
700 450	user	Cemetery	03-NOV-01 13:16:07	700 450	03-NOV-01 13:16:07	694802.843	5801209.601	18U	486.309	0000.0000	0000.0000
700 50	user	Cemetery	03-NOV-01 14:33:11	700 50	03-NOV-01 14:33:11	694603.401	5800868.771	18U	500.488	0000.0000	0000.0000
700 500	user	Cemetery	03-NOV-01 13:08:31	700 500	03-NOV-01 13:08:31	694826.676	5801254.733	18U	487.270	0000.0000	0000.0000
700 550	user	Cemetery	03-NOV-01 12:58:30	700 550	03-NOV-01 12:58:30	694855.167	5801301.815	18U	486.309	0000.0000	0000.0000
700 600	user	Cemetery	03-NOV-01 12:49:58	700 600	03-NOV-01 12:49:58	694879.084	5801338.736	18U	485.588	0000.0000	0000.0000
700 650	user	Cemetery	03-NOV-01 12:02:50	700 650	03-NOV-01 12:02:50	694892.878	5801382.717	18U	486.069	0000.0000	0000.0000
Pp Test	user	Cemetery	03-NOV-01 15:01:55	Pp Test	03-NOV-01 15:01:55	693982.562	5801200.388	18U	603.829	0000.0000	0000.0000
