Label	Type	Symbol	Description	Name on GPS	Comment	Easting	Northing	Zone	Elevation	Distance to Active Point	Bearing
600 100	user	Geocache		600 100		694540.113	5800962.533	18U	517.684	0000.0000	0000.0000
600 150	user	Geocache		600 150		694564.894	5801000.261	18U	513.417	0000.0000	0000.0000
600 200	user	Geocache		600 200		694590.017	5801044.800	18U	510.270	0000.0000	0000.0000
600 250	user	Geocache		600 250		694617.987	5801088.228	18U	509.284	0000.0000	0000.0000
600 300	user	Geocache		600 300		694638.062	5801131.120	18U	507.937	0000.0000	0000.0000
600 350	user	Geocache		600 350		694666.004	5801175.210	18U	503.527	0000.0000	0000.0000
600 400	user	Geocache		600 400		694686.678	5801216.670	18U	498.914	0000.0000	0000.0000
600 450	user	Geocache		600 450		694714.372	5801263.541	18U	497.894	0000.0000	0000.0000
600 50	user	Geocache		600 50		694514.855	5800915.992	18U	525.974	0000.0000	0000.0000
600 500	user	Geocache		600 500		694740.786	5801303.007	18U	496.458	0000.0000	0000.0000
600 550	user	Geocache		600 550		694764.861	5801346.496	18U	498.331	0000.0000	0000.0000
600 600	user	Geocache		600 600		694789.941	5801393.928	18U	498.097	0000.0000	0000.0000
600 650	user	Geocache		600 650		694816.381	5801436.177	18U	497.651	0000.0000	0000.0000
600 700	user	Geocache		600 700		694842.326	5801480.637	18U	497.731	0000.0000	0000.0000
600 750	user	Geocache		600 750		694866.039	5801524.570	18U	496.913	0000.0000	0000.0000
600 800	user	Geocache		600 800		694879.869	5801556.071	18U	494.590	0000.0000	0000.0000
800 400	user	Geocache		800 400		694866.849	5801117.439	18U	495.216	0000.0000	0000.0000
800 450	user	Geocache		800 450		694891.289	5801160.393	18U	494.986	0000.0000	0000.0000
800 500	user	Geocache		800 500		694915.526	5801203.106	18U	494.406	0000.0000	0000.0000
