Label	Type	Symbol	Description	Name on GPS	Comment	Easting	Northing	Zone	Elevation	Distance to Active Point	Bearing
1000 100	user	Geocache Found		1000 100		694887.621	5800761.328	18U	501.048	0000.0000	0000.0000
1000 150	user	Geocache Found		1000 150		694912.585	5800801.176	18U	498.668	0000.0000	0000.0000
1000 200	user	Geocache Found		1000 200		694935.842	5800842.972	18U	496.666	0000.0000	0000.0000
1000 250	user	Geocache Found		1000 250		694953.133	5800880.295	18U	496.030	0000.0000	0000.0000
1000 50	user	Geocache Found		1000 50		694864.945	5800722.010	18U	501.380	0000.0000	0000.0000
800 100	user	Geocache Found		800 100		694720.847	5800854.404	18U	496.806	0000.0000	0000.0000
800 150	user	Geocache Found		800 150		694738.293	5800898.089	18U	495.163	0000.0000	0000.0000
800 200	user	Geocache Found		800 200		694770.076	5800943.442	18U	490.638	0000.0000	0000.0000
800 250	user	Geocache Found		800 250		694790.900	5800984.582	18U	485.946	0000.0000	0000.0000
800 300	user	Geocache Found		800 300		694818.351	5801027.206	18U	484.031	0000.0000	0000.0000
800 350	user	Geocache Found		800 350		694840.306	5801070.836	18U	482.505	0000.0000	0000.0000
800 400	user	Geocache Found		800 400		694866.849	5801117.439	18U	495.216	0000.0000	0000.0000
800 50	user	Geocache Found		800 50		694694.267	5800813.710	18U	495.159	0000.0000	0000.0000
900 100	user	Geocache Found		900 100		694798.602	5800806.919	18U	491.639	0000.0000	0000.0000
900 150	user	Geocache Found		900 150		694820.772	5800850.334	18U	494.552	0000.0000	0000.0000
900 200	user	Geocache Found		900 200		694850.149	5800896.050	18U	493.809	0000.0000	0000.0000
900 250	user	Geocache Found		900 250		694871.959	5800943.352	18U	491.234	0000.0000	0000.0000
900 300	user	Geocache Found		900 300		694899.698	5800980.416	18U	492.544	0000.0000	0000.0000
900 350	user	Geocache Found		900 350		694926.775	5801029.150	18U	492.977	0000.0000	0000.0000
900 400	user	Geocache Found		900 400		694947.237	5801070.724	18U	491.945	0000.0000	0000.0000
900 450	user	Geocache Found		900 450		694970.483	5801100.600	18U	493.318	0000.0000	0000.0000
900 50	user	Geocache Found		900 50		694776.706	5800763.506	18U	492.314	0000.0000	0000.0000
