Loop 5A - WGS 84 / UTM zone 44N
Easting,Northing,Elevation
688673.62,5587049.44,943.95
688636.86,5587082.63,944.09
688600.96,5587117.97,935.82
688566.12,5587159.36,925.27
688534.62,5587192.97,942.52
688493.76,5587221.56,962.29
688460.82,5587259.35,977.17
688429.96,5587298.88,988.01
688394.61,5587334.67,991.68
688356.89,5587364.95,998.55
688319.28,5587326.65,969.12
688288.18,5587293.03,956.07
688248.88,5587260.25,940.93
688216.26,5587223.35,922.21
688177.15,5587191.01,909.19
688141.55,5587159.8,897.22
688108.77,5587121.45,878.38
688070.61,5587086.48,863.79
688107.33,5587056.06,862.63
688132.71,5587020.46,865.24
688175.34,5586980.35,864.91
688210.23,5586945.52,866.17
688251.5,5586913.38,871.1
688282.13,5586874.07,875.15
688304.8,5586829.01,878.31
688351.08,5586804.06,881.63
688389.26,5586768.8,891.54
688423.61,5586735.19,902.17
688464.36,5586701.69,916.1
688494.22,5586660.57,935.77
688530.12,5586697.03,955.96
688562.42,5586732.91,976.75
688600.27,5586766.65,995.4
688634.46,5586799.59,1011.9
688668.78,5586840.45,1009.89
688706.17,5586873.18,998.99
688741.45,5586909.28,986.65
688779.01,5586941.12,978.15
688742.78,5586975.45,969.73
688707.89,5587012.38,955.49
