Station,Segment Azimuth,Segment Dip,X Position,Y Position,Z Position,PPx Theory,PPy Theory,PPz Theory,PPxy Theory,PPxy Measured,PPxy Cleaned,Calculated Azimuth,Calculated Dip,Accelerometer Roll Angle,Magnetometer Roll Angle,Measured PP Roll Angle,Cleaned PP Roll Angle
40,348.30,40.90,543316.74,1368015.38,-128.83,1118.10,745.92,-687.45,1344.08,291.38,832.39,351.60,-41.33,239.68,252.57,254.92,254.61
50,348.30,40.73,543315.21,1368022.77,-135.38,1144.07,755.59,-659.46,1371.06,256.28,759.61,351.65,-41.14,239.05,251.91,247.75,255.17
60,348.30,40.66,543313.67,1368030.19,-141.91,1169.51,764.46,-628.68,1397.19,286.57,905.56,352.05,-40.97,239.04,251.33,260.80,258.11
70,348.30,40.60,543312.13,1368037.62,-148.43,1193.48,772.47,-596.45,1421.65,316.38,1048.71,351.80,-40.77,238.43,251.12,262.86,254.97
80,348.30,40.54,543310.59,1368045.05,-154.94,1215.63,779.58,-563.31,1444.13,351.41,941.10,351.59,-40.57,237.23,250.33,256.76,252.96
90,348.23,40.50,543309.05,1368052.49,-161.44,1236.62,784.37,-529.85,1464.40,405.98,1043.74,351.62,-40.50,236.76,249.81,255.36,252.14
100,347.90,40.40,543307.51,1368059.94,-167.93,1257.59,782.70,-499.73,1481.27,449.25,1124.93,351.59,-40.50,235.73,248.82,250.59,248.66
110,347.57,40.33,543305.92,1368067.38,-174.42,1277.13,780.24,-468.38,1496.61,522.12,1243.01,351.53,-40.50,235.27,248.45,246.68,245.04
120,347.30,40.30,543304.29,1368074.82,-180.89,1294.58,778.38,-435.19,1510.57,587.96,1294.71,351.59,-40.44,235.08,248.15,246.46,241.63
130,347.40,40.20,543302.62,1368082.27,-187.36,1306.55,783.12,-399.40,1523.27,690.41,1346.97,351.13,-40.46,236.04,249.86,242.32,240.91
140,347.60,40.10,543300.96,1368089.72,-193.82,1315.72,788.92,-362.35,1534.12,850.41,1397.39,350.77,-40.20,236.34,250.99,236.96,240.17
150,347.80,40.00,543299.31,1368097.19,-200.26,1322.92,793.75,-325.21,1542.78,553.94,1368.97,350.58,-40.15,237.10,251.83,232.54,239.76
160,347.80,39.90,543297.70,1368104.68,-206.69,1329.96,793.86,-290.21,1548.87,888.46,1344.39,351.74,-40.05,236.96,249.89,232.35,239.35
170,347.90,39.80,543296.07,1368112.18,-213.10,1334.31,795.00,-254.30,1553.19,1198.18,1356.62,348.97,-39.98,237.66,255.81,228.54,241.15
180,348.00,39.70,543294.46,1368119.69,-219.50,1336.83,795.28,-218.62,1555.50,399.74,1260.58,350.70,-39.86,235.96,252.02,239.95,241.02
190,347.90,39.60,543292.86,1368127.21,-225.89,1339.34,791.24,-185.40,1555.60,499.01,1190.05,350.45,-39.76,236.75,252.98,226.03,241.79
200,347.80,39.50,543291.25,1368134.75,-232.26,1340.21,786.55,-152.60,1553.97,415.39,1141.67,351.60,-39.55,235.41,248.79,224.56,242.95
210,347.70,39.40,543289.62,1368142.29,-238.62,1339.48,781.23,-120.29,1550.66,425.55,1112.63,350.72,-39.40,236.34,251.35,222.23,245.10
220,347.60,39.30,543287.97,1368149.84,-244.97,1337.21,775.32,-88.52,1545.72,445.17,949.00,351.27,-39.35,237.08,250.91,233.38,249.60
230,347.50,39.20,543286.31,1368157.40,-251.31,1333.46,768.84,-57.38,1539.23,503.25,1053.66,350.73,-39.34,234.97,249.49,222.10,254.18
240,347.40,39.10,543284.63,1368164.96,-257.63,1328.27,761.84,-26.91,1531.24,401.55,915.07,348.73,-39.25,238.35,257.27,220.59,258.64
250,347.40,39.00,543282.94,1368172.54,-263.93,1320.89,755.78,3.85,1521.82,291.85,908.52,350.27,-39.13,237.22,252.90,205.53,266.61
260,347.40,38.90,543281.24,1368180.12,-270.23,1312.17,749.17,33.81,1510.98,14.36,713.63,351.78,-39.00,232.89,246.59,213.63,266.15
270,347.40,38.80,543279.55,1368187.72,-276.51,1302.19,742.05,62.91,1498.77,44.08,559.60,350.86,-38.89,235.94,250.71,168.45,271.80
280,347.20,38.70,543277.85,1368195.32,-282.77,1292.61,731.86,89.12,1485.41,112.13,504.28,350.91,-38.81,235.27,249.92,112.03,280.88
290,347.00,38.60,543276.12,1368202.93,-289.02,1281.95,721.39,114.48,1470.99,41.21,465.73,350.64,-38.72,235.29,250.42,101.16,279.47
300,346.77,38.47,543274.36,1368210.55,-295.26,1270.63,710.27,137.88,1455.67,497.89,676.35,350.58,-38.66,236.30,251.50,144.21,164.18
310,346.70,38.30,543272.57,1368218.17,-301.49,1257.21,700.86,161.28,1439.37,678.58,1011.63,350.52,-38.59,235.61,250.93,172.93,187.27
320,346.70,38.13,543270.77,1368225.80,-307.69,1242.49,691.90,184.39,1422.15,654.29,1114.86,350.38,-38.45,237.08,252.70,178.29,202.77
330,346.70,37.97,543268.96,1368233.45,-313.87,1227.01,682.65,206.54,1404.12,722.49,1162.83,350.51,-38.39,237.20,252.62,191.51,212.04
340,346.80,37.80,543267.15,1368241.12,-320.03,1210.11,674.10,228.67,1385.20,710.16,1186.27,349.89,-38.13,235.30,251.81,190.96,215.77
350,346.97,37.63,543265.34,1368248.81,-326.16,1192.10,665.84,250.42,1365.45,718.35,1200.62,349.25,-37.88,236.03,253.96,207.90,220.15
360,347.08,37.48,543263.55,1368256.52,-332.28,1173.86,656.72,270.80,1345.08,816.94,1205.28,350.22,-37.88,235.84,251.90,220.01,222.13
370,347.00,37.34,543261.77,1368264.25,-338.37,1156.19,645.81,289.04,1324.33,838.20,1191.02,350.39,-37.65,235.75,251.61,222.42,224.40
380,347.00,37.21,543259.99,1368271.99,-344.44,1137.53,635.37,307.02,1302.94,867.68,1195.47,350.40,-37.43,234.82,250.74,223.79,226.06
390,346.94,37.04,543258.19,1368279.75,-350.49,1119.06,624.34,322.68,1281.44,868.03,1181.94,350.32,-37.20,236.13,252.25,229.32,230.48
400,346.94,37.04,543256.40,1368287.52,-356.52,1098.82,613.64,341.25,1258.55,884.74,1198.73,350.23,-37.05,234.43,250.72,232.30,229.56
