Station,Segment Azimuth,Segment Dip,X Position,Y Position,Z Position,PPx Theory,PPy Theory,PPz Theory,PPxy Theory,PPxy Measured,PPxy Cleaned,Calculated Azimuth,Calculated Dip,Accelerometer Roll Angle,Magnetometer Roll Angle,Measured PP Roll Angle,Cleaned PP Roll Angle
40,,,,,,,,,,,,351.60,-41.33,239.68,252.57,,
50,,,,,,,,,,,,351.65,-41.14,239.05,251.91,,
60,,,,,,,,,,,,352.05,-40.97,239.04,251.33,,
70,,,,,,,,,,,,351.80,-40.77,238.43,251.12,,
80,,,,,,,,,,,,351.59,-40.57,237.23,250.33,,
90,,,,,,,,,,,,351.62,-40.50,236.76,249.81,,
100,,,,,,,,,,,,351.59,-40.50,235.73,248.82,,
110,,,,,,,,,,,,351.53,-40.50,235.27,248.45,,
120,,,,,,,,,,,,351.59,-40.44,235.08,248.15,,
130,,,,,,,,,,,,351.13,-40.46,236.04,249.86,,
140,,,,,,,,,,,,350.77,-40.20,236.34,250.99,,
150,,,,,,,,,,,,350.58,-40.15,237.10,251.83,,
160,,,,,,,,,,,,351.74,-40.05,236.96,249.89,,
170,,,,,,,,,,,,348.97,-39.98,237.66,255.81,,
180,,,,,,,,,,,,350.70,-39.86,235.96,252.02,,
190,,,,,,,,,,,,350.45,-39.76,236.75,252.98,,
200,,,,,,,,,,,,351.60,-39.55,235.41,248.79,,
210,,,,,,,,,,,,350.72,-39.40,236.34,251.35,,
220,,,,,,,,,,,,351.27,-39.35,237.08,250.91,,
230,,,,,,,,,,,,350.73,-39.34,234.97,249.49,,
240,,,,,,,,,,,,348.73,-39.25,238.35,257.27,,
250,,,,,,,,,,,,350.27,-39.13,237.22,252.90,,
260,,,,,,,,,,,,351.78,-39.00,232.89,246.59,,
270,,,,,,,,,,,,350.86,-38.89,235.94,250.71,,
280,,,,,,,,,,,,350.91,-38.81,235.27,249.92,,
290,,,,,,,,,,,,350.64,-38.72,235.29,250.42,,
300,,,,,,,,,,,,350.58,-38.66,236.30,251.50,,
310,,,,,,,,,,,,350.52,-38.59,235.61,250.93,,
320,,,,,,,,,,,,350.38,-38.45,237.08,252.70,,
330,,,,,,,,,,,,350.51,-38.39,237.20,252.62,,
340,,,,,,,,,,,,349.89,-38.13,235.30,251.81,,
350,,,,,,,,,,,,349.25,-37.88,236.03,253.96,,
360,,,,,,,,,,,,350.22,-37.88,235.84,251.90,,
370,,,,,,,,,,,,350.39,-37.65,235.75,251.61,,
380,,,,,,,,,,,,350.40,-37.43,234.82,250.74,,
390,,,,,,,,,,,,350.32,-37.20,236.13,252.25,,
400,,,,,,,,,,,,350.23,-37.05,234.43,250.72,,
