
/> 
read_ramp 01251120
<CR>Time:2021/01/25 15:23Ramp data first polarity: 
769 770 769 768 768 767 769 768 769 769 769 769 769 768 769 768 768 769 768 768 769 768 767 769 768 768 769 768 767 768 769 769 768 769 768 767 767 767 768 768 769 769 769 769 767 768 767 768 767 770 769 767 769 767 769 767 767 768 769 770 768 769 769 767 766 766 763 764 761 760 758 755 753 753 751 749 747 746 744 742 741 741 738 736 735 734 733 731 729 727 727 725 723 722 721 718 718 716 715 712 712 710 708 707 706 705 704 701 701 698 696 695 693 693 691 690 689 686 685 683 682 681 679 677 676 676 673 672 670 668 667 665 664 662 662 660 658 656 655 654 652 651 649 649 647 644 644 642 641 639 638 636 635 634 632 630 630 628 626 626 623 621 621 620 618 615 615 614 613 609 609 609 607 605 604 603 600 599 598 596 595 594 593 591 589 588 586 585 583 582 581 580 578 576 574 573 572 571 569 569 568 565 565 563 561 559 557 557 555 555 553 551 550 549 547 546 545 544 543 541 539 538 536 535 534 532 531 531 528 527 526 524 523 521 520 518 518 516 516 514 512 511 510 509 508 507 508 507 507 506 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0125
<CR>Time:2021/01/25 15:23
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 41 4 223 15890 
8 41 19 223 15951 
8 41 34 224 15951 
8 41 49 224 15951 
8 42 4 224 15951 
8 42 19 224 15951 
8 57 50 103 15890 
8 58 43 224 15951 
8 58 58 224 15951 
8 59 13 224 15951 
8 59 28 224 15951 
8 59 43 224 15951 
8 59 58 224 15951 
9 0 13 224 15951 
9 0 28 224 15951 
9 0 43 224 15951 
9 0 58 224 15951 
9 1 13 224 15951 
9 1 28 224 15951 
9 1 43 224 15951 
9 1 58 224 15951 
9 2 13 224 15951 
9 2 28 224 15951 
9 2 43 224 15951 
9 2 58 224 15951 
9 3 13 224 15951 
9 3 28 224 15951 
9 3 43 224 15951 
9 3 58 223 15951 
9 4 13 224 15951 
9 5 6 224 15951 
9 5 21 224 15951 
9 5 36 224 15951 
9 5 51 224 15951 
9 6 6 224 15951 
9 6 21 224 15951 
9 6 36 223 15951 
9 6 51 224 15951 
9 7 6 224 15951 
9 7 21 224 15951 
9 7 36 224 15951 
9 7 51 224 15951 
9 8 6 224 15951 
9 8 21 224 15951 
9 8 36 224 15951 
9 8 51 224 15951 
9 9 6 224 15951 
9 9 21 224 15951 
9 9 36 224 15951 
9 9 51 224 15951 
9 10 6 224 15951 
9 10 21 224 15951 
9 10 36 224 15951 
9 10 51 224 15951 
9 11 6 224 15951 
9 11 21 224 15951 
9 11 36 224 15951 
9 11 51 224 15951 
9 12 6 224 15951 
9 12 21 224 15951 
9 12 36 224 15951 
9 12 51 224 15951 
9 13 6 224 15951 
9 13 21 224 15951 
9 13 36 224 15951 
9 13 51 224 15951 
9 14 6 224 15951 
9 14 21 224 15951 
9 14 36 224 15951 
9 14 51 224 15951 
9 15 6 224 15951 
9 15 21 224 15951 
9 15 36 224 15951 
9 15 51 224 15951 
9 16 6 224 15951 
9 16 21 224 15951 
9 16 36 224 15951 
9 16 51 224 15951 
9 17 6 224 15951 
9 17 21 224 15951 
9 17 36 224 15951 
9 17 51 224 15951 
9 18 6 224 15951 
9 18 21 224 15951 
9 18 36 224 15951 
9 18 51 224 15951 
9 19 6 224 15951 
9 19 21 224 15951 
9 20 13 224 15951 
9 20 28 224 15951 
9 20 43 224 15951 
9 20 58 224 15951 
9 21 13 223 15951 
9 21 28 224 15951 
9 21 43 224 15951 
9 21 58 224 15951 
9 22 13 224 15951 
9 22 28 224 15951 
9 22 43 224 15951 
9 22 58 224 15951 
9 23 13 224 15951 
9 23 28 224 15951 
9 23 43 224 15951 
9 23 58 224 15951 
9 24 13 224 15951 
9 24 28 224 15951 
9 24 43 224 15951 
9 24 58 224 15951 
9 25 13 224 15951 
9 25 28 224 15951 
9 25 43 224 15951 
9 25 58 224 15951 
9 26 13 224 15951 
9 26 28 224 15951 
9 26 43 224 15951 
9 26 58 224 15951 
9 27 13 224 15951 
9 27 28 224 15951 
9 27 43 224 15951 
9 27 58 224 15951 
9 28 13 224 15951 
9 28 28 224 15951 
9 28 43 224 15951 
9 28 58 224 15951 
9 29 13 224 15951 
9 29 28 224 15951 
9 29 43 224 15951 
9 29 58 224 15951 
9 30 13 224 15951 
9 30 28 224 15951 
9 30 43 224 15951 
9 30 58 224 15951 
9 31 13 224 15951 
9 31 28 224 15951 
9 31 43 224 15951 
9 31 58 224 15951 
9 32 13 224 15951 
9 32 28 224 15951 
9 32 43 224 15951 
9 32 58 224 15951 
9 33 13 224 15951 
9 33 28 224 15951 
9 33 43 224 15951 
9 33 58 224 15951 
9 34 13 224 15951 
9 34 28 224 15951 
9 35 20 224 15951 
9 35 35 224 15951 
9 35 50 224 15951 
9 36 5 223 15951 
9 36 20 224 15951 
9 36 35 224 15951 
9 36 50 224 15951 
9 37 5 224 15951 
9 37 20 224 15951 
9 37 35 224 15951 
9 37 50 224 15951 
9 38 5 224 15951 
9 38 20 224 15951 
9 38 35 224 15951 
9 38 50 224 15951 
9 39 5 224 15951 
9 39 20 224 15951 
9 39 35 224 15951 
9 39 50 224 15951 
9 40 5 224 15951 
9 40 20 224 15951 
9 40 35 224 15951 
9 40 50 224 15951 
9 41 5 224 15951 
9 41 20 224 15951 
9 41 35 224 15951 
9 41 50 224 15951 
9 42 5 224 15951 
9 42 20 224 15951 
9 42 35 224 15951 
9 42 50 224 15951 
9 43 5 224 15951 
9 43 20 224 15951 
9 43 35 224 15951 
9 43 50 224 15951 
9 44 5 224 15951 
9 44 20 224 15951 
9 44 35 224 15951 
9 44 50 224 15951 
9 45 5 224 15951 
9 45 20 224 15951 
9 45 35 224 15951 
9 45 50 224 15951 
9 46 5 224 15951 
9 46 20 224 15951 
9 46 35 224 15951 
9 46 50 224 15951 
9 47 5 224 15951 
9 47 20 224 15951 
9 47 35 224 15951 
9 47 50 224 15951 
9 48 5 224 15951 
9 48 20 224 15951 
9 48 35 224 15951 
9 48 50 224 15951 
9 49 5 224 15951 
9 49 20 224 15951 
9 49 35 224 15951 
9 50 12 224 15951 
9 50 27 223 15951 
9 50 42 224 15951 
9 50 57 224 15951 
9 51 12 224 15951 
9 51 27 224 15951 
9 51 42 224 15951 
9 51 57 224 15951 
9 52 12 224 15951 
9 52 27 224 15951 
9 52 42 224 15951 
9 52 57 224 15951 
9 53 12 224 15951 
9 53 27 224 15951 
9 53 42 224 15951 
9 53 57 224 15951 
9 54 12 224 15951 
9 54 27 224 15951 
9 54 42 224 15951 
9 54 57 224 15951 
9 55 12 224 15951 
9 55 27 224 15951 
9 55 42 224 15951 
9 55 57 224 15951 
9 56 12 224 15951 
9 56 27 224 15951 
9 56 42 224 15951 
9 56 57 224 15951 
9 57 12 224 15951 
9 57 27 224 15951 
9 57 42 224 15951 
9 58 12 225 15951 
9 58 27 224 15951 
9 58 42 224 15951 
9 58 57 224 15951 
9 59 12 224 15951 
9 59 27 224 15951 
9 59 42 224 15951 
9 59 57 224 15951 
10 0 12 224 15951 
10 0 27 224 15951 
10 0 42 224 15951 
10 0 57 224 15951 
10 1 12 224 15951 
10 1 27 224 15951 
10 1 42 224 15951 
10 1 57 224 15951 
10 2 12 224 15951 
10 2 27 224 15951 
10 2 42 224 15951 
10 2 57 224 15951 
10 3 12 224 15951 
10 3 27 224 15951 
10 3 42 224 15951 
10 3 57 224 15951 
10 4 12 224 15951 
10 4 27 224 15951 
10 4 42 224 15951 
10 5 34 224 15951 
10 5 49 224 15951 
10 6 4 224 15951 
10 6 19 224 15951 
10 6 34 224 15951 
10 6 49 224 15951 
10 7 4 224 15951 
10 7 19 224 15951 
10 7 34 224 15951 
10 7 49 224 15951 
10 8 4 224 15951 
10 8 19 224 15951 
10 8 34 224 15951 
10 8 49 224 15951 
10 9 4 224 15951 
10 9 19 224 15951 
10 9 34 224 15951 
10 9 49 224 15951 
10 10 4 224 15951 
10 10 19 224 15951 
10 10 34 224 15951 
10 10 49 224 15951 
10 11 4 224 15951 
10 11 19 224 15951 
10 11 34 224 15951 
10 11 49 224 15951 
10 12 4 224 15951 
10 12 19 224 15951 
10 12 34 224 15951 
10 12 49 224 15951 
10 13 4 224 15951 
10 13 19 224 15951 
10 13 34 224 15951 
10 13 49 224 15951 
10 14 4 224 15951 
10 14 19 224 15951 
10 14 34 224 15951 
10 14 49 224 15951 
10 15 4 224 15951 
10 15 19 224 15951 
10 15 34 224 15951 
10 15 49 224 15951 
10 16 4 224 15951 
10 16 19 224 15951 
10 16 34 224 15951 
10 16 49 224 15951 
10 17 4 224 15951 
10 17 19 224 15951 
10 17 34 224 15951 
10 17 49 224 15951 
10 18 4 224 15951 
10 18 19 224 15951 
10 18 34 224 15951 
10 18 49 224 15951 
10 19 4 224 15951 
10 19 19 224 15951 
10 19 34 224 15951 
10 19 49 224 15951 
10 20 26 224 15951 
10 20 41 224 15951 
10 20 56 224 15951 
10 21 11 224 15951 
10 21 26 224 15951 
10 21 41 224 15951 
10 21 56 224 15951 
10 22 11 224 15951 
10 22 26 224 15951 
10 22 41 224 15951 
10 22 56 224 15951 
10 23 11 224 15951 
10 23 26 224 15951 
10 23 41 224 15951 
10 23 56 224 15951 
10 24 11 224 15951 
10 24 26 224 15951 
10 24 41 224 15951 
10 24 56 224 15951 
10 25 11 224 15951 
10 25 26 224 15951 
10 25 41 224 15951 
10 25 56 224 15951 
10 26 11 224 15951 
10 26 26 224 15951 
10 26 41 224 15951 
10 26 56 224 15951 
