ðþ

Serial communication
Type 'h or ?' for help.

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/07/18 06:23        40  0718
----A 2021/07/19 11:29      9504  0719
----A 2021/07/19 06:41    128640  07190626
----A 2021/07/19 06:57    128000  07190641
----A 2021/07/19 07:11    128640  07190656
----A 2021/07/19 07:27    128000  07190712
----A 2021/07/19 07:43    128640  07190727
----A 2021/07/19 07:59    128000  07190742
----A 2021/07/19 08:13    128640  07190758
----A 2021/07/19 08:29    128000  07190813
----A 2021/07/19 08:43    128640  07190828
----A 2021/07/19 08:59    128000  07190844
----A 2021/07/19 09:15    128640  07190859
----A 2021/07/19 09:31    128000  07190914
----A 2021/07/19 09:45    128640  07190930
----A 2021/07/19 10:15    176000  07190945
----A 2021/07/19 10:31    128640  07191015
----A 2021/07/19 10:47    128000  07191031
----A 2021/07/19 11:03    128640  07191046
----A 2021/07/19 11:19    128000  07191101
----A 2021/07/19 11:17      2560  07191117

  21 File(s),   2369864 bytes total
   0 Dir(s),     998160K bytes free

/> 
read 0719
read 0719
<CR>Time:2021/07/19 11:17
Hours Minutes Seconds  Nb_Samples    Aver. Current 
6 11 17 74 15196 
6 11 32 73 17904 
6 11 47 75 20057 
6 12 42 75 20180 
6 12 57 75 20118 
6 13 12 75 20118 
6 14 13 75 20180 
6 14 28 75 20118 
6 14 43 75 20118 
6 14 58 75 20057 
6 15 13 75 20057 
6 15 28 75 19995 
6 15 43 75 19995 
6 15 58 75 19995 
6 16 13 75 19934 
6 16 28 75 19872 
6 16 43 75 19872 
6 16 58 75 19872 
6 17 13 75 19811 
6 17 28 75 19811 
6 17 43 75 19811 
6 17 58 75 19811 
6 18 13 75 19811 
6 18 28 75 19811 
6 18 43 75 19811 
6 18 58 75 19811 
6 19 13 75 19811 
6 19 28 75 19811 
6 19 43 75 19811 
6 19 58 75 19811 
6 20 13 75 19811 
6 20 28 75 19811 
6 20 43 75 19811 
6 20 58 75 19811 
6 21 13 75 19811 
6 21 28 75 19811 
6 21 43 75 19811 
6 21 58 75 19811 
6 22 13 75 19811 
6 22 28 75 19811 
6 22 43 75 19811 
6 22 58 75 19811 
6 23 13 75 19811 
6 23 28 75 19811 
6 23 43 75 19872 
6 23 58 75 19872 
6 24 13 75 19811 
6 24 28 75 19872 
6 24 43 75 19872 
6 24 58 75 19872 
6 25 13 75 19872 
6 25 28 75 19872 
6 25 43 75 19872 
6 26 49 75 19934 
6 27 4 75 19934 
6 27 19 75 19934 
6 27 34 75 19934 
6 27 49 75 19934 
6 28 4 75 19934 
6 28 19 75 19934 
6 28 34 75 19934 
6 28 49 75 19934 
6 29 4 75 19934 
6 29 19 75 19995 
6 29 34 75 19995 
6 29 49 75 19995 
6 30 4 75 19995 
6 30 19 75 19995 
6 30 34 75 19995 
6 30 49 75 19995 
6 31 4 75 19995 
6 31 19 75 19995 
6 31 34 75 19995 
6 31 49 75 19995 
6 32 4 75 19995 
6 32 19 75 19995 
6 32 34 75 19995 
6 32 49 75 20057 
6 33 4 75 19995 
6 33 19 75 20057 
6 33 34 75 20057 
6 33 49 75 20057 
6 34 4 75 20057 
6 34 19 75 20057 
6 34 34 75 20057 
6 34 49 75 20057 
6 35 4 75 20057 
6 35 19 75 20057 
6 35 34 75 20057 
6 35 49 75 20057 
6 36 4 75 20057 
6 36 19 75 20057 
6 36 34 75 20057 
6 36 49 75 20057 
6 37 4 75 20057 
6 37 19 75 20057 
6 37 34 75 20057 
6 37 49 75 20057 
6 38 4 75 20057 
6 38 19 75 20057 
6 38 34 75 20057 
6 38 49 75 20057 
6 39 4 75 20057 
6 39 19 75 20057 
6 39 34 75 20118 
6 39 49 75 20118 
6 40 4 75 20118 
6 40 19 75 20118 
6 40 34 75 20118 
6 40 49 75 20118 
6 41 4 75 20118 
6 41 54 75 20057 
6 42 9 74 20057 
6 42 24 75 20118 
6 42 39 75 20118 
6 42 54 75 20057 
6 43 9 75 20118 
6 43 24 75 20118 
6 43 39 75 20118 
6 43 54 75 20118 
6 44 9 75 20118 
6 44 24 75 20118 
6 44 39 75 20057 
6 44 54 75 20118 
6 45 9 75 20118 
6 45 24 75 20118 
6 45 39 75 20118 
6 45 54 75 20118 
6 46 9 75 20118 
6 46 24 75 20118 
6 46 39 75 20118 
6 46 54 75 20118 
6 47 9 75 20118 
6 47 24 75 20118 
6 47 39 75 20118 
6 47 54 75 20118 
6 48 9 75 20118 
6 48 24 75 20118 
6 48 39 75 20118 
6 48 54 75 20118 
6 49 9 75 20118 
6 49 24 75 20118 
6 49 39 75 20118 
6 49 54 75 20118 
6 50 9 75 20118 
6 50 24 75 20118 
6 50 39 75 20118 
6 50 54 75 20118 
6 51 9 75 20118 
6 51 24 75 20118 
6 51 39 75 20118 
6 51 54 75 20118 
6 52 9 75 20118 
6 52 24 75 20118 
6 52 39 75 20118 
6 52 54 75 20118 
6 53 9 75 20118 
6 53 24 75 20118 
6 53 39 75 20118 
6 53 54 75 20118 
6 54 9 75 20118 
6 54 24 75 20118 
6 54 39 75 20118 
6 54 54 75 20118 
6 55 9 75 20118 
6 55 24 75 20118 
6 55 39 75 20118 
6 55 54 75 20118 
6 56 9 75 20118 
6 56 24 75 20118 
6 57 29 75 20118 
6 57 44 75 20118 
6 57 59 75 20118 
6 58 14 75 20118 
6 58 29 75 20118 
6 58 44 75 20118 
6 58 59 75 20118 
6 59 14 75 20118 
6 59 29 75 20118 
6 59 44 75 20118 
6 59 59 75 20118 
7 0 14 75 20118 
7 0 29 75 20118 
7 0 44 75 20118 
7 0 59 75 20118 
7 1 14 75 20118 
7 1 29 75 20118 
7 1 44 75 20118 
7 1 59 75 20118 
7 2 14 75 20118 
7 2 29 75 20118 
7 2 44 75 20118 
7 2 59 75 20118 
7 3 14 75 20118 
7 3 29 75 20118 
7 3 44 75 20118 
7 3 59 75 20118 
7 4 14 75 20118 
7 4 29 75 20118 
7 4 44 75 20118 
7 4 59 75 20118 
7 5 14 75 20118 
7 5 29 75 20118 
7 5 44 75 20118 
7 5 59 75 20118 
7 6 14 75 20118 
7 6 29 75 20118 
7 6 44 75 20118 
7 6 59 75 20118 
7 7 14 75 20118 
7 7 29 75 20118 
7 7 44 75 20118 
7 7 59 75 20118 
7 8 14 75 20118 
7 8 29 75 20118 
7 8 44 75 20118 
7 8 59 75 20118 
7 9 14 75 20118 
7 9 29 75 20118 
7 9 44 75 20118 
7 9 59 75 20118 
7 10 14 75 20118 
7 10 29 75 20118 
7 10 44 75 20118 
7 10 59 75 20118 
7 11 14 75 20118 
7 11 29 75 20118 
7 11 44 75 20118 
7 12 34 75 20118 
7 12 49 75 20118 
7 13 4 75 20118 
7 13 19 75 20118 
7 13 34 75 20118 
7 13 49 75 20118 
7 14 4 75 20118 
7 14 19 75 20118 
7 14 34 75 20118 
7 14 49 75 20118 
7 15 4 75 20118 
7 15 19 75 20118 
7 15 34 75 20118 
7 15 49 75 20118 
7 16 4 75 20118 
7 16 19 75 20118 
7 16 34 75 20118 
7 16 49 75 20118 
7 17 4 75 20118 
7 17 19 75 20118 
7 17 34 75 20118 
7 17 49 75 20118 
7 18 4 75 20118 
7 18 19 75 20118 
7 18 34 75 20118 
7 18 49 75 20118 
7 19 4 75 20118 
7 19 19 75 20118 
7 19 34 75 20118 
7 19 49 75 20118 
7 20 4 75 20118 
7 20 19 75 20118 
7 20 34 75 20118 
7 20 49 75 20118 
7 21 4 75 20118 
7 21 19 75 20118 
7 21 34 75 20118 
7 21 49 75 20118 
7 22 4 75 20118 
7 22 19 75 20118 
7 22 34 75 20118 
7 22 49 75 20118 
7 23 4 75 20118 
7 23 19 75 20118 
7 23 34 75 20118 
7 23 49 75 20118 
7 24 4 75 20118 
7 24 19 75 20118 
7 24 34 75 20118 
7 24 49 75 20118 
7 25 4 75 20118 
7 25 19 75 20118 
7 25 34 75 20118 
7 25 49 75 20118 
7 26 4 75 20118 
7 26 19 75 20118 
7 26 34 75 20118 
7 26 49 75 20118 
7 27 4 75 20118 
7 28 9 75 20118 
7 28 24 74 20118 
7 28 39 75 20118 
7 28 54 75 20118 
7 29 9 75 20118 
7 29 24 75 20118 
7 29 39 75 20118 
7 29 54 75 20118 
7 30 9 75 20118 
7 30 24 75 20118 
7 30 39 75 20118 
7 30 54 75 20118 
7 31 9 75 20118 
7 31 24 75 20118 
7 31 39 75 20118 
7 31 54 75 20118 
7 32 9 75 20118 
7 32 24 75 20118 
7 32 39 75 20118 
7 32 54 75 20118 
7 33 9 75 20118 
7 33 24 75 20118 
7 33 39 75 20118 
7 33 54 75 20118 
7 34 9 75 20118 
7 34 24 75 20118 
7 34 39 75 20118 
7 34 54 75 20118 
7 35 9 75 20118 
7 35 24 75 20118 
