ls
ls
<CR>
         TIME          Size       File name 
----A 2021/08/25 13:14      3320  0825
----A 2021/08/25 11:55    128640  08251140
----A 2021/08/25 12:10    128000  08251155
----A 2021/08/25 12:27    128640  08251210
----A 2021/08/25 12:43    128000  08251225
----A 2021/08/25 12:56    128640  08251241
----A 2021/08/25 13:11    128000  08251256
----A 2021/08/25 13:11      2560  08251311

   8 File(s),    775800 bytes total
   0 Dir(s),     999776K bytes free

/> 
read 0825
read 0825
<CR>Time:2021/08/25 13:11
Hours Minutes Seconds  Nb_Samples    Aver. Current 
11 27 39 223 20029 
11 27 54 219 20090 
11 28 9 224 20029 
11 28 24 224 20029 
11 28 39 224 20029 
11 28 54 224 20029 
11 29 9 224 20029 
11 29 24 224 20029 
11 29 39 224 20029 
11 29 54 224 20029 
11 30 9 224 20029 
11 30 24 224 20029 
11 30 39 224 20029 
11 30 54 224 20029 
11 31 10 224 20029 
11 31 25 224 20029 
11 31 40 224 20029 
11 31 55 224 20029 
11 32 10 224 20029 
11 32 25 224 20029 
11 32 40 224 20029 
11 32 55 224 20029 
11 33 10 224 20029 
11 33 25 224 20029 
11 33 40 224 20029 
11 33 55 224 20029 
11 34 10 224 20029 
11 34 25 224 20029 
11 34 40 224 20029 
11 34 55 224 20029 
11 35 10 224 20029 
11 35 25 224 20029 
11 35 40 224 20029 
11 35 55 224 20029 
11 36 10 224 20029 
11 36 25 224 19969 
11 36 40 224 20029 
11 36 55 224 20029 
11 37 10 224 20029 
11 37 25 224 20029 
11 37 40 224 19969 
11 37 55 224 19969 
11 38 10 224 19969 
11 38 25 224 19969 
11 38 40 224 19969 
11 38 55 224 19969 
11 39 10 224 19969 
11 39 25 224 19969 
11 39 40 224 19969 
11 39 55 224 19969 
11 40 10 224 19969 
11 40 25 224 19969 
11 41 17 224 19969 
11 41 32 224 19969 
11 41 47 224 19969 
11 42 2 224 19969 
11 42 17 224 19969 
11 42 32 224 19969 
11 42 47 224 19969 
11 43 2 224 19969 
11 43 17 224 19969 
11 43 32 224 19969 
11 43 47 224 19969 
11 44 2 224 19969 
11 44 17 224 19969 
11 44 32 224 19969 
11 44 47 224 19969 
11 45 2 224 19969 
11 45 17 224 19969 
11 45 32 224 19969 
11 45 47 224 19969 
11 46 2 224 19969 
11 46 17 224 19969 
11 46 32 224 19969 
11 46 47 224 19969 
11 47 2 224 19969 
11 47 17 224 19969 
11 47 32 224 19969 
11 47 47 224 19969 
11 48 2 224 19969 
11 48 17 224 19969 
11 48 32 224 19969 
11 48 47 224 19969 
11 49 2 224 19969 
11 49 17 224 19969 
11 49 32 223 19969 
11 49 47 224 19969 
11 50 2 224 19969 
11 50 17 224 19969 
11 50 32 224 19969 
11 50 47 224 19969 
11 51 2 224 19969 
11 51 17 224 19969 
11 51 32 224 19969 
11 51 47 224 19969 
11 52 2 224 19969 
11 52 17 224 19969 
11 52 32 224 19969 
11 52 47 224 19969 
11 53 2 224 19969 
11 53 17 224 19969 
11 53 32 224 19969 
11 53 47 224 19969 
11 54 2 224 19969 
11 54 17 224 19969 
11 54 32 224 19969 
11 54 47 224 19969 
11 55 2 224 19969 
11 55 17 224 19969 
11 55 32 224 19969 
11 56 9 224 19969 
11 56 24 224 19969 
11 56 39 224 19969 
11 56 54 224 19969 
11 57 9 224 19969 
11 57 24 224 19969 
11 57 39 224 19969 
11 57 54 224 19969 
11 58 9 224 19969 
11 58 24 224 19969 
11 58 39 224 19969 
11 58 54 224 19969 
11 59 9 224 19969 
11 59 24 224 19969 
11 59 39 224 19969 
11 59 54 224 19969 
12 0 9 224 19969 
12 0 24 224 19969 
12 0 39 224 19969 
12 0 54 224 19969 
12 1 9 224 19969 
12 1 24 224 19969 
12 1 39 224 19969 
12 1 54 224 19969 
12 2 9 224 19969 
12 2 24 224 19969 
12 2 39 224 19969 
12 2 54 224 19969 
12 3 9 224 19969 
12 3 24 224 19969 
12 3 39 224 19969 
12 3 54 224 19969 
12 4 9 224 19969 
12 4 24 224 19969 
12 4 39 224 19969 
12 4 54 224 19969 
12 5 9 224 19969 
12 5 24 224 19969 
12 5 39 224 19969 
12 5 54 224 19969 
12 6 9 224 19969 
12 6 24 224 19969 
12 6 39 224 19969 
12 6 54 224 19969 
12 7 9 224 19969 
12 7 24 224 19969 
12 7 39 224 19969 
12 7 54 224 19969 
12 8 9 224 19969 
12 8 24 224 19969 
12 8 39 224 19969 
12 8 54 224 19969 
12 9 9 224 19969 
12 9 24 224 19969 
12 9 39 224 19969 
12 9 54 224 19969 
12 10 9 224 19969 
12 10 24 224 19969 
12 10 39 224 19969 
12 11 31 224 19969 
12 11 46 224 19969 
12 12 1 224 19969 
12 12 16 224 19969 
12 12 31 224 19969 
12 12 46 224 19969 
12 13 1 224 19969 
12 13 16 224 19969 
12 13 31 224 19969 
12 13 46 224 19969 
12 14 1 224 19969 
12 14 16 224 19969 
12 14 31 223 19969 
12 14 46 224 19969 
12 15 1 224 19969 
12 15 16 224 19969 
12 15 31 224 19969 
12 15 46 224 19969 
12 16 1 224 19969 
12 16 16 224 19969 
12 16 31 224 19969 
12 16 46 224 19969 
12 17 1 224 19969 
12 17 16 224 19969 
12 17 31 224 19969 
12 17 46 224 19969 
12 18 1 224 19969 
12 18 16 224 19969 
12 18 31 224 19969 
12 18 46 224 19969 
12 19 1 224 19969 
12 19 16 224 19969 
12 19 31 224 19969 
12 19 46 224 19969 
12 20 1 224 19969 
12 20 16 224 19969 
12 20 31 224 19969 
12 20 46 224 19969 
12 21 1 224 19969 
12 21 16 224 19969 
12 21 31 224 19969 
12 21 46 224 19969 
12 22 1 224 19969 
12 22 16 224 19969 
12 22 31 224 19969 
12 22 46 224 19969 
12 23 1 224 19969 
12 23 16 224 19969 
12 23 31 224 19969 
12 23 46 224 19969 
12 24 1 224 19969 
12 24 16 224 19969 
12 24 31 224 19969 
12 24 46 224 19969 
12 25 1 224 19969 
12 25 16 224 19969 
12 25 31 224 19969 
12 25 46 224 19969 
12 26 23 224 19969 
12 26 38 224 19969 
12 26 53 224 19969 
12 27 8 224 19969 
12 27 23 224 19969 
12 27 38 224 19969 
12 27 53 224 19969 
12 28 8 224 19969 
12 28 23 224 19969 
12 28 38 224 19969 
12 28 53 224 19969 
12 29 8 224 19969 
12 29 23 224 19969 
12 29 38 224 19969 
12 29 53 224 19969 
12 30 8 224 19969 
12 30 23 224 19969 
12 30 38 224 19969 
12 30 53 224 19969 
12 31 8 224 19969 
12 31 23 224 19969 
12 31 38 224 19969 
12 31 53 224 19969 
12 32 8 224 19969 
12 32 23 224 19969 
12 32 38 224 19969 
12 32 53 224 19969 
12 33 8 224 19969 
12 33 23 224 19969 
12 33 38 224 19969 
12 33 53 224 19969 
12 34 8 224 19969 
12 34 23 224 19969 
12 34 38 224 19969 
12 34 53 224 19969 
12 35 8 224 19969 
12 35 23 224 19969 
12 35 38 224 19969 
12 35 53 224 19969 
12 36 8 224 19969 
12 36 23 224 19969 
12 36 38 224 19969 
12 36 53 223 19969 
12 37 8 224 19969 
12 37 23 224 19969 
12 37 38 224 19969 
12 37 53 224 19969 
12 38 8 224 19969 
12 38 23 224 19969 
12 38 38 224 19969 
12 38 53 224 19969 
12 39 8 224 19969 
12 39 23 224 19969 
12 39 38 224 19969 
12 39 53 224 19969 
12 40 8 224 19969 
12 40 23 224 19969 
12 40 38 224 19969 
12 40 53 224 19969 
12 41 45 224 19969 
12 42 0 224 19969 
12 42 15 224 19969 
12 42 30 224 19969 
12 42 45 224 19969 
12 43 0 224 19969 
12 43 15 224 19969 
12 43 30 224 19969 
12 43 45 224 19969 
12 44 0 224 19969 
12 44 15 224 19969 
12 44 30 224 19969 
12 44 45 224 19969 
12 45 0 224 19969 
12 45 15 224 19969 
12 45 30 224 19969 
12 45 45 224 19969 
12 46 0 224 19969 
12 46 15 224 19969 
12 46 30 224 19969 
12 46 45 224 19969 
12 47 0 224 19969 
12 47 15 224 19969 
12 47 30 224 19969 
