h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/07/02 15:47     13256  0702
----A 2021/07/04 15:37     14456  0704
----A 2021/07/04 08:23    128000  07040807
----A 2021/07/04 08:37    128000  07040822
----A 2021/07/04 08:54    128000  07040837
----A 2021/07/04 09:07    128000  07040852
----A 2021/07/04 09:23    128000  07040907
----A 2021/07/04 09:39    128000  07040922
----A 2021/07/04 09:53    128000  07040938
----A 2021/07/04 10:08    128000  07040953
----A 2021/07/04 10:23    128000  07041008
----A 2021/07/04 10:39    128000  07041023
----A 2021/07/04 10:55    128000  07041038
----A 2021/07/04 11:10    128000  07041053
----A 2021/07/04 11:23    128000  07041108
----A 2021/07/04 11:39    128000  07041124
----A 2021/07/04 11:54    128000  07041139
----A 2021/07/04 12:09    128000  07041154
----A 2021/07/04 12:25    128000  07041209
----A 2021/07/04 12:39    128000  07041224
----A 2021/07/04 12:54    128000  07041239
----A 2021/07/04 13:11    128000  07041254
----A 2021/07/04 13:25    128000  07041310
----A 2021/07/04 13:40    128000  07041325
----A 2021/07/04 13:55    128000  07041340
----A 2021/07/04 14:11    128000  07041355
----A 2021/07/04 14:27    128000  07041410
----A 2021/07/04 14:42    128000  07041425
----A 2021/07/04 14:55    128000  07041440
----A 2021/07/04 15:11    128000  07041456
----A 2021/07/04 15:26    128000  07041511
----A 2021/07/04 15:27      2560  07041526
----A 2021/07/02 12:43    128000  07021228
----A 2021/07/02 12:59    128000  07021243
----A 2021/07/02 13:14    128000  07021259
----A 2021/07/02 13:29    128000  07021314
----A 2021/07/02 13:45    128000  07021329
----A 2021/07/02 13:59    128000  07021344
----A 2021/07/02 14:14    128000  07021359
----A 2021/07/02 14:31    128000  07021414
----A 2021/07/02 14:47    128000  07021429
----A 2021/07/02 15:00    128000  07021445
----A 2021/07/02 15:15    128000  07021500
----A 2021/07/02 15:31    128000  07021515
----A 2021/07/02 15:47    128000  07021530
----A 2021/07/02 15:47      2560  07021545

  46 File(s),   5408832 bytes total
   0 Dir(s),     995136K bytes free

/> 
read 0704
read 0704
<CR>Time:2021/07/02 15:47
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 52 26 187 13825 
7 52 41 182 16700 
7 52 56 187 17006 
7 53 54 187 17128 
7 54 9 186 17128 
7 54 24 187 17128 
7 54 39 186 17128 
7 54 54 187 17128 
