h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/07/06 12:10      8816  0706
----A 2021/07/04 15:37     14456  0704
----A 2021/07/06 07:55    128640  07060740
----A 2021/07/06 08:11    128000  07060755
----A 2021/07/06 08:25    128640  07060810
----A 2021/07/06 08:41    128000  07060825
----A 2021/07/06 08:55    128640  07060840
----A 2021/07/06 09:10    128000  07060855
----A 2021/07/06 09:27    128640  07060910
----A 2021/07/06 09:42    128640  07060925
----A 2021/07/06 09:55    128640  07060940
----A 2021/07/06 10:11    128000  07060955
----A 2021/07/06 10:27    128640  07061010
----A 2021/07/06 10:43    128000  07061026
----A 2021/07/06 10:56    128640  07061041
----A 2021/07/06 11:11    128000  07061056
----A 2021/07/06 11:26    128640  07061111
----A 2021/07/04 12:09    128000  07041154
----A 2021/07/04 12:25    128000  07041209
----A 2021/07/04 12:39    128000  07041224
----A 2021/07/04 12:54    128000  07041239
----A 2021/07/04 13:11    128000  07041254
----A 2021/07/04 13:25    128000  07041310
----A 2021/07/04 13:40    128000  07041325
----A 2021/07/04 13:55    128000  07041340
----A 2021/07/04 14:11    128000  07041355
----A 2021/07/04 14:27    128000  07041410
----A 2021/07/04 14:42    128000  07041425
----A 2021/07/04 14:55    128000  07041440
----A 2021/07/04 15:11    128000  07041456
----A 2021/07/04 15:26    128000  07041511
----A 2021/07/04 15:27      2560  07041526
----A 2021/07/06 11:41    128640  07061126
----A 2021/07/06 11:57    128640  07061141
----A 2021/07/06 11:57      2560  07061156

  35 File(s),   4003432 bytes total
   0 Dir(s),     996544K bytes free

/> 
read 0706
read 0706
<CR>Time:2021/07/06 11:57
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 26 10 373 13886 
7 26 25 365 16761 
7 26 40 373 17006 
7 26 55 373 17006 
7 27 10 373 17006 
7 27 25 373 17006 
7 27 40 373 17006 
7 27 55 373 17006 
7 28 10 373 17006 
7 28 25 373 17006 
7 28 40 373 17006 
7 28 55 373 17006 
7 29 10 373 17006 
7 29 25 373 17006 
7 29 40 373 17006 
7 29 55 373 17006 
7 30 10 373 17006 
7 30 25 373 17006 
7 30 40 373 17006 
7 30 55 373 17006 
7 31 10 373 17006 
7 31 25 373 17006 
7 31 40 373 17006 
7 31 55 373 17006 
7 32 10 373 17006 
7 32 25 373 17006 
7 32 40 373 17006 
7 32 55 373 17006 
