ls
ls
<CR>
         TIME          Size       File name 
----A 2021/05/18 11:39         8  0518
----A 2021/06/09 13:43      7432  0609
----A 2021/06/09 10:11    128640  06090955
----A 2021/06/09 10:27    128640  06091010
----A 2021/06/09 10:42    128640  06091025
----A 2021/05/17 12:19      3544  0517
----A 2021/06/09 10:55    128000  06091040
----A 2021/06/09 11:11    128640  06091055
----A 2021/06/09 11:26    128000  06091111
----A 2021/05/17 11:38    128000  05171123
----A 2021/05/17 11:53    128640  05171138
----A 2021/05/17 12:08    128000  05171153
----A 2021/05/17 12:09      2560  05171208
----A 2021/06/09 11:41    128640  06091126
----A 2021/06/09 11:57    128640  06091141
----A 2021/06/09 12:11    128000  06091156
----A 2021/06/09 12:27    128640  06091211
----A 2021/06/09 12:43    128000  06091226
----A 2021/06/09 12:58    128640  06091241
----A 2021/06/09 13:11    128000  06091256
----A 2021/06/09 13:27    128640  06091311
----A 2021/06/09 13:27      2560  06091327
----A 2021/06/10 11:42      8912  0610
----A 2021/06/10 07:21    128000  06100706
----A 2021/06/10 07:37    128640  06100721
----A 2021/06/10 07:51    128000  06100736
----A 2021/06/10 08:06    128640  06100751
----A 2021/06/10 08:23    128000  06100806
----A 2021/06/10 08:39    128640  06100821
----A 2021/06/10 08:52    128640  06100837
----A 2021/06/10 09:07    128640  06100852
----A 2021/06/10 09:23    128000  06100907
----A 2021/06/10 09:37    128640  06100922
----A 2021/06/10 09:54    128000  06100937
----A 2021/06/10 10:07    128000  06100952
----A 2021/06/10 10:22    128640  06101007
----A 2021/06/10 10:39    128640  06101022
----A 2021/06/10 10:53    128000  06101038
----A 2021/06/10 11:08    128640  06101053
----A 2021/06/10 11:23    128640  06101108
----A 2021/06/10 11:39    128640  06101123
----A 2021/06/10 11:39      2560  06101138

  42 File(s),   4521016 bytes total
   0 Dir(s),     995984K bytes free

/> 
read 0610
read 0610
<CR>Time:2021/06/10 11:39
Hours Minutes Seconds  Nb_Samples    Aver. Current 
6 52 6 223 9253 
6 52 21 219 10958 
6 52 36 224 12785 
6 52 51 224 14246 
6 53 6 224 15890 
6 53 21 224 17412 
6 53 36 224 18325 
6 53 51 224 19177 
6 54 6 224 19664 
6 54 21 224 20090 
6 54 36 224 20151 
6 55 29 224 20212 
6 55 44 224 20212 
6 55 59 224 20212 
6 56 14 224 20212 
6 56 29 224 20212 
6 56 44 224 20212 
6 56 59 224 20212 
6 57 14 224 20212 
6 57 29 224 20212 
6 57 44 224 20212 
6 57 59 224 20212 
6 58 14 224 20212 
6 58 29 224 20212 
6 58 44 224 20212 
6 58 59 224 20212 
6 59 14 224 20212 
6 59 29 224 20212 
6 59 44 224 20212 
6 59 59 224 20212 
7 0 14 224 20212 
7 0 29 224 20151 
7 0 44 224 20212 
7 0 59 224 20212 
7 1 14 224 20212 
7 1 29 224 20212 
7 1 44 224 20212 
7 1 59 224 20212 
7 2 14 224 20212 
7 2 29 224 20212 
7 2 44 224 20212 
7 2 59 224 20212 
7 3 14 224 20212 
7 3 29 224 20212 
7 3 44 224 20212 
7 3 59 224 20212 
7 4 14 224 20212 
7 4 29 224 20212 
7 4 44 224 20212 
7 4 59 224 20151 
7 5 14 224 20212 
7 5 29 224 20212 
7 5 44 224 20212 
7 5 59 224 20151 
7 6 14 224 20212 
7 6 51 224 20212 
7 7 6 224 20212 
7 7 21 224 20212 
7 7 36 224 20212 
7 7 51 224 20212 
7 8 6 224 20212 
7 8 21 224 20212 
7 8 36 224 20212 
7 8 51 224 20212 
7 9 6 224 20212 
7 9 21 224 20212 
7 9 36 224 20212 
7 9 51 224 20212 
7 10 6 224 20212 
7 10 21 224 20212 
7 10 36 224 20212 
7 10 51 224 20212 
7 11 6 224 20212 
7 11 21 224 20212 
7 11 36 224 20212 
7 11 51 224 20212 
7 12 6 224 20212 
7 12 21 224 20212 
7 12 36 224 20212 
7 12 51 224 20151 
7 13 6 224 20212 
7 13 21 224 20212 
7 13 36 224 20212 
7 13 51 224 20212 
7 14 6 224 20212 
7 14 21 224 20212 
7 14 36 224 20151 
7 14 51 224 20151 
7 15 6 224 20151 
7 15 21 224 20212 
7 15 36 224 20212 
7 15 51 224 20212 
7 16 6 224 20212 
7 16 21 224 20151 
7 16 36 224 20212 
7 16 51 224 20212 
7 17 6 224 20212 
7 17 21 224 20212 
7 17 36 224 20212 
7 17 51 224 20212 
7 18 6 224 20212 
7 18 21 224 20151 
7 18 36 224 20151 
7 18 51 224 20212 
7 19 6 224 20212 
7 19 21 224 20212 
7 19 36 224 20212 
7 19 51 224 20212 
7 20 6 224 20212 
7 20 21 224 20212 
7 20 36 224 20212 
7 20 51 224 20212 
7 21 6 224 20212 
7 21 21 224 20212 
7 22 13 224 20212 
