h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2019/08/09 13:17        32  0809
----A 2020/12/08 14:27        80  1208
----A 2020/12/11 13:38     11760  1211
----A 2020/12/11 07:59    128000  12110744
----A 2020/12/11 08:14    128000  12110759
----A 2020/12/11 08:31    128000  12110814
----A 2020/12/11 08:47    128000  12110829
----A 2020/12/11 09:00    128000  12110845
----A 2020/12/11 09:15    128000  12110900
----A 2020/12/11 09:31    128000  12110915
----A 2020/12/11 09:45    128000  12110930
----A 2020/12/11 10:02    128000  12110945
----A 2020/12/11 10:15    128000  12111000
----A 2020/12/11 10:31    128000  12111015
----A 2020/12/11 10:47    128000  12111030
----A 2020/12/11 11:01    128000  12111046
----A 2020/12/11 11:16    128000  12111101
----A 2020/12/11 11:31    128000  12111116
----A 2020/12/11 11:46    128000  12111131
----A 2020/12/11 12:03    128000  12111146
----A 2020/12/11 12:19    128000  12111201
----A 2020/12/11 12:31    128000  12111216
----A 2020/12/11 12:47    128000  12111232
----A 2020/12/11 13:02    128000  12111247
----A 2020/12/11 13:17    128000  12111302
----A 2020/12/11 13:33    128000  12111317
----A 2020/12/11 13:34      2560  12111332
----A 2020/12/12 12:15      9408  1212
----A 2020/12/12 07:43    128000  12120727
----A 2020/12/12 07:59    128000  12120742
----A 2020/12/12 08:13    128000  12120758
----A 2020/12/12 08:29    128000  12120813
----A 2020/12/12 08:43    128000  12120828
----A 2020/12/12 08:58    128000  12120843
----A 2020/12/12 09:15    128000  12120858
----A 2020/12/12 09:31    128000  12120913
----A 2020/12/12 09:44    128000  12120929
----A 2020/12/12 09:59    128000  12120944
----A 2020/12/12 10:15    128000  12120959
----A 2020/12/12 10:29    128000  12121014
----A 2020/12/12 10:46    128000  12121029
----A 2020/12/12 10:59    128000  12121044
----A 2020/12/12 11:15    128000  12121059
----A 2020/12/12 11:30    128000  12121115
----A 2020/12/12 11:45    128000  12121130
----A 2020/12/12 12:01    128000  12121145
----A 2020/12/12 12:15    128000  12121200
----A 2020/12/12 12:15      2560  12121215

  48 File(s),   5402400 bytes total
   0 Dir(s),     995104K bytes free

/> 
read 1212
read 1212
<CR>Time:2020/12/12 12:15
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 13 31 186 10410 
7 13 46 182 11689 
7 14 1 187 14672 
7 14 16 186 17594 
7 14 31 187 19542 
