h
h

<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2020/12/13 12:42     10616  1213
----A 2020/12/13 07:25    128640  12130709
----A 2020/12/13 07:39    128640  12130724
----A 2020/12/13 07:54    128640  12130739
----A 2020/12/13 08:11    128640  12130754
----A 2020/12/13 08:27    128640  12130809
----A 2020/12/13 08:40    128640  12130825
----A 2020/12/13 08:55    128640  12130840
----A 2020/12/13 09:11    128640  12130855
----A 2020/12/13 09:25    128640  12130910
----A 2020/12/13 09:42    128640  12130925
----A 2020/12/13 09:55    128640  12130940
----A 2020/12/13 10:11    128640  12130955
----A 2020/12/13 10:26    128640  12131011
----A 2020/12/13 10:41    128640  12131026
----A 2020/12/13 10:57    128640  12131041
----A 2020/12/13 11:11    128640  12131056
----A 2020/12/13 11:26    128640  12131111
----A 2020/12/13 11:43    128640  12131126
----A 2020/12/13 11:59    128640  12131141
----A 2020/12/13 12:12    128640  12131157
----A 2020/12/13 12:27    128000  12131212
----A 2020/12/13 12:27      2560  12131227
----A 2020/12/14 12:12      9840  1214
----A 2020/12/14 07:27    128000  12140710
----A 2020/12/14 07:42    128000  12140725
----A 2020/12/14 07:55    128000  12140740
----A 2020/12/12 12:15      9408  1212
----A 2020/12/14 08:11    128000  12140755
----A 2020/12/14 08:26    128000  12140811
----A 2020/12/14 08:41    128000  12140826
----A 2020/12/14 08:57    128000  12140841
----A 2020/12/14 09:11    128000  12140856
----A 2020/12/14 09:26    128000  12140911
----A 2020/12/14 09:43    128000  12140926
----A 2020/12/12 09:31    128000  12120913
----A 2020/12/12 09:44    128000  12120929
----A 2020/12/12 09:59    128000  12120944
----A 2020/12/12 10:15    128000  12120959
----A 2020/12/12 10:29    128000  12121014
----A 2020/12/12 10:46    128000  12121029
----A 2020/12/12 10:59    128000  12121044
----A 2020/12/12 11:15    128000  12121059
----A 2020/12/12 11:30    128000  12121115
----A 2020/12/12 11:45    128000  12121130
----A 2020/12/12 12:01    128000  12121145
----A 2020/12/12 12:15    128000  12121200
----A 2020/12/12 12:15      2560  12121215
----A 2020/12/14 09:57    128000  12140942
----A 2020/12/14 10:12    128000  12140957
----A 2020/12/14 10:27    128000  12141012
----A 2020/12/14 10:43    128000  12141027
----A 2020/12/14 10:59    128000  12141042
----A 2020/12/14 11:14    128000  12141057
----A 2020/12/14 11:27    128000  12141112
