DDH-SE-20-02-2-out;;Tool 304;;;;
Station;Dip;Azimuth;DLS;Easting;Northing;Elevation
m;deg;deg;deg / 30 m;m;m;m
0;-69.8737;180;0;313228.2143;8807299.203;4746.3909
10;-69.6715;179.6954;0.684;313228.2235;8807295.746;4737.0076
20;-69.602;179.8964;0.2957;313228.2359;8807292.266;4727.6326
30;-69.6226;179.9301;0.071;313228.2412;8807288.782;4718.259
40;-69.6591;180.2743;0.3755;313228.235;8807285.303;4708.8837
50;-69.5648;180.4559;0.3406;313228.2128;8807281.82;4699.5102
60;-69.6673;180.785;0.4614;313228.1751;8807278.337;4690.1364
70;-69.6589;181.0794;0.308;313228.1185;8807274.862;4680.7597
80;-69.5279;181.5246;0.6094;313228.0393;8807271.376;4671.3873
90;-69.4538;181.6148;0.2415;313227.9433;8807267.874;4662.0212
100;-69.5892;181.9206;0.5177;313227.8354;8807264.377;4652.6531
110;-69.6459;182.1999;0.3377;313227.7102;8807260.896;4643.2792
120;-69.7258;182.191;0.2399;313227.5772;8807257.427;4633.9012
130;-69.7797;182.4005;0.2711;313227.4386;8807253.969;4624.5191
140;-69.8118;182.5425;0.1757;313227.2897;8807250.519;4615.1345
150;-69.8392;183.2103;0.6958;313227.1166;8807247.074;4605.748
160;-69.825;183.6049;0.4103;313226.9117;8807243.633;4596.3611
170;-69.8798;183.9258;0.3701;313226.6855;8807240.196;4586.973
180;-69.9152;184.4204;0.5209;313226.4354;8807236.768;4577.5823
190;-69.963;184.6376;0.2655;313226.1646;8807233.348;4568.189
200;-69.9525;184.5091;0.1358;313225.8913;8807229.932;4558.7946
210;-70.0152;184.2309;0.342;313225.6305;8807226.519;4549.3986
220;-70.1687;184.2088;0.4611;313225.3799;8807223.123;4539.9962
230;-70.2375;184.2494;0.2104;313225.1301;8807219.746;4530.5872
240;-70.284;184.9413;0.7147;313224.8596;8807216.379;4521.1748
250;-70.3421;184.9511;0.1744;313224.5691;8807213.023;4511.7594
260;-70.2498;185.382;0.5164;313224.2655;8807209.665;4502.3449
270;-70.0782;185.2187;0.5409;313223.952;8807206.286;4492.9382
280;-70.1039;184.9326;0.3023;313223.6508;8807202.894;4483.5359
290;-69.948;184.7644;0.4983;313223.3621;8807199.491;4474.1374
300;-69.989;184.6509;0.1694;313223.0809;8807196.077;4464.7424
310;-69.8037;185.6519;1.1724;313222.7722;8807192.654;4455.3517
320;-69.8339;185.2629;0.4127;313222.4441;8807189.219;4445.9656
330;-70.0421;184.4653;1.0314;313222.1531;8807185.802;4436.5724
340;-69.9935;184.5715;0.1819;313221.8839;8807182.395;4427.1744
350;-70.1089;185.0608;0.6088;313221.5975;8807178.995;4417.7744
360;-70.0719;185.2305;0.2059;313221.2921;8807175.603;4408.3721
370;-70.1209;185.551;0.3588;313220.9723;8807172.214;4398.9695
380;-70.1615;185.828;0.3075;313220.6355;8807168.834;4389.5641
390;-70.0365;186.2323;0.5578;313220.2779;8807165.449;4380.1613
400;-70.0514;186.8002;0.5832;313219.8906;8807162.058;4370.7618
410;-70.089;187.1332;0.3587;313219.4771;8807158.674;4361.3607
420;-70.2835;186.9859;0.6023;313219.0605;8807155.31;4351.9527
430;-70.233;187.375;0.4224;313218.6383;8807151.959;4342.5404
440;-70.1155;187.803;0.5602;313218.1903;8807148.597;4333.1332
450;-70.2859;188.2284;0.6694;313217.7181;8807145.243;4323.7243
460;-70.1965;188.1816;0.2722;313217.2356;8807141.897;4314.3131
470;-70.4057;188.3161;0.6423;313216.752;8807138.561;4304.8983
480;-70.2108;188.4339;0.597;313216.2612;8807135.228;4295.4831
490;-70.284;187.3423;1.1283;313215.7973;8807131.88;4286.0715
500;-70.3798;187.5906;0.3815;313215.36;8807128.543;4276.655
510;-70.2148;188.5052;1.0491;313214.8879;8807125.205;4267.2404
520;-70.1495;188.499;0.1959;313214.3867;8807121.852;4257.8327
530;-69.7605;188.6675;1.1799;313213.8751;8807118.463;4248.4385
540;-69.9307;187.9074;0.9371;313213.3784;8807115.053;4239.0508
550;-70.2146;191.9276;4.197;313212.7925;8807111.698;4229.6496
560;-70.3902;191.7564;0.5548;313212.1008;8807108.399;4220.2348
570;-70.4311;191.6678;0.1516;313211.4202;8807105.116;4210.8136
580;-70.3373;191.122;0.6176;313210.757;8807101.825;4201.3939
590;-70.1667;191.0286;0.5207;313210.1079;8807098.509;4191.9821
600;-70.274;191.0297;0.3218;313209.4606;8807095.188;4182.572
610;-70.4121;190.5184;0.6618;313208.8317;8807091.883;4173.1548
620;-70.2963;190.8822;0.5053;313208.2074;8807088.58;4163.7369
630;-70.2871;190.5009;0.3868;313207.5818;8807085.266;4154.3227
640;-70.4189;189.9563;0.6769;313206.9847;8807081.957;4144.9049
650;-70.4437;189.8119;0.163;313206.4097;8807078.657;4135.4825
660;-70.353;189.2834;0.5975;313205.8533;8807075.349;4126.062
670;-70.4646;188.7694;0.616;313205.3272;8807072.038;4116.6409
