ls
ls
<CR>
         TIME          Size       File name 
----A 2021/08/14 14:12     11024  0814
----A 2021/08/14 08:43    128640  08140827
----A 2021/08/14 08:57    128000  08140842
----A 2021/08/14 09:14    128640  08140857
----A 2021/08/14 09:27    128640  08140912
----A 2021/08/14 09:43    128640  08140927
----A 2021/08/14 09:58    128000  08140943
----A 2021/08/14 10:13    128640  08140958
----A 2021/08/14 10:28    128000  08141013
----A 2021/08/14 10:43    128640  08141028
----A 2021/08/14 10:59    128000  08141043
----A 2021/08/14 11:15    128640  08141058
----A 2021/08/14 11:30    128000  08141113
----A 2021/08/14 11:43    128640  08141128
----A 2021/08/14 11:59    128000  08141143
----A 2021/08/14 12:14    128640  08141159
----A 2021/08/14 12:29    128000  08141214
----A 2021/08/14 12:45    128640  08141229
----A 2021/08/14 12:59    128000  08141244
----A 2021/08/14 13:14    128640  08141259
----A 2021/08/14 13:31    128640  08141314
----A 2021/08/14 13:46    128640  08141329
----A 2021/08/14 13:59    128640  08141344
----A 2021/08/14 14:00      2560  08141400

  24 File(s),   2838544 bytes total
   0 Dir(s),     997728K bytes free

/> 
read 0814
read 0814
<CR>Time:2021/08/14 14:00
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 14 19 224 5867 
8 14 34 219 5867 
8 14 49 224 5867 
8 15 4 224 5867 
8 15 19 224 5867 
8 15 34 224 6661 
8 15 49 224 10573 
8 16 4 224 14362 
8 16 19 224 16623 
8 16 34 224 17601 
8 16 49 224 18456 
8 17 4 224 19495 
8 17 19 224 20168 
8 17 34 224 20045 
8 17 49 224 20045 
8 19 17 224 19984 
8 19 32 224 20045 
8 19 47 224 19984 
8 20 2 224 19984 
8 20 17 224 19984 
8 20 32 224 19984 
8 20 47 224 19984 
8 21 2 224 19984 
8 21 17 224 19984 
8 21 32 224 19984 
8 21 47 224 19984 
8 22 2 224 19984 
8 22 17 224 19984 
8 22 32 224 19984 
8 22 47 224 19984 
8 23 2 224 19984 
8 23 17 224 19984 
8 23 32 224 19984 
8 23 47 224 19984 
8 24 2 224 19984 
8 24 17 224 19984 
8 24 32 224 19984 
8 24 47 224 19984 
8 25 2 224 19984 
8 25 17 224 19984 
8 25 32 224 19984 
8 25 47 224 19984 
8 26 2 224 19984 
8 26 17 224 19984 
8 26 32 224 19984 
8 26 47 224 19984 
8 27 2 224 19984 
8 27 17 224 19984 
8 28 9 224 19984 
8 28 24 224 19984 
8 28 39 224 19984 
8 28 54 224 19984 
8 29 9 224 19984 
8 29 24 224 19984 
8 29 39 224 19984 
8 29 54 224 19984 
8 30 9 224 19984 
8 30 24 224 19984 
8 30 39 224 19984 
8 30 54 224 19984 
8 31 9 224 19984 
8 31 24 224 19984 
8 31 39 224 19984 
8 31 54 224 19984 
8 32 9 224 19984 
8 32 24 224 19984 
8 32 39 224 19984 
8 32 54 224 19984 
8 33 9 224 19984 
8 33 24 224 19984 
8 33 39 224 19984 
8 33 54 224 19984 
8 34 9 224 19984 
8 34 24 224 19984 
8 34 39 224 19984 
8 34 54 224 19984 
8 35 9 224 19984 
8 35 24 224 19984 
8 35 39 224 19984 
8 35 54 224 19984 
8 36 9 224 19984 
8 36 24 224 19984 
8 36 39 224 19984 
8 36 54 223 19984 
8 37 9 224 19984 
8 37 24 224 19984 
8 37 39 224 19984 
8 37 54 224 19984 
8 38 9 224 19984 
8 38 24 224 19984 
8 38 39 224 19984 
8 38 54 224 19984 
8 39 9 224 19984 
8 39 24 224 19984 
8 39 39 224 19984 
8 39 54 224 19984 
8 40 9 224 19984 
8 40 24 224 19984 
8 40 39 224 19984 
8 40 54 224 19984 
8 41 9 224 19984 
8 41 24 224 19984 
8 41 39 224 19984 
8 41 54 224 19984 
8 42 9 224 19984 
8 42 24 224 19984 
8 43 1 224 19984 
8 43 16 224 19984 
8 43 31 224 19984 
8 43 46 224 19984 
8 44 1 224 19984 
8 44 16 224 19984 
8 44 31 224 19984 
8 44 46 224 19984 
8 45 1 224 19984 
8 45 16 224 19984 
8 45 31 224 19984 
8 45 46 224 19984 
8 46 1 224 19984 
8 46 16 224 19984 
8 46 31 224 19984 
8 46 46 224 19984 
8 47 1 224 19984 
8 47 16 224 19984 
8 47 31 224 19984 
8 47 46 224 19984 
8 48 1 224 19984 
8 48 16 224 19984 
8 48 31 224 19984 
8 48 46 224 19984 
8 49 1 224 19984 
8 49 16 224 19984 
8 49 31 224 19984 
8 49 46 224 19984 
8 50 1 224 19984 
8 50 16 224 19984 
8 50 31 224 19984 
8 50 46 224 19984 
8 51 1 224 19984 
8 51 16 224 19984 
8 51 31 224 19984 
8 51 46 224 19984 
8 52 1 224 19984 
8 52 16 224 19984 
8 52 31 224 19984 
8 52 46 224 19984 
8 53 1 224 19984 
8 53 16 224 19984 
8 53 31 224 19984 
8 53 46 224 19984 
8 54 1 224 19984 
8 54 16 224 19984 
8 54 31 224 19984 
8 54 46 223 19984 
8 55 1 224 19984 
8 55 16 224 19984 
8 55 31 224 19984 
8 55 46 224 19984 
8 56 1 224 19984 
8 56 16 224 19984 
8 56 31 224 19984 
8 56 46 224 19984 
8 57 1 224 19984 
8 57 16 224 19984 
8 57 31 224 19984 
8 58 23 224 19984 
8 58 38 224 19984 
8 58 53 224 19984 
8 59 8 224 19984 
8 59 23 224 19984 
8 59 38 224 19984 
8 59 53 224 19984 
9 0 8 224 19984 
9 0 23 224 19984 
9 0 38 224 19984 
9 0 53 224 19984 
9 1 8 224 19984 
9 1 23 224 19984 
9 1 38 224 19984 
9 1 53 224 19984 
9 2 8 224 19984 
9 2 23 224 19984 
9 2 38 224 19984 
9 2 53 224 19984 
9 3 8 224 19984 
9 3 23 224 19984 
9 3 38 224 19984 
9 3 53 224 19984 
9 4 8 224 19984 
9 4 23 224 19984 
9 4 38 224 19984 
9 4 53 224 19984 
9 5 8 224 19984 
9 5 23 224 19984 
9 5 38 224 19984 
9 5 53 224 19984 
9 6 8 224 19984 
9 6 23 224 19984 
9 6 38 224 19984 
9 6 53 224 19984 
9 7 8 224 19984 
9 7 23 224 19984 
9 7 38 224 19984 
9 7 53 224 19984 
9 8 8 224 19984 
9 8 23 224 19984 
9 8 38 224 19984 
9 8 53 224 19984 
9 9 8 224 19984 
9 9 23 224 19984 
9 9 38 223 19984 
9 9 53 224 19984 
9 10 8 224 19984 
9 10 23 224 19984 
9 10 38 224 19984 
9 10 53 224 19984 
9 11 8 224 19984 
9 11 23 224 19984 
9 11 38 224 19984 
9 11 53 224 19984 
9 12 8 224 19984 
9 12 23 224 19984 
9 12 38 224 19984 
9 13 30 224 19984 
9 13 45 224 19984 
9 14 0 224 19984 
9 14 15 224 19984 
9 14 30 224 19984 
9 14 45 224 19984 
9 15 0 224 19984 
9 15 16 225 19984 
9 15 31 224 19984 
9 15 46 224 19984 
9 16 1 224 19984 
9 16 16 224 19984 
9 16 31 223 19984 
