ls

ls
<CR>
         TIME          Size       File name 
----A 2021/11/27 14:49      8736  1127
----A 2021/11/27 09:43    128000  11270928
----A 2021/11/27 10:03    128000  11270946
----A 2021/11/27 10:20    128000  11271005
----A 2021/11/27 10:38    128000  11271023
----A 2021/11/27 10:59    128000  11271041
----A 2021/11/27 11:15    128000  11271100
----A 2021/11/27 11:35    128000  11271118
----A 2021/11/27 11:51    128000  11271136
----A 2021/11/27 12:11    128000  11271155
----A 2021/11/27 12:30    128000  11271213
----A 2021/11/27 12:47    128000  11271231
----A 2021/11/27 13:05    128000  11271250
----A 2021/11/27 13:23    128000  11271308
----A 2021/11/27 13:42    128000  11271326
----A 2021/11/27 14:01    128000  11271345
----A 2021/11/27 14:18    128000  11271403
----A 2021/11/27 14:37    128000  11271422
----A 2021/11/27 14:41      2560  11271440
----A 2021/11/28 14:55      8944  1128
----A 2021/11/28 09:45    128000  11280929
----A 2021/11/28 10:02    128000  11280947
----A 2021/11/28 10:21    128000  11281006
----A 2021/11/28 10:39    128000  11281024
----A 2021/11/28 10:59    128000  11281042
----A 2021/11/28 11:16    128000  11281101
----A 2021/11/28 11:35    128000  11281119
----A 2021/11/28 11:55    128000  11281137
----A 2021/11/28 12:11    128000  11281156
----A 2021/11/28 12:29    128000  11281214
----A 2021/11/28 12:47    128000  11281232
----A 2021/11/28 13:06    128000  11281251
----A 2021/11/28 13:26    128000  11281309
----A 2021/11/28 13:43    128000  11281327
----A 2021/11/28 14:01    128000  11281346
----A 2021/11/28 14:19    128000  11281404
----A 2021/11/28 14:39    128000  11281422
----A 2021/11/28 14:41      2560  11281441

  38 File(s),   4374800 bytes total
   0 Dir(s),     996160K bytes free

/> 
read 1128
read 1128
<CR>Time:2021/11/28 14:41
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 11 45 7 12324 
9 12 1 8 16069 
9 12 15 7 17157 
9 12 31 8 17096 
9 12 45 7 17096 
9 13 1 8 17096 
9 13 15 7 17096 
9 13 31 8 17096 
9 13 45 7 17096 
9 14 1 8 17096 
9 14 15 7 17096 
9 14 31 8 17096 
9 14 45 7 17096 
9 15 1 8 17096 
9 15 15 7 17096 
9 15 31 8 17096 
9 15 45 7 17096 
9 16 1 8 17096 
9 16 15 7 17096 
9 16 31 8 17096 
9 16 45 7 17096 
9 17 1 8 17096 
9 17 15 7 17096 
9 17 31 8 17096 
9 17 45 7 17096 
9 18 1 8 17096 
9 18 15 7 17096 
9 18 31 8 17096 
9 18 45 7 17096 
9 19 1 8 17096 
9 19 15 7 17096 
9 19 31 8 17096 
9 19 45 7 17096 
9 20 1 8 17096 
9 20 15 7 17096 
9 20 31 8 17096 
9 20 45 7 17096 
9 21 1 8 17096 
9 21 15 7 17096 
9 21 31 8 17096 
9 21 45 7 17096 
9 22 1 8 17096 
9 22 15 7 17096 
9 22 31 8 17096 
9 22 45 7 17096 
9 23 1 8 17096 
9 23 15 7 17096 
9 23 31 8 17096 
9 23 45 7 17096 
9 24 1 8 17096 
9 24 15 7 17096 
9 24 31 8 17096 
9 24 45 7 17096 
9 25 1 8 17096 
9 25 15 7 17096 
9 25 31 8 17096 
9 25 45 7 17096 
9 26 1 8 17096 
9 29 52 7 17096 
9 30 8 8 17096 
9 30 22 7 17096 
9 30 38 8 17096 
9 30 52 7 17096 
9 31 8 8 17096 
9 31 22 7 17096 
9 31 38 8 17096 
9 31 52 7 17096 
9 32 8 8 17096 
9 32 22 7 17096 
9 32 38 8 17096 
9 32 52 7 17096 
9 33 8 8 17096 
9 33 22 7 17096 
9 33 38 8 17096 
9 33 52 7 17096 
9 34 8 8 17096 
9 34 22 7 17096 
9 34 38 8 17096 
9 34 52 7 17096 
9 35 8 8 17096 
9 35 22 7 17096 
9 35 38 8 17096 
9 35 52 7 17096 
9 36 8 8 17096 
9 36 22 7 17096 
9 36 38 8 17096 
9 36 52 7 17096 
9 37 8 8 17096 
9 37 22 7 17096 
9 37 38 8 17096 
9 37 52 7 17096 
9 38 8 8 17096 
9 38 22 7 17096 
9 38 38 8 17096 
9 38 52 7 17096 
9 39 8 8 17096 
9 39 22 7 17096 
9 39 38 8 17096 
9 39 52 7 17096 
9 40 8 8 17096 
9 40 22 7 17096 
9 40 38 8 17096 
9 40 52 7 17096 
9 41 8 8 17096 
9 41 22 7 17096 
9 41 38 8 17096 
9 41 52 7 17096 
9 42 8 8 17096 
9 42 22 7 17096 
9 42 38 8 17096 
9 42 52 7 17096 
9 43 8 8 17096 
9 43 22 7 17096 
9 43 38 8 17096 
9 43 52 7 17096 
9 44 8 8 17096 
9 44 22 7 17096 
9 48 14 8 17096 
9 48 28 7 17096 
9 48 44 8 17096 
9 48 58 7 17096 
9 49 14 8 17096 
9 49 28 7 17096 
9 49 44 8 17096 
9 49 58 7 17096 
9 50 14 8 17096 
9 50 28 7 17096 
9 50 44 8 17096 
9 50 58 7 17096 
9 51 14 8 17096 
9 51 28 7 17096 
9 51 44 8 17096 
9 51 58 7 17096 
9 52 14 8 17096 
9 52 28 7 17096 
9 52 44 8 17096 
9 52 58 7 17096 
9 53 14 8 17096 
9 53 28 7 17096 
9 53 44 8 17096 
9 53 58 7 17096 
9 54 14 8 17096 
9 54 28 7 17096 
9 54 44 8 17096 
9 54 58 7 17096 
9 55 14 8 17096 
9 55 28 7 17096 
9 55 44 8 17096 
9 55 58 7 17096 
9 56 14 8 17096 
9 56 28 7 17096 
9 56 44 8 17096 
9 56 58 7 17096 
9 57 14 8 17096 
9 57 28 7 17096 
9 57 44 8 17096 
9 58 0 8 17096 
9 58 14 7 17096 
9 58 30 8 17096 
9 58 44 7 17096 
9 59 0 8 17096 
9 59 14 7 17096 
9 59 30 8 17096 
9 59 44 7 17096 
10 0 0 8 17096 
10 0 14 7 17096 
10 0 30 8 17096 
10 0 44 7 17096 
10 1 0 8 17096 
10 1 14 7 17096 
10 1 30 8 17096 
10 1 44 7 17096 
10 2 0 8 17096 
10 2 14 7 17096 
10 2 30 8 17096 
10 2 44 7 17096 
10 6 34 7 17096 
10 6 50 8 17096 
10 7 4 7 17096 
10 7 20 8 17096 
10 7 34 7 17096 
10 7 50 8 17096 
10 8 4 7 17096 
10 8 20 8 17096 
10 8 34 7 17096 
10 8 50 8 17096 
10 9 4 7 17096 
10 9 20 8 17096 
10 9 34 7 17096 
10 9 50 8 17096 
10 10 4 7 17096 
10 10 20 8 17096 
10 10 34 7 17096 
10 10 50 8 17096 
10 11 4 7 17096 
10 11 20 8 17096 
10 11 34 7 17096 
10 11 50 8 17096 
10 12 4 7 17096 
10 12 20 8 17096 
10 12 34 7 17096 
10 12 50 8 17096 
10 13 4 7 17096 
10 13 20 8 17096 
10 13 34 7 17096 
10 13 50 8 17096 
10 14 4 7 17096 
10 14 20 8 17096 
10 14 34 7 17096 
10 14 50 8 17096 
10 15 4 7 17096 
10 15 20 8 17096 
10 15 34 7 17096 
10 15 50 8 17096 
10 16 4 7 17096 
10 16 20 8 17096 
