ls
ls
<CR>
         TIME          Size       File name 
----A 2021/11/27 14:49      8736  1127
----A 2021/11/27 09:43    128000  11270928
----A 2021/11/27 10:03    128000  11270946
----A 2021/11/27 10:20    128000  11271005
----A 2021/11/27 10:38    128000  11271023
----A 2021/11/27 10:59    128000  11271041
----A 2021/11/27 11:15    128000  11271100
----A 2021/11/27 11:35    128000  11271118
----A 2021/11/27 11:51    128000  11271136
----A 2021/11/27 12:11    128000  11271155
----A 2021/11/27 12:30    128000  11271213
----A 2021/11/27 12:47    128000  11271231
----A 2021/11/27 13:05    128000  11271250
----A 2021/11/27 13:23    128000  11271308
----A 2021/11/27 13:42    128000  11271326
----A 2021/11/27 14:01    128000  11271345
----A 2021/11/27 14:18    128000  11271403
----A 2021/11/27 14:37    128000  11271422
----A 2021/11/27 14:41      2560  11271440
----A 2021/11/28 14:55      8944  1128
----A 2021/11/28 09:45    128000  11280929
----A 2021/11/28 10:02    128000  11280947
----A 2021/11/28 10:21    128000  11281006
----A 2021/11/28 10:39    128000  11281024
----A 2021/11/28 10:59    128000  11281042
----A 2021/11/28 11:16    128000  11281101
----A 2021/11/28 11:35    128000  11281119
----A 2021/11/28 11:55    128000  11281137
----A 2021/11/28 12:11    128000  11281156
----A 2021/11/28 12:29    128000  11281214
----A 2021/11/28 12:47    128000  11281232
----A 2021/11/28 13:06    128000  11281251
----A 2021/11/28 13:26    128000  11281309
----A 2021/11/28 13:43    128000  11281327
----A 2021/11/28 14:01    128000  11281346
----A 2021/11/28 14:19    128000  11281404
----A 2021/11/28 14:39    128000  11281422
----A 2021/11/28 14:41      2560  11281441
----A 2021/11/29 15:00      8984  1129
----A 2021/11/29 09:43    128000  11290928
----A 2021/11/29 10:03    128000  11290947
----A 2021/11/29 10:22    128000  11291005
----A 2021/11/29 10:39    128000  11291023
----A 2021/11/29 10:57    128000  11291042
----A 2021/11/29 11:15    128000  11291100
----A 2021/11/29 11:34    128000  11291118
----A 2021/11/29 11:53    128000  11291137
----A 2021/11/29 12:10    128000  11291155
----A 2021/11/29 12:29    128000  11291214
----A 2021/11/29 12:47    128000  11291232
----A 2021/11/29 13:07    128000  11291250
----A 2021/11/29 13:24    128000  11291309
----A 2021/11/29 13:43    128000  11291327
----A 2021/11/29 14:03    128000  11291345
----A 2021/11/29 14:19    128000  11291404
----A 2021/11/29 14:39    128000  11291422
----A 2021/11/29 14:55    128000  11291440
----A 2021/11/29 14:59      2560  11291459

  58 File(s),   6690344 bytes total
   0 Dir(s),     993824K bytes free

/> 
read 1129
read 1129
<CR>Time:2021/11/29 14:59
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 11 19 7 12565 
9 11 35 8 15405 
9 11 49 7 16915 
9 12 5 8 17036 
9 12 19 7 17157 
9 12 35 8 17157 
9 12 49 7 17157 
9 13 5 8 17157 
9 13 19 7 17157 
9 13 35 8 17157 
9 13 49 7 17036 
9 14 5 8 16975 
9 14 19 7 16975 
9 14 35 8 16975 
9 14 49 7 16975 
9 15 5 8 16975 
9 15 19 7 16975 
9 15 35 8 16975 
9 15 49 7 16975 
9 16 5 8 16975 
9 16 19 7 16975 
9 16 35 8 16975 
9 16 49 7 16975 
9 17 5 8 16975 
9 17 19 7 16975 
9 17 35 8 16975 
9 17 49 7 17036 
9 18 5 8 17036 
9 18 19 7 17036 
9 18 35 8 17036 
9 18 49 7 17036 
9 19 5 8 17036 
9 19 19 7 17036 
9 19 35 8 17036 
9 19 49 7 17036 
9 20 5 8 17036 
9 20 19 7 17036 
9 20 35 8 17036 
9 20 49 7 17036 
9 21 5 8 17036 
9 21 19 7 17036 
9 21 35 8 17036 
9 21 49 7 17036 
9 22 5 8 17036 
9 22 19 7 17036 
9 22 35 8 17036 
9 22 49 7 17036 
9 23 5 8 17036 
9 23 19 7 17036 
9 23 35 8 17036 
9 23 49 7 17036 
9 24 5 8 17036 
9 24 19 7 17036 
9 24 35 8 17036 
9 24 49 7 17036 
9 25 5 8 17036 
9 25 19 7 17036 
9 25 35 8 17036 
9 29 26 7 17036 
9 29 42 8 17036 
9 29 56 7 17036 
9 30 12 8 17036 
9 30 26 7 17036 
9 30 42 8 17036 
9 30 56 7 17036 
9 31 12 8 17036 
9 31 26 7 17036 
9 31 42 8 17036 
9 31 56 7 17036 
9 32 12 8 17036 
9 32 26 7 17036 
9 32 42 8 17036 
9 32 56 7 17036 
9 33 12 8 17036 
9 33 26 7 17036 
9 33 42 8 17036 
9 33 56 7 17036 
9 34 12 8 17036 
9 34 26 7 17036 
9 34 42 8 17036 
9 34 56 7 17036 
9 35 12 8 17036 
9 35 26 7 17036 
9 35 42 8 17036 
9 35 56 7 17036 
9 36 12 8 17036 
9 36 26 7 17036 
9 36 42 8 17036 
9 36 56 7 17036 
9 37 12 8 17036 
9 37 26 7 17036 
9 37 42 8 17036 
9 37 56 7 17036 
9 38 12 8 17036 
9 38 26 7 17036 
9 38 42 8 17036 
9 38 56 7 17036 
9 39 12 8 17036 
9 39 26 7 17036 
9 39 42 8 17036 
9 39 56 7 17036 
9 40 12 8 17036 
9 40 26 7 17036 
9 40 42 8 17036 
9 40 56 7 17036 
9 41 12 8 17036 
9 41 26 7 17036 
9 41 42 8 17036 
9 41 56 7 17036 
9 42 12 8 17036 
9 42 26 7 17036 
9 42 42 8 17036 
9 42 56 7 17036 
9 43 12 8 17036 
9 43 26 7 17036 
9 43 42 8 17036 
9 43 56 7 17036 
9 47 48 8 17036 
9 48 2 7 17036 
9 48 18 8 17036 
9 48 32 7 17036 
9 48 48 8 17036 
9 49 2 7 17036 
9 49 18 8 17036 
9 49 32 7 17036 
9 49 48 8 17036 
9 50 2 7 17036 
9 50 18 8 17036 
9 50 32 7 17036 
9 50 48 8 17036 
9 51 2 7 17036 
9 51 18 8 17036 
9 51 32 7 17036 
9 51 48 8 17036 
9 52 2 7 17036 
9 52 18 8 17036 
9 52 32 7 17036 
9 52 48 8 17036 
9 53 2 7 17036 
9 53 18 8 17036 
9 53 32 7 17036 
9 53 48 8 17036 
9 54 2 7 17036 
9 54 18 8 17036 
9 54 32 7 17036 
9 54 48 8 17036 
9 55 2 7 17036 
9 55 18 8 17036 
9 55 32 7 17036 
9 55 48 8 17036 
9 56 2 7 17036 
9 56 18 8 17036 
9 56 32 7 17036 
9 56 48 8 17036 
9 57 2 7 17036 
9 57 18 8 17036 
9 57 32 7 17036 
9 57 48 8 17036 
9 58 2 7 17036 
9 58 18 8 17036 
9 58 32 7 17036 
9 58 48 8 17036 
9 59 2 7 17036 
9 59 18 8 17036 
9 59 32 7 17036 
9 59 48 8 17036 
10 0 2 7 17036 
10 0 18 8 17036 
10 0 32 7 17036 
10 0 48 8 17036 
10 1 2 7 17036 
10 1 18 8 17036 
10 1 32 7 17036 
10 1 48 8 17036 
10 2 2 7 17036 
10 2 18 8 17036 
10 6 8 7 17036 
10 6 24 8 17036 
10 6 38 7 17036 
10 6 54 8 17036 
10 7 8 7 17036 
10 7 24 8 17036 
