ls

ls
<CR>
         TIME          Size       File name 
----A 2021/11/27 14:49      8728  1127
----A 2021/11/27 09:44    128000  11270929
----A 2021/11/27 10:02    128000  11270947
----A 2021/11/27 10:23    128000  11271005
----A 2021/11/27 10:39    128000  11271024
----A 2021/11/27 10:59    128000  11271042
----A 2021/11/27 11:15    128000  11271100
----A 2021/11/27 11:35    128000  11271119
----A 2021/11/27 11:54    128000  11271137
----A 2021/11/27 12:11    128000  11271155
----A 2021/11/27 12:29    128000  11271214
----A 2021/11/27 12:47    128000  11271232
----A 2021/11/27 13:06    128000  11271250
----A 2021/11/27 13:25    128000  11271309
----A 2021/11/27 13:42    128000  11271327
----A 2021/11/27 14:01    128000  11271346
----A 2021/11/27 14:19    128000  11271404
----A 2021/11/27 14:39    128000  11271422
----A 2021/11/27 14:41      2560  11271441
----A 2021/11/28 14:57      8936  1128
----A 2021/11/28 09:45    128000  11280929
----A 2021/11/28 10:03    128000  11280948
----A 2021/11/28 10:23    128000  11281006
----A 2021/11/28 10:40    128000  11281025
----A 2021/11/28 10:59    128000  11281043
----A 2021/11/28 11:18    128000  11281101
----A 2021/11/28 11:35    128000  11281120
----A 2021/11/28 11:53    128000  11281138
----A 2021/11/28 12:11    128000  11281156
----A 2021/11/28 12:30    128000  11281215
----A 2021/11/28 12:49    128000  11281233
----A 2021/11/28 13:07    128000  11281251
----A 2021/11/28 13:25    128000  11281310
----A 2021/11/28 13:43    128000  11281328
----A 2021/11/28 14:03    128000  11281346
----A 2021/11/28 14:21    128000  11281405
----A 2021/11/28 14:38    128000  11281423
----A 2021/11/28 14:43      2560  11281441
----A 2021/11/29 15:01      8976  1129
----A 2021/11/29 09:46    128000  11290929
----A 2021/11/29 10:03    128000  11290948
----A 2021/11/29 10:21    128000  11291006
----A 2021/11/29 10:39    128000  11291024
----A 2021/11/29 10:58    128000  11291043
----A 2021/11/29 11:17    128000  11291101
----A 2021/11/29 11:35    128000  11291119
----A 2021/11/29 11:53    128000  11291138
----A 2021/11/29 12:11    128000  11291156
----A 2021/11/29 12:31    128000  11291214
----A 2021/11/29 12:48    128000  11291233
----A 2021/11/29 13:06    128000  11291251
----A 2021/11/29 13:27    128000  11291309
----A 2021/11/29 13:43    128000  11291328
----A 2021/11/29 14:03    128000  11291346
----A 2021/11/29 14:19    128000  11291404
----A 2021/11/29 14:39    128000  11291423
----A 2021/11/29 14:58    128000  11291441
----A 2021/11/29 14:59      2560  11291459

  58 File(s),   6690320 bytes total
   0 Dir(s),     993824K bytes free

/> 
read 1129
read 1129
<CR>Time:2021/11/29 14:59
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 12 19 7 15904 
9 12 35 8 17010 
9 12 49 7 17071 
9 13 5 8 17194 
9 13 19 7 17194 
9 13 35 8 17194 
9 13 49 7 17194 
9 14 5 8 17194 
9 14 19 7 17194 
9 14 35 8 17010 
9 14 49 7 16948 
9 15 5 8 17010 
9 15 19 7 17010 
9 15 35 8 17010 
9 15 49 7 17010 
9 16 5 8 16948 
9 16 19 7 17010 
9 16 35 8 17010 
9 16 49 7 17010 
9 17 5 8 16948 
9 17 19 7 17010 
9 17 35 8 16948 
9 17 49 7 16948 
9 18 5 8 16948 
9 18 19 7 17010 
9 18 35 8 17071 
9 18 49 7 17071 
9 19 5 8 17071 
9 19 19 7 17071 
9 19 35 8 17071 
9 19 49 7 17071 
9 20 5 8 17071 
9 20 19 7 17071 
9 20 35 8 17071 
9 20 49 7 17071 
9 21 5 8 17071 
9 21 19 7 17071 
9 21 35 8 17071 
9 21 49 7 17071 
9 22 5 8 17071 
9 22 19 7 17071 
9 22 35 8 17071 
9 22 49 7 17071 
9 23 5 8 17071 
9 23 19 7 17071 
9 23 35 8 17071 
9 23 49 7 17071 
9 24 5 8 17071 
9 24 19 7 17071 
9 24 35 8 17071 
9 24 49 7 17071 
9 25 5 8 17071 
9 25 19 7 17071 
9 25 35 8 17071 
9 25 49 7 17071 
9 26 5 8 17071 
9 26 19 7 17071 
9 30 13 8 17071 
9 30 27 7 17071 
9 30 43 8 17010 
9 30 57 7 17071 
9 31 13 8 17071 
9 31 27 7 17071 
9 31 43 8 17010 
9 31 57 7 17071 
9 32 13 8 17071 
9 32 27 7 17010 
9 32 43 8 17071 
9 32 57 7 17071 
9 33 13 8 17010 
9 33 27 7 17071 
9 33 43 8 17010 
9 33 57 7 17010 
9 34 13 8 17010 
9 34 27 7 17010 
9 34 43 8 17071 
9 34 57 7 17071 
9 35 13 8 17010 
9 35 27 7 17071 
9 35 43 8 17071 
9 35 57 7 17071 
9 36 13 8 17071 
9 36 27 7 17010 
9 36 43 8 17071 
9 36 57 7 17010 
9 37 13 8 17010 
9 37 27 7 17010 
9 37 43 8 17010 
9 37 57 7 17010 
9 38 13 8 17010 
9 38 27 7 17071 
9 38 43 8 17010 
9 38 57 7 17010 
9 39 13 8 17010 
9 39 27 7 17010 
9 39 43 8 17010 
9 39 57 7 17010 
9 40 13 8 17010 
9 40 27 7 17010 
9 40 43 8 17010 
9 40 57 7 17010 
9 41 13 8 17071 
9 41 27 7 17010 
9 41 43 8 17010 
9 41 57 7 17010 
9 42 13 8 17010 
9 42 27 7 17010 
9 42 43 8 17071 
9 42 57 7 17010 
9 43 13 8 17010 
9 43 27 7 17071 
9 43 43 8 17010 
9 43 57 7 17010 
9 44 13 8 17010 
9 44 27 7 17010 
9 44 43 8 17010 
9 48 33 7 17010 
9 48 49 8 17071 
9 49 3 7 17071 
9 49 19 8 17010 
9 49 33 7 17010 
9 49 49 8 17010 
9 50 3 7 17071 
9 50 19 8 17071 
9 50 33 7 17010 
9 50 49 8 17071 
9 51 3 7 17010 
9 51 19 8 17010 
9 51 33 7 17010 
9 51 49 8 17010 
9 52 3 7 17010 
9 52 19 8 17071 
9 52 33 7 17071 
9 52 49 8 17071 
9 53 3 7 17010 
9 53 19 8 17071 
9 53 33 7 17071 
9 53 49 8 17010 
9 54 3 7 17010 
9 54 19 8 17010 
9 54 33 7 17071 
9 54 49 8 17010 
9 55 3 7 17071 
9 55 19 8 17010 
9 55 33 7 17071 
9 55 49 8 17010 
9 56 3 7 17010 
9 56 19 8 17071 
9 56 33 7 17071 
9 56 49 8 17071 
9 57 3 7 17071 
9 57 19 8 17010 
9 57 33 7 17071 
9 57 49 8 17071 
9 58 3 7 17010 
9 58 19 8 17010 
9 58 33 7 17071 
9 58 49 8 17071 
9 59 3 7 17071 
9 59 19 8 17071 
9 59 33 7 17071 
9 59 49 8 17071 
10 0 3 7 17010 
10 0 19 8 17010 
10 0 33 7 17010 
10 0 49 8 17071 
10 1 3 7 17010 
10 1 19 8 17010 
10 1 33 7 17010 
10 1 49 8 17010 
10 2 3 7 17010 
10 2 19 8 17071 
10 2 33 7 17010 
10 2 49 8 17010 
10 3 3 7 17071 
10 6 55 8 17071 
10 7 9 7 17071 
10 7 25 8 17071 
10 7 39 7 17071 
10 7 55 8 17071 
10 8 9 7 17071 
10 8 25 8 17010 
10 8 39 7 17010 
10 8 55 8 17010 
10 9 9 7 17010 
10 9 25 8 17071 
10 9 39 7 17010 
10 9 55 8 17071 
10 10 9 7 17071 
10 10 25 8 17010 
10 10 39 7 17010 
10 10 55 8 17071 
10 11 9 7 17010 
10 11 25 8 17071 
10 11 39 7 17071 
10 11 55 8 17071 
10 12 9 7 17010 
10 12 25 8 17071 
10 12 39 7 17071 
10 12 55 8 17071 
10 13 9 7 17010 
10 13 25 8 17071 
10 13 39 7 17071 
10 13 55 8 17010 
10 14 9 7 17071 
10 14 25 8 17010 
10 14 39 7 17071 
10 14 55 8 17010 
10 15 9 7 17071 
10 15 25 8 17071 
10 15 39 7 17010 
10 15 55 8 17071 
10 16 9 7 17071 
10 16 25 8 17010 
10 16 39 7 17071 
10 16 55 8 17071 
10 17 9 7 17010 
10 17 25 8 17071 
10 17 39 7 17071 
10 17 55 8 17071 
10 18 9 7 17071 
10 18 25 8 17071 
10 18 39 7 17010 
10 18 55 8 17071 
10 19 9 7 17071 
10 19 25 8 17071 
10 19 39 7 17071 
10 19 55 8 17071 
10 20 9 7 17071 
10 20 25 8 17071 
10 20 39 7 17071 
10 20 55 8 17071 
10 21 9 7 17071 
10 21 25 8 17010 
10 25 15 7 17010 
10 25 31 8 17071 
10 25 45 7 17071 
10 26 1 8 17071 
10 26 15 7 17071 
10 26 31 8 17071 
10 26 45 7 17071 
10 27 1 8 17010 
10 27 15 7 17071 
10 27 31 8 17071 
10 27 45 7 17071 
10 28 1 8 17071 
10 28 15 7 17071 
10 28 31 8 17010 
10 28 45 7 17071 
10 29 1 8 17010 
10 29 15 7 17071 
10 29 31 8 17071 
10 29 45 7 17071 
10 30 1 8 17071 
10 30 15 7 17071 
10 30 31 8 17010 
10 30 45 7 17010 
10 31 1 8 17071 
10 31 15 7 17071 
10 31 31 8 17010 
10 31 45 7 17010 
10 32 1 8 17071 
10 32 15 7 17071 
10 32 31 8 17010 
10 32 45 7 17071 
10 33 1 8 17010 
10 33 15 7 17071 
10 33 31 8 17071 
10 33 45 7 17010 
10 34 1 8 17010 
10 34 15 7 17010 
10 34 31 8 17071 
10 34 45 7 17071 
10 35 1 8 17071 
10 35 15 7 17010 
10 35 31 8 17010 
10 35 45 7 17010 
10 36 1 8 17010 
10 36 15 7 17010 
10 36 31 8 17010 
10 36 45 7 17010 
10 37 1 8 17010 
10 37 15 7 17010 
10 37 31 8 17071 
10 37 45 7 17010 
10 38 1 8 17071 
10 38 15 7 17010 
10 38 31 8 17010 
10 38 45 7 17010 
10 39 1 8 17010 
10 39 15 7 17010 
10 39 31 8 17010 
10 39 45 7 17071 
10 43 37 8 17010 
10 43 51 7 17071 
10 44 7 8 17071 
10 44 21 7 17071 
10 44 37 8 17010 
10 44 51 7 17071 
10 45 7 8 17071 
10 45 21 7 17010 
10 45 37 8 17071 
10 45 51 7 17071 
10 46 7 8 17071 
10 46 21 7 17010 
10 46 37 8 17071 
10 46 51 7 17010 
10 47 7 8 17010 
10 47 21 7 17010 
10 47 37 8 17010 
10 47 51 7 17071 
10 48 7 8 17071 
10 48 21 7 17071 
10 48 37 8 17010 
10 48 51 7 17071 
10 49 7 8 17071 
10 49 21 7 17071 
10 49 37 8 17071 
10 49 51 7 17071 
10 50 7 8 17010 
10 50 21 7 17010 
10 50 37 8 17071 
10 50 51 7 17071 
10 51 7 8 17010 
10 51 21 7 17010 
10 51 37 8 17071 
10 51 51 7 17071 
10 52 7 8 17010 
10 52 21 7 17071 
10 52 37 8 17010 
10 52 51 7 17071 
10 53 7 8 17010 
10 53 21 7 17071 
10 53 37 8 17010 
10 53 51 7 17071 
10 54 7 8 17071 
10 54 21 7 17010 
10 54 37 8 17010 
10 54 51 7 17010 
10 55 7 8 17010 
10 55 21 7 17071 
10 55 37 8 17010 
10 55 51 7 17071 
10 56 7 8 17010 
10 56 21 7 17071 
10 56 37 8 17010 
10 56 51 7 17010 
10 57 7 8 17010 
10 57 21 7 17071 
10 57 37 8 17071 
10 57 51 7 17010 
10 58 7 8 17071 
11 1 57 7 17010 
11 2 13 8 17010 
11 2 27 7 17071 
11 2 43 8 17010 
11 2 57 7 17010 
11 3 13 8 17010 
11 3 27 7 17010 
11 3 43 8 17010 
11 3 57 7 17071 
11 4 13 8 17010 
11 4 27 7 17010 
11 4 43 8 17071 
11 4 57 7 17010 
11 5 13 8 17010 
11 5 27 7 17010 
11 5 43 8 17071 
11 5 57 7 17071 
11 6 13 8 17071 
11 6 27 7 17010 
11 6 43 8 17010 
11 6 57 7 17071 
11 7 13 8 17010 
11 7 27 7 17010 
11 7 43 8 17010 
11 7 57 7 17071 
11 8 13 8 17010 
11 8 27 7 17071 
11 8 43 8 17010 
11 8 57 7 17071 
11 9 13 8 17071 
11 9 27 7 17010 
11 9 43 8 17010 
11 9 57 7 17010 
11 10 13 8 17010 
11 10 27 7 17010 
11 10 43 8 17010 
11 10 57 7 17010 
11 11 13 8 17010 
11 11 27 7 17071 
11 11 43 8 17071 
11 11 57 7 17010 
11 12 13 8 17071 
11 12 27 7 17071 
11 12 43 8 17071 
11 12 57 7 17010 
11 13 13 8 17010 
11 13 27 7 17010 
11 13 43 8 17071 
11 13 57 7 17010 
11 14 13 8 17071 
11 14 27 7 17071 
11 14 43 8 17071 
11 14 57 7 17071 
11 15 13 8 17010 
11 15 27 7 17010 
11 15 43 8 17071 
11 15 57 7 17071 
11 16 13 8 17010 
11 16 27 7 17010 
11 20 19 8 17010 
11 20 33 7 17010 
11 20 49 8 17071 
11 21 3 7 17010 
11 21 19 8 17010 
11 21 33 7 17071 
11 21 49 8 17071 
11 22 3 7 17010 
11 22 19 8 17010 
11 22 33 7 17010 
11 22 49 8 17010 
11 23 3 7 17010 
11 23 19 8 17010 
11 23 33 7 17010 
11 23 49 8 17010 
11 24 3 7 17010 
11 24 19 8 17010 
11 24 33 7 17071 
11 24 49 8 17071 
11 25 3 7 17071 
11 25 19 8 17010 
11 25 33 7 17010 
11 25 49 8 17010 
11 26 3 7 17010 
11 26 19 8 17010 
11 26 33 7 17010 
11 26 49 8 17010 
11 27 3 7 17010 
11 27 19 8 17010 
11 27 33 7 17010 
11 27 49 8 17010 
11 28 3 7 17010 
11 28 19 8 17010 
11 28 33 7 17010 
11 28 49 8 17010 
11 29 3 7 17010 
11 29 19 8 17010 
11 29 33 7 17010 
11 29 49 8 17010 
11 30 3 7 17010 
11 30 19 8 17071 
11 30 33 7 17010 
11 30 49 8 17010 
11 31 3 7 17071 
11 31 19 8 17010 
11 31 33 7 17071 
11 31 49 8 17071 
11 32 3 7 17071 
11 32 19 8 17010 
11 32 33 7 17010 
11 32 49 8 17010 
11 33 3 7 17071 
11 33 19 8 17071 
11 33 33 7 17010 
11 33 49 8 17010 
11 34 3 7 17010 
11 34 19 8 17010 
11 34 33 7 17010 
11 34 49 8 17010 
11 38 39 7 17010 
11 38 55 8 17071 
11 39 9 7 17010 
11 39 25 8 17010 
11 39 39 7 17010 
11 39 55 8 17010 
11 40 9 7 17071 
11 40 25 8 17010 
11 40 39 7 17010 
11 40 55 8 17010 
11 41 9 7 17010 
11 41 25 8 17071 
11 41 39 7 17010 
11 41 55 8 17010 
11 42 9 7 17010 
11 42 25 8 17010 
11 42 39 7 17010 
11 42 55 8 17010 
11 43 9 7 17010 
11 43 25 8 17010 
11 43 39 7 17010 
11 43 55 8 17010 
11 44 9 7 17010 
11 44 25 8 17010 
11 44 39 7 17010 
11 44 55 8 17010 
11 45 9 7 17010 
11 45 25 8 17010 
11 45 39 7 17071 
11 45 55 8 17010 
11 46 9 7 17010 
11 46 25 8 17010 
11 46 39 7 17010 
11 46 55 8 17010 
11 47 9 7 17010 
11 47 25 8 17071 
11 47 39 7 17010 
11 47 55 8 17010 
11 48 9 7 17010 
11 48 25 8 17010 
11 48 39 7 17010 
11 48 55 8 17071 
11 49 9 7 17010 
11 49 25 8 17010 
11 49 39 7 17010 
11 49 55 8 17010 
11 50 9 7 17071 
11 50 25 8 17010 
11 50 39 7 17010 
11 50 55 8 17010 
11 51 9 7 17010 
11 51 25 8 17010 
11 51 39 7 17010 
11 51 55 8 17010 
11 52 9 7 17010 
11 52 25 8 17010 
11 52 39 7 17071 
11 52 55 8 17010 
11 53 9 7 17010 
11 57 1 8 17010 
11 57 15 7 17010 
11 57 31 8 17010 
11 57 45 7 17010 
11 58 1 8 17010 
11 58 15 7 17010 
11 58 31 8 17010 
11 58 45 7 17010 
11 59 1 8 17071 
11 59 15 7 17010 
11 59 31 8 17010 
11 59 45 7 17010 
12 0 1 8 17010 
12 0 15 7 17010 
12 0 31 8 17010 
12 0 45 7 17010 
12 1 1 8 17010 
12 1 15 7 17071 
12 1 31 8 17010 
12 1 45 7 17010 
12 2 1 8 17010 
12 2 15 7 17071 
12 2 31 8 17010 
12 2 45 7 17010 
12 3 1 8 17071 
12 3 15 7 17010 
12 3 31 8 17010 
12 3 45 7 17010 
12 4 1 8 17071 
12 4 15 7 17010 
12 4 31 8 17010 
12 4 45 7 17010 
12 5 1 8 17010 
12 5 15 7 17071 
12 5 31 8 17071 
12 5 45 7 17010 
12 6 1 8 17071 
12 6 15 7 17071 
12 6 31 8 17010 
12 6 45 7 17010 
12 7 1 8 17010 
12 7 15 7 17010 
12 7 31 8 17010 
12 7 45 7 17071 
12 8 1 8 17010 
12 8 15 7 17071 
12 8 31 8 17010 
12 8 45 7 17010 
12 9 1 8 17010 
12 9 15 7 17010 
12 9 31 8 17010 
12 9 45 7 17010 
12 10 1 8 17010 
12 10 15 7 17010 
12 10 31 8 17010 
12 10 45 7 17010 
12 11 1 8 17010 
12 11 15 7 17010 
12 11 31 8 17010 
12 15 21 7 17071 
12 15 37 8 17010 
12 15 51 7 17010 
12 16 7 8 17010 
12 16 21 7 17010 
12 16 37 8 17010 
12 16 51 7 17071 
12 17 7 8 17010 
12 17 21 7 17010 
12 17 37 8 17010 
12 17 51 7 17071 
12 18 7 8 17010 
12 18 21 7 17071 
12 18 37 8 17071 
12 18 51 7 17010 
12 19 7 8 17010 
12 19 21 7 17010 
12 19 37 8 17010 
12 19 51 7 17010 
12 20 7 8 17010 
12 20 21 7 17010 
12 20 37 8 17010 
12 20 51 7 17010 
