ls
ls
<CR>
         TIME          Size       File name 
----A 2021/11/27 14:49      8728  1127
----A 2021/11/27 09:44    128000  11270929
----A 2021/11/27 10:02    128000  11270947
----A 2021/11/27 10:23    128000  11271005
----A 2021/11/27 10:39    128000  11271024
----A 2021/11/27 10:59    128000  11271042
----A 2021/11/27 11:15    128000  11271100
----A 2021/11/27 11:35    128000  11271119
----A 2021/11/27 11:54    128000  11271137
----A 2021/11/27 12:11    128000  11271155
----A 2021/11/27 12:29    128000  11271214
----A 2021/11/27 12:47    128000  11271232
----A 2021/11/27 13:06    128000  11271250
----A 2021/11/27 13:25    128000  11271309
----A 2021/11/27 13:42    128000  11271327
----A 2021/11/27 14:01    128000  11271346
----A 2021/11/27 14:19    128000  11271404
----A 2021/11/27 14:39    128000  11271422
----A 2021/11/27 14:41      2560  11271441

  19 File(s),   2187288 bytes total
   0 Dir(s),     998368K bytes free

/> 
read 1127
read 1127
<CR>Time:2021/11/27 14:41
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 11 47 8 11544 
9 12 1 7 11790 
9 12 17 8 12404 
9 12 31 7 16764 
9 12 47 8 17071 
9 13 1 7 17010 
9 13 17 8 17010 
9 13 31 7 17010 
9 13 47 8 17010 
9 14 1 7 17010 
9 14 17 8 17010 
9 14 31 7 17010 
9 14 47 8 17010 
9 15 1 7 17010 
9 15 17 8 17010 
9 15 31 7 17010 
9 15 47 8 17010 
9 16 1 7 17010 
9 16 17 8 17010 
9 16 31 7 17010 
9 16 47 8 17010 
9 17 1 7 17010 
9 17 17 8 17010 
9 17 31 7 17010 
9 17 47 8 17071 
9 18 1 7 17071 
9 18 17 8 17071 
9 18 31 7 17071 
9 18 47 8 17071 
9 19 1 7 17071 
9 19 17 8 17071 
9 19 31 7 17071 
9 19 47 8 17071 
9 20 1 7 17071 
9 20 17 8 17071 
9 20 31 7 17071 
9 20 47 8 17071 
9 21 1 7 17071 
9 21 17 8 17010 
9 21 31 7 17071 
9 21 47 8 17071 
9 22 1 7 17071 
9 22 17 8 17010 
9 22 31 7 17010 
9 22 47 8 17071 
9 23 1 7 17071 
9 23 17 8 17071 
9 23 31 7 17071 
9 23 47 8 17010 
9 24 1 7 17071 
9 24 17 8 17071 
9 24 31 7 17071 
9 24 47 8 17071 
9 25 1 7 17010 
9 25 17 8 17071 
9 25 31 7 17010 
9 25 47 8 17010 
9 29 39 7 17010 
9 29 55 8 17010 
9 30 9 7 17010 
9 30 25 8 17010 
9 30 39 7 17010 
9 30 55 8 17010 
9 31 9 7 17010 
9 31 25 8 17010 
9 31 39 7 17010 
9 31 55 8 17010 
9 32 9 7 17010 
9 32 25 8 17010 
9 32 39 7 17010 
9 32 55 8 17010 
9 33 9 7 17010 
9 33 25 8 17010 
9 33 39 7 17010 
9 33 55 8 17010 
9 34 9 7 17010 
9 34 25 8 17010 
9 34 39 7 17010 
9 34 55 8 17010 
9 35 9 7 17010 
9 35 25 8 17010 
9 35 39 7 17010 
9 35 55 8 17010 
9 36 9 7 17010 
9 36 25 8 17010 
9 36 39 7 17010 
9 36 55 8 17010 
9 37 9 7 17010 
9 37 25 8 17010 
9 37 39 7 17010 
9 37 55 8 17010 
9 38 9 7 17010 
9 38 25 8 17010 
9 38 39 7 17010 
9 38 55 8 17010 
9 39 9 7 17010 
9 39 25 8 17010 
9 39 39 7 17010 
9 39 55 8 17010 
9 40 9 7 17010 
9 40 25 8 17010 
9 40 39 7 17010 
9 40 55 8 17010 
9 41 9 7 17010 
9 41 25 8 17010 
9 41 39 7 17010 
9 41 55 8 17010 
9 42 9 7 17010 
9 42 25 8 17010 
9 42 39 7 17010 
9 42 55 8 17010 
9 43 9 7 17010 
9 43 25 8 17010 
9 43 39 7 17010 
9 43 55 8 17010 
9 44 9 7 17010 
9 48 1 8 17010 
9 48 15 7 17010 
9 48 31 8 17010 
9 48 45 7 17010 
9 49 1 8 17010 
9 49 15 7 17071 
9 49 31 8 17010 
9 49 45 7 17010 
9 50 1 8 17010 
9 50 15 7 17010 
9 50 31 8 17010 
9 50 45 7 17010 
9 51 1 8 17010 
9 51 15 7 17010 
9 51 31 8 17010 
9 51 45 7 17010 
9 52 1 8 17010 
9 52 15 7 17010 
9 52 31 8 17010 
9 52 45 7 17010 
9 53 1 8 17010 
9 53 15 7 17010 
9 53 31 8 17010 
9 53 45 7 17010 
9 54 1 8 17010 
9 54 15 7 17010 
9 54 31 8 17010 
9 54 45 7 17010 
9 55 1 8 17010 
9 55 15 7 17010 
9 55 31 8 17010 
9 55 45 7 17010 
9 56 1 8 17010 
9 56 15 7 17010 
9 56 31 8 17010 
9 56 45 7 17010 
9 57 1 8 17010 
9 57 15 7 17010 
9 57 31 8 17010 
9 57 45 7 17010 
9 58 1 8 17010 
9 58 15 7 17010 
9 58 31 8 17010 
9 58 45 7 17010 
9 59 1 8 17010 
9 59 15 7 17010 
9 59 31 8 17010 
9 59 45 7 17010 
10 0 1 8 17010 
10 0 15 7 17010 
10 0 31 8 17010 
10 0 45 7 17010 
10 1 1 8 17010 
10 1 15 7 17010 
10 1 31 8 17010 
10 1 45 7 17010 
10 2 1 8 17010 
10 2 15 7 17010 
10 2 31 8 17010 
10 6 21 7 17010 
10 6 37 8 17010 
10 6 51 7 17010 
10 7 7 8 17010 
10 7 21 7 17010 
10 7 37 8 17010 
10 7 51 7 17010 
10 8 7 8 17010 
10 8 21 7 17010 
10 8 37 8 17010 
10 8 51 7 17010 
10 9 7 8 17010 
10 9 21 7 17010 
10 9 37 8 17010 
10 9 51 7 17010 
10 10 7 8 17010 
10 10 21 7 17010 
10 10 37 8 17010 
10 10 51 7 17010 
10 11 7 8 17010 
10 11 21 7 17010 
10 11 37 8 17071 
10 11 51 7 17071 
10 12 7 8 17071 
10 12 21 7 17010 
10 12 37 8 17010 
10 12 51 7 17071 
10 13 7 8 17010 
10 13 21 7 17071 
10 13 37 8 17071 
10 13 51 7 17010 
10 14 7 8 17071 
10 14 21 7 17071 
10 14 37 8 17071 
10 14 51 7 17010 
10 15 7 8 17010 
10 15 21 7 17071 
10 15 37 8 17071 
10 15 51 7 17071 
10 16 7 8 17010 
10 16 21 7 17071 
10 16 37 8 17071 
10 16 51 7 17010 
10 17 7 8 17010 
10 17 21 7 17071 
10 17 37 8 17010 
10 17 51 7 17010 
10 18 7 8 17010 
10 18 21 7 17010 
10 18 37 8 17010 
10 18 51 7 17071 
10 19 7 8 17010 
10 19 21 7 17010 
10 19 37 8 17010 
10 19 51 7 17010 
10 20 7 8 17071 
10 20 21 7 17071 
10 20 37 8 17010 
10 20 51 7 17010 
10 24 43 8 17071 
10 24 57 7 17071 
10 25 13 8 17010 
10 25 27 7 17071 
10 25 43 8 17010 
10 25 57 7 17010 
10 26 13 8 17010 
10 26 27 7 17010 
10 26 43 8 17010 
10 26 57 7 17010 
10 27 13 8 17010 
10 27 27 7 17010 
10 27 43 8 17010 
10 27 57 7 17010 
10 28 13 8 17010 
10 28 27 7 17010 
10 28 43 8 17071 
10 28 57 7 17071 
10 29 13 8 17071 
10 29 27 7 17071 
10 29 43 8 17071 
10 29 57 7 17010 
10 30 13 8 17071 
10 30 27 7 17071 
10 30 43 8 17071 
10 30 57 7 17071 
10 31 13 8 17071 
10 31 27 7 17071 
10 31 43 8 17010 
10 31 57 7 17071 
10 32 13 8 17071 
10 32 27 7 17071 
10 32 43 8 17071 
10 32 57 7 17071 
10 33 13 8 17071 
10 33 27 7 17010 
10 33 43 8 17071 
10 33 57 7 17071 
10 34 13 8 17071 
10 34 27 7 17071 
10 34 43 8 17071 
10 34 57 7 17071 
10 35 13 8 17071 
10 35 27 7 17071 
10 35 43 8 17071 
10 35 57 7 17071 
10 36 13 8 17071 
10 36 27 7 17071 
10 36 43 8 17071 
10 36 57 7 17010 
10 37 13 8 17071 
10 37 27 7 17071 
10 37 43 8 17071 
10 37 57 7 17071 
10 38 13 8 17071 
10 38 27 7 17071 
10 38 43 8 17071 
10 38 57 7 17071 
10 39 13 8 17071 
10 43 3 7 17071 
10 43 19 8 17071 
10 43 33 7 17071 
10 43 49 8 17071 
10 44 3 7 17071 
10 44 19 8 17071 
10 44 33 7 17071 
10 44 49 8 17071 
10 45 3 7 17071 
10 45 19 8 17071 
10 45 33 7 17071 
10 45 49 8 17071 
10 46 3 7 17071 
10 46 19 8 17071 
10 46 33 7 17071 
10 46 49 8 17071 
10 47 3 7 17071 
10 47 19 8 17071 
10 47 33 7 17071 
10 47 49 8 17071 
10 48 3 7 17071 
10 48 19 8 17071 
10 48 33 7 17071 
10 48 49 8 17071 
10 49 3 7 17071 
10 49 19 8 17071 
10 49 33 7 17071 
10 49 49 8 17071 
10 50 3 7 17071 
10 50 19 8 17071 
10 50 33 7 17071 
10 50 49 8 17071 
10 51 3 7 17071 
10 51 19 8 17071 
10 51 33 7 17071 
10 51 49 8 17071 
10 52 3 7 17071 
10 52 19 8 17071 
10 52 33 7 17071 
10 52 49 8 17071 
10 53 3 7 17071 
10 53 19 8 17071 
10 53 33 7 17071 
10 53 49 8 17071 
10 54 3 7 17071 
10 54 19 8 17071 
10 54 33 7 17071 
10 54 49 8 17071 
10 55 3 7 17071 
10 55 19 8 17071 
10 55 33 7 17071 
10 55 49 8 17071 
10 56 3 7 17071 
10 56 19 8 17010 
10 56 33 7 17071 
10 56 49 8 17071 
10 57 3 7 17071 
10 57 19 8 17071 
10 57 33 7 17071 
11 1 25 8 17071 
11 1 39 7 17071 
11 1 55 8 17071 
11 2 9 7 17010 
11 2 25 8 17071 
11 2 39 7 17071 
11 2 55 8 17071 
11 3 9 7 17071 
11 3 25 8 17071 
11 3 39 7 17071 
11 3 55 8 17071 
11 4 9 7 17071 
11 4 25 8 17071 
11 4 39 7 17010 
11 4 55 8 17071 
11 5 9 7 17071 
11 5 25 8 17071 
11 5 39 7 17071 
11 5 55 8 17071 
11 6 9 7 17071 
11 6 25 8 17071 
11 6 39 7 17071 
11 6 55 8 17010 
11 7 9 7 17071 
11 7 25 8 17071 
11 7 39 7 17071 
11 7 55 8 17071 
11 8 9 7 17010 
11 8 25 8 17071 
11 8 39 7 17071 
11 8 55 8 17071 
11 9 9 7 17071 
11 9 25 8 17071 
11 9 39 7 17010 
11 9 55 8 17071 
11 10 9 7 17071 
11 10 25 8 17071 
11 10 39 7 17071 
11 10 55 8 17071 
11 11 9 7 17071 
11 11 25 8 17071 
11 11 39 7 17071 
11 11 55 8 17071 
11 12 9 7 17071 
11 12 25 8 17071 
11 12 39 7 17071 
11 12 55 8 17071 
11 13 9 7 17071 
11 13 25 8 17071 
11 13 39 7 17071 
11 13 55 8 17071 
11 14 9 7 17071 
11 14 25 8 17071 
11 14 39 7 17071 
11 14 55 8 17071 
11 15 9 7 17071 
11 15 25 8 17071 
11 15 39 7 17071 
11 15 55 8 17071 
11 19 45 7 17071 
11 20 1 8 17071 
11 20 15 7 17071 
11 20 31 8 17071 
11 20 45 7 17071 
11 21 1 8 17071 
11 21 15 7 17071 
11 21 31 8 17071 
11 21 45 7 17071 
11 22 1 8 17071 
11 22 15 7 17071 
11 22 31 8 17071 
11 22 45 7 17071 
11 23 1 8 17071 
11 23 15 7 17071 
11 23 31 8 17071 
11 23 45 7 17071 
11 24 1 8 17071 
11 24 15 7 17071 
11 24 31 8 17071 
11 24 45 7 17071 
11 25 1 8 17071 
11 25 15 7 17010 
11 25 31 8 17071 
11 25 45 7 17071 
11 26 1 8 17071 
11 26 15 7 17071 
11 26 31 8 17071 
11 26 45 7 17071 
11 27 1 8 17071 
11 27 15 7 17071 
11 27 31 8 17071 
11 27 45 7 17071 
11 28 1 8 17071 
11 28 15 7 17071 
11 28 31 8 17010 
11 28 45 7 17071 
11 29 1 8 17071 
11 29 15 7 17071 
11 29 31 8 17071 
11 29 45 7 17071 
11 30 2 8 17071 
11 30 16 7 17071 
11 30 32 8 17071 
11 30 45 7 17071 
11 31 2 8 17071 
11 31 16 7 17071 
11 31 32 8 17071 
11 31 46 7 17071 
11 32 2 8 17071 
11 32 16 7 17071 
11 32 32 8 17071 
11 32 46 7 17071 
11 33 2 8 17071 
11 33 16 7 17071 
11 33 32 8 17010 
11 33 46 7 17071 
11 34 2 8 17071 
11 34 16 7 17071 
11 38 8 8 17071 
11 38 22 7 17071 
11 38 38 8 17071 
11 38 52 7 17071 
11 39 8 8 17071 
11 39 22 7 17071 
11 39 38 8 17071 
11 39 52 7 17071 
11 40 8 8 17071 
11 40 22 7 17071 
11 40 38 8 17071 
11 40 52 7 17071 
11 41 8 8 17071 
11 41 22 7 17010 
11 41 38 8 17071 
11 41 52 7 17071 
11 42 8 8 17071 
11 42 22 7 17071 
11 42 38 8 17071 
11 42 52 7 17071 
11 43 8 8 17071 
11 43 22 7 17071 
11 43 38 8 17071 
11 43 52 7 17071 
11 44 8 8 17071 
11 44 22 7 17071 
11 44 38 8 17071 
11 44 52 7 17071 
11 45 8 8 17010 
11 45 22 7 17071 
11 45 38 8 17010 
11 45 52 7 17071 
11 46 8 8 17071 
11 46 22 7 17071 
11 46 38 8 17071 
11 46 52 7 17071 
11 47 8 8 17071 
11 47 22 7 17071 
11 47 38 8 17071 
11 47 52 7 17071 
11 48 8 8 17071 
11 48 22 7 17071 
11 48 38 8 17071 
11 48 52 7 17071 
11 49 8 8 17071 
11 49 22 7 17071 
11 49 38 8 17071 
11 49 52 7 17071 
11 50 8 8 17071 
11 50 22 7 17071 
11 50 38 8 17071 
11 50 52 7 17071 
11 51 8 8 17071 
11 51 22 7 17071 
11 51 38 8 17071 
11 51 52 7 17071 
11 52 8 8 17071 
11 52 22 7 17071 
11 52 38 8 17071 
11 56 28 7 17071 
11 56 44 8 17071 
11 56 58 7 17071 
11 57 14 8 17071 
11 57 28 7 17071 
11 57 44 8 17071 
11 57 58 7 17071 
11 58 14 8 17071 
11 58 28 7 17071 
11 58 44 8 17071 
11 58 58 7 17071 
11 59 14 8 17071 
11 59 28 7 17071 
11 59 44 8 17071 
11 59 58 7 17071 
12 0 14 8 17071 
12 0 28 7 17071 
12 0 44 8 17071 
12 0 58 7 17071 
12 1 14 8 17071 
12 1 28 7 17071 
12 1 44 8 17010 
12 1 58 7 17071 
12 2 14 8 17071 
12 2 28 7 17071 
12 2 44 8 17071 
12 2 58 7 17071 
12 3 14 8 17071 
12 3 28 7 17071 
12 3 44 8 17071 
12 3 58 7 17071 
12 4 14 8 17071 
12 4 28 7 17071 
12 4 44 8 17071 
12 4 58 7 17071 
12 5 14 8 17071 
12 5 28 7 17071 
12 5 44 8 17071 
12 5 58 7 17071 
12 6 14 8 17071 
12 6 28 7 17071 
12 6 44 8 17071 
12 6 58 7 17071 
12 7 14 8 17071 
12 7 28 7 17071 
12 7 44 8 17071 
12 7 58 7 17071 
12 8 14 8 17071 
12 8 28 7 17071 
12 8 44 8 17071 
12 8 58 7 17071 
12 9 14 8 17071 
12 9 28 7 17071 
12 9 44 8 17071 
12 9 58 7 17071 
12 10 14 8 17071 
12 10 28 7 17010 
12 10 44 8 17071 
12 10 58 7 17010 
12 14 50 8 17010 
12 15 4 7 17071 
12 15 20 8 17071 
12 15 34 7 17010 
12 15 50 8 17071 
12 16 4 7 17071 
12 16 20 8 17071 
12 16 34 7 17071 
12 16 50 8 17071 
12 17 4 7 17071 
12 17 20 8 17071 
12 17 34 7 17071 
12 17 50 8 17071 
12 18 4 7 17071 
12 18 20 8 17071 
12 18 34 7 17071 
12 18 50 8 17071 
12 19 4 7 17010 
12 19 20 8 17071 
12 19 34 7 17071 
12 19 50 8 17071 
12 20 4 7 17071 
12 20 20 8 17071 
12 20 34 7 17071 
12 20 50 8 17071 
12 21 4 7 17071 
12 21 20 8 17071 
12 21 34 7 17071 
12 21 50 8 17071 
12 22 4 7 17071 
12 22 20 8 17071 
12 22 34 7 17071 
12 22 50 8 17071 
12 23 4 7 17071 
12 23 20 8 17071 
12 23 34 7 17071 
12 23 50 8 17071 
12 24 4 7 17071 
12 24 20 8 17071 
12 24 34 7 17071 
12 24 50 8 17071 
12 25 4 7 17071 
12 25 20 8 17071 
12 25 34 7 17071 
12 25 50 8 17071 
12 26 4 7 17071 
12 26 20 8 17010 
12 26 34 7 17071 
12 26 50 8 17071 
12 27 4 7 17010 
12 27 20 8 17071 
12 27 34 7 17071 
12 27 50 8 17071 
12 28 6 8 17071 
12 28 20 7 17071 
12 28 34 7 17071 
12 28 50 8 17071 
12 29 4 7 17071 
12 29 20 8 17071 
12 33 10 7 17071 
12 33 26 8 17071 
12 33 40 7 17071 
12 33 56 8 17071 
12 34 10 7 17071 
12 34 26 8 17071 
12 34 40 7 17071 
12 34 56 8 17071 
12 35 10 7 17071 
12 35 26 8 17071 
12 35 40 7 17071 
12 35 56 8 17071 
12 36 10 7 17071 
12 36 26 8 17010 
12 36 40 7 17071 
12 36 56 8 17071 
12 37 10 7 17071 
12 37 26 8 17071 
12 37 40 7 17071 
12 37 56 8 17071 
12 38 10 7 17071 
12 38 26 8 17071 
12 38 40 7 17071 
12 38 56 8 17071 
12 39 10 7 17071 
12 39 26 8 17071 
12 39 40 7 17071 
12 39 56 8 17071 
12 40 10 7 17071 
12 40 26 8 17071 
12 40 40 7 17071 
12 40 56 8 17071 
