ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/04 15:18      3368  1004
----A 2021/10/04 13:54    128640  10041339
----A 2021/10/04 14:10    128000  10041355
----A 2021/10/04 14:27    128640  10041410
----A 2021/10/04 14:41    128000  10041426
----A 2021/10/04 14:58    128640  10041441
----A 2021/10/04 15:11    128000  10041456
----A 2021/10/04 15:13      2560  10041512

   8 File(s),    775848 bytes total
   0 Dir(s),     999776K bytes free

/> 
read 1004
read 1004
<CR>Time:2021/10/04 15:13
Hours Minutes Seconds  Nb_Samples    Aver. Current 
13 24 18 75 8880 
13 24 33 73 10934 
13 24 48 75 13834 
13 25 3 75 15223 
13 25 18 75 16130 
13 25 33 75 16673 
13 25 48 29 15948 
13 26 3 75 16855 
13 28 53 75 17096 
13 29 8 75 17096 
13 29 23 75 17096 
13 29 38 75 17096 
13 29 53 75 17096 
13 30 8 75 17096 
13 30 23 75 17096 
13 30 38 75 17096 
13 30 53 75 17096 
13 31 8 75 17096 
13 31 23 75 17096 
13 31 38 75 17096 
13 31 53 75 17096 
13 32 8 75 17096 
13 32 23 75 17096 
13 32 38 75 17096 
13 32 53 75 17096 
13 33 8 75 17096 
13 33 23 75 17096 
13 33 38 75 17096 
13 33 53 75 17096 
13 34 8 75 17096 
13 34 23 75 17096 
13 35 6 68 17036 
13 35 8 7 15646 
13 35 23 75 16734 
13 35 38 75 17036 
13 35 53 75 17036 
13 36 8 75 17036 
13 36 23 75 17036 
13 36 38 75 17036 
13 36 53 75 17036 
13 37 8 75 17036 
13 37 23 75 17036 
13 37 38 75 17036 
13 37 53 75 17036 
13 38 8 75 17036 
13 38 23 75 17036 
13 38 38 75 17036 
13 38 53 74 17036 
13 39 8 75 17036 
13 39 23 75 17036 
13 40 29 75 17036 
13 40 44 75 17036 
13 40 59 75 17036 
13 41 14 75 17036 
13 41 29 75 17036 
13 41 44 75 17036 
13 41 59 75 17036 
13 42 14 75 17036 
13 42 29 75 17036 
13 42 44 75 17036 
13 42 59 75 17036 
13 43 14 75 17036 
13 43 29 75 17036 
13 43 44 75 17036 
13 43 59 75 17036 
13 44 14 75 17036 
13 44 29 75 17036 
13 44 44 75 17036 
13 44 59 75 17036 
13 45 14 75 17036 
13 45 29 75 17036 
13 45 44 75 17036 
13 45 59 74 17036 
13 46 14 75 17036 
13 46 29 75 17036 
13 46 44 75 17036 
13 46 59 75 17036 
13 47 14 75 17036 
13 47 29 75 17036 
13 47 44 76 17036 
13 47 59 75 17036 
13 48 14 75 17036 
13 48 29 75 17036 
13 48 44 75 17036 
13 48 59 75 17036 
13 49 14 75 17036 
13 49 29 75 17036 
13 49 44 75 17036 
13 49 59 75 17036 
13 50 14 75 17036 
13 50 29 75 17036 
13 50 44 75 17036 
13 50 59 75 17036 
13 51 14 75 17036 
13 51 29 75 17036 
13 51 44 75 17036 
13 51 59 75 17036 
13 52 14 75 17036 
13 52 29 75 17036 
13 52 44 75 17036 
13 52 59 75 17036 
13 53 14 75 17036 
13 53 29 75 17036 
13 53 44 74 17036 
13 53 59 75 17036 
13 54 14 75 17036 
13 54 29 75 17036 
13 54 44 75 17036 
13 56 8 75 17036 
13 56 23 75 17036 
13 56 38 75 17036 
13 56 53 75 17036 
13 57 8 75 17036 
13 57 23 75 17036 
13 57 38 75 17036 
13 57 53 75 17036 
13 58 8 75 17036 
13 58 23 75 17036 
13 58 38 75 17036 
13 58 53 75 17036 
13 59 8 75 17036 
13 59 23 75 17036 
13 59 38 75 17036 
13 59 53 75 17036 
14 0 8 75 17036 
14 0 23 75 17036 
14 0 38 75 17036 
14 0 53 75 17036 
14 1 8 75 17036 
14 1 23 75 17036 
14 1 38 75 17036 
14 1 53 75 17036 
14 2 8 75 17036 
14 2 23 75 17036 
14 2 38 75 17036 
14 2 53 75 17036 
14 3 8 75 17036 
14 3 23 75 17036 
14 3 38 75 17036 
14 3 53 75 17036 
14 4 8 75 17036 
14 4 23 75 17036 
14 4 38 75 17036 
14 4 53 75 17036 
14 5 8 75 17036 
14 5 23 75 17036 
14 5 38 74 17036 
14 5 53 75 17036 
14 6 8 75 17036 
14 6 23 75 17036 
14 6 38 75 17036 
14 6 53 75 17036 
14 7 8 75 17036 
14 7 23 75 17036 
14 7 38 75 17036 
14 7 53 75 17036 
14 8 8 75 17036 
14 8 23 75 17036 
14 8 38 75 17036 
14 8 53 75 17036 
14 9 8 75 17036 
14 9 23 75 17036 
14 9 38 75 17036 
14 9 53 75 17036 
14 10 8 75 17036 
14 10 23 75 17036 
14 10 38 75 17036 
14 11 43 75 17036 
14 11 58 75 17036 
14 12 13 75 17036 
14 12 28 75 17036 
14 12 43 75 17036 
14 12 58 75 17036 
14 13 13 75 17036 
14 13 28 75 17036 
14 13 43 75 17036 
14 13 58 75 17036 
14 14 13 75 17036 
14 14 28 75 17036 
14 14 43 75 17036 
14 14 58 75 17036 
14 15 13 75 17036 
