ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/04 15:19      3360  1004
----A 2021/10/04 13:55    128640  10041339
----A 2021/10/04 14:11    128640  10041354
----A 2021/10/04 14:25    128640  10041410
----A 2021/10/04 14:41    128000  10041425
----A 2021/10/04 14:55    128640  10041440
----A 2021/10/04 15:11    128000  10041456
----A 2021/10/04 15:11      2560  10041511
----A 2021/10/05 15:15      8424  1005
----A 2021/10/05 10:59    128000  10051042
----A 2021/10/05 11:15    128000  10051058
----A 2021/10/05 11:31    128000  10051114
----A 2021/10/05 11:47    128000  10051130
----A 2021/10/05 12:03    128000  10051146
----A 2021/10/05 12:19    128000  10051202
----A 2021/10/05 12:35    128000  10051218
----A 2021/10/05 12:51    128000  10051234
----A 2021/10/05 13:07    128000  10051250
----A 2021/10/05 13:23    128000  10051306
----A 2021/10/05 13:39    128000  10051322
----A 2021/10/05 13:55    128000  10051338
----A 2021/10/05 14:11    128000  10051354
----A 2021/10/05 14:27    128000  10051410
----A 2021/10/05 14:43    128000  10051426
----A 2021/10/05 14:59    128000  10051442
----A 2021/10/05 15:15    128000  10051458
----A 2021/10/05 15:15      2560  10051514

  27 File(s),   2963464 bytes total
   0 Dir(s),     997568K bytes free

/> 
read 1005
read 1005
<CR>Time:2021/10/05 15:15
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 29 29 25 12588 
10 29 44 24 14492 
10 29 59 25 15474 
10 30 14 25 16273 
10 30 29 25 16703 
10 30 44 25 17010 
10 30 59 26 17071 
10 31 14 25 17071 
10 31 29 25 17071 
10 31 44 25 17010 
10 31 59 25 17071 
10 32 14 25 17071 
10 32 29 25 17010 
10 32 44 25 17071 
10 32 59 25 17010 
10 33 14 25 17010 
10 33 29 25 17010 
10 33 44 25 17010 
10 33 59 25 17010 
10 34 14 25 17010 
10 34 29 25 17010 
10 34 44 25 17010 
10 34 59 25 17010 
10 35 14 25 17010 
10 35 29 25 17010 
10 35 44 25 17010 
10 35 59 25 17010 
10 36 14 25 17010 
10 36 29 25 17010 
10 36 44 25 17010 
10 36 59 25 17010 
10 37 14 25 17010 
10 37 29 25 17010 
10 37 44 25 17010 
10 37 59 25 17010 
10 38 14 25 17010 
10 38 29 25 17010 
10 38 44 25 17010 
10 38 59 25 17010 
10 39 14 25 17010 
10 39 29 25 17010 
10 39 44 25 17010 
10 39 59 25 17010 
10 40 14 25 17010 
10 40 29 25 17010 
10 40 44 25 17010 
10 40 59 25 17010 
10 41 14 25 17010 
10 41 29 25 17010 
10 41 44 25 17010 
10 43 17 25 17010 
10 43 32 25 17010 
10 43 47 25 17010 
10 44 2 25 17010 
10 44 17 25 17010 
10 44 32 25 17010 
10 44 47 25 17010 
10 45 2 25 17010 
10 45 17 25 17010 
10 45 32 25 17010 
10 45 47 25 17010 
10 46 2 25 17010 
10 46 17 25 17010 
10 46 32 25 17010 
10 46 47 25 17010 
10 47 2 25 17010 
10 47 17 25 17010 
10 47 32 25 17010 
10 47 47 25 17010 
10 48 2 25 17010 
10 48 17 25 17010 
10 48 32 25 17010 
10 48 47 25 17010 
10 49 2 25 17010 
10 49 17 25 17010 
10 49 32 25 17010 
10 49 47 25 17010 
10 50 2 25 17010 
10 50 17 25 17010 
10 50 32 25 17010 
10 50 47 25 17010 
10 51 2 25 17010 
10 51 17 25 17010 
10 51 32 25 17010 
10 51 47 25 17010 
10 52 2 25 17010 
10 52 17 25 17010 
10 52 32 25 17010 
10 52 47 25 17010 
10 53 2 25 17010 
10 53 17 25 17010 
10 53 32 25 17010 
10 53 47 25 17010 
10 54 2 25 17010 
10 54 17 25 17010 
10 54 32 25 17010 
10 54 47 25 17010 
10 55 2 25 17010 
10 55 17 25 17010 
10 55 32 25 17010 
10 55 47 25 17010 
10 56 2 25 17010 
10 56 17 25 17010 
10 56 32 25 17010 
10 56 47 25 17010 
10 57 2 25 17010 
10 57 17 25 17010 
10 57 32 25 17010 
10 57 47 25 17010 
10 59 17 25 17010 
10 59 32 25 17010 
10 59 47 25 17010 
11 0 2 25 17010 
11 0 17 25 17010 
11 0 32 25 17010 
11 0 47 25 17010 
11 1 2 25 17010 
11 1 17 25 17010 
11 1 32 25 17010 
11 1 47 25 17010 
11 2 2 25 17010 
11 2 17 25 17010 
11 2 32 25 17010 
11 2 47 25 17010 
11 3 2 25 17010 
11 3 17 25 17010 
11 3 32 25 17010 
11 3 47 25 17010 
11 4 2 25 17010 
11 4 17 25 17010 
11 4 32 25 17010 
11 4 47 25 17010 
11 5 2 25 17010 
11 5 17 25 17010 
11 5 32 25 17010 
11 5 47 25 17010 
11 6 2 25 17010 
11 6 17 25 17010 
11 6 32 25 17010 
11 6 47 25 17010 
11 7 2 25 17010 
11 7 17 25 17010 
11 7 32 25 17010 
11 7 47 25 17010 
11 8 2 25 17010 
11 8 17 25 17010 
11 8 32 25 17010 
11 8 47 25 17010 
11 9 2 25 17010 
11 9 17 25 17010 
11 9 32 25 17010 
11 9 47 25 17010 
11 10 2 25 17010 
11 10 17 25 17010 
11 10 32 25 17010 
11 10 47 25 17010 
11 11 2 25 17010 
11 11 17 25 17010 
11 11 32 25 17010 
11 11 47 25 17010 
11 12 2 25 17010 
11 12 17 25 17010 
11 12 32 25 17010 
11 12 47 25 17010 
11 13 2 25 17010 
11 13 17 25 17010 
11 13 32 25 17010 
11 13 47 25 17010 
11 15 17 25 17010 
11 15 32 25 17010 
11 15 47 25 17010 
11 16 2 25 17010 
11 16 17 25 17010 
11 16 32 25 17010 
11 16 47 25 17010 
11 17 2 25 17010 
11 17 17 25 17010 
11 17 32 25 17010 
11 17 47 25 17010 
11 18 2 25 17010 
11 18 17 25 17010 
11 18 32 25 17010 
11 18 47 25 17010 
11 19 2 25 17010 
11 19 17 25 17010 
11 19 32 25 17010 
11 19 47 25 17010 
11 20 2 25 17010 
11 20 17 25 17010 
11 20 32 25 17010 
11 20 47 25 17010 
11 21 2 25 17010 
11 21 17 25 17010 
11 21 32 25 17010 
11 21 47 25 17010 
11 22 2 25 17010 
11 22 17 25 17010 
11 22 32 25 17010 
11 22 47 25 17010 
11 23 2 25 17010 
11 23 17 25 17010 
11 23 32 25 17010 
11 23 47 25 17010 
11 24 2 25 17010 
11 24 17 25 17010 
11 24 32 25 17010 
11 24 47 25 17010 
11 25 2 25 17010 
11 25 17 25 17010 
11 25 32 25 17010 
11 25 47 25 17010 
11 26 2 25 17010 
11 26 17 25 17010 
11 26 32 25 17010 
11 26 47 25 17010 
11 27 2 25 17010 
11 27 17 25 17010 
11 27 32 25 17010 
11 27 47 25 17010 
11 28 2 25 17010 
11 28 17 25 17010 
11 28 32 25 17010 
11 28 47 25 17010 
11 29 2 25 17010 
11 29 17 25 17010 
11 29 32 25 17010 
11 29 47 25 17010 
11 31 17 25 17010 
11 31 32 25 17010 
11 31 47 25 17010 
11 32 2 25 17010 
11 32 17 25 17010 
11 32 32 25 17010 
11 32 47 25 17010 
11 33 2 25 17010 
11 33 17 25 17010 
11 33 32 25 17010 
11 33 47 25 17010 
11 34 2 25 17010 
11 34 17 25 17010 
11 34 32 25 17010 
11 34 47 25 17010 
11 35 2 25 17010 
11 35 17 25 17010 
11 35 32 25 17010 
11 35 47 25 17010 
11 36 2 25 17010 
11 36 17 25 17010 
11 36 32 25 17010 
11 36 47 25 17010 
11 37 2 25 17010 
11 37 17 25 17010 
11 37 32 25 17010 
11 37 47 25 17010 
11 38 2 25 17010 
11 38 17 25 17010 
11 38 32 25 17010 
11 38 47 25 17010 
11 39 2 25 17010 
11 39 17 25 17010 
11 39 32 25 17010 
11 39 47 25 17010 
11 40 2 25 17010 
11 40 17 25 17010 
11 40 32 25 17010 
11 40 47 25 17010 
11 41 2 25 17010 
11 41 17 25 17010 
11 41 32 25 17010 
11 41 47 25 17010 
11 42 2 25 17010 
11 42 17 25 17010 
11 42 32 25 17010 
11 42 47 25 17010 
11 43 2 25 17010 
11 43 17 25 17010 
11 43 32 25 17010 
11 43 47 25 17010 
11 44 2 25 17010 
11 44 18 26 17010 
11 44 33 25 17010 
11 44 48 25 17010 
11 45 3 25 17010 
11 45 18 25 17010 
11 45 33 25 17010 
11 45 48 25 17010 
11 47 18 25 17010 
11 47 33 25 17010 
11 47 48 25 17010 
11 48 3 25 17010 
11 48 18 25 17010 
11 48 33 25 17010 
11 48 48 25 17010 
11 49 3 25 17010 
11 49 18 25 17010 
11 49 33 25 17010 
11 49 48 25 17010 
11 50 3 25 17010 
11 50 18 25 17010 
11 50 33 25 17010 
11 50 48 25 17010 
11 51 3 25 17010 
11 51 18 25 17010 
11 51 33 25 17010 
11 51 48 25 17010 
11 52 3 25 17010 
11 52 18 25 17010 
11 52 33 25 17010 
11 52 48 25 17010 
11 53 3 25 17010 
11 53 18 25 17010 
11 53 33 25 17010 
11 53 48 25 17010 
11 54 3 25 17010 
11 54 18 25 17010 
11 54 33 25 17010 
11 54 48 25 17010 
11 55 3 25 17010 
11 55 18 25 17010 
11 55 33 25 17010 
11 55 48 25 17010 
11 56 3 25 17010 
11 56 18 25 17010 
11 56 33 25 17010 
