ls

ls
<CR>
         TIME          Size       File name 
----A 2021/10/04 15:19      3360  1004
----A 2021/10/04 13:55    128640  10041339
----A 2021/10/04 14:11    128640  10041354
----A 2021/10/04 14:25    128640  10041410
----A 2021/10/04 14:41    128000  10041425
----A 2021/10/04 14:55    128640  10041440
----A 2021/10/04 15:11    128000  10041456
----A 2021/10/04 15:11      2560  10041511
----A 2021/10/05 15:15      8424  1005
----A 2021/10/05 10:59    128000  10051042
----A 2021/10/05 11:15    128000  10051058
----A 2021/10/05 11:31    128000  10051114
----A 2021/10/05 11:47    128000  10051130
----A 2021/10/05 12:03    128000  10051146
----A 2021/10/05 12:19    128000  10051202
----A 2021/10/05 12:35    128000  10051218
----A 2021/10/05 12:51    128000  10051234
----A 2021/10/05 13:07    128000  10051250
----A 2021/10/05 13:23    128000  10051306
----A 2021/10/05 13:39    128000  10051322
----A 2021/10/05 13:55    128000  10051338
----A 2021/10/05 14:11    128000  10051354
----A 2021/10/05 14:27    128000  10051410
----A 2021/10/05 14:43    128000  10051426
----A 2021/10/05 14:59    128000  10051442
----A 2021/10/05 15:15    128000  10051458
----A 2021/10/05 15:15      2560  10051514
----A 2021/10/06 14:51      8408  1006
----A 2021/10/06 10:37    128000  10061022
----A 2021/10/06 10:53    128000  10061038
----A 2021/10/06 11:09    128000  10061054
----A 2021/10/06 11:25    128000  10061110
----A 2021/10/06 11:41    128000  10061126
----A 2021/10/06 11:57    128000  10061142
----A 2021/10/06 12:13    128000  10061158
----A 2021/10/06 12:29    128000  10061214
----A 2021/10/06 12:45    128000  10061230
----A 2021/10/06 13:01    128000  10061246
----A 2021/10/06 13:17    128000  10061302
----A 2021/10/06 13:33    128000  10061318
----A 2021/10/06 13:49    128000  10061334
----A 2021/10/06 14:05    128000  10061350
----A 2021/10/06 14:21    128000  10061406
----A 2021/10/06 14:37    128000  10061422
----A 2021/10/06 14:39      2560  10061438
----A 2021/10/07 14:59      8448  1007
----A 2021/10/07 10:46    128000  10071029
----A 2021/10/07 11:02    128000  10071045
----A 2021/10/07 11:18    128000  10071101
----A 2021/10/07 11:34    128000  10071117
----A 2021/10/07 11:50    128000  10071133
----A 2021/10/07 12:06    128000  10071149
----A 2021/10/07 12:22    128000  10071205
----A 2021/10/07 12:38    128000  10071221
----A 2021/10/07 12:54    128000  10071237
----A 2021/10/07 13:10    128000  10071253
----A 2021/10/07 13:26    128000  10071309
----A 2021/10/07 13:42    128000  10071325
----A 2021/10/07 13:58    128000  10071341
----A 2021/10/07 14:14    128000  10071357
----A 2021/10/07 14:30    128000  10071413
----A 2021/10/07 14:46    128000  10071429
----A 2021/10/07 14:47      2560  10071445

  63 File(s),   7081440 bytes total
   0 Dir(s),     993408K bytes free

/> 
read 1007
read 1007
<CR>Time:2021/10/07 14:47
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 14 41 25 12343 
10 14 55 24 15474 
10 15 10 25 16518 
10 15 25 25 17010 
10 15 40 25 17010 
10 15 55 25 17010 
10 16 10 25 17010 
10 16 25 25 17010 
10 16 40 25 17010 
10 16 55 25 17010 
10 17 10 25 17010 
10 17 25 25 17010 
10 17 40 25 17010 
10 17 55 25 17010 
10 18 10 25 17010 
10 18 25 25 17010 
10 18 40 25 17010 
10 18 55 25 17010 
10 19 10 25 17010 
10 19 25 25 17010 
10 19 40 25 17010 
10 19 55 25 17010 
10 20 10 25 17010 
10 20 25 25 17010 
10 20 40 25 17010 
10 20 55 25 17010 
10 21 10 25 17010 
10 21 25 25 17010 
10 21 40 25 17010 
10 21 55 25 17010 
10 22 10 25 17010 
10 22 25 25 17010 
10 22 40 25 17010 
10 22 55 25 17010 
10 23 10 25 17010 
10 23 25 25 17010 
10 23 40 25 17010 
10 23 55 25 17010 
10 24 10 25 17010 
10 24 25 25 17010 
10 24 40 25 17010 
10 24 55 25 17010 
10 25 10 25 17010 
10 25 25 25 17010 
10 25 40 25 17010 
10 25 55 25 17010 
10 26 10 25 17010 
10 26 25 25 17010 
10 26 40 25 17010 
10 26 55 25 17010 
10 27 10 25 16948 
10 27 25 25 17010 
10 27 40 25 17010 
10 27 55 25 16948 
10 28 10 25 16948 
10 28 25 25 16948 
10 28 40 25 16948 
10 30 10 25 16948 
10 30 25 25 16948 
10 30 40 25 16948 
10 30 55 25 16948 
10 31 10 25 16948 
10 31 25 25 16948 
10 31 40 25 16948 
10 31 55 25 16948 
10 32 10 25 16948 
10 32 25 25 16948 
10 32 40 25 16948 
10 32 55 25 16948 
10 33 10 25 16948 
10 33 25 25 16948 
10 33 40 25 16948 
10 33 55 25 16948 
10 34 10 25 16948 
10 34 25 25 16948 
10 34 40 25 16948 
10 34 55 25 16948 
10 35 10 25 16948 
10 35 25 25 16948 
10 35 40 25 16948 
10 35 55 25 16948 
10 36 10 25 16948 
10 36 25 25 16948 
10 36 40 25 16948 
10 36 55 25 16948 
10 37 10 25 16948 
10 37 25 25 16948 
10 37 40 25 16948 
10 37 55 25 16948 
10 38 10 25 16948 
10 38 25 25 16948 
10 38 40 25 16948 
10 38 55 25 16948 
10 39 10 25 16948 
10 39 25 25 16948 
10 39 40 25 16948 
10 39 56 26 16948 
10 40 11 25 16948 
10 40 26 25 16948 
10 40 41 25 16948 
10 40 56 25 16948 
10 41 11 25 16948 
10 41 26 25 16948 
10 41 41 25 16948 
10 41 56 25 16948 
10 42 11 25 16948 
10 42 26 25 16948 
10 42 41 25 16948 
10 42 56 25 16948 
10 43 11 25 16948 
10 43 26 25 16948 
10 43 41 25 16948 
10 43 56 25 16948 
10 44 11 25 16948 
10 44 26 25 16948 
10 44 41 25 16948 
10 46 11 25 16948 
10 46 26 25 16948 
10 46 41 25 16948 
10 46 56 25 16948 
10 47 11 25 16948 
10 47 26 25 16948 
10 47 41 25 16948 
10 47 56 25 16948 
10 48 11 25 16948 
10 48 26 25 16948 
10 48 41 25 16948 
10 48 56 25 16948 
10 49 11 25 16948 
10 49 26 25 16948 
10 49 41 25 16948 
10 49 56 25 16948 
10 50 11 25 16948 
10 50 26 25 16948 
10 50 41 25 16948 
10 50 56 25 16948 
10 51 11 25 16948 
10 51 26 25 16948 
10 51 41 25 16948 
10 51 56 25 16948 
10 52 11 25 16948 
10 52 26 25 16948 
10 52 41 25 16948 
10 52 56 25 16948 
10 53 11 25 16948 
10 53 26 25 16948 
10 53 41 25 16948 
10 53 56 25 16948 
10 54 11 25 16948 
10 54 26 25 16948 
10 54 41 25 16948 
10 54 56 25 16948 
10 55 11 25 16948 
10 55 26 25 16948 
10 55 41 25 16948 
10 55 56 25 16948 
10 56 11 25 16948 
10 56 26 25 16948 
10 56 41 25 16948 
10 56 56 25 16948 
10 57 11 25 16948 
10 57 26 25 16948 
10 57 41 25 16948 
10 57 56 25 16948 
10 58 11 25 16948 
10 58 26 25 16948 
10 58 41 25 16948 
10 58 56 25 16948 
10 59 11 25 16948 
10 59 26 25 16948 
10 59 41 25 16948 
10 59 56 25 16948 
11 0 11 25 16948 
11 0 26 25 16948 
11 0 41 25 16948 
11 2 11 25 16948 
11 2 26 25 16948 
11 2 41 25 16948 
11 2 56 25 16948 
11 3 11 25 16948 
11 3 26 25 16948 
11 3 41 25 16948 
11 3 56 25 16948 
11 4 11 25 16948 
11 4 26 25 16948 
11 4 41 25 16948 
11 4 56 25 16948 
11 5 11 25 16948 
11 5 26 25 16948 
11 5 41 25 16948 
11 5 56 25 16948 
11 6 11 25 16948 
11 6 26 25 16948 
11 6 41 25 16948 
11 6 56 25 16948 
11 7 11 25 16948 
11 7 26 25 16948 
11 7 41 25 16948 
11 7 56 25 16948 
11 8 11 25 16948 
11 8 26 25 16948 
11 8 41 25 16948 
11 8 56 25 16948 
11 9 11 25 16948 
11 9 26 25 16948 
11 9 41 25 16948 
11 9 56 25 16948 
11 10 11 25 16948 
11 10 26 25 16948 
11 10 41 25 16948 
11 10 56 25 16948 
11 11 11 25 16948 
11 11 26 25 16948 
11 11 41 25 16948 
11 11 56 25 16948 
11 12 11 25 16948 
11 12 26 25 16948 
11 12 41 25 16948 
11 12 56 25 16948 
11 13 11 25 16948 
11 13 26 25 16948 
11 13 41 25 16948 
11 13 56 25 16948 
11 14 11 25 16948 
11 14 26 25 16948 
11 14 41 25 16948 
11 14 56 25 16948 
11 15 11 25 16948 
11 15 26 25 16948 
11 15 41 25 16948 
11 15 56 25 16948 
11 16 11 25 16948 
11 16 26 25 16948 
11 16 41 25 16948 
11 18 11 25 16948 
11 18 26 25 16948 
11 18 41 25 16948 
11 18 56 25 16948 
11 19 11 25 16948 
11 19 26 25 16948 
11 19 41 25 16948 
11 19 56 25 16948 
11 20 11 25 16948 
11 20 26 25 16948 
11 20 41 25 16948 
11 20 56 25 16948 
11 21 11 25 16948 
11 21 26 25 16948 
11 21 41 25 16948 
11 21 56 25 16948 
11 22 11 25 16948 
11 22 26 25 16948 
11 22 41 25 16948 
11 22 56 25 16948 
11 23 11 25 16948 
11 23 26 25 16948 
11 23 41 25 16948 
11 23 56 25 16948 
11 24 11 25 16948 
11 24 26 25 16948 
11 24 41 25 16948 
