ls

ls
<CR>
         TIME          Size       File name 
----A 2021/10/04 15:18      3368  1004
----A 2021/10/04 13:54    128640  10041339
----A 2021/10/04 14:10    128000  10041355
----A 2021/10/04 14:27    128640  10041410
----A 2021/10/04 14:41    128000  10041426
----A 2021/10/04 14:58    128640  10041441
----A 2021/10/04 15:11    128000  10041456
----A 2021/10/04 15:13      2560  10041512
----A 2021/10/05 15:15      8432  1005
----A 2021/10/05 10:59    128000  10051042
----A 2021/10/05 11:15    128000  10051058
----A 2021/10/05 11:31    128000  10051114
----A 2021/10/05 11:47    128000  10051130
----A 2021/10/05 12:03    128000  10051146
----A 2021/10/05 12:19    128000  10051202
----A 2021/10/05 12:35    128000  10051218
----A 2021/10/05 12:51    128000  10051234
----A 2021/10/05 13:07    128000  10051250
----A 2021/10/05 13:23    128000  10051306
----A 2021/10/05 13:39    128000  10051322
----A 2021/10/05 13:55    128000  10051338
----A 2021/10/05 14:11    128000  10051354
----A 2021/10/05 14:27    128000  10051410
----A 2021/10/05 14:43    128000  10051426
----A 2021/10/05 14:59    128000  10051442
----A 2021/10/05 15:15    128000  10051458
----A 2021/10/05 15:15      2560  10051514

  27 File(s),   2962840 bytes total
   0 Dir(s),     997568K bytes free

/> 
read 1005
read 1005
<CR>Time:2021/10/05 15:15:15
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 29 16 25 10270 
10 29 31 24 12807 
10 29 46 25 14680 
10 30 1 25 15586 
10 30 16 25 16311 
10 30 31 25 16734 
10 30 46 25 17036 
10 31 1 25 17036 
10 31 16 25 17036 
10 31 31 25 17036 
10 31 46 25 17036 
10 32 1 25 17036 
10 32 16 25 17036 
10 32 31 25 17036 
10 32 46 25 17036 
10 33 1 25 17036 
10 33 16 25 17036 
10 33 31 25 17036 
10 33 46 25 17036 
10 34 1 25 17036 
10 34 16 25 17036 
10 34 31 25 17036 
10 34 46 25 17036 
10 35 1 25 17036 
10 35 16 25 17036 
10 35 31 25 17036 
10 35 46 25 17036 
10 36 1 25 17036 
10 36 16 25 17036 
10 36 31 25 17036 
10 36 46 25 17036 
10 37 1 25 17036 
10 37 16 25 17036 
10 37 31 25 17036 
10 37 46 25 17036 
10 38 1 25 17036 
10 38 16 25 17036 
10 38 31 25 17036 
10 38 46 25 17036 
10 39 1 25 17036 
10 39 16 25 17036 
10 39 31 25 17036 
10 39 46 25 17036 
10 40 1 25 17036 
10 40 16 25 16975 
10 40 31 25 16975 
10 40 46 25 16975 
10 41 1 25 17036 
10 41 16 25 16975 
10 41 31 25 16975 
10 41 46 25 16975 
10 43 17 25 16975 
10 43 32 25 16975 
10 43 47 25 16975 
10 44 3 26 16975 
10 44 18 25 16975 
10 44 33 25 16975 
10 44 48 25 16975 
10 45 3 25 16975 
10 45 18 25 16975 
10 45 33 25 16975 
10 45 48 25 16975 
10 46 3 25 16975 
10 46 18 25 16975 
10 46 33 25 16975 
10 46 48 25 16975 
10 47 3 25 16975 
10 47 18 25 16975 
10 47 33 25 16975 
10 47 48 25 16975 
10 48 3 25 16975 
10 48 18 25 16975 
10 48 33 25 16975 
10 48 48 25 16975 
10 49 3 25 16975 
10 49 18 25 16975 
10 49 33 25 16975 
10 49 48 25 16975 
10 50 3 25 16975 
10 50 18 25 16975 
10 50 33 25 16975 
10 50 48 25 16975 
10 51 3 25 16975 
10 51 18 25 16975 
10 51 33 25 16975 
10 51 48 25 16975 
10 52 3 25 16975 
10 52 18 25 16975 
10 52 33 25 16975 
10 52 48 25 17036 
10 53 3 25 16975 
10 53 18 25 16975 
10 53 33 25 16975 
10 53 48 25 16975 
10 54 3 25 16975 
10 54 18 25 16975 
10 54 33 25 16975 
10 54 48 25 16975 
10 55 3 25 16975 
10 55 18 25 16975 
10 55 33 25 16975 
10 55 48 25 16975 
10 56 3 25 16975 
10 56 18 25 16975 
10 56 33 25 16975 
10 56 48 25 16975 
10 57 3 25 16975 
10 57 18 25 16975 
10 57 33 25 16975 
10 57 48 25 16975 
10 59 18 25 16975 
10 59 33 25 16975 
10 59 48 25 16975 
11 0 3 25 16975 
11 0 18 25 16975 
11 0 33 25 16975 
11 0 48 25 16975 
11 1 3 25 16975 
11 1 18 25 16975 
11 1 33 25 16975 
11 1 48 25 16975 
11 2 3 25 16975 
11 2 18 25 16975 
11 2 33 25 16975 
11 2 48 25 16975 
11 3 3 25 16975 
11 3 18 25 16975 
11 3 33 25 16975 
11 3 48 25 16975 
11 4 3 25 16975 
11 4 18 25 16975 
11 4 33 25 16975 
11 4 48 25 16975 
11 5 3 25 16975 
11 5 18 25 16975 
11 5 33 25 16975 
11 5 48 25 16975 
11 6 3 25 16975 
11 6 18 25 16975 
11 6 33 25 16975 
11 6 48 25 16975 
11 7 3 25 16975 
11 7 18 25 16975 
11 7 33 25 16975 
11 7 48 25 16975 
11 8 3 25 16975 
11 8 18 25 16975 
11 8 33 25 16975 
