ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/04 15:18      3368  1004
----A 2021/10/04 13:54    128640  10041339
----A 2021/10/04 14:10    128000  10041355
----A 2021/10/04 14:27    128640  10041410
----A 2021/10/04 14:41    128000  10041426
----A 2021/10/04 14:58    128640  10041441
----A 2021/10/04 15:11    128000  10041456
----A 2021/10/04 15:13      2560  10041512
----A 2021/10/05 15:15      8432  1005
----A 2021/10/05 10:59    128000  10051042
----A 2021/10/05 11:15    128000  10051058
----A 2021/10/05 11:31    128000  10051114
----A 2021/10/05 11:47    128000  10051130
----A 2021/10/05 12:03    128000  10051146
----A 2021/10/05 12:19    128000  10051202
----A 2021/10/05 12:35    128000  10051218
----A 2021/10/05 12:51    128000  10051234
----A 2021/10/05 13:07    128000  10051250
----A 2021/10/05 13:23    128000  10051306
----A 2021/10/05 13:39    128000  10051322
----A 2021/10/05 13:55    128000  10051338
----A 2021/10/05 14:11    128000  10051354
----A 2021/10/05 14:27    128000  10051410
----A 2021/10/05 14:43    128000  10051426
----A 2021/10/05 14:59    128000  10051442
----A 2021/10/05 15:15    128000  10051458
----A 2021/10/05 15:15      2560  10051514
----A 2021/10/06 14:50      8408  1006
----A 2021/10/06 10:37    128000  10061022
----A 2021/10/06 10:53    128000  10061038
----A 2021/10/06 11:09    128000  10061054
----A 2021/10/06 11:25    128000  10061110
----A 2021/10/06 11:41    128000  10061126
----A 2021/10/06 11:57    128000  10061142
----A 2021/10/06 12:13    128000  10061158
----A 2021/10/06 12:29    128000  10061214
----A 2021/10/06 12:45    128000  10061230
----A 2021/10/06 13:01    128000  10061246
----A 2021/10/06 13:17    128000  10061302
----A 2021/10/06 13:33    128000  10061318
----A 2021/10/06 13:49    128000  10061334
----A 2021/10/06 14:05    128000  10061350
----A 2021/10/06 14:21    128000  10061406
----A 2021/10/06 14:37    128000  10061422
----A 2021/10/06 14:38      2560  10061438
----A 2021/10/07 15:00      8464  1007
----A 2021/10/07 10:46    128000  10071029
----A 2021/10/07 11:02    128000  10071045
----A 2021/10/07 11:18    128000  10071101
----A 2021/10/07 11:34    128000  10071117
----A 2021/10/07 11:50    128000  10071133
----A 2021/10/07 12:06    128000  10071149
----A 2021/10/07 12:22    128000  10071205
----A 2021/10/07 12:38    128000  10071221
----A 2021/10/07 12:54    128000  10071237
----A 2021/10/07 13:10    128000  10071253
----A 2021/10/07 13:26    128000  10071309
----A 2021/10/07 13:42    128000  10071325
----A 2021/10/07 13:58    128000  10071341
----A 2021/10/07 14:14    128000  10071357
----A 2021/10/07 14:30    128000  10071413
----A 2021/10/07 14:46    128000  10071429
----A 2021/10/07 14:47      2560  10071445
----A 2021/10/08 15:00      8784  1008
----A 2021/10/08 10:33    128000  10081018
----A 2021/10/08 10:49    128000  10081034
----A 2021/10/08 11:05    128000  10081050
----A 2021/10/08 11:21    128000  10081106
----A 2021/10/08 11:37    128000  10081122
----A 2021/10/08 11:53    128000  10081138
----A 2021/10/08 12:09    128000  10081154
----A 2021/10/08 12:25    128000  10081210
----A 2021/10/08 12:41    128000  10081226
----A 2021/10/08 12:57    128000  10081242
----A 2021/10/08 13:13    128000  10081258
----A 2021/10/08 13:29    128000  10081314
----A 2021/10/08 13:45    128000  10081330
----A 2021/10/08 14:01    128000  10081346
----A 2021/10/08 14:17    128000  10081402
----A 2021/10/08 14:33    128000  10081418
----A 2021/10/08 14:49    128000  10081434
----A 2021/10/08 14:51      2560  10081450

  82 File(s),   9268176 bytes total
   0 Dir(s),     991200K bytes free

/> 
read 1008
read 1008
<CR>Time:2021/10/08 14:51
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 3 13 25 9968 
10 3 28 25 12686 
10 3 43 25 14982 
10 3 58 25 16371 
10 4 13 25 16915 
10 4 28 25 17036 
10 4 43 25 17036 
10 4 58 25 17036 
10 5 13 25 17036 
10 5 28 25 17036 
10 5 43 25 17036 
10 5 58 25 17036 
10 6 13 25 17036 
10 6 28 25 17036 
10 6 43 25 17036 
10 6 58 25 17036 
10 7 13 25 17036 
10 7 28 25 17036 
10 7 43 25 17036 
10 7 58 25 17036 
10 8 13 25 17036 
10 8 28 25 17036 
10 8 43 25 17036 
10 8 58 25 17036 
10 9 13 25 17036 
10 9 28 25 17036 
10 9 43 25 17036 
10 9 58 25 17036 
10 10 13 25 17036 
10 10 28 25 17036 
10 10 43 25 17036 
10 10 58 25 17036 
10 11 13 25 17036 
10 11 28 25 17036 
10 11 43 25 17036 
10 11 58 25 17036 
10 12 13 25 17036 
10 12 28 25 17036 
10 12 43 25 17036 
10 12 58 25 17036 
10 13 13 25 16975 
10 13 28 25 16975 
10 13 43 25 17036 
10 13 58 25 16975 
10 14 13 25 17036 
10 14 28 25 16975 
10 14 43 25 16975 
10 14 58 25 16975 
10 15 13 25 16975 
10 15 28 25 16975 
10 15 43 25 16975 
10 15 58 25 16975 
