ls
ls

<CR>
         TIME          Size       File name 
----A 2021/11/09 14:59      8376  1109
----A 2021/11/09 09:57    128000  11090941
----A 2021/11/09 10:15    128000  11090959
----A 2021/11/09 10:33    128000  11091018
----A 2021/11/09 10:51    128000  11091036
----A 2021/11/09 11:11    128000  11091054
----A 2021/11/09 11:28    128000  11091113
----A 2021/11/09 11:46    128000  11091131
----A 2021/11/09 12:15    128000  11091159
----A 2021/11/09 12:33    128000  11091218
----A 2021/11/09 12:51    128000  11091236
----A 2021/11/09 13:10    128000  11091255
----A 2021/11/09 13:29    128000  11091313
----A 2021/11/09 13:47    128000  11091331
----A 2021/11/09 14:05    128000  11091350
----A 2021/11/09 14:23    128000  11091408
----A 2021/11/09 14:43    128000  11091426
----A 2021/11/09 14:45      2560  11091445
----A 2021/11/10 14:50      7696  1110
----A 2021/11/10 09:31      2560  11100931
----A 2021/11/10 10:51    128000  11101036
----A 2021/11/10 11:09    128000  11101054
----A 2021/11/10 11:27    128000  11101112
----A 2021/11/10 11:46    128000  11101131
----A 2021/11/10 12:05    128000  11101149
----A 2021/11/10 12:23    128000  11101207
----A 2021/11/10 12:41    128000  11101226
----A 2021/11/10 12:59    128000  11101244
----A 2021/11/10 13:19    128000  11101302
----A 2021/11/10 13:37    128000  11101321
----A 2021/11/10 13:54    128000  11101339
----A 2021/11/10 14:15    128000  11101357
----A 2021/11/10 14:31    128000  11101416
----A 2021/11/10 14:34      2560  11101434
----A 2021/11/11 14:49      8008  1111
----A 2021/11/11 10:13    128000  11110958
----A 2021/11/11 10:31    128000  11111016
----A 2021/11/11 10:51    128000  11111034
----A 2021/11/11 11:09    128000  11111053
----A 2021/11/11 11:26    128000  11111111
----A 2021/11/11 11:47    128000  11111129
----A 2021/11/11 12:03    128000  11111148
----A 2021/11/11 12:23    128000  11111206
----A 2021/11/11 12:40    128000  11111224
----A 2021/11/11 12:59    128000  11111243
----A 2021/11/11 13:18    128000  11111301
----A 2021/11/11 13:35    128000  11111319
----A 2021/11/11 13:53    128000  11111338
----A 2021/11/11 14:11    128000  11111356
----A 2021/11/11 14:30    128000  11111415
----A 2021/11/11 14:49     19200  11111433

  51 File(s),   5682960 bytes total
   0 Dir(s),     994816K bytes free

/> 
read 1111
read 1111
<CR>Time:2021/11/11 14:49
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 40 49 7 13080 
9 41 5 8 14983 
9 41 19 7 16457 
9 41 35 8 17317 
9 41 49 7 18176 
9 42 5 8 18484 
9 42 19 7 18913 
9 42 35 8 18361 
9 42 49 7 17931 
9 43 5 8 17992 
9 43 19 7 17992 
9 43 35 8 17992 
9 43 49 7 17992 
9 44 5 8 18054 
9 44 19 7 18054 
9 44 35 8 18054 
9 44 49 7 18054 
9 45 5 8 18054 
9 45 19 7 18054 
9 45 35 8 18054 
9 45 49 7 18054 
9 46 5 8 18054 
9 46 19 7 18054 
9 46 35 8 18054 
9 46 49 7 18054 
9 47 5 8 18054 
9 47 19 7 18054 
9 47 35 8 18054 
9 47 49 7 18054 
9 48 5 8 18054 
9 48 19 7 18054 
9 48 35 8 18054 
9 48 49 7 18054 
9 49 5 8 18054 
9 49 19 7 18054 
9 49 35 8 18054 
9 49 49 7 18054 
9 50 5 8 18054 
9 50 19 7 18054 
9 50 35 8 18054 
9 50 49 7 18054 
9 51 5 8 18054 
9 51 19 7 18054 
9 51 35 8 18054 
9 51 49 7 18054 
9 52 5 8 18054 
9 52 19 7 18054 
9 52 35 8 18054 
9 52 49 7 18054 
9 53 5 8 18054 
9 53 19 7 17992 
9 53 35 8 18054 
9 53 49 7 18054 
9 54 5 8 18054 
9 54 19 7 18054 
9 54 35 8 18054 
9 54 49 7 18054 
9 58 43 8 17992 
9 58 57 7 17992 
9 59 13 8 18054 
9 59 27 7 17992 
9 59 43 8 17992 
9 59 57 7 18054 
10 0 13 8 17992 
10 0 27 7 17992 
10 0 43 8 17992 
10 0 57 7 17992 
10 1 13 8 17992 
10 1 27 7 18054 
10 1 43 8 17992 
10 1 57 7 18054 
10 2 13 8 17992 
10 2 27 7 17992 
10 2 43 8 17992 
10 2 57 7 17992 
10 3 13 8 18054 
10 3 27 7 17992 
10 3 43 8 17992 
10 3 57 7 17992 
10 4 13 8 17992 
10 4 27 7 17992 
10 4 43 8 17992 
10 4 57 7 18054 
10 5 13 8 17992 
10 5 27 7 17992 
10 5 43 8 17992 
10 5 57 7 17992 
10 6 13 8 17992 
10 6 27 7 17992 
10 6 43 8 17992 
10 6 57 7 17992 
10 7 13 8 17992 
10 7 27 7 17992 
10 7 43 8 17992 
10 7 57 7 18054 
10 8 13 8 17992 
10 8 27 7 17992 
10 8 43 8 17992 
10 8 57 7 18054 
10 9 13 8 17992 
10 9 27 7 17992 
10 9 43 8 17992 
10 9 57 7 17992 
10 10 13 8 17992 
10 10 27 7 17992 
10 10 43 8 17992 
10 10 57 7 17992 
10 11 13 8 17992 
10 11 27 7 18054 
10 11 43 8 17992 
10 11 57 7 17992 
10 12 13 8 17992 
10 12 27 7 17992 
10 12 43 8 18054 
10 12 57 7 18054 
10 13 13 8 18054 
10 17 3 7 17992 
10 17 19 8 17992 
10 17 33 7 17992 
10 17 49 8 17992 
10 18 3 7 17992 
10 18 19 8 17992 
10 18 33 7 17992 
10 18 49 8 17992 
10 19 3 7 17992 
10 19 19 8 17992 
10 19 33 7 17992 
10 19 49 8 17992 
10 20 3 7 17992 
10 20 19 8 17992 
10 20 33 7 17992 
10 20 49 8 17992 
10 21 3 7 17992 
10 21 19 8 17992 
10 21 33 7 17992 
10 21 49 8 17992 
10 22 3 7 17992 
10 22 19 8 17992 
10 22 33 7 17992 
10 22 49 8 17992 
10 23 3 7 17992 
10 23 19 8 17992 
10 23 33 7 17992 
10 23 49 8 17992 
10 24 3 7 17992 
10 24 19 8 17992 
10 24 33 7 17992 
10 24 49 8 17992 
10 25 3 7 17992 
10 25 19 8 17992 
10 25 33 7 17992 
10 25 49 8 17992 
10 26 3 7 17992 
10 26 19 8 17992 
10 26 33 7 17992 
10 26 49 8 17992 
10 27 3 7 17992 
10 27 19 8 17992 
10 27 33 7 17992 
10 27 49 8 17992 
10 28 3 7 17992 
10 28 19 8 17992 
10 28 33 7 17992 
10 28 49 8 17992 
10 29 3 7 17992 
10 29 19 8 17992 
10 29 33 7 17992 
10 29 49 8 18054 
10 30 3 7 17992 
10 30 19 8 17992 
10 30 33 7 17992 
10 30 49 8 17992 
10 31 3 7 17992 
10 31 19 8 17992 
10 31 33 7 17992 
10 35 25 8 17992 
10 35 39 7 17992 
10 35 55 8 17992 
10 36 9 7 17992 
10 36 25 8 17992 
10 36 39 7 17992 
10 36 55 8 17992 
10 37 9 7 17992 
10 37 25 8 17992 
10 37 39 7 17992 
10 37 55 8 17992 
10 38 9 7 17992 
10 38 25 8 17992 
10 38 39 7 17992 
10 38 55 8 17992 
10 39 9 7 17992 
10 39 25 8 17992 
10 39 39 7 17992 
10 39 55 8 17992 
10 40 9 7 17992 
10 40 25 8 17992 
10 40 39 7 17992 
10 40 55 8 17992 
10 41 9 7 17992 
10 41 25 8 17992 
10 41 39 7 17992 
10 41 55 8 17992 
10 42 9 7 17992 
10 42 25 8 17992 
10 42 39 7 17992 
10 42 55 8 17992 
10 43 9 7 17992 
10 43 25 8 17992 
10 43 39 7 17992 
10 43 55 8 17992 
10 44 9 7 17992 
10 44 25 8 17992 
10 44 39 7 17992 
10 44 55 8 17992 
10 45 9 7 17992 
10 45 25 8 17992 
10 45 39 7 17992 
10 45 55 8 17992 
10 46 9 7 17992 
10 46 25 8 17992 
10 46 39 7 17992 
10 46 55 8 17992 
10 47 9 7 18054 
10 47 25 8 17992 
10 47 39 7 17992 
10 47 55 8 17992 
10 48 9 7 17992 
10 48 25 8 17992 
10 48 39 7 17992 
10 48 55 8 17992 
10 49 9 7 17992 
10 49 25 8 17992 
10 49 39 7 17992 
10 49 55 8 17992 
10 53 45 7 17992 
10 54 1 8 17992 
10 54 15 7 17992 
10 54 31 8 17992 
10 54 45 7 17992 
10 55 1 8 17992 
10 55 15 7 17992 
10 55 31 8 17992 
10 55 45 7 17992 
10 56 1 8 17992 
10 56 15 7 17992 
10 56 31 8 17992 
10 56 45 7 17992 
10 57 1 8 17992 
10 57 15 7 17992 
10 57 31 8 17992 
10 57 45 7 17992 
10 58 1 8 17992 
10 58 15 7 17992 
10 58 31 8 17992 
10 58 45 7 17992 
10 59 1 8 17992 
10 59 15 7 17992 
10 59 31 8 17992 
10 59 45 7 17992 
11 0 1 8 17992 
11 0 15 7 17992 
11 0 31 8 17992 
11 0 45 7 17992 
11 1 1 8 17992 
11 1 15 7 17992 
11 1 31 8 17992 
11 1 45 7 17992 
11 2 1 8 17992 
11 2 15 7 17992 
11 2 31 8 17992 
11 2 45 7 17992 
11 3 1 8 17992 
11 3 15 7 17992 
11 3 31 8 17992 
