ls

ls
<CR>
         TIME          Size       File name 
----A 2021/11/09 14:59      8376  1109
----A 2021/11/09 09:57    128000  11090941
----A 2021/11/09 10:15    128000  11090959
----A 2021/11/09 10:33    128000  11091018
----A 2021/11/09 10:51    128000  11091036
----A 2021/11/09 11:11    128000  11091054
----A 2021/11/09 11:28    128000  11091113
----A 2021/11/09 11:46    128000  11091131
----A 2021/11/09 12:15    128000  11091159
----A 2021/11/09 12:33    128000  11091218
----A 2021/11/09 12:51    128000  11091236
----A 2021/11/09 13:10    128000  11091255
----A 2021/11/09 13:29    128000  11091313
----A 2021/11/09 13:47    128000  11091331
----A 2021/11/09 14:05    128000  11091350
----A 2021/11/09 14:23    128000  11091408
----A 2021/11/09 14:43    128000  11091426
----A 2021/11/09 14:45      2560  11091445
----A 2021/11/10 14:50      7696  1110
----A 2021/11/10 09:31      2560  11100931
----A 2021/11/10 10:51    128000  11101036
----A 2021/11/10 11:09    128000  11101054
----A 2021/11/10 11:27    128000  11101112
----A 2021/11/10 11:46    128000  11101131
----A 2021/11/10 12:05    128000  11101149
----A 2021/11/10 12:23    128000  11101207
----A 2021/11/10 12:41    128000  11101226
----A 2021/11/10 12:59    128000  11101244
----A 2021/11/10 13:19    128000  11101302
----A 2021/11/10 13:37    128000  11101321
----A 2021/11/10 13:54    128000  11101339
----A 2021/11/10 14:15    128000  11101357
----A 2021/11/10 14:31    128000  11101416
----A 2021/11/10 14:34      2560  11101434
----A 2021/11/11 14:49      8008  1111
----A 2021/11/11 10:13    128000  11110958
----A 2021/11/11 10:31    128000  11111016
----A 2021/11/11 10:51    128000  11111034
----A 2021/11/11 11:09    128000  11111053
----A 2021/11/11 11:26    128000  11111111
----A 2021/11/11 11:47    128000  11111129
----A 2021/11/11 12:03    128000  11111148
----A 2021/11/11 12:23    128000  11111206
----A 2021/11/11 12:40    128000  11111224
----A 2021/11/11 12:59    128000  11111243
----A 2021/11/11 13:18    128000  11111301
----A 2021/11/11 13:35    128000  11111319
----A 2021/11/11 13:53    128000  11111338
----A 2021/11/11 14:11    128000  11111356
----A 2021/11/11 14:30    128000  11111415
----A 2021/11/11 14:49     19200  11111433
----A 2021/11/12 14:19      8008  1112
----A 2021/11/12 09:42    128000  11120927
----A 2021/11/12 10:01    128000  11120945
----A 2021/11/12 10:19    128000  11121004
----A 2021/11/12 10:39    128000  11121022
----A 2021/11/12 10:56    128000  11121041
----A 2021/11/12 11:15    128000  11121059
----A 2021/11/12 11:34    128000  11121117
----A 2021/11/12 11:51    128000  11121136
----A 2021/11/12 12:09    128000  11121154
----A 2021/11/12 12:27    128000  11121212
----A 2021/11/12 12:46    128000  11121231
----A 2021/11/12 13:05    128000  11121249
----A 2021/11/12 13:23    128000  11121307
----A 2021/11/12 13:41    128000  11121326
----A 2021/11/12 13:59    128000  11121344
----A 2021/11/12 14:19    125440  11121402

  68 File(s),   7736408 bytes total
   0 Dir(s),     992752K bytes free

/> 
read 1112
read 1112
<CR>Time:2021/11/12 14:19
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 10 16 7 14062 
9 10 32 8 16396 
9 10 46 7 17562 
9 11 2 8 18054 
9 11 16 7 18054 
9 11 32 8 18054 
9 11 46 7 18054 
9 12 2 8 17992 
9 12 16 7 17992 
9 12 32 8 17992 
9 12 46 7 17992 
9 13 2 8 17992 
9 13 16 7 17992 
9 13 32 8 17992 
9 13 46 7 17992 
9 14 2 8 17992 
9 14 16 7 17992 
9 14 32 8 17992 
9 14 46 7 17992 
9 15 2 8 17931 
9 15 16 7 17992 
9 15 32 8 17992 
9 15 46 7 17992 
9 16 2 8 17992 
9 16 16 7 17992 
9 16 32 8 18054 
9 16 46 7 18054 
9 17 2 8 18054 
9 17 16 7 18054 
9 17 32 8 18054 
9 17 46 7 18054 
9 18 2 8 18054 
9 18 16 7 18054 
9 18 32 8 18054 
9 18 46 7 18054 
9 19 2 8 18054 
9 19 16 7 18054 
9 19 32 8 18054 
9 19 46 7 18054 
9 20 2 8 18054 
9 20 16 7 18054 
9 20 32 8 18054 
9 20 46 7 18054 
9 21 2 8 18054 
9 21 16 7 18054 
9 21 32 8 18054 
9 21 46 7 18054 
9 22 2 8 18054 
9 22 16 7 18054 
9 22 32 8 18054 
9 22 46 7 18054 
9 23 2 8 18054 
9 23 16 7 18054 
9 23 32 8 18054 
9 23 46 7 18054 
9 24 2 8 18054 
9 24 16 7 18054 
9 28 10 8 18054 
9 28 24 7 18054 
9 28 40 8 18054 
9 28 54 7 18054 
9 29 10 8 18054 
9 29 24 7 18054 
9 29 40 8 18054 
9 29 54 7 18054 
9 30 10 8 18054 
9 30 24 7 18054 
9 30 40 8 18054 
9 30 54 7 18054 
9 31 10 8 18054 
9 31 25 7 18054 
9 31 41 8 18054 
9 31 55 7 18054 
9 32 11 8 18054 
9 32 25 7 18054 
9 32 41 8 18054 
9 32 55 7 17992 
9 33 11 8 18054 
9 33 25 7 18054 
9 33 41 8 18054 
9 33 55 7 18054 
9 34 11 8 18054 
9 34 25 7 17992 
9 34 41 8 18054 
9 34 55 7 18054 
9 35 11 8 17992 
9 35 25 7 17992 
9 35 41 8 18054 
9 35 55 7 18054 
9 36 11 8 17992 
9 36 25 7 18054 
9 36 41 8 18054 
9 36 55 7 18054 
9 37 11 8 17992 
9 37 25 7 18054 
9 37 41 8 17992 
9 37 55 7 18054 
9 38 11 8 17992 
9 38 25 7 17992 
9 38 41 8 18054 
9 38 55 7 18054 
9 39 11 8 17992 
9 39 25 7 17992 
9 39 41 8 17992 
9 39 55 7 17992 
9 40 11 8 17992 
9 40 25 7 17992 
9 40 41 8 17992 
9 40 55 7 17992 
9 41 11 8 17992 
9 41 25 7 17992 
9 41 41 8 17992 
9 41 55 7 17992 
9 42 11 8 17992 
9 42 25 7 17992 
9 42 41 8 17992 
9 46 31 7 17992 
9 46 47 8 17992 
9 47 1 7 17992 
9 47 17 8 17992 
9 47 31 7 17992 
9 47 47 8 17992 
9 48 1 7 17992 
9 48 17 8 17992 
9 48 31 7 17992 
9 48 47 8 17992 
9 49 1 7 17992 
9 49 17 8 17992 
9 49 31 7 17992 
9 49 47 8 17992 
9 50 1 7 17992 
9 50 17 8 17992 
9 50 31 7 17992 
9 50 47 8 17992 
9 51 1 7 17992 
9 51 17 8 17992 
9 51 31 7 17992 
9 51 47 8 17992 
9 52 1 7 17992 
9 52 17 8 17992 
9 52 31 7 17992 
9 52 47 8 17992 
9 53 1 7 17992 
9 53 17 8 17992 
9 53 31 7 17992 
9 53 47 8 17992 
9 54 1 7 17992 
9 54 17 8 17992 
9 54 31 7 17931 
9 54 47 8 17992 
9 55 1 7 17992 
9 55 17 8 17992 
9 55 31 7 17992 
9 55 47 8 17992 
9 56 1 7 17992 
9 56 17 8 17992 
9 56 31 7 17992 
9 56 47 8 17992 
9 57 1 7 17992 
9 57 17 8 17992 
9 57 31 7 17992 
9 57 47 8 17992 
9 58 1 7 17992 
9 58 17 8 17992 
9 58 31 7 17992 
9 58 47 8 17992 
9 59 1 7 17992 
9 59 17 8 17992 
9 59 31 7 17992 
9 59 47 8 17992 
10 0 1 7 17992 
10 0 17 8 17992 
10 0 31 7 17992 
10 0 47 8 17992 
10 1 1 7 17992 
10 4 53 8 17992 
10 5 7 7 17992 
10 5 23 8 17992 
10 5 37 7 17992 
10 5 53 8 17992 
10 6 7 7 17992 
10 6 23 8 17992 
10 6 37 7 17992 
10 6 53 8 17992 
10 7 7 7 17992 
10 7 23 8 17992 
10 7 37 7 17992 
10 7 53 8 17992 
10 8 7 7 17992 
10 8 23 8 17992 
10 8 37 7 17992 
10 8 53 8 17992 
10 9 7 7 17992 
10 9 23 8 17992 
10 9 37 7 17992 
10 9 53 8 17992 
10 10 7 7 17992 
10 10 23 8 17992 
10 10 37 7 17992 
10 10 53 8 17992 
10 11 7 7 17992 
10 11 23 8 17992 
10 11 37 7 17992 
10 11 53 8 17992 
10 12 7 7 17992 
10 12 23 8 17992 
10 12 37 7 17992 
10 12 53 8 17992 
10 13 7 7 17992 
10 13 23 8 17992 
10 13 37 7 17992 
10 13 53 8 17992 
10 14 7 7 17992 
10 14 23 8 17992 
10 14 37 7 17992 
10 14 53 8 17992 
10 15 7 7 17992 
10 15 23 8 17992 
10 15 37 7 17992 
10 15 53 8 17992 
10 16 7 7 17992 
10 16 23 8 17992 
10 16 37 7 17992 
10 16 53 8 17992 
10 17 7 7 17992 
10 17 23 8 17992 
10 17 37 7 17992 
10 17 53 8 17992 
10 18 7 7 17992 
10 18 23 8 17992 
10 18 37 7 17992 
10 18 53 8 17992 
10 19 7 7 17992 
10 19 23 8 17992 
10 23 13 7 17992 
10 23 29 8 17931 
10 23 43 7 17992 
10 23 59 8 17992 
10 24 13 7 17992 
10 24 29 8 17992 
10 24 43 7 17992 
10 24 59 8 17992 
10 25 13 7 17992 
10 25 29 8 17992 
