ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/30 14:51      8672  1030
----A 2021/10/30 10:09    128000  10300954
----A 2021/10/30 10:27    128000  10301011
----A 2021/10/30 10:43    128000  10301028
----A 2021/10/30 11:01    128000  10301045
----A 2021/10/30 11:17    128000  10301102
----A 2021/10/30 11:35    128000  10301119
----A 2021/10/30 11:51    128000  10301136
----A 2021/10/30 12:09    128000  10301153
----A 2021/10/30 12:25    128000  10301210
----A 2021/10/30 12:43    128000  10301227
----A 2021/10/30 12:59    128000  10301244
----A 2021/10/30 13:17    128000  10301301
----A 2021/10/30 13:33    128000  10301318
----A 2021/10/30 13:51    128000  10301335
----A 2021/10/30 14:07    128000  10301352
----A 2021/10/30 14:25    128000  10301409
----A 2021/10/30 14:41    128000  10301426
----A 2021/10/30 14:43      2560  10301443
----A 2021/10/31 14:41      8480  1031
----A 2021/10/31 10:11    128000  10310953
----A 2021/10/31 10:27    128000  10311010
----A 2021/10/31 10:43    128000  10311027
----A 2021/10/31 11:00    128000  10311044
----A 2021/10/31 11:17    128000  10311101
----A 2021/10/31 11:34    128000  10311118
----A 2021/10/31 11:51    128000  10311136
----A 2021/10/31 12:08    128000  10311153
----A 2021/10/31 12:25    128000  10311210
----A 2021/10/31 12:42    128000  10311227
----A 2021/10/31 12:59    128000  10311244
----A 2021/10/31 13:16    128000  10311301
----A 2021/10/31 13:33    128000  10311318
----A 2021/10/31 13:50    128000  10311335
----A 2021/10/31 14:07    128000  10311352
----A 2021/10/31 14:24    128000  10311409
----A 2021/10/31 14:41    128000  10311426
----A 2021/10/31 14:43      2560  10311443
----A 2021/11/01 15:00      9648  1101
----A 2021/11/01 09:46    128000  11010929
----A 2021/11/01 10:03    128000  11010946
----A 2021/11/01 10:18    128000  11011003
----A 2021/11/01 10:35    128000  11011020
----A 2021/11/01 10:54    128000  11011037
----A 2021/11/01 11:11    128000  11011054
----A 2021/11/01 11:26    128000  11011111
----A 2021/11/01 11:43    128000  11011128
----A 2021/11/01 12:03    128000  11011145
----A 2021/11/01 12:19    128000  11011202
----A 2021/11/01 12:35    128000  11011219
----A 2021/11/01 12:51    128000  11011236
----A 2021/11/01 13:11    128000  11011253
----A 2021/11/01 13:27    128000  11011310
----A 2021/11/01 13:43    128000  11011327
----A 2021/11/01 13:59    128000  11011344
----A 2021/11/01 14:19    128000  11011401
----A 2021/11/01 14:35    128000  11011418
----A 2021/11/01 14:51    128000  11011435
----A 2021/11/01 14:55      2560  11011452
----A 2021/11/02 13:31      6888  1102
----A 2021/11/02 09:55    128000  11020940
----A 2021/11/02 10:14    128000  11020957
----A 2021/11/02 10:31    128000  11021014
----A 2021/11/02 10:46    128000  11021031
----A 2021/11/02 11:03    128000  11021048
----A 2021/11/02 11:22    128000  11021105
----A 2021/11/02 11:39    128000  11021122
----A 2021/11/02 11:54    128000  11021139
----A 2021/11/02 12:11    128000  11021156
----A 2021/11/02 12:30    128000  11021213
----A 2021/11/02 12:47    128000  11021230
----A 2021/11/02 13:02    128000  11021247
----A 2021/11/02 13:19    128000  11021304
----A 2021/11/02 13:23      2560  11021321
----A 2021/11/05 13:39      6536  1105
----A 2021/11/05 10:17    128000  11051001
----A 2021/11/05 10:33    128000  11051018
----A 2021/11/05 10:51    128000  11051035
----A 2021/11/05 11:07    128000  11051052
----A 2021/11/05 11:25    128000  11051109
----A 2021/11/05 11:41    128000  11051126
----A 2021/11/05 11:59    128000  11051143
----A 2021/11/05 12:15    128000  11051200
----A 2021/11/05 12:33    128000  11051217
----A 2021/11/05 12:49    128000  11051234
----A 2021/11/05 13:07    128000  11051251
----A 2021/11/05 13:23    128000  11051308
----A 2021/11/05 13:25      2560  11051325
----A 2021/11/06 13:39      3720  1106
----A 2021/11/06 11:58    128000  11061143
----A 2021/11/06 12:15    128000  11061200
----A 2021/11/06 12:32    128000  11061217
----A 2021/11/06 12:49    128640  11061234
----A 2021/11/06 13:07    128640  11061251
----A 2021/11/06 13:23    128000  11061308
----A 2021/11/06 13:25      2560  11061325
----A 2021/11/07 09:30       320  1107
----A 2021/11/08 14:26      8656  1108
----A 2021/11/08 09:46    128000  11080931
----A 2021/11/08 10:03    128000  11080948
----A 2021/11/08 10:20    128000  11081005
----A 2021/11/08 10:37    128000  11081022
----A 2021/11/08 10:54    128000  11081039
----A 2021/11/08 11:11    128000  11081056
----A 2021/11/08 11:28    128000  11081113
----A 2021/11/08 11:45    128000  11081130
----A 2021/11/08 12:02    128000  11081147
----A 2021/11/08 12:19    128640  11081204
----A 2021/11/08 12:36    128000  11081221
----A 2021/11/08 12:53    128000  11081238
----A 2021/11/08 13:10    128000  11081255
----A 2021/11/08 13:27    128000  11081312
----A 2021/11/08 13:44    128000  11081329
----A 2021/11/08 14:01    128000  11081346
----A 2021/11/08 14:18    128000  11081403
----A 2021/11/08 14:20      2560  11081420

 116 File(s),  13000760 bytes total
   0 Dir(s),     987408K bytes free

/> 
read 1108
read 1108
<CR>Time:2021/11/08 14:20
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 15 2 12 15167 
9 15 18 13 16334 
9 15 32 12 17010 
9 15 48 13 17133 
9 16 2 12 17071 
9 16 18 13 17071 
9 16 32 12 17071 
9 16 48 13 17071 
9 17 2 12 17071 
9 17 18 13 17071 
9 17 32 12 17010 
9 17 48 13 17071 
9 18 2 12 17071 
9 18 18 13 17071 
9 18 32 12 17071 
9 18 48 13 17071 
9 19 2 12 17071 
9 19 18 13 17071 
9 19 32 12 17010 
9 19 48 13 17010 
9 20 2 12 17071 
9 20 18 13 17010 
9 20 32 12 17010 
9 20 48 13 17010 
9 21 2 12 17010 
9 21 18 13 17010 
9 21 32 12 17010 
9 21 48 13 17010 
9 22 2 12 17010 
9 22 18 13 17010 
9 22 32 12 17010 
9 22 48 13 17010 
9 23 2 12 17010 
9 23 18 13 17010 
9 23 32 12 17010 
9 23 48 13 17010 
9 24 2 12 17010 
9 24 18 13 17010 
9 24 32 12 17010 
9 24 48 13 17010 
9 25 2 12 17010 
9 25 18 13 17010 
9 25 32 12 17010 
9 25 48 13 17010 
9 26 2 12 17010 
9 26 18 13 17010 
9 26 32 12 17010 
9 26 48 13 17010 
9 27 2 12 17010 
9 27 18 13 17010 
9 27 32 12 17010 
9 27 48 13 17010 
9 28 2 12 17010 
9 28 18 13 17010 
9 28 32 12 17010 
9 28 48 13 17010 
9 29 2 12 17010 
9 31 34 13 17010 
9 31 49 12 17010 
9 32 4 13 17010 
9 32 19 12 17010 
9 32 34 13 17010 
9 32 49 12 17010 
9 33 4 13 17010 
9 33 19 12 17010 
9 33 34 13 17010 
9 33 49 12 17010 
9 34 4 13 17010 
9 34 19 12 17010 
9 34 34 13 17010 
9 34 49 12 17010 
9 35 4 13 17010 
9 35 19 12 17010 
9 35 34 13 17010 
9 35 49 12 17010 
9 36 4 13 17010 
9 36 19 12 17010 
9 36 34 13 17010 
9 36 49 12 17010 
9 37 4 13 17010 
9 37 19 12 17010 
9 37 34 13 17010 
9 37 49 12 17010 
9 38 4 13 17010 
9 38 19 12 17010 
9 38 34 13 17010 
9 38 49 12 17010 
9 39 4 13 17010 
9 39 19 12 17010 
9 39 34 13 17010 
9 39 49 12 17010 
9 40 4 13 17010 
9 40 19 12 17010 
9 40 34 13 17010 
9 40 49 12 17010 
9 41 4 13 17010 
9 41 19 12 17010 
9 41 34 13 17010 
9 41 49 12 17010 
9 42 4 13 17010 
9 42 19 12 17010 
9 42 34 13 17010 
9 42 49 12 17010 
9 43 4 13 17010 
9 43 19 12 17010 
9 43 35 13 17010 
9 43 49 12 17010 
9 44 5 13 17010 
9 44 19 12 17010 
9 44 35 13 17010 
9 44 49 12 17010 
9 45 5 13 17010 
9 45 19 12 17010 
9 45 35 13 17010 
9 45 49 12 17010 
9 46 5 13 17010 
9 48 36 13 17010 
9 48 50 12 17010 
9 49 6 13 17010 
9 49 20 12 17010 
9 49 36 13 17010 
9 49 50 12 17010 
9 50 6 13 17010 
9 50 20 12 17010 
9 50 36 13 17010 
9 50 50 12 17010 
9 51 6 13 17010 
9 51 20 12 17010 
9 51 36 13 17010 
9 51 50 12 17010 
9 52 6 13 17010 
9 52 20 12 17010 
9 52 36 13 17010 
9 52 50 12 16948 
9 53 6 13 17010 
9 53 20 12 17010 
9 53 36 13 17010 
9 53 50 12 17010 
9 54 6 13 17010 
9 54 20 12 17010 
9 54 36 13 17010 
9 54 50 12 17010 
9 55 6 13 17010 
9 55 20 12 17010 
9 55 36 13 16948 
9 55 50 12 17010 
9 56 6 13 17010 
9 56 20 12 16948 
9 56 36 13 17010 
9 56 50 12 16948 
9 57 6 13 16948 
9 57 20 12 17010 
9 57 36 13 17010 
9 57 50 12 16948 
9 58 6 13 17010 
9 58 20 12 17010 
9 58 36 13 17010 
9 58 50 12 16948 
9 59 6 13 16948 
9 59 20 12 16948 
9 59 36 13 16948 
9 59 50 12 17010 
10 0 6 13 16948 
10 0 20 12 16948 
10 0 36 13 17010 
10 0 50 12 17010 
10 1 6 13 16948 
