ls
ls

<CR>
         TIME          Size       File name 
----A 2021/11/09 14:59      8352  1109
----A 2021/11/09 09:55    128000  11090938
----A 2021/11/09 10:12    128000  11090957
----A 2021/11/09 10:31    128000  11091015
----A 2021/11/09 10:51    128000  11091033
----A 2021/11/09 11:07    128000  11091052
----A 2021/11/09 11:27    128000  11091110
----A 2021/11/09 11:43    128000  11091128
----A 2021/11/09 11:47      2560  11091147
----A 2021/11/09 12:31    128000  11091216
----A 2021/11/09 12:51    128000  11091234
----A 2021/11/09 13:08    128000  11091252
----A 2021/11/09 13:27    128000  11091311
----A 2021/11/09 13:46    128000  11091329
----A 2021/11/09 14:03    128000  11091348
----A 2021/11/09 14:21    128000  11091406
----A 2021/11/09 14:39    128000  11091424
----A 2021/11/09 14:43      2560  11091443
----A 2021/11/10 14:48      7584  1110
----A 2021/11/10 09:35      2560  11100935
----A 2021/11/10 10:50    128000  11101035
----A 2021/11/10 11:09    128000  11101053
----A 2021/11/10 11:27    128000  11101112
----A 2021/11/10 11:47    128000  11101130
----A 2021/11/10 12:04    128000  11101149
----A 2021/11/10 12:23    128000  11101207
----A 2021/11/10 12:42    128000  11101225
----A 2021/11/10 12:59    128000  11101244
----A 2021/11/10 13:17    128000  11101302
----A 2021/11/10 13:35    128000  11101320
----A 2021/11/10 13:54    128000  11101339
----A 2021/11/10 14:13    128000  11101357
----A 2021/11/10 14:31    128000  11101415
----A 2021/11/10 14:34      2560  11101434

  34 File(s),   3610176 bytes total
   0 Dir(s),     996896K bytes free

/> 
read 1110
read 1110
<CR>Time:2021/11/10 14:34
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 11 57 8 10088 
9 12 11 7 13592 
9 12 27 8 15707 
9 12 41 7 16069 
9 12 57 8 16190 
9 13 11 7 16130 
9 13 27 8 16069 
9 18 42 7 16009 
9 18 58 8 16009 
9 19 12 7 16009 
9 19 28 8 16009 
9 19 42 7 16009 
9 19 58 8 16009 
9 20 12 7 16009 
9 20 28 8 16009 
9 20 42 7 16009 
9 20 58 8 16009 
9 21 12 7 16009 
9 21 28 8 16009 
9 21 42 7 16009 
9 21 58 8 16009 
9 22 12 7 16009 
9 22 28 8 16009 
9 22 42 7 16009 
9 22 58 8 16009 
