ls
ls
<CR>
         TIME          Size       File name 
----A 2021/11/09 14:59      8376  1109
----A 2021/11/09 09:57    128000  11090941
----A 2021/11/09 10:15    128000  11090959
----A 2021/11/09 10:33    128000  11091018
----A 2021/11/09 10:51    128000  11091036
----A 2021/11/09 11:11    128000  11091054
----A 2021/11/09 11:28    128000  11091113
----A 2021/11/09 11:46    128000  11091131
----A 2021/11/09 12:15    128000  11091159
----A 2021/11/09 12:33    128000  11091218
----A 2021/11/09 12:51    128000  11091236
----A 2021/11/09 13:10    128000  11091255
----A 2021/11/09 13:29    128000  11091313
----A 2021/11/09 13:47    128000  11091331
----A 2021/11/09 14:05    128000  11091350
----A 2021/11/09 14:23    128000  11091408
----A 2021/11/09 14:43    128000  11091426
----A 2021/11/09 14:45      2560  11091445
----A 2021/11/10 14:50      7696  1110
----A 2021/11/10 09:31      2560  11100931
----A 2021/11/10 10:51    128000  11101036
----A 2021/11/10 11:09    128000  11101054
----A 2021/11/10 11:27    128000  11101112
----A 2021/11/10 11:46    128000  11101131
----A 2021/11/10 12:05    128000  11101149
----A 2021/11/10 12:23    128000  11101207
----A 2021/11/10 12:41    128000  11101226
----A 2021/11/10 12:59    128000  11101244
----A 2021/11/10 13:19    128000  11101302
----A 2021/11/10 13:37    128000  11101321
----A 2021/11/10 13:54    128000  11101339
----A 2021/11/10 14:15    128000  11101357
----A 2021/11/10 14:31    128000  11101416
----A 2021/11/10 14:34      2560  11101434
----A 2021/11/11 14:49      8008  1111
----A 2021/11/11 10:13    128000  11110958
----A 2021/11/11 10:31    128000  11111016
----A 2021/11/11 10:51    128000  11111034
----A 2021/11/11 11:09    128000  11111053
----A 2021/11/11 11:26    128000  11111111
----A 2021/11/11 11:47    128000  11111129
----A 2021/11/11 12:03    128000  11111148
----A 2021/11/11 12:23    128000  11111206
----A 2021/11/11 12:40    128000  11111224
----A 2021/11/11 12:59    128000  11111243
----A 2021/11/11 13:18    128000  11111301
----A 2021/11/11 13:35    128000  11111319
----A 2021/11/11 13:53    128000  11111338
----A 2021/11/11 14:11    128000  11111356
----A 2021/11/11 14:30    128000  11111415
----A 2021/11/11 14:49     19200  11111433
----A 2021/11/12 14:19      8008  1112
----A 2021/11/12 09:42    128000  11120927
----A 2021/11/12 10:01    128000  11120945
----A 2021/11/12 10:19    128000  11121004
----A 2021/11/12 10:39    128000  11121022
----A 2021/11/12 10:56    128000  11121041
----A 2021/11/12 11:15    128000  11121059
----A 2021/11/12 11:34    128000  11121117
----A 2021/11/12 11:51    128000  11121136
----A 2021/11/12 12:09    128000  11121154
----A 2021/11/12 12:27    128000  11121212
----A 2021/11/12 12:46    128000  11121231
----A 2021/11/12 13:05    128000  11121249
----A 2021/11/12 13:23    128000  11121307
----A 2021/11/12 13:41    128000  11121326
----A 2021/11/12 13:59    128000  11121344
----A 2021/11/12 14:19    125440  11121402
----A 2021/11/13 14:46      8576  1113
----A 2021/11/13 09:47    128000  11130930
----A 2021/11/13 10:03    128000  11130948
----A 2021/11/13 10:22    128640  11131007
----A 2021/11/13 10:42    128000  11131025
----A 2021/11/13 10:59    128000  11131043
----A 2021/11/13 11:17    128000  11131102
----A 2021/11/13 11:35    128000  11131120
----A 2021/11/13 11:54    128000  11131138
----A 2021/11/13 12:13    128000  11131157
----A 2021/11/13 12:30    128000  11131215
----A 2021/11/13 12:49    128000  11131233
----A 2021/11/13 13:07    128000  11131252
----A 2021/11/13 13:27    128000  11131310
----A 2021/11/13 13:44    128000  11131329
----A 2021/11/13 14:03    128000  11131347
----A 2021/11/13 14:23    128000  11131405
----A 2021/11/13 14:39    128000  11131424
----A 2021/11/13 14:43      2560  11131442

  87 File(s),   9924184 bytes total
   0 Dir(s),     990544K bytes free

/> 
read 1113

read 1113
<CR>Time:2021/11/13 14:4321/11/13 14:43
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 13 8 7 16641 
9 13 24 8 17562 
9 13 38 7 17931 
9 13 54 8 18054 
9 14 8 7 18054 
9 14 24 8 18054 
9 14 38 7 18054 
9 14 54 8 18054 
9 15 8 7 18054 
9 15 24 8 18054 
9 15 38 7 18054 
9 15 54 8 18054 
9 16 8 7 18054 
9 16 24 8 18054 
9 16 38 7 18054 
9 16 54 8 18054 
9 17 8 7 18054 
9 17 24 8 18054 
9 17 38 7 18054 
9 17 54 8 18054 
9 18 8 7 18054 
9 18 24 8 18054 
9 18 38 7 18054 
9 18 54 8 18054 
9 19 8 7 18054 
9 19 24 8 18054 
9 19 38 7 18054 
9 19 54 8 18054 
9 20 8 7 18054 
9 20 24 8 18054 
9 20 38 7 18054 
9 20 54 8 18054 
9 21 8 7 18054 
9 21 24 8 18054 
9 21 38 7 18054 
9 21 54 8 17992 
9 22 8 7 17992 
9 22 24 8 18054 
9 22 38 7 18054 
9 22 54 8 17992 
9 23 8 7 18054 
9 23 24 8 18054 
9 23 38 7 18054 
9 23 54 8 18054 
9 24 8 7 17992 
9 24 24 8 18054 
9 24 38 7 18054 
9 24 54 8 17992 
9 25 8 7 17992 
9 25 24 8 18054 
9 25 38 7 17992 
9 25 54 8 17992 
9 26 8 7 17992 
9 26 24 8 17992 
9 26 38 7 17992 
9 26 54 8 17992 
9 27 8 7 17992 
9 31 2 8 17992 
9 31 16 7 17992 
9 31 32 8 17992 
9 31 46 7 17992 
9 32 2 8 17992 
9 32 16 7 17992 
9 32 32 8 17992 
9 32 46 7 17992 
9 33 2 8 17992 
9 33 16 7 17992 
9 33 32 8 17992 
9 33 46 7 17992 
9 34 2 8 17992 
9 34 16 7 17992 
9 34 32 8 17992 
9 34 46 7 17992 
9 35 2 8 17992 
9 35 16 7 17992 
9 35 32 8 17992 
9 35 46 7 17992 
9 36 2 8 17992 
9 36 16 7 17992 
9 36 32 8 17992 
9 36 46 7 17992 
9 37 2 8 17992 
9 37 16 7 17992 
9 37 32 8 17992 
9 37 46 7 17992 
9 38 2 8 17992 
9 38 16 7 17992 
9 38 32 8 17992 
9 38 46 7 17992 
9 39 2 8 17992 
9 39 16 7 17992 
9 39 32 8 17992 
9 39 46 7 17992 
9 40 2 8 17992 
9 40 16 7 17992 
9 40 32 8 17992 
9 40 46 7 17992 
9 41 2 8 17992 
9 41 16 7 17992 
9 41 32 8 17992 
9 41 46 7 17992 
9 42 2 8 17992 
9 42 16 7 17992 
9 42 32 8 17992 
9 42 46 7 17992 
9 43 2 8 17992 
9 43 16 7 17992 
9 43 32 8 17992 
9 43 46 7 17992 
9 44 2 8 17992 
9 44 16 7 17992 
9 44 32 8 17992 
9 44 46 7 17992 
9 45 2 8 17992 
9 45 16 7 17992 
9 45 32 8 17992 
9 49 22 7 17931 
9 49 38 8 17992 
9 49 52 7 17992 
9 50 8 8 17992 
9 50 22 7 17992 
9 50 38 8 17992 
9 50 52 7 17992 
9 51 8 8 17992 
9 51 22 7 17992 
9 51 38 8 17992 
9 51 52 7 17992 
9 52 8 8 17992 
9 52 22 7 17992 
9 52 38 8 17992 
9 52 52 7 17992 
9 53 8 8 17992 
9 53 22 7 17992 
9 53 38 8 17992 
9 53 52 7 17992 
9 54 8 8 17992 
9 54 22 7 17992 
9 54 38 8 17931 
9 54 52 7 17992 
9 55 8 8 17992 
9 55 22 7 17931 
9 55 38 8 17992 
9 55 52 7 17992 
9 56 8 8 17992 
9 56 22 7 17992 
9 56 38 8 17992 
9 56 52 7 17992 
9 57 8 8 17992 
9 57 22 7 17992 
9 57 38 8 17992 
9 57 52 7 17992 
9 58 8 8 17992 
9 58 22 7 17992 
9 58 38 8 17992 
9 58 52 7 17992 
9 59 8 8 17992 
9 59 22 7 17992 
9 59 38 8 17992 
9 59 52 7 17931 
10 0 8 8 17992 
10 0 22 7 17992 
10 0 38 8 17992 
10 0 52 7 17992 
10 1 8 8 17992 
10 1 22 7 17992 
10 1 38 8 17992 
10 1 52 7 17992 
10 2 8 8 17992 
10 2 22 7 17992 
10 2 38 8 17992 
10 2 52 7 17992 
10 3 8 8 17992 
10 3 22 7 17992 
10 3 38 8 17992 
10 3 52 7 17992 
10 7 44 8 17992 
10 7 58 7 17992 
10 8 14 8 17992 
10 8 28 7 17992 
10 8 44 8 17992 
10 8 58 7 17992 
10 9 14 8 17992 
10 9 28 7 17992 
10 9 44 8 17992 
10 9 58 7 17992 
10 10 14 8 17992 
10 10 28 7 17992 
10 10 44 8 17992 
10 10 58 7 17992 
10 11 14 8 17992 
10 11 28 7 17992 
10 11 44 8 17992 
10 11 58 7 17992 
10 12 14 8 17992 
10 12 28 7 17992 
10 12 44 8 17992 
10 12 58 7 17992 
10 13 14 8 17992 
10 13 28 7 17992 
10 13 44 8 17992 
10 13 58 7 17992 
10 14 14 8 17992 
10 14 28 7 17992 
10 14 59 8 17992 
10 15 13 7 17992 
10 15 29 8 17992 
10 15 43 7 17992 
10 15 59 8 17992 
10 16 13 7 17992 
10 16 29 8 17992 
