ls
ls
<CR>
         TIME          Size       File name 
----A 2021/11/09 14:59      8352  1109
----A 2021/11/09 09:55    128000  11090938
----A 2021/11/09 10:12    128000  11090957
----A 2021/11/09 10:31    128000  11091015
----A 2021/11/09 10:51    128000  11091033
----A 2021/11/09 11:07    128000  11091052
----A 2021/11/09 11:27    128000  11091110
----A 2021/11/09 11:43    128000  11091128
----A 2021/11/09 11:47      2560  11091147
----A 2021/11/09 12:31    128000  11091216
----A 2021/11/09 12:51    128000  11091234
----A 2021/11/09 13:08    128000  11091252
----A 2021/11/09 13:27    128000  11091311
----A 2021/11/09 13:46    128000  11091329
----A 2021/11/09 14:03    128000  11091348
----A 2021/11/09 14:21    128000  11091406
----A 2021/11/09 14:39    128000  11091424
----A 2021/11/09 14:43      2560  11091443
----A 2021/11/10 14:48      7584  1110
----A 2021/11/10 09:35      2560  11100935
----A 2021/11/10 10:50    128000  11101035
----A 2021/11/10 11:09    128000  11101053
----A 2021/11/10 11:27    128000  11101112
----A 2021/11/10 11:47    128000  11101130
----A 2021/11/10 12:04    128000  11101149
----A 2021/11/10 12:23    128000  11101207
----A 2021/11/10 12:42    128000  11101225
----A 2021/11/10 12:59    128000  11101244
----A 2021/11/10 13:17    128000  11101302
----A 2021/11/10 13:35    128000  11101320
----A 2021/11/10 13:54    128000  11101339
----A 2021/11/10 14:13    128000  11101357
----A 2021/11/10 14:31    128000  11101415
----A 2021/11/10 14:34      2560  11101434
----A 2021/11/11 14:49      7960  1111
----A 2021/11/11 10:14    128000  11110959
----A 2021/11/11 10:33    128000  11111017
----A 2021/11/11 10:51    128000  11111036
----A 2021/11/11 11:11    128000  11111054
----A 2021/11/11 11:28    128000  11111112
----A 2021/11/11 11:47    128000  11111131
----A 2021/11/11 12:06    128000  11111149
----A 2021/11/11 12:23    128000  11111208
----A 2021/11/11 12:41    128000  11111226
----A 2021/11/11 12:59    128000  11111244
----A 2021/11/11 13:18    128000  11111303
----A 2021/11/11 13:37    128000  11111321
----A 2021/11/11 13:55    128000  11111339
----A 2021/11/11 14:13    128000  11111358
----A 2021/11/11 14:31    128000  11111416
----A 2021/11/11 14:35      2560  11111434
----A 2021/11/12 14:17      8016  1112
----A 2021/11/12 09:42    128000  11120927
