ls
πώ

Serial communication
Type 'h or ?' for help.

/> 
ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/23 14:31      6288  1023
----A 2021/10/23 11:38    128000  10231123
----A 2021/10/23 11:55    128000  10231140
----A 2021/10/23 12:14    128000  10231157
----A 2021/10/23 12:31    128000  10231214
----A 2021/10/23 12:46    128000  10231231
----A 2021/10/23 13:03    128000  10231248
----A 2021/10/23 13:22    128000  10231305
----A 2021/10/23 13:39    128000  10231322
----A 2021/10/23 13:54    128000  10231339
----A 2021/10/23 14:11    128000  10231356
----A 2021/10/23 14:30    128000  10231413
----A 2021/10/23 14:30      2560  10231430

  13 File(s),   1416848 bytes total
   0 Dir(s),     999136K bytes free

/> 
read 1023
read 1023
<CR>Time:2021/10/23 14:30
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 57 11 8 9061 
9 57 25 7 13894 
9 57 41 8 15948 
9 57 55 7 17036 
9 58 11 8 18002 
9 58 25 7 18365 
9 58 41 8 17882 
9 58 55 7 17821 
9 59 11 8 18123 
9 59 25 7 18123 
9 59 41 8 18123 
10 2 20 8 18123 
10 2 34 7 18123 
10 2 50 8 18123 
10 3 4 7 18123 
10 3 20 8 18123 
10 3 34 7 18123 
10 3 50 8 17882 
10 4 4 7 17036 
10 4 20 8 17036 
10 4 34 7 17036 
10 4 50 8 17096 
10 5 4 7 17036 
10 5 20 8 17036 
10 5 34 7 17036 
10 5 50 8 17036 
10 6 4 7 17036 
10 6 20 8 17036 
10 6 34 7 17036 
10 6 50 8 17036 
10 7 4 7 17036 
10 7 20 8 17036 
10 7 34 7 17036 
10 7 50 8 17036 
10 8 4 7 17036 
10 8 20 8 17036 
10 8 34 7 17036 
10 8 50 8 17036 
10 9 4 7 17036 
10 9 20 8 17036 
10 9 34 7 17036 
10 9 50 8 17036 
10 10 4 7 17036 
10 10 20 8 17036 
10 10 34 7 17036 
10 10 50 8 17036 
10 11 4 7 17036 
10 11 20 8 17036 
10 11 34 7 17036 
10 11 50 8 17036 
10 12 4 7 17036 
10 12 20 8 17036 
10 12 34 7 17036 
10 12 50 8 17036 
10 13 4 7 17036 
10 13 20 8 17036 
10 13 34 7 17036 
10 49 40 13 12565 
10 49 55 12 16553 
10 50 10 13 17398 
10 50 25 12 17942 
10 50 40 13 19029 
10 52 41 13 19029 
10 52 55 12 19029 
10 53 11 13 19029 
10 53 25 12 19029 
10 53 41 13 19029 
10 53 55 12 19029 
10 54 11 13 19029 
10 54 25 12 19029 
10 54 41 13 19029 
10 54 55 12 19029 
10 55 11 13 19029 
10 55 25 12 19029 
10 55 41 13 19029 
10 55 55 12 19029 
10 56 11 13 19029 
10 56 25 12 19029 
10 56 41 13 19029 
10 56 55 12 19029 
10 57 11 13 19029 
10 57 25 12 19029 
10 57 41 13 19029 
10 57 55 12 19029 
10 58 11 13 19029 
10 58 25 12 19029 
10 58 41 13 19029 
10 58 55 12 19029 
10 59 11 13 19029 
10 59 25 12 19029 
11 8 38 5 19211 
11 9 29 12 19029 
11 9 44 13 19029 
11 9 59 12 19029 
11 10 14 13 19029 
11 10 29 12 19029 
11 10 44 13 19029 
11 11 19 5 15163 
11 11 29 9 19150 
11 11 44 12 19029 
11 11 59 13 19029 
11 12 14 12 19029 
11 12 29 13 19029 
11 12 44 12 19029 
11 12 59 13 19029 
11 13 14 12 19029 
11 13 29 13 19029 
11 13 44 12 19029 
11 13 59 13 19029 
11 14 14 12 19029 
11 14 29 13 19029 
11 14 44 12 19029 
11 15 26 12 19029 
11 15 42 13 19029 
11 15 56 12 19029 
11 16 12 13 19029 
11 16 26 12 19029 
11 16 42 13 19029 
11 16 56 12 19029 
11 17 12 13 19029 
11 17 26 12 19029 
11 17 42 13 19029 
11 17 56 12 19029 
11 18 12 13 19029 
11 18 26 12 18969 
11 18 42 13 18969 
11 18 56 12 19029 
11 19 12 13 19029 
11 19 26 12 18969 
11 19 42 13 18969 
11 19 56 12 19029 
11 20 12 13 18969 
11 20 26 12 19029 
11 20 42 13 18969 
11 20 56 12 18969 
11 21 12 13 18969 
11 24 4 13 18969 
11 24 18 12 18969 
11 24 34 13 18969 
11 24 48 12 18969 
11 25 4 13 18969 
11 25 18 12 18969 
11 25 34 13 18969 
11 25 48 12 18969 
11 26 4 13 18969 
11 26 18 12 18969 
11 26 34 13 18969 
11 26 48 12 18969 
11 27 4 13 18969 
11 27 18 12 18969 
11 27 34 13 18969 
11 27 48 12 18969 
11 28 4 13 18969 
11 28 18 12 18969 
11 28 34 13 18969 
11 28 48 12 18969 
11 29 4 13 18969 
11 29 18 12 18969 
11 29 34 13 18969 
11 29 48 12 18969 
11 30 4 13 18969 
11 30 18 12 18969 
11 30 34 13 18969 
11 30 48 12 18969 
11 31 4 13 18969 
11 31 18 12 18969 
11 31 34 13 18969 
11 31 48 12 18969 
11 32 4 13 18969 
11 32 18 12 18969 
11 32 34 13 18969 
11 32 48 12 18969 
11 33 4 13 18969 
11 33 18 12 18969 
11 33 34 13 18969 
11 33 48 12 18969 
11 34 4 13 18969 
11 34 18 12 18969 
11 34 34 13 18969 
11 34 48 12 18969 
11 35 4 13 18969 
11 35 18 12 18969 
11 35 34 13 18969 
11 35 48 12 18969 
11 36 4 13 18969 
11 36 18 12 18969 
11 36 34 13 18969 
11 36 48 12 18969 
11 37 4 13 18969 
11 37 18 12 18969 
11 37 34 13 18969 
11 37 48 12 18969 
11 38 4 13 18969 
11 38 18 12 18969 
11 38 34 13 18969 
11 41 5 13 18969 
11 41 19 12 18969 
11 41 35 13 18969 
11 41 49 12 18969 
11 42 5 13 18969 
11 42 19 12 18969 
11 42 35 13 18969 
11 42 49 12 18969 
11 43 5 13 18969 
11 43 19 12 18969 
11 43 35 13 18969 
11 43 49 12 18969 
11 44 5 13 18969 
11 44 19 12 18969 
11 44 35 13 18969 
11 44 49 12 18969 
11 45 5 13 18969 
11 45 19 12 19029 
11 45 35 13 18969 
11 45 49 12 18969 
11 46 5 13 19029 
11 46 19 12 18969 
11 46 35 13 18969 
11 46 49 12 18969 
11 47 5 13 18969 
11 47 19 12 18969 
11 47 35 13 18969 
11 47 49 12 18969 
11 48 5 13 18969 
11 48 19 12 18969 
11 48 35 13 18969 
11 48 49 12 18969 
11 49 5 13 18969 
11 49 19 12 18969 
11 49 35 13 18969 
11 49 49 12 18969 
11 50 5 13 18969 
