ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/23 14:31      6288  1023
----A 2021/10/23 11:38    128000  10231123
----A 2021/10/23 11:55    128000  10231140
----A 2021/10/23 12:14    128000  10231157
----A 2021/10/23 12:31    128000  10231214
----A 2021/10/23 12:46    128000  10231231
----A 2021/10/23 13:03    128000  10231248
----A 2021/10/23 13:22    128000  10231305
----A 2021/10/23 13:39    128000  10231322
----A 2021/10/23 13:54    128000  10231339
----A 2021/10/23 14:11    128000  10231356
----A 2021/10/23 14:30    128000  10231413
----A 2021/10/23 14:30      2560  10231430
----A 2021/10/24 14:32      7472  1024
----A 2021/10/24 10:54    128000  10241037
----A 2021/10/24 11:11    128000  10241054
----A 2021/10/24 11:26    128000  10241111
----A 2021/10/24 11:43    128000  10241128
----A 2021/10/24 12:02    128000  10241145
----A 2021/10/24 12:19    128000  10241202
----A 2021/10/24 12:35    128000  10241219
----A 2021/10/24 12:51    128000  10241236
----A 2021/10/24 13:11    128000  10241253
----A 2021/10/24 13:27    128000  10241310
----A 2021/10/24 13:43    128000  10241327
----A 2021/10/24 13:59    128000  10241344
----A 2021/10/24 14:19    128000  10241401
----A 2021/10/24 14:19      2560  10241418

  28 File(s),   3090880 bytes total
   0 Dir(s),     997440K bytes free

/> 
read 1024
read 1024
<CR>Time:2021/10/24 14:19
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 17 50 7 9786 
9 18 6 8 13653 
9 18 20 7 16130 
9 18 36 8 17096 
9 18 50 7 16975 
9 19 6 8 16975 
9 20 57 8 16975 
9 21 11 7 16975 
9 21 27 8 16975 
9 21 41 7 16975 
9 21 57 8 16975 
9 22 11 7 16975 
9 22 27 8 16975 
9 22 41 7 16975 
9 22 57 8 16975 
9 23 11 7 16975 
9 23 27 8 16975 
9 23 41 7 16975 
9 23 57 8 16975 
9 24 11 7 16975 
9 24 27 8 16975 
9 24 41 7 16975 
9 24 57 8 16915 
9 25 11 7 16975 
9 25 27 8 16975 
9 25 41 7 16915 
9 25 57 8 16975 
9 26 11 7 16975 
9 26 27 8 16975 
9 26 41 7 16915 
9 26 57 8 17036 
9 27 11 7 17036 
9 27 27 8 17036 
9 27 41 7 17036 
9 27 57 8 17036 
9 28 11 7 17036 
9 28 27 8 17036 
9 28 41 7 17036 
9 28 57 8 17036 
9 29 11 7 17036 
9 29 27 8 17036 
9 29 41 7 17036 
9 29 57 8 17036 
9 30 11 7 17036 
9 30 27 8 17036 
9 30 41 7 17036 
9 30 57 8 17036 
9 31 11 7 17036 
9 31 27 8 17036 
9 31 41 7 17036 
9 31 57 8 17036 
9 32 11 7 17036 
9 32 27 8 17036 
9 32 41 7 17036 
9 32 57 8 17036 
9 33 11 7 17036 
9 33 27 8 17036 
10 21 31 13 13351 
10 21 45 12 16311 
10 22 1 13 17761 
10 22 15 12 18486 
10 22 31 13 19090 
10 22 45 12 19090 
10 23 1 13 19090 
10 23 15 12 19090 
10 23 31 13 19090 
10 23 45 12 19090 
10 24 1 13 19090 
10 24 15 12 19090 
10 24 31 13 19090 
10 24 45 12 19090 
10 25 1 13 19090 
10 25 15 12 19090 
10 25 31 13 19090 
10 25 45 12 19090 
10 26 1 13 19090 
10 26 15 12 19090 
10 26 31 13 19090 
10 26 45 12 19090 
10 27 1 13 19090 
10 27 15 12 19090 
10 27 31 13 19090 
10 27 45 12 19090 
10 28 1 13 19090 
10 28 15 12 19090 
10 28 31 13 19090 
10 28 45 12 19090 
10 29 1 13 19090 
10 29 15 12 19090 
10 29 31 13 19090 
10 29 45 12 19029 
10 30 1 13 19090 
10 30 15 12 19029 
10 30 31 13 19029 
10 30 45 12 19090 
10 31 1 13 19029 
10 31 15 12 19029 
10 31 31 13 19029 
10 31 45 12 19029 
10 32 1 13 19029 
10 32 15 12 19029 
10 32 31 13 19029 
10 32 45 12 19029 
10 33 1 13 19029 
10 33 15 12 19029 
10 33 31 13 19029 
10 33 45 12 19029 
10 34 1 13 19029 
10 34 15 12 19029 
10 34 31 13 19029 
10 34 45 12 19029 
10 35 1 13 19029 
10 35 15 12 19029 
10 35 31 13 19029 
10 35 45 12 19029 
10 38 16 12 19029 
10 38 31 13 19029 
10 38 46 12 19029 
10 39 1 13 19029 
10 39 16 12 19029 
10 39 31 13 19029 
10 39 46 12 19029 
10 40 1 13 19029 
10 40 16 12 19029 
10 40 31 13 19029 
10 40 46 12 19029 
10 41 1 13 19029 
10 41 16 12 19029 
10 41 31 13 19029 
10 41 46 12 19029 
10 42 1 13 19029 
10 42 16 12 19029 
10 42 31 13 19029 
10 42 46 12 19029 
10 43 1 13 19029 
10 43 16 12 19029 
10 43 31 13 19029 
10 43 46 12 19029 
10 44 1 13 19029 
10 44 16 12 19029 
10 44 31 13 19029 
10 44 46 12 19029 
10 45 1 13 19029 
10 45 16 12 19029 
10 45 31 13 19029 
10 45 46 12 19029 
10 46 1 13 19029 
10 46 16 12 19029 
10 46 31 13 19029 
10 46 46 12 19029 
10 47 1 13 19029 
10 47 16 12 19029 
10 47 31 13 19029 
10 47 46 12 19029 
10 48 1 13 19029 
10 48 16 12 19029 
10 48 31 13 19029 
10 48 46 12 19029 
10 49 1 13 19029 
10 49 16 12 19029 
10 49 31 13 19029 
10 49 46 12 19029 
10 50 1 13 19029 
10 50 16 12 19029 
10 50 31 13 19029 
10 50 46 12 19029 
10 51 1 13 19029 
10 51 17 13 19029 
10 51 31 12 19029 
10 51 47 13 19029 
10 52 1 12 19029 
10 52 17 13 19029 
10 52 31 12 19029 
10 52 47 13 19029 
10 55 17 13 19029 
10 55 31 12 19029 
10 55 47 13 19029 
10 56 1 12 19029 
10 56 17 13 19029 
10 56 31 12 19029 
10 56 47 13 19029 
10 57 1 12 19029 
10 57 17 13 19029 
10 57 31 12 19029 
10 57 47 13 19029 
10 58 1 12 19029 
10 58 17 13 19029 
10 58 31 12 19029 
10 58 47 13 19029 
10 59 1 12 19029 
10 59 17 13 19029 
10 59 31 12 19029 
10 59 47 13 19029 
11 0 1 12 19029 
11 0 17 13 19029 
11 0 31 12 19029 
11 0 47 13 19029 
11 1 1 12 19029 
11 1 17 13 19029 
11 1 31 12 19029 
11 1 47 13 19029 
11 2 1 12 19029 
11 2 17 13 19029 
11 2 31 12 19029 
11 2 47 13 19029 
11 3 1 12 19029 
11 3 17 13 19029 
11 3 31 12 19029 
