ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/23 11:11       744  1023
----A 2021/10/24 14:33      7464  1024
----A 2021/10/24 10:53    128000  10241037
----A 2021/10/24 11:10    128000  10241054
----A 2021/10/24 11:27    128000  10241111
----A 2021/10/24 11:44    128000  10241129
----A 2021/10/24 12:01    128000  10241146
----A 2021/10/24 12:18    128000  10241203
----A 2021/10/24 12:35    128000  10241220
----A 2021/10/24 12:52    128000  10241237
----A 2021/10/24 13:09    128000  10241254
----A 2021/10/24 13:26    128000  10241311
----A 2021/10/24 13:43    128000  10241328
----A 2021/10/24 14:00    128000  10241345
----A 2021/10/24 14:17    128000  10241402
----A 2021/10/24 14:19      2560  10241419

  16 File(s),   1674768 bytes total
   0 Dir(s),     998864K bytes free

/> 
read 1024
read 1024
<CR>Time:2021/10/24 14:19
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 18 16 7 12957 
9 18 32 8 15720 
9 18 46 7 17010 
9 19 2 8 17010 
9 19 16 7 16948 
9 19 32 8 16948 
9 19 46 7 16948 
9 20 2 8 16948 
9 20 16 7 16948 
9 20 32 8 16948 
9 20 46 7 16948 
9 21 2 8 16948 
9 21 16 7 16948 
9 21 32 8 16948 
9 21 46 7 16948 
9 22 2 8 16948 
9 22 16 7 16948 
9 22 32 8 16948 
9 22 46 7 16948 
9 23 2 8 16948 
9 23 16 7 16948 
9 23 32 8 16948 
9 23 46 7 16948 
9 24 2 8 16948 
9 24 16 7 16948 
9 24 32 8 16948 
9 24 46 7 16948 
9 25 2 8 16948 
9 25 16 7 16948 
9 25 32 8 16948 
9 25 46 7 16948 
9 26 2 8 16948 
9 26 16 7 16948 
9 26 32 8 16948 
9 26 46 7 16948 
9 27 2 8 16948 
9 27 16 7 17010 
9 27 32 8 17071 
9 27 46 7 17071 
9 28 2 8 17071 
9 28 16 7 17071 
9 28 32 8 17071 
9 28 46 7 17071 
9 29 2 8 17071 
9 29 16 7 17071 
9 29 32 8 17071 
9 29 46 7 17071 
9 30 2 8 17071 
9 30 16 7 17071 
9 30 32 8 17071 
9 30 46 7 17071 
9 31 2 8 17071 
9 31 16 7 17071 
9 31 32 8 17071 
9 31 46 7 17010 
9 32 2 8 17071 
9 32 16 7 17010 
10 21 58 13 16027 
10 22 13 12 17624 
10 22 28 13 18361 
10 22 43 12 19098 
10 22 58 13 19036 
10 23 13 12 19098 
10 23 28 13 19098 
10 23 43 12 19098 
10 23 58 13 19098 
10 24 13 12 19098 
10 24 28 13 19098 
10 24 43 12 19098 
10 24 58 13 19098 
10 25 13 12 19098 
10 25 28 13 19098 
10 25 43 12 19098 
10 25 58 13 19098 
10 26 13 12 19098 
10 26 28 13 19098 
10 26 43 12 19098 
10 26 58 13 19098 
10 27 13 12 19098 
10 27 28 13 19098 
10 27 43 12 19098 
10 27 58 13 19098 
10 28 13 12 19098 
10 28 28 13 19098 
10 28 43 12 19098 
10 28 58 13 19098 
10 29 13 12 19098 
10 29 28 13 19098 
10 29 43 12 19098 
10 29 58 13 19098 
10 30 13 12 19098 
10 30 28 13 19098 
10 30 43 12 19036 
10 30 58 13 19098 
10 31 13 12 19036 
10 31 28 13 19098 
10 31 43 12 19036 
10 31 58 13 19098 
10 32 13 12 19098 
10 32 28 13 19036 
10 32 43 12 19036 
10 32 58 13 19098 
10 33 13 12 19036 
10 33 28 13 19036 
10 33 43 12 19098 
10 33 58 13 19036 
10 34 13 12 19036 
10 34 28 13 19036 
10 34 43 12 19036 
10 34 58 13 19098 
10 35 13 12 19036 
10 35 28 13 19036 
10 35 43 12 19036 
10 35 58 13 19036 
10 38 31 13 19036 
10 38 45 12 19036 
10 39 1 13 19036 
10 39 15 12 19036 
10 39 31 13 19036 
10 39 45 12 19036 
10 40 1 13 19036 
10 40 15 12 19036 
10 40 31 13 19036 
10 40 45 12 19036 
10 41 1 13 19036 
10 41 15 12 19036 
10 41 31 13 19036 
10 41 45 12 19036 
10 42 1 13 19036 
10 42 15 12 19036 
10 42 31 13 19036 
10 42 45 12 19036 
10 43 1 13 19036 
10 43 15 12 19036 
10 43 31 13 19036 
10 43 45 12 19036 
10 44 1 13 19036 
10 44 15 12 19036 
10 44 31 13 19036 
10 44 45 12 19036 
10 45 1 13 19036 
10 45 15 12 19036 
10 45 31 13 19036 
10 45 45 12 19036 
10 46 1 13 19036 
10 46 15 12 19036 
10 46 31 13 19036 
10 46 45 12 19036 
10 47 1 13 19036 
10 47 15 12 19036 
10 47 31 13 19036 
10 47 45 12 19036 
10 48 1 13 19036 
10 48 15 12 19036 
10 48 31 13 19036 
10 48 45 12 19036 
10 49 1 13 19036 
10 49 15 12 19036 
10 49 31 13 19036 
10 49 45 12 19036 
10 50 1 13 19036 
10 50 15 12 19036 
10 50 31 13 19036 
10 50 45 12 19036 
10 51 1 13 19036 
10 51 15 12 19036 
10 51 31 13 19036 
10 51 45 12 19036 
10 52 1 13 19036 
10 52 15 12 19036 
10 52 31 13 19036 
10 52 45 12 19036 
10 53 1 13 19036 
10 55 31 13 19036 
10 55 45 12 19036 
10 56 1 13 19036 
10 56 15 12 19036 
10 56 31 13 19036 
10 56 45 12 19036 
10 57 1 13 19036 
10 57 15 12 19036 
10 57 31 13 19036 
10 57 45 12 19036 
10 58 1 13 19036 
10 58 15 12 19036 
10 58 31 13 19036 
10 58 45 12 19036 
10 59 1 13 19036 
10 59 15 12 19036 
10 59 31 13 19036 
10 59 45 12 19036 
11 0 1 13 19036 
11 0 15 12 19036 
11 0 31 13 19036 
11 0 45 12 19036 
11 1 1 13 19036 
11 1 15 12 19036 
11 1 31 13 19036 
11 1 45 12 19036 
11 2 1 13 19036 
11 2 15 12 19036 
11 2 31 13 19036 
11 2 45 12 19036 
11 3 1 13 19036 
11 3 15 12 19036 
11 3 31 13 19036 
11 3 45 12 19036 
11 4 1 13 19036 
11 4 15 12 19036 
11 4 31 13 19036 
11 4 45 12 19036 
11 5 1 13 19036 
11 5 15 12 19036 
11 5 31 13 19036 
11 5 45 12 19036 
11 6 1 13 19036 
11 6 15 12 19036 
11 6 31 13 19036 
11 6 45 12 19036 
11 7 1 13 19036 
11 7 15 12 19036 
11 7 31 13 19036 
11 7 45 12 19036 
11 8 1 13 19036 
11 8 15 12 19036 
11 8 31 13 19036 
11 8 45 12 19036 
11 9 1 13 19036 
11 9 15 12 19036 
11 9 31 13 19036 
11 9 45 12 19036 
11 10 1 13 19036 
11 12 32 13 19036 
11 12 46 12 19036 
11 13 2 13 19036 
11 13 16 12 19036 
11 13 32 13 19036 
11 13 46 12 19036 
11 14 2 13 19036 
11 14 16 12 19036 
11 14 32 13 19036 
11 14 46 12 19036 
11 15 2 13 19036 
11 15 16 12 19036 
11 15 32 13 19036 
11 15 46 12 19036 
11 16 2 13 19036 
11 16 16 12 19036 
11 16 32 13 19036 
11 16 46 12 19036 
11 17 2 13 19036 
11 17 16 12 19036 
11 17 32 13 19036 
11 17 46 12 19036 
11 18 2 13 19036 
11 18 16 12 19036 
11 18 32 13 19036 
11 18 46 12 19036 
11 19 2 13 19036 
11 19 16 12 19036 
11 19 32 13 19036 
11 19 46 12 19036 
11 20 2 13 19036 
11 20 16 12 19036 
11 20 32 13 19036 
11 20 46 12 19036 
11 21 2 13 19036 
11 21 16 12 19036 
11 21 32 13 19036 
11 21 46 12 19036 
11 22 2 13 19036 
11 22 16 12 19036 
11 22 32 13 19036 
11 22 46 12 19036 
11 23 2 13 19036 
11 23 16 12 19036 
11 23 32 13 19036 
11 23 46 12 19036 
11 24 2 13 19036 
11 24 16 12 19036 
11 24 32 13 19036 
11 24 46 12 19036 
11 25 2 13 19036 
11 25 16 12 19036 
11 25 32 13 19036 
11 25 46 12 19036 
11 26 2 13 19036 
11 26 16 12 19036 
11 26 32 13 19036 
11 26 46 12 19036 
11 27 2 13 19036 
11 29 32 13 19036 
11 29 46 12 19036 
11 30 2 13 19036 
11 30 16 12 19036 
11 30 32 13 19036 
11 30 46 12 19036 
11 31 2 13 19036 
11 31 16 12 19036 
11 31 32 13 19036 
11 31 46 12 19036 
11 32 2 13 19036 
11 32 16 12 19036 
11 32 32 13 19036 
11 32 46 12 19036 
11 33 2 13 19036 
11 33 16 12 19036 
11 33 32 13 19036 
11 33 46 12 19036 
