ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/30 14:51      8672  1030
----A 2021/10/30 10:09    128000  10300954
----A 2021/10/30 10:27    128000  10301011
----A 2021/10/30 10:43    128000  10301028
----A 2021/10/30 11:01    128000  10301045
----A 2021/10/30 11:17    128000  10301102
----A 2021/10/30 11:35    128000  10301119
----A 2021/10/30 11:51    128000  10301136
----A 2021/10/30 12:09    128000  10301153
----A 2021/10/30 12:25    128000  10301210
----A 2021/10/30 12:43    128000  10301227
----A 2021/10/30 12:59    128000  10301244
----A 2021/10/30 13:17    128000  10301301
----A 2021/10/30 13:33    128000  10301318
----A 2021/10/30 13:51    128000  10301335
----A 2021/10/30 14:07    128000  10301352
----A 2021/10/30 14:25    128000  10301409
----A 2021/10/30 14:41    128000  10301426
----A 2021/10/30 14:43      2560  10301443

  19 File(s),   2187232 bytes total
   0 Dir(s),     998368K bytes free

/> 
read 1030
read 1030
<CR>Time:2021/10/30 14:43
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 38 17 13 16150 
9 38 32 12 16580 
9 38 47 13 16948 
9 39 2 12 17071 
9 39 17 13 17071 
9 39 32 12 17071 
9 39 47 13 17071 
9 40 2 12 17071 
9 40 17 13 17071 
9 40 32 12 17071 
9 40 47 13 17071 
9 41 2 12 17071 
9 41 17 13 17071 
9 41 32 12 17071 
9 41 47 13 17071 
9 42 2 12 17071 
9 42 17 13 17010 
9 42 32 12 17010 
9 42 47 13 17010 
9 43 2 12 17071 
9 43 17 13 17071 
9 43 32 12 17010 
9 43 47 13 17071 
9 44 2 12 17010 
9 44 17 13 17010 
9 44 32 12 17010 
9 44 47 13 17010 
9 45 2 12 17010 
9 45 17 13 17010 
9 45 32 12 17010 
9 45 47 13 17010 
9 46 2 12 17010 
9 46 17 13 17010 
9 46 32 12 17010 
9 46 47 13 17010 
9 47 2 12 17010 
9 47 17 13 17010 
9 47 32 12 17010 
9 47 47 13 17010 
9 48 2 12 17010 
9 48 17 13 17010 
9 48 32 12 17010 
9 48 47 13 17010 
9 49 2 12 17010 
9 49 17 13 17010 
9 49 32 12 17010 
9 49 47 13 17010 
9 50 2 12 17010 
9 50 17 13 17010 
9 50 32 12 17010 
9 50 47 13 17010 
9 51 2 12 17010 
9 51 17 13 17010 
9 51 32 12 17010 
9 51 47 13 17010 
9 52 2 12 17010 
9 52 17 13 17010 
9 54 47 12 17010 
9 55 3 13 17010 
9 55 17 12 17010 
9 55 33 13 17010 
9 55 47 12 17010 
9 56 3 13 17010 
9 56 17 12 17010 
9 56 33 13 17010 
9 56 47 12 17010 
9 57 3 13 17010 
9 57 17 12 17010 
9 57 33 13 17010 
9 57 47 12 17010 
9 58 3 13 17010 
9 58 17 12 17010 
9 58 33 13 17010 
9 58 47 12 17010 
9 59 3 13 17010 
9 59 17 12 17010 
9 59 33 13 17010 
9 59 47 12 17010 
10 0 3 13 17010 
10 0 17 12 17010 
10 0 33 13 17010 
10 0 47 12 17010 
10 1 3 13 17010 
10 1 17 12 17010 
10 1 33 13 17010 
10 1 47 12 17010 
10 2 3 13 17010 
10 2 17 12 17010 
10 2 33 13 17010 
10 2 47 12 17010 
10 3 3 13 17010 
10 3 17 12 17010 
10 3 33 13 17010 
10 3 47 12 17010 
10 4 3 13 17010 
10 4 17 12 17010 
10 4 33 13 17010 
10 4 47 12 17010 
10 5 3 13 17010 
10 5 17 12 17010 
10 5 33 13 17010 
10 5 47 12 17010 
10 6 3 13 17010 
10 6 17 12 17010 
10 6 33 13 17010 
10 6 47 12 17010 
10 7 3 13 17010 
10 7 17 12 17010 
10 7 33 13 17010 
10 7 47 12 17010 
10 8 3 13 17010 
10 8 17 12 17010 
10 8 33 13 17010 
10 8 47 12 17010 
10 9 3 13 17010 
10 9 17 12 17010 
10 11 47 12 17010 
10 12 3 13 17010 
10 12 17 12 17010 
10 12 33 13 17010 
10 12 47 12 17010 
10 13 3 13 17010 
10 13 17 12 17010 
10 13 33 13 17010 
10 13 49 13 17010 
10 14 3 12 17010 
10 14 19 13 17010 
10 14 33 12 17010 
10 14 49 13 17010 
10 15 3 12 17010 
10 15 19 13 17010 
10 15 33 12 17010 
10 15 49 13 17010 
10 16 3 12 17010 
10 16 19 13 17010 
10 16 33 12 17010 
10 16 49 13 17010 
10 17 3 12 17010 
10 17 19 13 17010 
10 17 33 12 17010 
10 17 49 13 17010 
10 18 3 12 17010 
10 18 19 13 17010 
10 18 33 12 17010 
10 18 49 13 17010 
10 19 3 12 17010 
10 19 19 13 17010 
10 19 33 12 17010 
10 19 49 13 17010 
10 20 3 12 17010 
10 20 19 13 17010 
10 20 33 12 17010 
10 20 49 13 17010 
10 21 3 12 17010 
10 21 19 13 17010 
10 21 33 12 17010 
10 21 49 13 17010 
10 22 3 12 17010 
10 22 19 13 17010 
10 22 33 12 17010 
10 22 49 13 17010 
10 23 3 12 17010 
10 23 19 13 17010 
10 23 33 12 17010 
10 23 49 13 17010 
10 24 3 12 17010 
10 24 19 13 17010 
10 24 33 12 17010 
10 24 49 13 17010 
10 25 3 12 17010 
10 25 19 13 17010 
10 25 33 12 17010 
10 25 49 13 17010 
10 26 3 12 17010 
10 26 19 13 17010 
10 28 49 13 17010 
10 29 3 12 17010 
10 29 19 13 17010 
10 29 33 12 17010 
10 29 49 13 17010 
10 30 3 12 17010 
10 30 19 13 17010 
10 30 33 12 17010 
10 30 49 13 17010 
10 31 3 12 17010 
10 31 19 13 17010 
10 31 33 12 17010 
10 31 49 13 17010 
10 32 3 12 17010 
10 32 19 13 17010 
10 32 33 12 17010 
10 32 49 13 17010 
10 33 3 12 17010 
10 33 19 13 17010 
10 33 33 12 17010 
10 33 49 13 17010 
10 34 3 12 17010 
10 34 19 13 17010 
10 34 33 12 17010 
10 34 49 13 17010 
10 35 3 12 17010 
10 35 19 13 17010 
10 35 33 12 17010 
10 35 49 13 17010 
10 36 3 12 17010 
10 36 19 13 17010 
10 36 33 12 17010 
10 36 49 13 17010 
10 37 3 12 17010 
10 37 19 13 17010 
10 37 33 12 17010 
10 37 49 13 17010 
10 38 3 12 17010 
10 38 19 13 17010 
10 38 33 12 17010 
10 38 49 13 17010 
10 39 3 12 17010 
10 39 19 13 17010 
10 39 33 12 17010 
10 39 49 13 17010 
10 40 3 12 17010 
10 40 19 13 17010 
10 40 33 12 17010 
10 40 49 13 17010 
10 41 3 12 17010 
10 41 19 13 17010 
10 41 33 12 17010 
10 41 49 13 17010 
10 42 3 12 17010 
10 42 19 13 17010 
10 42 33 12 17010 
10 42 49 13 17010 
10 43 3 12 17010 
10 43 19 13 17010 
10 45 49 13 17010 
10 46 3 12 17010 
10 46 19 13 17010 
10 46 33 12 17010 
10 46 49 13 17010 
10 47 3 12 17010 
10 47 19 13 17010 
10 47 33 12 17010 
10 47 49 13 17010 
10 48 3 12 17010 
10 48 19 13 17010 
10 48 33 12 17010 
10 48 49 13 17010 
10 49 3 12 17010 
10 49 19 13 17010 
10 49 33 12 17010 
10 49 49 13 17010 
10 50 3 12 17010 
10 50 19 13 17010 
10 50 33 12 17010 
10 50 49 13 17010 
10 51 3 12 17010 
10 51 19 13 17010 
10 51 33 12 17010 
10 51 49 13 17010 
10 52 3 12 17010 
10 52 19 13 17010 
10 52 33 12 17010 
10 52 49 13 17010 
10 53 3 12 17010 
10 53 19 13 17010 
10 53 33 12 17010 
10 53 49 13 17010 
10 54 3 12 17010 
10 54 19 13 17010 
10 54 33 12 17010 
10 54 49 13 17010 
10 55 3 12 17010 
10 55 19 13 17010 
10 55 33 12 17010 
10 55 49 13 17010 
10 56 3 12 17010 
10 56 19 13 17010 
10 56 33 12 17010 
10 56 49 13 17010 
10 57 3 12 17010 
10 57 19 13 17010 
10 57 33 12 17010 
10 57 49 13 17010 
10 58 3 12 17010 
10 58 19 13 17010 
10 58 33 12 17010 
10 58 49 13 17010 
10 59 3 12 17010 
10 59 19 13 17010 
10 59 33 12 17010 
10 59 49 13 17010 
11 0 3 12 17010 
11 0 19 13 17010 
11 2 49 13 17010 
11 3 3 12 17010 
11 3 19 13 17010 
11 3 33 12 17010 
11 3 49 13 17010 
11 4 3 12 17010 
11 4 19 13 17010 
11 4 33 12 17010 
11 4 49 13 17010 
11 5 3 12 17010 
11 5 19 13 17010 
11 5 33 12 17010 
11 5 49 13 17010 
11 6 3 12 17010 
11 6 19 13 17010 
11 6 33 12 17010 
11 6 49 13 17010 
11 7 3 12 17010 
11 7 19 13 17010 
11 7 33 12 17010 
11 7 49 13 17010 
11 8 3 12 17010 
11 8 19 13 17010 
11 8 33 12 17010 
11 8 49 13 17010 
11 9 3 12 17010 
11 9 19 13 17010 
11 9 33 12 17010 
11 9 49 13 17010 
11 10 3 12 17010 
11 10 19 13 17010 
11 10 33 12 17010 
11 10 49 13 17010 
11 11 3 12 17010 
11 11 19 13 17010 
11 11 33 12 17010 
11 11 49 13 17010 
11 12 3 12 17010 
11 12 19 13 17010 
11 12 33 12 17010 
11 12 49 13 17010 
11 13 3 12 17010 
11 13 19 13 17010 
