ls
ls

<CR>
         TIME          Size       File name 
----A 2021/10/30 14:51      8672  1030
----A 2021/10/30 10:09    128000  10300954
----A 2021/10/30 10:27    128000  10301011
----A 2021/10/30 10:43    128000  10301028
----A 2021/10/30 11:01    128000  10301045
----A 2021/10/30 11:17    128000  10301102
----A 2021/10/30 11:35    128000  10301119
----A 2021/10/30 11:51    128000  10301136
----A 2021/10/30 12:09    128000  10301153
----A 2021/10/30 12:25    128000  10301210
----A 2021/10/30 12:43    128000  10301227
----A 2021/10/30 12:59    128000  10301244
----A 2021/10/30 13:17    128000  10301301
----A 2021/10/30 13:33    128000  10301318
----A 2021/10/30 13:51    128000  10301335
----A 2021/10/30 14:07    128000  10301352
----A 2021/10/30 14:25    128000  10301409
----A 2021/10/30 14:41    128000  10301426
----A 2021/10/30 14:43      2560  10301443
----A 2021/10/31 14:41      8480  1031
----A 2021/10/31 10:11    128000  10310953
----A 2021/10/31 10:27    128000  10311010
----A 2021/10/31 10:43    128000  10311027
----A 2021/10/31 11:00    128000  10311044
----A 2021/10/31 11:17    128000  10311101
----A 2021/10/31 11:34    128000  10311118
----A 2021/10/31 11:51    128000  10311136
----A 2021/10/31 12:08    128000  10311153
----A 2021/10/31 12:25    128000  10311210
----A 2021/10/31 12:42    128000  10311227
----A 2021/10/31 12:59    128000  10311244
----A 2021/10/31 13:16    128000  10311301
----A 2021/10/31 13:33    128000  10311318
----A 2021/10/31 13:50    128000  10311335
----A 2021/10/31 14:07    128000  10311352
----A 2021/10/31 14:24    128000  10311409
----A 2021/10/31 14:41    128000  10311426
----A 2021/10/31 14:43      2560  10311443
----A 2021/11/01 15:00      9648  1101
----A 2021/11/01 09:46    128000  11010929
----A 2021/11/01 10:03    128000  11010946
----A 2021/11/01 10:18    128000  11011003
----A 2021/11/01 10:35    128000  11011020
----A 2021/11/01 10:54    128000  11011037
----A 2021/11/01 11:11    128000  11011054
----A 2021/11/01 11:26    128000  11011111
----A 2021/11/01 11:43    128000  11011128
----A 2021/11/01 12:03    128000  11011145
----A 2021/11/01 12:19    128000  11011202
----A 2021/11/01 12:35    128000  11011219
----A 2021/11/01 12:51    128000  11011236
----A 2021/11/01 13:11    128000  11011253
----A 2021/11/01 13:27    128000  11011310
----A 2021/11/01 13:43    128000  11011327
----A 2021/11/01 13:59    128000  11011344
----A 2021/11/01 14:19    128000  11011401
----A 2021/11/01 14:35    128000  11011418
----A 2021/11/01 14:51    128000  11011435
----A 2021/11/01 14:55      2560  11011452
----A 2021/11/02 13:31      6888  1102
----A 2021/11/02 09:55    128000  11020940
----A 2021/11/02 10:14    128000  11020957
----A 2021/11/02 10:31    128000  11021014
----A 2021/11/02 10:46    128000  11021031
----A 2021/11/02 11:03    128000  11021048
----A 2021/11/02 11:22    128000  11021105
----A 2021/11/02 11:39    128000  11021122
----A 2021/11/02 11:54    128000  11021139
----A 2021/11/02 12:11    128000  11021156
----A 2021/11/02 12:30    128000  11021213
----A 2021/11/02 12:47    128000  11021230
----A 2021/11/02 13:02    128000  11021247
----A 2021/11/02 13:19    128000  11021304
----A 2021/11/02 13:23      2560  11021321

  74 File(s),   8491928 bytes total
   0 Dir(s),     992000K bytes free

/> 
read 1102
read 1102
<CR>Time:2021/11/02 13:23 13:23
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 24 40 13 16580 
9 24 54 12 17010 
9 25 10 13 17071 
9 25 24 12 17071 
9 25 40 13 17071 
9 25 54 12 17071 
9 26 10 13 17071 
9 26 24 12 17071 
9 26 40 13 17071 
9 26 54 12 17071 
9 27 10 13 17071 
9 27 24 12 17071 
9 27 40 13 17071 
9 27 54 12 17071 
9 28 10 13 17071 
9 28 24 12 17071 
9 28 40 13 17071 
9 28 54 12 17071 
9 29 10 13 17071 
9 29 24 12 17071 
9 29 40 13 17071 
9 29 54 12 17071 
9 30 10 13 17071 
9 30 24 12 17071 
9 30 40 13 17071 
9 30 54 12 17071 
9 31 10 13 17071 
9 31 24 12 17071 
9 31 40 13 17071 
9 31 54 12 17071 
9 32 10 13 17071 
9 32 24 12 17071 
9 32 40 13 17071 
9 32 54 12 17071 
9 33 10 13 17071 
9 33 24 12 17071 
9 33 40 13 17071 
9 33 54 12 17071 
9 34 10 13 17071 
9 34 24 12 17071 
9 34 40 13 17071 
9 34 54 12 17071 
9 35 10 13 17071 
9 35 24 12 17071 
9 35 40 13 17071 
9 35 54 12 17071 
9 36 10 13 17071 
9 36 24 12 17071 
9 36 40 13 17071 
9 36 54 12 17071 
9 37 10 13 17071 
9 37 24 12 17071 
9 37 40 13 17071 
9 37 54 12 17071 
9 38 10 13 17071 
9 38 24 12 17071 
9 38 40 13 17071 
9 41 11 12 17071 
9 41 26 13 17071 
9 41 41 12 17071 
9 41 56 13 17071 
9 42 11 12 17071 
9 42 26 13 17071 
9 42 41 12 17071 
9 42 56 13 17071 
9 43 11 12 17071 
9 43 26 13 17071 
9 43 41 12 17071 
9 43 56 13 17071 
9 44 11 12 17071 
9 44 26 13 17071 
9 44 41 12 17071 
9 44 56 13 17071 
9 45 11 12 17071 
9 45 26 13 17071 
9 45 41 12 17071 
9 45 56 13 17071 
9 46 11 12 17071 
9 46 26 13 17071 
9 46 41 12 17071 
9 46 56 13 17071 
9 47 11 12 17071 
9 47 26 13 17071 
9 47 41 12 17071 
9 47 56 13 17071 
9 48 11 12 17071 
9 48 26 13 17071 
9 48 41 12 17071 
9 48 56 13 17071 
9 49 11 12 17071 
9 49 26 13 17071 
9 49 41 12 17071 
9 49 56 13 17071 
9 50 11 12 17071 
9 50 26 13 17071 
9 50 42 13 17071 
9 50 56 12 17071 
9 51 12 13 17071 
9 51 26 12 17071 
9 51 42 13 17071 
9 51 56 12 17071 
9 52 12 13 17071 
9 52 26 12 17071 
9 52 42 13 17010 
9 52 56 12 17071 
9 53 12 13 17071 
9 53 26 12 17071 
9 53 42 13 17071 
9 53 56 12 17071 
9 54 12 13 17071 
9 54 26 12 17071 
9 54 42 13 17071 
9 54 56 12 17071 
9 55 12 13 17071 
9 55 26 12 17071 
9 55 42 13 17071 
9 58 12 13 17071 
9 58 26 12 17071 
9 58 42 13 17071 
9 58 56 12 17071 
9 59 12 13 17071 
9 59 26 12 17071 
9 59 42 13 17071 
9 59 56 12 17071 
10 0 12 13 17071 
10 0 26 12 17071 
10 0 42 13 17071 
10 0 56 12 17071 
10 1 12 13 17071 
10 1 26 12 17071 
10 1 42 13 17071 
10 1 56 12 17071 
10 2 12 13 17071 
10 2 26 12 17071 
10 2 42 13 17071 
10 2 56 12 17071 
10 3 12 13 17071 
10 3 26 12 17071 
10 3 42 13 17071 
10 3 56 12 17071 
10 4 12 13 17071 
10 4 26 12 17071 
10 4 42 13 17071 
10 4 56 12 17071 
10 5 12 13 17071 
10 5 26 12 17071 
10 5 42 13 17071 
10 5 56 12 17071 
10 6 12 13 17071 
10 6 26 12 17071 
10 6 42 13 17071 
10 6 56 12 17071 
10 7 12 13 17071 
10 7 26 12 17071 
10 7 42 13 17071 
10 7 56 12 17071 
10 8 12 13 17071 
10 8 26 12 17071 
10 8 42 13 17071 
10 8 56 12 17071 
10 9 12 13 17071 
10 9 26 12 17071 
10 9 42 13 17071 
10 9 56 12 17071 
10 10 12 13 17071 
10 10 26 12 17071 
10 10 42 13 17071 
10 10 56 12 17071 
10 11 12 13 17071 
10 11 26 12 17071 
10 11 42 13 17071 
10 11 56 12 17071 
10 12 12 13 17071 
10 12 26 12 17010 
10 12 42 13 17071 
10 15 12 13 17071 
10 15 26 12 17071 
10 15 42 13 17071 
10 15 56 12 17071 
10 16 12 13 17010 
10 16 26 12 17071 
10 16 42 13 17071 
10 16 56 12 17071 
10 17 12 13 17071 
10 17 26 12 17071 
10 17 42 13 17071 
10 17 56 12 17071 
10 18 12 13 17071 
10 18 26 12 17071 
10 18 42 13 17071 
10 18 56 12 17071 
10 19 12 13 17010 
10 19 26 12 17071 
10 19 42 13 17071 
10 19 56 12 17071 
10 20 12 13 17071 
10 20 26 12 17071 
10 20 42 13 17071 
10 20 56 12 17071 
10 21 12 13 17071 
10 21 26 12 17071 
10 21 42 13 17071 
10 21 56 12 17071 
10 22 12 13 17071 
10 22 26 12 17071 
10 22 42 13 17071 
10 22 56 12 17071 
10 23 12 13 17071 
10 23 26 12 17071 
10 23 42 13 17071 
10 23 56 12 17010 
10 24 12 13 17071 
10 24 26 12 17071 
10 24 42 13 17071 
10 24 56 12 17071 
10 25 12 13 17071 
10 25 26 12 17071 
10 25 42 13 17010 
10 25 56 12 17071 
10 26 12 13 17010 
10 26 26 12 17071 
10 26 42 13 17071 
10 26 56 12 17071 
10 27 12 13 17071 
10 27 26 12 17071 
10 27 42 13 17071 
10 27 56 12 17071 
10 28 12 13 17071 
10 28 26 12 17071 
10 28 42 13 17071 
10 28 56 12 17071 
10 29 12 13 17071 
10 29 26 12 17071 
10 29 42 13 17071 
10 32 12 13 17071 
10 32 26 12 17071 
10 32 42 13 17071 
10 32 56 12 17071 
10 33 12 13 17071 
