ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/30 14:49      8680  1030
----A 2021/10/30 10:09    128000  10300954
----A 2021/10/30 10:26    128000  10301011
----A 2021/10/30 10:43    128000  10301028
----A 2021/10/30 11:00    128000  10301045
----A 2021/10/30 11:17    128000  10301102
----A 2021/10/30 11:34    128000  10301119
----A 2021/10/30 11:51    128000  10301136
----A 2021/10/30 12:08    128000  10301153
----A 2021/10/30 12:25    128000  10301210
----A 2021/10/30 12:42    128000  10301227
----A 2021/10/30 12:59    128000  10301244
----A 2021/10/30 13:16    128000  10301301
----A 2021/10/30 13:33    128000  10301318
----A 2021/10/30 13:50    128000  10301335
----A 2021/10/30 14:07    128000  10301352
----A 2021/10/30 14:24    128000  10301409
----A 2021/10/30 14:41    128000  10301426
----A 2021/10/30 14:43      2560  10301443
----A 2021/10/31 14:43      8488  1031
----A 2021/10/31 10:10    128000  10310953
----A 2021/10/31 10:27    128000  10311010
----A 2021/10/31 10:42    128000  10311027
----A 2021/10/31 10:59    128000  10311044
----A 2021/10/31 11:18    128000  10311101
----A 2021/10/31 11:35    128000  10311118
----A 2021/10/31 11:50    128000  10311135
----A 2021/10/31 12:07    128000  10311152
----A 2021/10/31 12:26    128000  10311209
----A 2021/10/31 12:43    128000  10311226
----A 2021/10/31 12:59    128000  10311243
----A 2021/10/31 13:15    128000  10311300
----A 2021/10/31 13:35    128000  10311317
----A 2021/10/31 13:51    128000  10311334
----A 2021/10/31 14:07    128000  10311351
----A 2021/10/31 14:23    128000  10311408
----A 2021/10/31 14:43    126080  10311425
----A 2021/11/01 14:59      9656  1101
----A 2021/11/01 09:45    128000  11010929
----A 2021/11/01 10:01    128000  11010946
----A 2021/11/01 10:19    128000  11011003
----A 2021/11/01 10:35    128000  11011020
----A 2021/11/01 10:53    128000  11011037
----A 2021/11/01 11:09    128000  11011054
----A 2021/11/01 11:27    128000  11011111
----A 2021/11/01 11:43    128000  11011128
----A 2021/11/01 12:01    128000  11011145
----A 2021/11/01 12:17    128000  11011202
----A 2021/11/01 12:35    128000  11011219
----A 2021/11/01 12:51    128000  11011236
----A 2021/11/01 13:09    128000  11011253
----A 2021/11/01 13:27    128000  11011310
----A 2021/11/01 13:42    128000  11011327
----A 2021/11/01 13:59    128000  11011344
----A 2021/11/01 14:18    128000  11011401
----A 2021/11/01 14:35    128000  11011418
----A 2021/11/01 14:50    128000  11011435
----A 2021/11/01 14:53      2560  11011452

  58 File(s),   6814024 bytes total
   0 Dir(s),     993712K bytes free

/> 
read 1101
read 1101
<CR>Time:2021/11/01 14:53
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 13 10 13 11659 
9 13 24 12 16190 
9 13 40 13 16613 
9 13 54 12 17096 
9 14 10 13 17096 
9 14 24 12 17096 
9 14 40 13 17036 
9 14 54 12 17036 
9 15 10 13 17036 
9 15 24 12 17036 
9 15 40 13 17036 
9 15 54 12 17036 
9 16 10 13 17036 
9 16 24 12 17036 
9 16 40 13 17036 
9 16 54 12 17036 
9 17 10 13 17036 
9 17 24 12 17036 
9 17 40 13 17036 
9 17 54 12 17036 
9 18 10 13 17036 
9 18 24 12 17036 
9 18 40 13 17036 
9 18 54 12 17036 
9 19 10 13 17036 
9 19 24 12 17036 
9 19 40 13 17036 
9 19 54 12 17036 
9 20 10 13 17036 
9 20 24 12 17036 
9 20 40 13 17036 
9 20 54 12 17036 
9 21 10 13 17036 
9 21 24 12 17036 
9 21 40 13 17036 
9 21 54 12 17036 
9 22 10 13 17036 
9 22 24 12 17036 
9 22 40 13 17036 
9 22 54 12 17036 
9 23 10 13 17036 
9 23 24 12 17036 
9 23 40 13 17036 
9 23 54 12 17036 
9 24 10 13 17036 
9 24 24 12 17036 
9 24 40 13 16975 
9 24 54 12 16975 
9 25 10 13 17036 
9 25 24 12 16975 
9 25 40 13 17036 
9 25 54 12 17036 
9 26 10 13 17036 
9 26 24 12 17036 
9 26 40 13 16975 
9 26 54 12 16975 
9 27 10 13 16975 
9 27 24 12 16975 
9 29 56 13 16975 
9 30 10 12 16975 
9 30 26 13 16975 
9 30 40 12 16975 
9 30 56 13 16975 
9 31 10 12 16975 
9 31 26 13 16975 
9 31 40 12 16975 
9 31 56 13 16975 
9 32 10 12 16975 
9 32 26 13 16975 
9 32 40 12 16975 
9 32 56 13 16975 
9 33 10 12 16975 
9 33 26 13 16975 
9 33 40 12 16975 
9 33 56 13 16975 
9 34 10 12 16975 
9 34 26 13 16975 
9 34 40 12 16975 
9 34 56 13 16975 
9 35 10 12 16975 
9 35 26 13 16975 
9 35 40 12 16975 
9 35 56 13 16975 
9 36 10 12 16975 
9 36 26 13 16975 
9 36 40 12 16975 
9 36 56 13 16975 
9 37 10 12 16975 
9 37 26 13 16975 
9 37 40 12 16975 
9 37 56 13 16975 
9 38 10 12 16975 
9 38 26 13 16975 
9 38 40 12 16975 
9 38 56 13 16975 
9 39 10 12 16975 
9 39 26 13 16975 
9 39 40 12 16975 
9 39 56 13 16975 
9 40 10 12 16975 
9 40 26 13 16975 
9 40 40 12 16975 
9 40 56 13 16975 
9 41 10 12 16975 
9 41 26 13 16975 
9 41 40 12 16975 
9 41 56 13 16975 
9 42 10 12 16975 
9 42 26 13 16975 
9 42 40 12 16975 
9 42 56 13 16975 
9 43 10 12 16975 
9 43 26 13 16975 
9 43 40 12 16975 
9 43 56 13 16975 
9 44 10 12 16975 
9 44 26 13 16975 
9 46 56 13 16975 
9 47 10 12 16975 
9 47 26 13 16975 
9 47 40 12 16975 
9 47 56 13 16975 
9 48 10 12 16975 
9 48 26 13 16975 
9 48 40 12 16975 
9 48 56 13 16975 
9 49 10 12 16975 
9 49 26 13 16975 
9 49 40 12 16975 
9 49 56 13 16975 
9 50 10 12 16975 
9 50 26 13 16975 
9 50 40 12 16975 
9 50 56 13 16975 
9 51 10 12 16975 
9 51 26 13 16975 
9 51 40 12 16975 
9 51 56 13 16975 
9 52 10 12 16975 
9 52 26 13 16975 
9 52 40 12 16975 
9 52 56 13 16975 
9 53 10 12 16975 
9 53 26 13 16975 
9 53 40 12 16975 
9 53 56 13 16975 
9 54 10 12 16975 
9 54 26 13 16975 
9 54 40 12 16975 
