ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/30 14:51      8672  1030
----A 2021/10/30 10:09    128000  10300954
----A 2021/10/30 10:27    128000  10301011
----A 2021/10/30 10:43    128000  10301028
----A 2021/10/30 11:01    128000  10301045
----A 2021/10/30 11:17    128000  10301102
----A 2021/10/30 11:35    128000  10301119
----A 2021/10/30 11:51    128000  10301136
----A 2021/10/30 12:09    128000  10301153
----A 2021/10/30 12:25    128000  10301210
----A 2021/10/30 12:43    128000  10301227
----A 2021/10/30 12:59    128000  10301244
----A 2021/10/30 13:17    128000  10301301
----A 2021/10/30 13:33    128000  10301318
----A 2021/10/30 13:51    128000  10301335
----A 2021/10/30 14:07    128000  10301352
----A 2021/10/30 14:25    128000  10301409
----A 2021/10/30 14:41    128000  10301426
----A 2021/10/30 14:43      2560  10301443
----A 2021/10/31 14:41      8480  1031
----A 2021/10/31 10:11    128000  10310953
----A 2021/10/31 10:27    128000  10311010
----A 2021/10/31 10:43    128000  10311027
----A 2021/10/31 11:00    128000  10311044
----A 2021/10/31 11:17    128000  10311101
----A 2021/10/31 11:34    128000  10311118
----A 2021/10/31 11:51    128000  10311136
----A 2021/10/31 12:08    128000  10311153
----A 2021/10/31 12:25    128000  10311210
----A 2021/10/31 12:42    128000  10311227
----A 2021/10/31 12:59    128000  10311244
----A 2021/10/31 13:16    128000  10311301
----A 2021/10/31 13:33    128000  10311318
----A 2021/10/31 13:50    128000  10311335
----A 2021/10/31 14:07    128000  10311352
----A 2021/10/31 14:24    128000  10311409
----A 2021/10/31 14:41    128000  10311426
----A 2021/10/31 14:43      2560  10311443
----A 2021/11/01 15:00      9648  1101
----A 2021/11/01 09:46    128000  11010929
----A 2021/11/01 10:03    128000  11010946
----A 2021/11/01 10:18    128000  11011003
----A 2021/11/01 10:35    128000  11011020
----A 2021/11/01 10:54    128000  11011037
----A 2021/11/01 11:11    128000  11011054
----A 2021/11/01 11:26    128000  11011111
----A 2021/11/01 11:43    128000  11011128
----A 2021/11/01 12:03    128000  11011145
----A 2021/11/01 12:19    128000  11011202
----A 2021/11/01 12:35    128000  11011219
----A 2021/11/01 12:51    128000  11011236
----A 2021/11/01 13:11    128000  11011253
----A 2021/11/01 13:27    128000  11011310
----A 2021/11/01 13:43    128000  11011327
----A 2021/11/01 13:59    128000  11011344
----A 2021/11/01 14:19    128000  11011401
----A 2021/11/01 14:35    128000  11011418
----A 2021/11/01 14:51    128000  11011435
----A 2021/11/01 14:55      2560  11011452

  59 File(s),   6818480 bytes total
   0 Dir(s),     993696K bytes free

/> 
read1101
<LF>
read1101
<CR>Bad command!

/> 
read 1101
read 1101
<CR>Time:2021/11/01 14:55
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 13 45 12 16334 
9 14 0 13 16764 
9 14 15 12 17071 
9 14 30 13 17133 
9 14 45 12 17071 
9 15 0 13 17010 
9 15 15 12 17071 
9 15 30 13 17071 
9 15 45 12 17071 
9 16 0 13 17071 
9 16 15 12 17071 
9 16 30 13 17071 
9 16 45 12 17071 
9 17 0 13 17071 
9 17 15 12 17071 
9 17 30 13 17071 
9 17 45 12 17071 
9 18 0 13 17071 
9 18 15 12 17071 
9 18 30 13 17071 
9 18 45 12 17071 
9 19 0 13 17071 
9 19 15 12 17071 
9 19 30 13 17071 
9 19 45 12 17010 
9 20 0 13 17010 
9 20 15 12 17010 
9 20 30 13 17071 
9 20 45 12 17010 
9 21 0 13 17010 
9 21 15 12 17010 
9 21 30 13 17010 
9 21 45 12 17010 
9 22 0 13 17010 
9 22 15 12 17010 
9 22 30 13 17010 
9 22 45 12 17010 
9 23 0 13 17010 
9 23 15 12 17010 
9 23 30 13 17010 
9 23 45 12 17010 
9 24 0 13 17010 
9 24 15 12 17010 
9 24 30 13 17010 
9 24 45 12 17010 
9 25 0 13 17010 
9 25 15 12 17010 
9 25 30 13 17010 
9 25 45 12 17010 
9 26 0 13 17010 
9 26 15 12 17010 
9 26 30 13 17010 
9 26 45 12 17010 
9 27 0 13 17010 
9 27 15 12 17010 
9 27 30 13 17010 
9 27 45 12 17010 
9 30 16 12 17010 
9 30 32 13 17010 
9 30 46 12 17010 
9 31 2 13 17010 
9 31 16 12 17010 
9 31 32 13 17010 
9 31 46 12 17010 
9 32 2 13 17010 
9 32 16 12 17010 
9 32 32 13 17010 
9 32 46 12 17010 
9 33 2 13 17010 
9 33 16 12 17010 
9 33 32 13 17010 
9 33 46 12 17010 
9 34 2 13 17010 
9 34 16 12 17010 
9 34 32 13 17010 
9 34 46 12 17010 
9 35 2 13 17010 
9 35 16 12 17010 
9 35 32 13 17010 
9 35 46 12 17010 
9 36 2 13 17010 
9 36 16 12 17010 
9 36 32 13 17010 
9 36 46 12 17010 
9 37 2 13 17010 
9 37 16 12 17010 
9 37 32 13 17010 
9 37 46 12 17010 
9 38 2 13 17010 
9 38 16 12 17010 
9 38 32 13 17010 
9 38 46 12 17010 
9 39 2 13 17010 
9 39 16 12 17010 
9 39 32 13 17010 
9 39 46 12 17010 
9 40 2 13 17010 
9 40 16 12 17010 
9 40 32 13 17010 
9 40 46 12 17010 
9 41 2 13 17010 
9 41 16 12 17010 
9 41 32 13 17010 
9 41 46 12 17010 
9 42 2 13 17010 
9 42 16 12 17010 
9 42 32 13 17010 
9 42 46 12 17010 
9 43 2 13 17010 
9 43 16 12 17010 
9 43 32 13 17010 
9 43 46 12 17010 
9 44 2 13 17010 
9 44 16 12 17010 
9 44 32 13 17010 
9 44 46 12 17010 
9 47 16 12 17010 
9 47 32 13 17010 
9 47 46 12 17010 
9 48 2 13 17010 
9 48 16 12 17010 
9 48 32 13 17010 
9 48 46 12 17010 
9 49 2 13 17010 
9 49 16 12 17010 
9 49 32 13 17010 
9 49 46 12 17010 
9 50 2 13 17010 
9 50 16 12 17010 
9 50 32 13 17010 
9 50 46 12 17010 
9 51 2 13 17010 
9 51 16 12 17010 
9 51 32 13 17010 
9 51 46 12 17010 
9 52 2 13 17010 
9 52 16 12 17010 
9 52 32 13 17010 
9 52 46 12 17010 
9 53 2 13 17010 
9 53 16 12 17010 
9 53 32 13 17010 
9 53 46 12 17010 
9 54 2 13 17010 
9 54 16 12 17010 
9 54 32 13 17010 
9 54 46 12 17010 
9 55 2 13 17010 
9 55 16 12 17010 
9 55 32 13 17010 
9 55 46 12 17010 
9 56 2 13 17010 
9 56 16 12 17010 
9 56 32 13 17010 
9 56 46 12 17010 
9 57 2 13 17010 
9 57 16 12 17010 
9 57 32 13 17010 
9 57 46 12 17010 
9 58 2 13 17010 
9 58 16 12 17010 
9 58 32 13 17010 
9 58 46 12 17010 
9 59 2 13 17010 
9 59 16 12 17010 
9 59 32 13 17010 
9 59 46 12 17010 
10 0 2 13 17010 
10 0 16 12 17010 
10 0 32 13 17010 
10 0 46 12 17010 
10 1 2 13 17010 
10 1 16 12 17010 
10 1 32 13 17010 
10 1 46 12 17010 
10 4 16 12 17010 
10 4 32 13 17010 
10 4 46 12 17010 
10 5 2 13 17010 
10 5 16 12 17010 
10 5 32 13 17010 
10 5 46 12 17010 
10 6 2 13 17010 
10 6 16 12 17010 
10 6 32 13 17010 
10 6 46 12 17010 
10 7 2 13 17010 
10 7 16 12 17010 
10 7 32 13 17010 
10 7 46 12 17010 
10 8 2 13 17010 
10 8 16 12 17010 
10 8 32 13 17010 
10 8 46 12 17010 
10 9 2 13 17010 
10 9 16 12 17010 
10 9 32 13 17010 
10 9 46 12 17010 
10 10 2 13 17010 
10 10 16 12 17010 
10 10 32 13 17010 
10 10 46 12 17010 
10 11 2 13 17010 
10 11 16 12 17010 
10 11 32 13 17010 
10 11 46 12 17010 
10 12 2 13 17010 
10 12 16 12 17010 
10 12 32 13 17010 
10 12 46 12 17010 
10 13 2 13 17010 
10 13 16 12 17010 
10 13 32 13 17010 
10 13 46 12 17010 
10 14 2 13 17010 
10 14 16 12 17010 
10 14 32 13 17010 
10 14 46 12 17010 
10 15 2 13 17010 
10 15 16 12 17010 
10 15 32 13 17010 
10 15 46 12 17010 
10 16 2 13 17010 
10 16 16 12 17010 
10 16 32 13 17010 
10 16 46 12 17010 
10 17 2 13 17010 
10 17 16 12 17010 
10 17 32 13 17010 
10 17 46 12 17010 
10 18 2 13 17010 
10 18 16 12 17010 
10 18 32 13 17010 
10 18 46 12 17010 
10 21 16 12 17010 
10 21 32 13 17010 
10 21 46 12 17010 
10 22 2 13 17010 
10 22 16 12 17010 
10 22 32 13 17010 
10 22 46 12 17010 
10 23 2 13 17010 
10 23 16 12 17010 
10 23 32 13 17010 
10 23 46 12 17010 
10 24 2 13 17010 
10 24 16 12 17010 
10 24 32 13 17010 
10 24 46 12 17010 
10 25 2 13 17010 
10 25 16 12 17010 
10 25 32 13 17010 
10 25 46 12 17010 
10 26 2 13 17010 
10 26 16 12 17010 
10 26 32 13 17010 
10 26 46 12 17010 
10 27 2 13 17010 
10 27 16 12 17010 
10 27 32 13 17010 
10 27 46 12 17010 
10 28 2 13 17010 
10 28 16 12 17010 
10 28 32 13 17010 
