ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/23 11:11       744  1023
----A 2021/10/24 14:33      7464  1024
----A 2021/10/24 10:53    128000  10241037
----A 2021/10/24 11:10    128000  10241054
----A 2021/10/24 11:27    128000  10241111
----A 2021/10/24 11:44    128000  10241129
----A 2021/10/24 12:01    128000  10241146
----A 2021/10/24 12:18    128000  10241203
----A 2021/10/24 12:35    128000  10241220
----A 2021/10/24 12:52    128000  10241237
----A 2021/10/24 13:09    128000  10241254
----A 2021/10/24 13:26    128000  10241311
----A 2021/10/24 13:43    128000  10241328
----A 2021/10/24 14:00    128000  10241345
----A 2021/10/24 14:17    128000  10241402
----A 2021/10/24 14:19      2560  10241419
----A 2021/10/25 14:55      8352  1025
----A 2021/10/25 10:12    128000  10250957
----A 2021/10/25 10:29    128000  10251014
----A 2021/10/25 10:46    128000  10251031
----A 2021/10/25 11:03    128000  10251048
----A 2021/10/25 11:20    128000  10251105
----A 2021/10/25 11:37    128000  10251122
----A 2021/10/25 11:54    128000  10251139
----A 2021/10/25 12:11    128000  10251156
----A 2021/10/25 12:28    128000  10251213
----A 2021/10/25 12:45    128000  10251230
----A 2021/10/25 13:02    128000  10251247
----A 2021/10/25 13:35    128000  10251304
----A 2021/10/25 13:35      2560  10251335
----A 2021/10/25 13:51    128000  10251336
----A 2021/10/25 14:08    128000  10251353
----A 2021/10/25 14:25    128000  10251410
----A 2021/10/25 14:42    128000  10251427
----A 2021/10/25 14:44      2560  10251444
----A 2021/10/26 14:43      8952  1026
----A 2021/10/26 09:54    128000  10260939
----A 2021/10/26 10:11    128000  10260956
----A 2021/10/26 10:30    128000  10261013
----A 2021/10/26 10:47    128000  10261030
----A 2021/10/26 11:02    128000  10261047
----A 2021/10/26 11:19    128000  10261104
----A 2021/10/26 11:38    128000  10261121
----A 2021/10/26 11:55    128000  10261138
----A 2021/10/26 12:10    128000  10261155
----A 2021/10/26 12:27    128000  10261212
----A 2021/10/26 12:46    128000  10261229
----A 2021/10/26 13:03    128000  10261246
----A 2021/10/26 13:18    128000  10261303
----A 2021/10/26 13:35    128000  10261320
----A 2021/10/26 13:54    128000  10261337
----A 2021/10/26 14:11    128000  10261354
----A 2021/10/26 14:26    128000  10261411
----A 2021/10/26 14:43    128000  10261428
----A 2021/10/26 14:47      2560  10261445
----A 2021/10/27 14:59      9632  1027
----A 2021/10/27 09:45    128000  10270929
----A 2021/10/27 10:01    128000  10270946
----A 2021/10/27 10:19    128000  10271003
----A 2021/10/27 10:35    128000  10271020
----A 2021/10/27 10:53    128000  10271037
----A 2021/10/27 11:09    128000  10271054
----A 2021/10/27 11:27    128000  10271111
----A 2021/10/27 11:43    128000  10271128
----A 2021/10/27 12:01    128000  10271145
----A 2021/10/27 12:17    128000  10271202
----A 2021/10/27 12:35    128000  10271219
----A 2021/10/27 12:51    128000  10271236
----A 2021/10/27 13:10    128000  10271253
----A 2021/10/27 13:27    128000  10271310
----A 2021/10/27 13:42    128000  10271327
----A 2021/10/27 13:59    128000  10271344
----A 2021/10/27 14:18    128000  10271401
----A 2021/10/27 14:35    128000  10271418
----A 2021/10/27 14:50    128000  10271435
----A 2021/10/27 14:54      2560  10271452

  76 File(s),   8495944 bytes total
   0 Dir(s),     991968K bytes free

/> 
read 1027
read 1027
<CR>Time:2021/10/27 14:54
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 13 27 12 16518 
9 13 42 13 16887 
9 13 57 12 17133 
9 14 12 13 17071 
9 14 27 12 17010 
9 14 42 13 17010 
9 14 57 12 17010 
9 15 12 13 17010 
9 15 27 12 17010 
9 15 42 13 17010 
9 15 57 12 17010 
9 16 12 13 17010 
9 16 27 12 17010 
9 16 42 13 17010 
9 16 57 12 17010 
9 17 12 13 17010 
9 17 27 12 17010 
9 17 42 13 17010 
9 17 57 12 17010 
9 18 12 13 17010 
9 18 27 12 17010 
9 18 42 13 17010 
9 18 57 12 17010 
9 19 12 13 17010 
9 19 27 12 17010 
9 19 42 13 17010 
9 19 57 12 17010 
9 20 12 13 17010 
9 20 27 12 17010 
9 20 42 13 17010 
9 20 57 12 17010 
9 21 12 13 17010 
9 21 27 12 17010 
9 21 42 13 17010 
9 21 57 12 17010 
9 22 12 13 17010 
9 22 27 12 17010 
9 22 42 13 17010 
9 22 57 12 17010 
9 23 12 13 17010 
9 23 27 12 17010 
9 23 42 13 17010 
9 23 57 12 17010 
9 24 12 13 17010 
9 24 27 12 17010 
9 24 42 13 17010 
9 24 57 12 17010 
9 25 12 13 17010 
9 25 27 12 17010 
9 25 42 13 17010 
9 25 57 12 17010 
9 26 12 13 17010 
9 26 27 12 17010 
9 26 42 13 16948 
9 26 57 12 17010 
9 27 12 13 17010 
9 27 27 12 17010 
9 29 58 12 17010 
9 30 14 13 17010 
9 30 28 12 17010 
9 30 44 13 16948 
9 30 58 12 17010 
9 31 14 13 16948 
9 31 28 12 16948 
9 31 44 13 17010 
9 31 58 12 16948 
9 32 14 13 16948 
9 32 28 12 16948 
9 32 44 13 16948 
9 32 58 12 16948 
9 33 14 13 17010 
9 33 28 12 16948 
9 33 44 13 17010 
9 33 58 12 17010 
9 34 14 13 16948 
9 34 28 12 16948 
9 34 44 13 16948 
9 34 58 12 16948 
9 35 14 13 16948 
9 35 28 12 16948 
9 35 44 13 16948 
9 35 58 12 17010 
9 36 14 13 16948 
9 36 28 12 16948 
9 36 44 13 16948 
9 36 58 12 16948 
9 37 14 13 17010 
9 37 28 12 16948 
9 37 44 13 16948 
9 37 58 12 17010 
9 38 14 13 17010 
9 38 28 12 17010 
9 38 44 13 16948 
9 38 58 12 16948 
9 39 14 13 16948 
9 39 28 12 16948 
9 39 44 13 16948 
9 39 58 12 16948 
9 40 14 13 16948 
9 40 28 12 17010 
9 40 44 13 16948 
9 40 58 12 16948 
9 41 14 13 16948 
9 41 28 12 16948 
9 41 44 13 17010 
9 41 58 12 16948 
9 42 14 13 16948 
9 42 28 12 17010 
9 42 44 13 16948 
9 42 58 12 16948 
9 43 14 13 16948 
9 43 28 12 16948 
9 43 44 13 16948 
9 43 58 12 16948 
9 44 14 13 16948 
9 44 28 12 16948 
9 46 58 12 16948 
9 47 14 13 16948 
9 47 28 12 17010 
9 47 44 13 16948 
9 47 58 12 16948 
9 48 14 13 16948 
9 48 28 12 16948 
9 48 44 13 17010 
9 48 58 12 16948 
9 49 14 13 16948 
9 49 28 12 16948 
9 49 44 13 16948 
9 49 58 12 16948 
9 50 14 13 16948 
9 50 28 12 16948 
9 50 44 13 16948 
9 50 58 12 16948 
9 51 14 13 16948 
9 51 28 12 17010 
9 51 44 13 16948 
9 51 58 12 16948 
9 52 14 13 16948 
9 52 28 12 16948 
9 52 44 13 16948 
9 52 58 12 16948 
9 53 14 13 16948 
9 53 28 12 16948 
9 53 44 13 16948 
9 53 58 12 16948 
9 54 14 13 16948 
9 54 28 12 16948 
9 54 44 13 16948 
9 54 58 12 16948 
9 55 14 13 16948 
9 55 28 12 16948 
9 55 44 13 16948 
9 55 58 12 17010 
9 56 14 13 16948 
9 56 28 12 16948 
9 56 44 13 17010 
9 56 58 12 17010 
9 57 14 13 16948 
9 57 28 12 16948 
9 57 44 13 16948 
9 57 58 12 16948 
9 58 14 13 16948 
9 58 28 12 16948 
9 58 44 13 16948 
9 58 58 12 16948 
9 59 14 13 16948 
9 59 28 12 17010 
9 59 44 13 16948 
9 59 58 12 16948 
10 0 14 13 16948 
10 0 28 12 16948 
10 0 44 13 16948 
10 0 58 12 16948 
10 1 14 13 16948 
10 1 28 12 16948 
10 3 58 12 16948 
10 4 14 13 16948 
10 4 28 12 16948 
10 4 44 13 16948 
10 4 58 12 16948 
10 5 14 13 16948 
10 5 28 12 17010 
10 5 44 13 16948 
10 5 58 12 16948 
10 6 14 13 16948 
10 6 28 12 16948 
10 6 44 13 17010 
10 6 58 12 17010 
10 7 14 13 17010 
10 7 28 12 17010 
10 7 44 13 16948 
10 7 58 12 16948 
10 8 14 13 16948 
10 8 28 12 17010 
10 8 44 13 16948 
10 8 58 12 16948 
10 9 14 13 16948 
10 9 28 12 16948 
10 9 44 13 17010 
10 9 58 12 16948 
10 10 14 13 16948 
10 10 28 12 16948 
10 10 44 13 16948 
10 10 58 12 16948 
10 11 14 13 17010 
