ls

ls
<CR>
         TIME          Size       File name 
----A 2021/10/30 14:49      8680  1030
----A 2021/10/30 10:09    128000  10300954
----A 2021/10/30 10:26    128000  10301011
----A 2021/10/30 10:43    128000  10301028
----A 2021/10/30 11:00    128000  10301045
----A 2021/10/30 11:17    128000  10301102
----A 2021/10/30 11:34    128000  10301119
----A 2021/10/30 11:51    128000  10301136
----A 2021/10/30 12:08    128000  10301153
----A 2021/10/30 12:25    128000  10301210
----A 2021/10/30 12:42    128000  10301227
----A 2021/10/30 12:59    128000  10301244
----A 2021/10/30 13:16    128000  10301301
----A 2021/10/30 13:33    128000  10301318
----A 2021/10/30 13:50    128000  10301335
----A 2021/10/30 14:07    128000  10301352
----A 2021/10/30 14:24    128000  10301409
----A 2021/10/30 14:41    128000  10301426
----A 2021/10/30 14:43      2560  10301443

  19 File(s),   2187240 bytes total
   0 Dir(s),     998368K bytes free

/> 
read 1030
read 1030
<CR>Time:2021/10/30 14:43
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 37 46 12 12626 
9 38 2 13 16432 
9 38 16 12 16613 
9 38 32 13 16975 
9 38 46 12 17036 
9 39 2 13 17036 
9 39 16 12 17036 
9 39 32 13 17036 
9 39 46 12 17036 
9 40 2 13 17036 
9 40 16 12 17036 
9 40 32 13 17036 
9 40 46 12 17036 
9 41 2 13 17036 
9 41 16 12 17036 
9 41 32 13 17036 
9 41 46 12 17036 
9 42 2 13 17036 
9 42 16 12 17036 
9 42 32 13 17036 
9 42 46 12 17036 
9 43 2 13 17036 
9 43 16 12 17036 
9 43 32 13 17036 
9 43 46 12 17036 
9 44 2 13 17036 
9 44 16 12 17036 
9 44 32 13 17036 
9 44 46 12 17036 
9 45 2 13 17036 
9 45 16 12 17036 
9 45 32 13 17036 
9 45 46 12 17036 
9 46 2 13 17036 
9 46 16 12 17036 
9 46 32 13 17036 
9 46 46 12 17036 
9 47 2 13 17036 
9 47 16 12 17036 
9 47 32 13 17036 
9 47 46 12 17036 
9 48 2 13 17036 
9 48 16 12 17036 
9 48 32 13 17036 
9 48 46 12 17036 
9 49 2 13 17036 
9 49 16 12 17036 
9 49 32 13 16975 
9 49 46 12 16975 
9 50 2 13 16975 
9 50 16 12 17036 
9 50 32 13 17036 
9 50 46 12 16975 
9 51 2 13 16975 
9 51 16 12 16975 
9 51 32 13 16975 
9 51 46 12 17036 
9 52 2 13 16975 
9 54 34 13 16975 
9 54 48 12 16975 
9 55 4 13 16975 
9 55 18 12 16975 
9 55 34 13 16975 
9 55 48 12 16975 
9 56 4 13 16975 
9 56 18 12 16975 
9 56 34 13 16975 
9 56 48 12 16975 
9 57 4 13 16975 
9 57 18 12 16975 
9 57 34 13 16975 
9 57 48 12 16975 
9 58 4 13 16975 
9 58 18 12 16975 
9 58 34 13 16975 
9 58 48 12 16975 
9 59 4 13 16975 
9 59 18 12 16975 
9 59 34 13 16975 
9 59 48 12 16975 
10 0 4 13 16975 
10 0 18 12 16975 
10 0 34 13 16975 
10 0 48 12 16975 
10 1 4 13 16975 
10 1 18 12 16975 
10 1 34 13 16975 
10 1 48 12 16975 
10 2 4 13 16975 
10 2 18 12 16975 
10 2 34 13 16975 
10 2 48 12 16975 
10 3 4 13 16975 
10 3 18 12 16975 
10 3 34 13 16975 
10 3 48 12 16975 
10 4 4 13 16975 
10 4 18 12 16975 
10 4 34 13 16975 
10 4 48 12 16975 
10 5 4 13 16975 
10 5 18 12 16975 
10 5 34 13 16975 
10 5 48 12 16975 
10 6 4 13 16975 
10 6 18 12 16975 
10 6 34 13 16975 
10 6 48 12 16975 
10 7 4 13 16975 
10 7 18 12 16975 
10 7 34 13 16975 
10 7 48 12 16975 
10 8 4 13 16975 
10 8 18 12 16975 
10 8 34 13 16975 
10 8 48 12 16975 
10 9 4 13 16975 
10 11 35 13 16975 
10 11 49 12 16975 
10 12 5 13 16975 
10 12 19 12 16975 
10 12 35 13 16975 
10 12 49 12 16975 
10 13 5 13 16975 
10 13 19 12 16975 
10 13 35 13 16975 
10 13 49 12 16975 
10 14 5 13 16975 
10 14 19 12 16975 
10 14 35 13 16975 
10 14 49 12 16975 
10 15 5 13 16975 
10 15 19 12 16975 
10 15 35 13 16975 
10 15 49 12 16975 
10 16 5 13 16975 
10 16 19 12 16975 
10 16 35 13 16975 
10 16 49 12 16975 
10 17 5 13 16975 
10 17 19 12 16975 
10 17 35 13 16975 
10 17 49 12 16975 
10 18 5 13 16975 
10 18 19 12 16975 
10 18 35 13 16975 
10 18 49 12 16975 
10 19 5 13 16975 
10 19 19 12 16975 
10 19 35 13 16975 
10 19 49 12 16975 
10 20 5 13 16975 
10 20 19 12 16975 
10 20 35 13 16975 
10 20 49 12 16975 
10 21 5 13 16975 
10 21 19 12 16975 
10 21 35 13 16975 
10 21 49 12 16975 
10 22 5 13 16975 
10 22 19 12 16975 
10 22 35 13 16975 
10 22 49 12 16975 
10 23 5 13 16975 
10 23 19 12 16975 
10 23 35 13 16975 
10 23 49 12 16975 
10 24 5 13 16975 
10 24 19 12 16975 
10 24 35 13 16975 
10 24 49 12 16975 
10 25 5 13 16975 
10 25 19 12 16975 
10 25 35 13 16975 
10 25 49 12 16975 
10 26 5 13 16975 
10 28 36 13 16975 
10 28 51 12 16975 
10 29 6 13 16975 
10 29 21 12 16975 
10 29 36 13 16975 
10 29 51 12 16975 
10 30 6 13 16975 
10 30 21 12 16975 
10 30 36 13 16975 
10 30 51 12 16975 
10 31 6 13 16975 
10 31 21 12 16975 
10 31 36 13 16975 
10 31 51 12 16975 
10 32 6 13 16975 
10 32 21 12 16975 
10 32 36 13 16975 
10 32 51 12 16975 
10 33 6 13 16975 
10 33 21 12 16975 
10 33 36 13 16975 
10 33 51 12 16975 
10 34 6 13 16975 
10 34 21 12 16975 
10 34 36 13 16975 
10 34 51 12 16975 
10 35 6 13 16975 
10 35 21 12 16975 
10 35 36 13 16975 
10 35 51 12 16975 
10 36 6 13 16975 
10 36 21 12 16975 
10 36 36 13 16975 
10 36 51 12 16975 
10 37 6 13 16975 
10 37 21 12 16975 
10 37 36 13 16975 
10 37 51 12 16975 
10 38 6 13 16975 
10 38 21 12 16975 
10 38 36 13 16975 
