ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/30 14:51      8672  1030
----A 2021/10/30 10:09    128000  10300954
----A 2021/10/30 10:27    128000  10301011
----A 2021/10/30 10:43    128000  10301028
----A 2021/10/30 11:01    128000  10301045
----A 2021/10/30 11:17    128000  10301102
----A 2021/10/30 11:35    128000  10301119
----A 2021/10/30 11:51    128000  10301136
----A 2021/10/30 12:09    128000  10301153
----A 2021/10/30 12:25    128000  10301210
----A 2021/10/30 12:43    128000  10301227
----A 2021/10/30 12:59    128000  10301244
----A 2021/10/30 13:17    128000  10301301
----A 2021/10/30 13:33    128000  10301318
----A 2021/10/30 13:51    128000  10301335
----A 2021/10/30 14:07    128000  10301352
----A 2021/10/30 14:25    128000  10301409
----A 2021/10/30 14:41    128000  10301426
----A 2021/10/30 14:43      2560  10301443
----A 2021/10/31 14:41      8480  1031
----A 2021/10/31 10:11    128000  10310953
----A 2021/10/31 10:27    128000  10311010
----A 2021/10/31 10:43    128000  10311027
----A 2021/10/31 11:00    128000  10311044
----A 2021/10/31 11:17    128000  10311101
----A 2021/10/31 11:34    128000  10311118
----A 2021/10/31 11:51    128000  10311136
----A 2021/10/31 12:08    128000  10311153
----A 2021/10/31 12:25    128000  10311210
----A 2021/10/31 12:42    128000  10311227
----A 2021/10/31 12:59    128000  10311244
----A 2021/10/31 13:16    128000  10311301
----A 2021/10/31 13:33    128000  10311318
----A 2021/10/31 13:50    128000  10311335
----A 2021/10/31 14:07    128000  10311352
----A 2021/10/31 14:24    128000  10311409
----A 2021/10/31 14:41    128000  10311426
----A 2021/10/31 14:43      2560  10311443

  38 File(s),   4374272 bytes total
   0 Dir(s),     996160K bytes free

/> 
read 1031
read 1031
<CR>Time:2021/10/31 14:43
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 37 56 13 14185 
9 38 11 12 16457 
9 38 26 13 16764 
9 38 41 12 17071 
9 38 56 13 17071 
9 39 11 12 17010 
9 39 26 13 17010 
9 39 41 12 17010 
9 39 56 13 17071 
9 40 11 12 17071 
9 40 26 13 17071 
9 40 41 12 17010 
9 40 56 13 17010 
9 41 11 12 17010 
9 41 26 13 17010 
9 41 41 12 17010 
9 41 56 13 17010 
9 42 11 12 17010 
9 42 26 13 17010 
9 42 41 12 17010 
9 42 56 13 17010 
9 43 11 12 17010 
9 43 26 13 17010 
9 43 41 12 17010 
9 43 56 13 17010 
9 44 11 12 17010 
9 44 26 13 17010 
9 44 41 12 17010 
9 44 56 13 17010 
9 45 11 12 17010 
9 45 26 13 17010 
9 45 41 12 17010 
9 45 56 13 17010 
9 46 11 12 17010 
9 46 26 13 17010 
9 46 41 12 17010 
9 46 56 13 17010 
9 47 11 12 17010 
9 47 26 13 17010 
9 47 41 12 17010 
9 47 56 13 17010 
9 48 11 12 17010 
9 48 26 13 17010 
9 48 41 12 17010 
9 48 56 13 17010 
9 49 11 12 17010 
9 49 26 13 17010 
9 49 41 12 17010 
9 49 56 13 17010 
9 50 11 12 17010 
9 50 26 13 17010 
9 50 41 12 17010 
9 50 56 13 17010 
9 51 11 12 17010 
9 51 26 13 17010 
9 51 41 12 17010 
9 51 56 13 17010 
9 54 29 13 17010 
9 54 43 12 17010 
9 54 59 13 17010 
9 55 13 12 17010 
9 55 29 13 16948 
9 55 43 12 17010 
9 55 59 13 17010 
9 56 13 12 16948 
9 56 29 13 16948 
9 56 43 12 17010 
9 56 59 13 16948 
9 57 13 12 16948 
9 57 29 13 17010 
9 57 43 12 17010 
9 57 59 13 17010 
9 58 13 12 16948 
9 58 29 13 16948 
9 58 43 12 17010 
9 58 59 13 16948 
9 59 13 12 16948 
9 59 29 13 16948 
9 59 43 12 16948 
9 59 59 13 16948 
10 0 13 12 17010 
10 0 29 13 17010 
10 0 43 12 16948 
10 0 59 13 16948 
10 1 13 12 16948 
10 1 29 13 16948 
10 1 43 12 17010 
10 1 59 13 16948 
10 2 13 12 16948 
10 2 29 13 16948 
10 2 43 12 16948 
10 2 59 13 16948 
10 3 13 12 16948 
10 3 29 13 16948 
10 3 43 12 16948 
10 3 59 13 16948 
10 4 13 12 16948 
10 4 29 13 17010 
10 4 43 12 16948 
10 4 59 13 16948 
10 5 13 12 16948 
10 5 29 13 16948 
10 5 43 12 16948 
10 5 59 13 16948 
10 6 13 12 16948 
10 6 29 13 16948 
10 6 43 12 16948 
10 6 59 13 17010 
10 7 13 12 16948 
10 7 29 13 16948 
10 7 43 12 16948 
10 7 59 13 16948 
10 8 13 12 16948 
10 8 29 13 16948 
10 8 43 12 17010 
10 8 59 13 16948 
10 11 29 13 16948 
10 11 43 12 16948 
10 11 59 13 16948 
10 12 13 12 16948 
10 12 29 13 16948 
10 12 43 12 17010 
10 12 59 13 16948 
10 13 13 12 16948 
10 13 29 13 16948 
10 13 43 12 16948 
10 13 59 13 16948 
10 14 13 12 16948 
10 14 29 13 16948 
10 14 43 12 16948 
10 14 59 13 16948 
10 15 13 12 16948 
10 15 29 13 16948 
10 15 43 12 16948 
10 15 59 13 16948 
10 16 13 12 16948 
10 16 29 13 16948 
10 16 43 12 16948 
10 16 59 13 16948 
10 17 13 12 16948 
10 17 29 13 16948 
10 17 43 12 17010 
10 17 59 13 16948 
10 18 13 12 16948 
10 18 29 13 16948 
10 18 43 12 16948 
10 18 59 13 16948 
10 19 13 12 16948 
10 19 29 13 17010 
10 19 43 12 16948 
10 19 59 13 16948 
10 20 13 12 16948 
10 20 29 13 16948 
10 20 43 12 16948 
10 20 59 13 16948 
10 21 13 12 16948 
10 21 29 13 16948 
10 21 43 12 16948 
10 21 59 13 16948 
10 22 13 12 16948 
10 22 29 13 16948 
10 22 43 12 16948 
10 22 59 13 16948 
10 23 13 12 16948 
10 23 29 13 16948 
10 23 43 12 16948 
10 23 59 13 16948 
10 24 13 12 16948 
10 24 29 13 16948 
10 24 43 12 16948 
10 24 59 13 16948 
10 25 13 12 16948 
10 25 29 13 16948 
10 25 43 12 16948 
10 25 59 13 16948 
10 28 30 13 16948 
10 28 45 12 16948 
10 29 0 13 16948 
10 29 15 12 16948 
10 29 30 13 16948 
10 29 45 12 16948 
10 30 0 13 16948 
10 30 15 12 16948 
10 30 30 13 16948 
10 30 45 12 16948 
10 31 0 13 16948 
10 31 15 12 16948 
10 31 30 13 16948 
10 31 45 12 16948 
10 32 0 13 16948 
10 32 15 12 16948 
10 32 30 13 16948 
10 32 45 12 16948 
10 33 0 13 16948 
10 33 15 12 16948 
10 33 30 13 16948 
10 33 45 12 16948 
10 34 0 13 16948 
10 34 15 12 16948 
10 34 30 13 16948 
10 34 45 12 16948 
10 35 0 13 16948 
10 35 15 12 16948 
10 35 30 13 16948 
10 35 45 12 16948 
10 36 0 13 16948 
10 36 15 12 16948 
10 36 30 13 16948 
10 36 45 12 16948 
10 37 0 13 16948 
10 37 15 12 16948 
10 37 30 13 16948 
10 37 45 12 16948 
10 38 0 13 16948 
10 38 15 12 16948 
10 38 30 13 16948 
10 38 45 12 16948 
10 39 0 13 16948 
10 39 15 12 16948 
10 39 30 13 16948 
10 39 45 12 16948 
10 40 0 13 16948 
10 40 15 12 16948 
10 40 30 13 16948 
10 40 45 12 16948 
10 41 0 13 16948 
10 41 15 12 16948 
10 41 30 13 16948 
10 41 45 12 16948 
10 42 0 13 16948 
10 42 15 12 16948 
10 42 30 13 16948 
10 42 45 12 16948 
10 43 0 13 16948 
10 45 30 13 16948 
10 45 45 12 16948 
10 46 0 13 16948 
10 46 15 12 16948 
10 46 30 13 16948 
10 46 45 12 16948 
10 47 0 13 16948 
10 47 15 12 16948 
10 47 30 13 16948 
10 47 45 12 16948 
10 48 0 13 16948 
10 48 15 12 16948 
10 48 30 13 16948 
10 48 45 12 16948 
10 49 0 13 16948 
10 49 15 12 16948 
10 49 30 13 16948 
10 49 45 12 16948 
10 50 0 13 16948 
10 50 15 12 16948 
10 50 30 13 16948 
10 50 45 12 16948 
10 51 0 13 16948 
10 51 15 12 16948 
10 51 30 13 16948 
10 51 45 12 16948 
10 52 0 13 16948 
10 52 15 12 16948 
10 52 30 13 16948 
10 52 45 12 16948 
10 53 0 13 16948 
10 53 15 12 16948 
10 53 30 13 16948 
10 53 45 12 16948 
10 54 0 13 16948 
10 54 15 12 16948 
10 54 30 13 16948 
10 54 45 12 16948 
10 55 0 13 16948 
10 55 15 12 16948 
10 55 30 13 16948 
10 55 45 12 16948 
10 56 0 13 16948 
10 56 15 12 16948 
10 56 30 13 16948 
10 56 45 12 16948 
10 57 0 13 16948 
10 57 15 12 16948 
10 57 30 13 16948 
10 57 45 12 16948 
10 58 0 13 16948 
10 58 15 12 16948 
10 58 30 13 16948 
10 58 45 12 16948 
10 59 0 13 16948 
10 59 15 12 16948 
10 59 30 13 16948 
10 59 45 12 16948 
11 0 0 13 16948 
11 2 30 13 16948 
11 2 45 12 16948 
11 3 0 13 16948 
11 3 15 12 16948 
11 3 30 13 16948 
11 3 45 12 16948 
11 4 0 13 16948 
11 4 15 12 16948 
11 4 30 13 16948 
11 4 45 12 16948 
