ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/15 14:51      6328  1015
----A 2021/10/15 11:30    128640  10151115
----A 2021/10/15 11:46    128000  10151131
----A 2021/10/15 12:02    128000  10151147
----A 2021/10/15 12:18    128000  10151203
----A 2021/10/15 12:34    128000  10151219
----A 2021/10/15 12:50    128000  10151235
----A 2021/10/15 13:06    128000  10151251
----A 2021/10/15 13:22    128000  10151307
----A 2021/10/15 13:23      2560  10151323
----A 2021/10/15 14:23    128000  10151408
----A 2021/10/15 14:39    128000  10151424
----A 2021/10/15 14:40      2560  10151440

  13 File(s),   1292088 bytes total
   0 Dir(s),     999248K bytes free

/> 
read 1015
read 1015
<CR>Time:2021/10/15 14:40
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 58 48 25 10149 
10 59 3 24 13592 
10 59 18 25 18123 
10 59 33 25 20298 
10 59 48 25 21990 
11 1 24 25 22050 
11 1 39 25 22050 
11 1 54 25 22050 
11 2 9 25 22050 
11 2 24 25 22050 
11 2 39 25 22050 
11 2 54 25 22050 
11 3 9 25 22050 
11 3 24 25 22050 
11 3 39 25 22050 
11 3 54 25 22050 
11 4 9 25 22050 
11 4 24 25 22050 
11 4 39 25 22050 
11 4 54 25 22050 
11 5 9 25 22050 
11 5 24 25 22050 
11 5 39 25 22050 
11 5 54 25 22050 
11 6 9 25 21990 
11 6 24 25 21990 
11 6 39 25 21990 
11 6 54 25 21990 
11 7 9 25 21990 
11 7 24 25 21990 
11 7 39 25 21990 
11 7 54 25 21990 
11 8 9 25 21990 
11 8 24 25 21990 
11 8 39 25 21990 
11 8 54 25 21990 
11 9 9 25 21990 
11 9 24 25 21990 
11 9 39 25 21990 
11 9 54 25 21990 
11 10 9 25 21990 
11 10 24 25 21990 
11 10 39 25 21990 
11 10 54 25 21990 
11 11 9 25 21990 
11 11 24 25 21990 
11 11 39 25 21990 
11 11 54 25 21990 
11 12 9 25 21990 
11 12 24 25 21990 
11 12 39 25 21990 
11 12 54 25 21990 
11 13 9 25 21990 
11 13 24 25 21990 
11 13 39 25 21990 
11 13 54 25 21990 
11 14 9 25 21990 
11 16 18 25 21990 
11 16 33 25 21990 
11 16 48 25 21990 
11 17 3 25 21990 
11 17 18 25 21990 
11 17 33 25 21990 
11 17 48 25 21990 
11 18 3 25 21990 
11 18 18 25 21990 
11 18 33 25 21990 
11 18 48 25 21990 
11 19 3 25 21990 
11 19 18 25 21990 
11 19 33 25 21990 
11 19 48 25 21990 
11 20 3 25 21990 
11 20 18 25 21990 
11 20 33 25 21990 
11 20 48 25 21990 
11 21 3 25 21990 
11 21 18 25 21990 
11 21 33 25 21990 
11 21 48 25 21990 
11 22 3 25 21990 
11 22 18 25 21990 
11 22 33 25 21990 
11 22 48 25 21990 
11 23 3 25 21990 
11 23 18 25 21990 
11 23 33 25 21990 
11 23 48 25 21990 
11 24 3 25 21990 
11 24 18 25 21990 
11 24 33 25 21990 
11 24 48 25 21990 
11 25 3 25 21990 
11 25 18 25 21990 
11 25 33 25 21990 
11 25 48 25 21990 
11 26 3 25 21990 
11 26 18 25 21990 
11 26 33 25 21990 
11 26 48 25 21990 
11 27 3 25 21990 
11 27 18 25 21990 
11 27 33 25 21990 
11 27 48 25 21990 
11 28 3 25 21990 
11 28 18 25 21990 
11 28 33 25 21990 
11 28 48 25 21990 
11 29 3 25 21990 
11 29 18 25 21990 
11 29 33 25 21990 
11 29 48 25 21990 
11 30 3 25 21990 
11 30 18 25 21990 
11 30 33 25 21990 
11 32 4 25 21990 
11 32 19 25 21990 
11 32 34 25 21990 
11 32 49 25 21990 
11 33 4 25 21990 
11 33 19 25 21990 
11 33 34 25 21990 
11 33 49 25 21990 
11 34 4 25 21990 
11 34 19 25 21990 
11 34 34 25 21990 
11 34 49 25 21990 
11 35 4 25 21990 
11 35 19 25 21990 
11 35 34 25 21990 
11 35 49 25 21990 
11 36 4 25 21990 
11 36 19 25 21990 
11 36 34 25 21990 
11 36 49 25 21990 
11 37 4 25 21990 
11 37 19 25 21990 
11 37 34 25 21990 
11 37 49 25 21990 
11 38 4 25 21990 
11 38 19 25 21990 
11 38 34 25 21990 
11 38 49 25 21990 
11 39 4 25 21990 
11 39 19 25 21990 
11 39 34 25 21990 
11 39 49 25 21990 
11 40 4 25 21990 
11 40 19 25 21990 
11 40 34 25 21990 
11 40 49 25 21990 
11 41 4 25 21990 
11 41 19 25 21990 
11 41 34 25 21990 
11 41 49 25 21990 
11 42 4 25 21990 
11 42 19 25 21990 
11 42 34 25 21990 
11 42 49 25 21990 
11 43 4 25 21990 
11 43 19 25 21990 
11 43 34 25 21990 
11 43 49 25 21990 
11 44 4 25 21990 
11 44 19 25 21990 
11 44 34 25 21990 
11 44 49 25 21990 
11 45 4 25 21990 
11 45 19 25 21990 
11 45 34 25 21990 
11 45 49 25 21990 
11 46 4 25 21990 
11 46 19 25 21990 
11 46 34 25 21990 
11 48 4 25 21990 
11 48 19 25 21990 
11 48 34 25 21990 
11 48 58 2 21688 
11 49 4 9 21929 
11 49 19 25 21990 
