ls
<CR><LF>
ls
<CR>
         TIME          Size       File name 
----A 2021/10/15 14:51      6312  1015
----A 2021/10/15 11:31    129280  10151115
----A 2021/10/15 11:47    128000  10151131
----A 2021/10/15 12:03    128640  10151147
----A 2021/10/15 12:19    128000  10151203
----A 2021/10/15 12:35    128000  10151219
----A 2021/10/15 12:51    128000  10151235
----A 2021/10/15 13:07    128000  10151251
----A 2021/10/15 13:23    128000  10151307
----A 2021/10/15 13:23      2560  10151323
----A 2021/10/15 14:23    128000  10151408
----A 2021/10/15 14:39    128000  10151424
----A 2021/10/15 14:40      2560  10151440
----A 2021/10/16 14:41      8744  1016
----A 2021/10/16 10:11    128000  10160953
----A 2021/10/16 10:27    128000  10161009
----A 2021/10/16 10:43    128000  10161025
----A 2021/10/16 10:59    128000  10161041
----A 2021/10/16 11:15    128000  10161057
----A 2021/10/16 11:31    128000  10161113
----A 2021/10/16 11:47    128000  10161129
----A 2021/10/16 12:03    128000  10161145
----A 2021/10/16 12:19    128000  10161201
----A 2021/10/16 12:35    128000  10161217
----A 2021/10/16 12:51    128000  10161233
----A 2021/10/16 13:07    128000  10161249
----A 2021/10/16 13:07      2560  10161305
----A 2021/10/16 13:59    128000  10161343
----A 2021/10/16 14:15    128000  10161359
----A 2021/10/16 14:31    128000  10161415
----A 2021/10/16 14:31      2560  10161431

  31 File(s),   3227216 bytes total
   0 Dir(s),     997280K bytes free

/> 
read 1016
read 1016
<CR>Time:2021/10/16 14:31
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 38 48 25 16211 
9 39 3 25 19220 
9 39 18 25 21677 
9 39 33 25 22844 
9 39 48 25 22107 
9 40 3 25 22045 
9 40 18 25 22045 
9 40 33 25 22045 
9 40 48 25 22045 
9 41 3 25 22045 
9 41 18 25 22045 
9 41 33 25 22045 
9 41 48 25 22045 
9 42 3 25 22045 
9 42 18 25 22045 
9 42 33 25 22045 
9 42 48 25 22045 
9 43 3 25 22045 
9 43 18 25 22045 
