ls

ls
<CR>
         TIME          Size       File name 
----A 2021/10/15 14:51      6328  1015
----A 2021/10/15 11:30    128640  10151115
----A 2021/10/15 11:46    128000  10151131
----A 2021/10/15 12:02    128000  10151147
----A 2021/10/15 12:18    128000  10151203
----A 2021/10/15 12:34    128000  10151219
----A 2021/10/15 12:50    128000  10151235
----A 2021/10/15 13:06    128000  10151251
----A 2021/10/15 13:22    128000  10151307
----A 2021/10/15 13:23      2560  10151323
----A 2021/10/15 14:23    128000  10151408
----A 2021/10/15 14:39    128000  10151424
----A 2021/10/15 14:40      2560  10151440
----A 2021/10/16 14:41      8712  1016
----A 2021/10/16 10:11    128000  10160953
----A 2021/10/16 10:27    128000  10161009
----A 2021/10/16 10:43    128000  10161025
----A 2021/10/16 10:59    128000  10161041
----A 2021/10/16 11:15    128000  10161057
----A 2021/10/16 11:31    128000  10161113
----A 2021/10/16 11:47    128000  10161129
----A 2021/10/16 12:03    128000  10161145
----A 2021/10/16 12:19    128000  10161201
----A 2021/10/16 12:35    128000  10161217
----A 2021/10/16 12:51    128000  10161233
----A 2021/10/16 13:07    128000  10161249
----A 2021/10/16 13:28    129280  10161305
----A 2021/10/16 13:39    146560  10161329
----A 2021/10/16 13:53    128000  10161338
----A 2021/10/16 14:09    128000  10161354
----A 2021/10/16 14:25    128000  10161410
----A 2021/10/16 14:41     48000  10161426
----A 2021/10/17 15:14      9800  1017
----A 2021/10/17 10:11    128000  10170956
----A 2021/10/17 10:27    128000  10171012
----A 2021/10/17 10:43    128000  10171028
----A 2021/10/17 10:59    128000  10171044
----A 2021/10/17 11:15    128000  10171100
----A 2021/10/17 11:31    128000  10171116
----A 2021/10/17 11:47    128000  10171132
----A 2021/10/17 12:03    128000  10171148
----A 2021/10/17 12:19    128000  10171204
----A 2021/10/17 12:35    128000  10171220
----A 2021/10/17 12:51    128000  10171236
----A 2021/10/17 13:07    128000  10171252
----A 2021/10/17 13:23    128000  10171308
----A 2021/10/17 13:39    128000  10171324
----A 2021/10/17 13:55    128000  10171340
----A 2021/10/17 14:11    128000  10171356
----A 2021/10/17 14:27    128000  10171412
----A 2021/10/17 14:43    128000  10171428
----A 2021/10/17 14:59    128000  10171444
----A 2021/10/17 15:03      2560  10171500

  53 File(s),   5989000 bytes total
   0 Dir(s),     994528K bytes free

/> 
read 1017
read 1017
<CR>Time:2021/10/17 15:03
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 41 43 25 12142 
9 41 58 25 15828 
9 42 13 25 18304 
9 42 28 25 20238 
9 42 43 25 21688 
9 42 58 25 22050 
9 43 13 25 22050 
9 43 28 25 22050 
9 43 43 25 22050 
9 43 58 25 22050 
9 44 13 25 22050 
9 44 28 25 22050 
9 44 43 25 22050 
9 44 58 25 22050 
9 45 13 25 22050 
9 45 28 25 22050 
9 45 43 25 22050 
9 45 58 25 22050 
9 46 13 25 22050 
9 46 28 25 22050 
9 46 43 25 22050 
9 46 58 25 22050 
9 47 13 25 22050 
9 47 28 25 22050 
9 47 43 25 22050 
9 47 58 25 22050 
9 48 13 25 22050 
9 48 28 25 22050 
9 48 43 25 21990 
9 48 58 25 21990 
9 49 13 25 21990 
9 49 28 25 21990 
9 49 43 25 21990 
9 49 58 25 21990 
9 50 13 25 21990 
9 50 28 25 21990 
9 50 43 25 21990 
9 50 58 25 21990 
9 51 13 25 21990 
9 51 28 25 21990 
9 51 43 25 21990 
9 51 58 25 21990 
9 52 13 25 21990 
9 52 28 25 21990 
9 52 43 25 21990 
9 52 58 25 21990 
9 53 13 25 21990 
9 53 28 25 21990 
9 53 43 25 21990 
9 53 58 25 21990 
9 54 13 25 21990 
9 54 28 25 21990 
9 54 43 25 21990 
9 54 58 25 21990 
9 55 13 25 21990 
9 55 28 25 21990 
9 55 43 25 21990 
9 55 58 25 21990 
9 57 28 25 21990 
9 57 43 25 21990 
9 57 58 25 21990 
9 58 13 25 21990 
9 58 28 25 21990 
9 58 43 25 21990 
9 58 58 25 21990 
9 59 13 25 21990 
9 59 28 25 21990 
9 59 43 25 21990 
9 59 58 25 21990 
10 0 13 25 21990 
10 0 28 25 21990 
10 0 43 25 21990 
10 0 58 25 21990 
10 1 13 25 21990 
10 1 28 25 21990 
10 1 43 25 21990 
10 1 58 25 21990 
10 2 13 25 21990 
10 2 28 25 21990 
10 2 43 25 21990 
10 2 58 25 21990 
10 3 13 25 21990 
10 3 28 25 21990 
10 3 43 25 21990 
10 3 58 25 21990 
10 4 13 25 21990 
10 4 28 25 21929 
10 4 43 25 21990 
10 4 58 25 21929 
10 5 13 25 21929 
10 5 28 25 21990 
10 5 43 25 21929 
10 5 58 25 21929 
10 6 13 25 21929 
10 6 28 25 21990 
10 6 43 25 21990 
10 6 58 25 21929 
10 7 13 25 21929 
10 7 28 25 21990 
10 7 43 25 21929 
10 7 58 25 21990 
10 8 13 25 21990 
10 8 28 25 21929 
10 8 43 25 21929 
10 8 58 25 21929 
10 9 13 25 21929 
10 9 28 25 21929 
10 9 43 25 21990 
10 9 58 25 21929 
10 10 13 25 21929 
