ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/15 14:51      6312  1015
----A 2021/10/15 11:31    129280  10151115
----A 2021/10/15 11:47    128000  10151131
----A 2021/10/15 12:03    128640  10151147
----A 2021/10/15 12:19    128000  10151203
----A 2021/10/15 12:35    128000  10151219
----A 2021/10/15 12:51    128000  10151235
----A 2021/10/15 13:07    128000  10151251
----A 2021/10/15 13:23    128000  10151307
----A 2021/10/15 13:23      2560  10151323
----A 2021/10/15 14:23    128000  10151408
----A 2021/10/15 14:39    128000  10151424
----A 2021/10/15 14:40      2560  10151440
----A 2021/10/16 14:41      8744  1016
----A 2021/10/16 10:11    128000  10160953
----A 2021/10/16 10:27    128000  10161009
----A 2021/10/16 10:43    128000  10161025
----A 2021/10/16 10:59    128000  10161041
----A 2021/10/16 11:15    128000  10161057
----A 2021/10/16 11:31    128000  10161113
----A 2021/10/16 11:47    128000  10161129
----A 2021/10/16 12:03    128000  10161145
----A 2021/10/16 12:19    128000  10161201
----A 2021/10/16 12:35    128000  10161217
----A 2021/10/16 12:51    128000  10161233
----A 2021/10/16 13:07    128000  10161249
----A 2021/10/16 13:07      2560  10161305
----A 2021/10/16 13:59    128000  10161343
----A 2021/10/16 14:15    128000  10161359
----A 2021/10/16 14:31    128000  10161415
----A 2021/10/16 14:31      2560  10161431
----A 2021/10/17 15:13      9800  1017
----A 2021/10/17 10:12    128000  10170957
----A 2021/10/17 10:28    128000  10171013
----A 2021/10/17 10:44    128000  10171029
----A 2021/10/17 11:00    128000  10171045
----A 2021/10/17 11:16    128000  10171101
----A 2021/10/17 11:32    128000  10171117
----A 2021/10/17 11:48    128000  10171133
----A 2021/10/17 12:04    128000  10171149
----A 2021/10/17 12:20    128000  10171205
----A 2021/10/17 12:36    128000  10171221
----A 2021/10/17 12:52    128000  10171237
----A 2021/10/17 13:08    128000  10171253
----A 2021/10/17 13:24    128000  10171309
----A 2021/10/17 13:40    128000  10171325
----A 2021/10/17 13:56    128000  10171341
