ls
ls
<CR>
         TIME          Size       File name 
----A 2021/02/16 11:15     11216  0216
----A 2021/02/16 05:01    128000  02160446
----A 2021/02/16 05:19    128000  02160503
----A 2021/02/16 05:35    128000  02160520
----A 2021/02/16 05:53    128000  02160537
----A 2021/02/16 06:09    128000  02160554
----A 2021/02/16 06:27    128000  02160611
----A 2021/02/16 06:43    128000  02160628
----A 2021/02/16 07:01    128000  02160645
----A 2021/02/16 07:17    128000  02160702
----A 2021/02/16 07:35    128000  02160719
----A 2021/02/16 07:51    128000  02160736
----A 2021/02/16 08:10    128000  02160753
----A 2021/02/16 08:27    128000  02160810
----A 2021/02/16 08:42    128000  02160827
----A 2021/02/16 08:59    128000  02160844
----A 2021/02/16 09:18    128000  02160901
----A 2021/02/16 09:35    128000  02160918
----A 2021/02/16 09:50    128000  02160935
----A 2021/02/16 10:07    128000  02160952
----A 2021/02/16 10:26    128000  02161009
----A 2021/02/16 10:43    128000  02161026
----A 2021/02/16 10:58    128000  02161043
----A 2021/02/16 11:02      2560  02161100
----A 2021/02/17 10:48     10192  0217
----A 2021/02/17 05:19    128000  02170504
----A 2021/02/17 05:39    128000  02170521
----A 2021/02/17 05:55    128000  02170538
----A 2021/02/17 06:11    128000  02170555
----A 2021/02/17 06:27    128000  02170612
----A 2021/02/17 06:47    128000  02170629
----A 2021/02/17 07:03    128000  02170646
----A 2021/02/17 07:19    128000  02170703
----A 2021/02/17 07:35    128000  02170720
----A 2021/02/17 07:55    128000  02170737
----A 2021/02/17 08:11    128000  02170754
----A 2021/02/17 08:27    128000  02170811
----A 2021/02/17 08:43    128000  02170828
----A 2021/02/17 09:03    128000  02170845
----A 2021/02/17 09:19    128000  02170902
----A 2021/02/17 09:35    128000  02170919
----A 2021/02/17 09:51    128000  02170936
----A 2021/02/17 10:11    128000  02170953
----A 2021/02/17 10:27    128000  02171010
----A 2021/02/17 10:43    128000  02171027
----A 2021/02/17 10:47      2560  02171044
----A 2021/02/19 10:18      8408  0219
----A 2021/02/19 05:11      2560  02190510
----A 2021/02/19 06:14    128000  02190557
----A 2021/02/19 06:31    128000  02190614
----A 2021/02/19 06:46    128000  02190631
----A 2021/02/19 07:03    128000  02190648
----A 2021/02/19 07:22    128000  02190705
----A 2021/02/19 07:39    128000  02190722
----A 2021/02/19 07:54    128000  02190739
----A 2021/02/19 08:11    128000  02190756
----A 2021/02/19 08:30    128000  02190813
----A 2021/02/19 08:47    128000  02190830
----A 2021/02/19 09:02    128000  02190847
----A 2021/02/19 09:19    128000  02190904
----A 2021/02/19 09:38    128000  02190921
----A 2021/02/19 09:55    128000  02190938
----A 2021/02/19 10:10    128000  02190955
----A 2021/02/19 10:14      2560  02191012
----A 2021/02/20 09:47      7240  0220
----A 2021/02/20 05:59    128000  02200542
----A 2021/02/20 06:15    128000  02200559
----A 2021/02/20 06:31    128000  02200616
----A 2021/02/20 06:51    128000  02200633
----A 2021/02/20 07:07    128000  02200650
----A 2021/02/20 07:23    128000  02200707
----A 2021/02/20 07:39    128000  02200724
----A 2021/02/20 07:59    128000  02200741
----A 2021/02/20 08:14    128000  02200758
----A 2021/02/20 08:31    128000  02200815
----A 2021/02/20 08:48    128000  02200832
----A 2021/02/20 09:05    128000  02200849
----A 2021/02/20 09:22    128000  02200906
----A 2021/02/20 09:39    128000  02200923
----A 2021/02/20 09:41      2560  02200941
----A 2021/02/23 10:57     10536  0223
----A 2021/02/23 05:07    128000  02230452
----A 2021/02/23 05:27    128000  02230509
----A 2021/02/23 05:43    128000  02230526
----A 2021/02/23 05:59    128000  02230543
----A 2021/02/23 06:15    128000  02230600
----A 2021/02/23 06:35    128000  02230617
----A 2021/02/23 06:51    128000  02230634
----A 2021/02/23 07:07    128000  02230651
----A 2021/02/23 07:23    128000  02230708
----A 2021/02/23 07:43    128000  02230725
----A 2021/02/23 07:59    128000  02230742
----A 2021/02/23 08:15    128000  02230759
----A 2021/02/23 08:31    128000  02230816
----A 2021/02/23 08:51    128000  02230833
----A 2021/02/23 09:07    128000  02230850
----A 2021/02/23 09:23    128000  02230907
----A 2021/02/23 09:39    128000  02230924
----A 2021/02/23 09:59    128000  02230941
----A 2021/02/23 10:15    128000  02230958
----A 2021/02/23 10:31    128000  02231015
----A 2021/02/23 10:47    128000  02231032
----A 2021/02/23 10:51      2560  02231049
----A 2021/02/24 11:14     11304  0224
----A 2021/02/24 04:47    128000  02240432
