ls
ls
<CR>
         TIME          Size       File name 
----A 2021/03/02 13:59      9488  0302
----A 2021/03/02 08:18    128000  03020803
----A 2021/03/02 08:35    128000  03020820
----A 2021/03/02 08:54    128000  03020837
----A 2021/03/02 09:11    128000  03020854
----A 2021/03/02 09:26    128000  03020911
----A 2021/03/02 09:43    128000  03020928
----A 2021/03/02 10:02    128000  03020945
----A 2021/03/02 10:19    128000  03021002
----A 2021/03/02 10:34    128000  03021019
----A 2021/03/02 10:51    128000  03021036
----A 2021/03/02 11:10    128000  03021053
----A 2021/03/02 11:37    129280  03021121
----A 2021/03/02 11:39      2560  03021138
----A 2021/03/02 12:09      2560  03021208
----A 2021/03/02 12:57    128000  03021242
----A 2021/03/02 13:15    128000  03021259
----A 2021/03/02 13:31    128000  03021316
----A 2021/03/02 13:49    128000  03021333
----A 2021/03/02 13:51      2560  03021350

  20 File(s),   2066448 bytes total
   0 Dir(s),     998464K bytes free

/> 
read 0302
read 0302
<CR>Time:2021/03/02 13:51
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 47 32 12 4131 
7 47 48 13 5347 
7 48 2 12 5408 
7 48 18 13 5408 
7 48 32 12 5468 
7 48 48 13 5772 
7 49 2 12 6197 
7 49 18 13 6927 
7 49 32 12 7413 
7 49 48 13 7413 
7 50 2 12 7656 
7 50 18 13 8506 
7 50 32 12 9114 
7 50 48 13 9053 
7 51 2 12 9053 
7 51 18 13 9053 
7 51 32 12 9053 
7 51 48 13 9053 
7 52 2 12 9053 
7 52 18 13 9053 
7 52 32 12 9053 
7 52 48 13 9053 
7 53 2 12 9053 
7 53 18 13 9053 
7 53 32 12 9053 
7 53 48 13 9053 
7 54 2 12 9053 
7 54 18 13 9053 
7 54 32 12 9053 
7 54 48 13 9053 
7 55 2 12 8993 
7 55 18 13 8993 
7 55 32 12 9053 
7 55 48 13 9053 
7 56 2 12 9053 
7 56 18 13 8993 
7 56 32 12 8993 
7 56 48 13 8993 
7 57 2 12 8993 
7 57 18 13 8993 
7 57 32 12 8993 
7 57 48 13 8993 
7 58 2 12 9053 
7 58 18 13 9053 
7 58 32 12 9053 
7 58 48 13 9053 
7 59 2 12 9053 
7 59 18 13 9053 
7 59 32 12 9053 
7 59 48 13 9053 
8 0 2 12 9053 
8 0 18 13 9053 
8 0 32 12 9053 
8 0 48 13 9053 
8 1 2 12 9053 
8 1 18 13 9053 
8 1 32 12 9053 
8 4 3 12 9053 
8 4 19 13 9053 
8 4 33 12 9053 
8 4 49 13 9053 
8 5 3 12 9053 
8 5 19 13 9053 
8 5 33 12 9053 
8 5 49 13 9053 
8 6 3 12 9053 
8 6 19 13 9053 
8 6 33 12 9053 
8 6 49 13 9053 
8 7 3 12 9053 
8 7 19 13 9053 
8 7 33 12 9053 
8 7 49 13 9053 
8 8 3 12 9053 
8 8 19 13 9053 
8 8 33 12 9053 
8 8 49 13 9053 
8 9 3 12 9053 
8 9 19 13 9053 
8 9 33 12 9053 
8 9 49 13 9053 
8 10 3 12 9053 
8 10 19 13 9053 
8 10 33 12 9053 
8 10 49 13 9053 
8 11 3 12 9053 
8 11 19 13 9053 
8 11 33 12 9053 
8 11 49 13 9053 
8 12 3 12 9053 
8 12 19 13 9053 
8 12 33 12 9053 
8 12 49 13 9053 
8 13 3 12 9053 
8 13 19 13 9053 
8 13 33 12 9053 
8 13 49 13 9053 
8 14 3 12 9053 
8 14 19 13 9053 
8 14 33 12 9053 
8 14 49 13 9053 
8 15 3 12 9053 
8 15 19 13 9053 
8 15 33 12 9053 
8 15 49 13 9053 
8 16 3 12 9053 
8 16 19 13 9053 
8 16 33 12 9053 
8 16 49 13 9053 
8 17 3 12 9053 
8 17 19 13 9053 
8 17 33 12 9053 
8 17 49 13 9053 
8 18 3 12 9053 
8 18 19 13 9053 
8 18 33 12 9053 
8 21 3 12 9053 
8 21 19 13 9053 
8 21 33 12 9053 
8 21 49 13 9053 
8 22 3 12 9053 
8 22 19 13 9053 
8 22 33 12 9053 
8 22 49 13 9053 
8 23 3 12 9053 
8 23 19 13 9053 
8 23 33 12 9053 
8 23 49 13 9053 
8 24 3 12 9053 
8 24 19 13 9053 
8 24 33 12 9053 
8 24 49 13 9053 
8 25 3 12 9053 
8 25 19 13 9053 
8 25 33 12 9053 
8 25 49 13 9053 
8 26 3 12 9053 
8 26 19 13 9053 
8 26 33 12 9053 
8 26 49 13 9053 
8 27 3 12 9053 
8 27 19 13 9053 
8 27 33 12 9053 
8 27 49 13 9053 
8 28 3 12 9053 
8 28 19 13 9053 
8 28 33 12 9053 
8 28 49 13 9053 
8 29 3 12 9053 
8 29 19 13 9053 
8 29 33 12 9053 
8 29 49 13 9053 
8 30 3 12 9053 
8 30 19 13 8993 
8 30 33 12 9053 
8 30 49 13 9053 
8 31 3 12 9053 
8 31 19 13 9053 
8 31 33 12 9053 
8 31 49 13 9053 
8 32 3 12 9053 
8 32 19 13 9053 
8 32 33 12 9053 
8 32 49 13 9053 
8 33 3 12 9053 
8 33 19 13 9053 
8 33 33 12 9053 
8 33 49 13 9053 
8 34 3 12 9053 
8 34 19 13 9053 
8 34 33 12 9053 
8 34 49 13 9053 
8 35 3 12 9053 
