ls

ls
<CR>
         TIME          Size       File name 
----A 2021/03/02 13:59      9488  0302
----A 2021/03/02 08:18    128000  03020803
----A 2021/03/02 08:35    128000  03020820
----A 2021/03/02 08:54    128000  03020837
----A 2021/03/02 09:11    128000  03020854
----A 2021/03/02 09:26    128000  03020911
----A 2021/03/02 09:43    128000  03020928
----A 2021/03/02 10:02    128000  03020945
----A 2021/03/02 10:19    128000  03021002
----A 2021/03/02 10:34    128000  03021019
----A 2021/03/02 10:51    128000  03021036
----A 2021/03/02 11:10    128000  03021053
----A 2021/03/02 11:37    129280  03021121
----A 2021/03/02 11:39      2560  03021138
----A 2021/03/02 12:09      2560  03021208
----A 2021/03/02 12:57    128000  03021242
----A 2021/03/02 13:15    128000  03021259
----A 2021/03/02 13:31    128000  03021316
----A 2021/03/02 13:49    128000  03021333
----A 2021/03/02 13:51      2560  03021350
----A 2021/03/03 13:35      9200  0303
----A 2021/03/03 08:23    128000  03030807
----A 2021/03/03 08:39    128000  03030824
----A 2021/03/03 08:57    128000  03030841
----A 2021/03/03 09:13    128000  03030858
----A 2021/03/03 09:31    128000  03030915
----A 2021/03/03 09:47    138880  03030932
----A 2021/03/03 10:06    128000  03030949
----A 2021/03/03 10:23    128000  03031006
----A 2021/03/03 10:38    128000  03031023
----A 2021/03/03 10:55    128000  03031040
----A 2021/03/03 11:14    128000  03031057
----A 2021/03/03 11:14      2560  03031114
----A 2021/03/03 11:55    128000  03031140
----A 2021/03/03 12:14    128000  03031157
----A 2021/03/03 12:31    128000  03031214
----A 2021/03/03 12:46    128000  03031231
----A 2021/03/03 13:03    128000  03031248
----A 2021/03/03 13:22    128000  03031305
----A 2021/03/03 13:22      2560  03031322

  40 File(s),   4267648 bytes total
   0 Dir(s),     996224K bytes free

/> 
read 0303
read 0303
<CR>Time:2021/03/03 13:22
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 51 41 3 1640 
7 51 48 6 3281 
7 52 4 13 4739 
7 52 18 12 5286 
7 52 34 13 5711 
7 52 48 12 6623 
7 53 4 13 6866 
7 53 18 12 8263 
7 53 34 13 8506 
7 53 48 12 8506 
7 54 4 13 8871 
7 54 18 12 9053 
7 54 34 13 9053 
7 54 48 12 9053 
7 55 4 13 9053 
7 55 18 12 8932 
7 55 34 13 8871 
7 55 48 12 8932 
7 56 4 13 8993 
7 56 18 12 9053 
7 56 34 13 9053 
7 56 48 12 9053 
7 57 4 13 9053 
7 57 18 12 9053 
7 57 34 13 9053 
7 57 48 12 9053 
7 58 4 13 9053 
7 58 18 12 9053 
7 58 34 13 9053 
7 58 48 12 9053 
7 59 4 13 9053 
7 59 18 12 9053 
7 59 34 13 9053 
7 59 48 12 9053 
8 0 4 13 9053 
8 0 18 12 9053 
8 0 34 13 9053 
8 0 48 12 9053 
8 1 4 13 9053 
8 1 18 12 9053 
8 1 34 13 9053 
8 1 48 12 9053 
8 2 4 13 9053 
8 2 18 12 9053 
8 2 34 13 9053 
8 2 48 12 9053 
8 3 4 13 9053 
8 3 18 12 9053 
8 3 34 13 9053 
8 3 48 12 9053 
8 4 4 13 9053 
8 4 18 12 9053 
8 4 34 13 9053 
8 4 48 12 9053 
8 5 4 13 9053 
8 5 18 12 9053 
8 7 51 13 9053 
8 8 6 12 9053 
8 8 21 13 9053 
8 8 36 12 9053 
8 8 51 13 9053 
8 9 6 12 9053 
8 9 21 13 9053 
8 9 36 12 9053 
8 9 51 13 9053 
8 10 6 12 9053 
8 10 21 13 8993 
8 10 36 12 9053 
8 10 51 13 9053 
8 11 6 12 8993 
8 11 21 13 9053 
8 11 36 12 8993 
8 11 51 13 9053 
8 12 6 12 8993 
8 12 21 13 8993 
8 12 36 12 8993 
8 12 51 13 9053 
8 13 6 12 8993 
8 13 21 13 9053 
8 13 36 12 8993 
8 13 51 13 8993 
8 14 6 12 8993 
8 14 21 13 8993 
8 14 36 12 8993 
8 14 51 13 8993 
8 15 6 12 8993 
8 15 21 13 9053 
8 15 36 12 8993 
8 15 51 13 9053 
8 16 6 12 8993 
8 16 21 13 8993 
8 16 36 12 8993 
8 16 51 13 9053 
8 17 6 12 8993 
8 17 21 13 8993 
8 17 36 12 8993 
8 17 51 13 8993 
8 18 6 12 8993 
8 18 21 13 8993 
8 18 36 12 8993 
8 18 51 13 8993 
8 19 6 12 8993 
8 19 21 13 8993 
8 19 36 12 8993 
8 19 51 13 8993 
8 20 6 12 8993 
8 20 21 13 8993 
8 20 36 12 8993 
8 20 51 13 8993 
8 21 6 12 8993 
8 21 21 13 8993 
8 21 36 12 8993 
8 21 51 13 8993 
8 22 6 12 8993 
8 22 21 13 8993 
8 24 51 13 8993 
8 25 6 12 8993 
8 25 21 13 8993 
8 25 36 12 8993 
8 25 51 13 8993 
8 26 6 12 8993 
8 26 21 13 8993 
8 26 36 12 8993 
8 26 51 13 8993 
8 27 6 12 8993 
8 27 21 13 8993 
8 27 36 12 8993 
8 27 51 13 8993 
8 28 6 12 8993 
8 28 21 13 8993 
8 28 36 12 8993 
8 28 51 13 8993 
8 29 6 12 8993 
8 29 21 13 8993 
8 29 36 12 8993 
8 29 51 13 8993 
8 30 6 12 8993 
8 30 21 13 8993 
